Report of all payments made by TfL for value equal to or greater than £250.00 Excl. VAT,,,,,,
Reporting Period:  10,,,,,,
Start Date:  10 December 2023,,,,,,
End Date: 06 January 2024,,,,,,
Financial Year:  2023/24,,,,,,
,,,,,,
Entity,Vendor,Expence Account,Document Number,Clearing Date,Amount,Merchant Category
TFL CORPORATE,2CV Ltd.,Research & Study Fees,1001/5110376607,03 Jan 24,"10,500.00",
TFL CORPORATE,2CV Ltd.,Research & Study Fees,1001/5110375110,03 Jan 24,"9,500.00",
LONDON TRANSPORT MUSEUM,2CV Ltd.,LTM Design & Presentation Consultancy,1011/5110364377,13 Dec 23,"5,500.00",
TFL CORPORATE,2CV Ltd.,Research & Study Fees,1001/5110363409,13 Dec 23,"1,200.00",
SURFACE TRANSPORT CORP,40Seven Ltd,Management & Support Consultancy,1002/5110372731,27 Dec 23,"1,395.00",
LONDON UNDERGROUND LTD,4-RAIL Services Limited,Non Recyclable Waste Disposal/Refuse Collection,1005/5110373119,11 Dec 23,"24,813.89",
LONDON UNDERGROUND LTD,4-RAIL Services Limited,Track General Maintenance,1005/5110373099,11 Dec 23,"12,921.92",
LONDON UNDERGROUND LTD,4-RAIL Services Limited,Non Recyclable Waste Disposal/Refuse Collection,1005/5110376973,19 Dec 23,"10,951.46",
LONDON UNDERGROUND LTD,4-RAIL Services Limited,Vehicle Repairs & Maintenance,1005/5110377813,19 Dec 23,"8,022.00",
LONDON UNDERGROUND LTD,4-RAIL Services Limited,Track General Maintenance,1005/5110372869,13 Dec 23,"7,489.80",
LONDON UNDERGROUND LTD,4-RAIL Services Limited,Non Recyclable Waste Disposal/Refuse Collection,1005/5110378545,20 Dec 23,"7,489.80",
LONDON UNDERGROUND LTD,4-RAIL Services Limited,Track General Maintenance,1005/5110373137,11 Dec 23,"5,518.80",
LONDON UNDERGROUND LTD,4-RAIL Services Limited,Non Recyclable Waste Disposal/Refuse Collection,1005/5110374021,12 Dec 23,"4,633.31",
LONDON UNDERGROUND LTD,4-RAIL Services Limited,Track General Maintenance,1005/5110378559,20 Dec 23,"4,336.20",
LONDON UNDERGROUND LTD,4-RAIL Services Limited,Track General Maintenance,1005/5110373130,11 Dec 23,"4,212.10",
RFL (IINFRASTRUCTURE) LTD,4-RAIL Services Limited,Gas,1025/5110373148,18 Dec 23,"4,189.02",
LONDON UNDERGROUND LTD,4-RAIL Services Limited,Non Recyclable Waste Disposal/Refuse Collection,1005/5110373115,11 Dec 23,"2,948.47",
LONDON UNDERGROUND LTD,4-RAIL Services Limited,Track General Maintenance,1005/5110373129,11 Dec 23,"2,527.26",
LONDON UNDERGROUND LTD,4-RAIL Services Limited,Non Recyclable Waste Disposal/Refuse Collection,1005/5110373117,11 Dec 23,"2,243.38",
LONDON UNDERGROUND LTD,4-RAIL Services Limited,Non Recyclable Waste Disposal/Refuse Collection,1005/5110373100,11 Dec 23,"2,106.05",
LONDON UNDERGROUND LTD,4-RAIL Services Limited,Non Recyclable Waste Disposal/Refuse Collection,1005/5110378539,20 Dec 23,"2,005.35",
LONDON UNDERGROUND LTD,4-RAIL Services Limited,Track General Maintenance,1005/5110381971,27 Dec 23,"1,834.86",
LONDON UNDERGROUND LTD,4-RAIL Services Limited,Plant & Equipment Purchases,1005/5110381789,27 Dec 23,"1,569.44",
LONDON UNDERGROUND LTD,4-RAIL Services Limited,Non Recyclable Waste Disposal/Refuse Collection,1005/5110375496,19 Dec 23,"1,556.75",
LONDON UNDERGROUND LTD,4-RAIL Services Limited,Non Recyclable Waste Disposal/Refuse Collection,1005/5110374652,20 Dec 23,"1,500.20",
LONDON UNDERGROUND LTD,4-RAIL Services Limited,Non Recyclable Waste Disposal/Refuse Collection,1005/5110376955,22 Dec 23,"1,310.00",
LONDON UNDERGROUND LTD,4-RAIL Services Limited,Non Recyclable Waste Disposal/Refuse Collection,1005/5110375491,18 Dec 23,"1,263.63",
TTL PROPERTIES LTD,4-RAIL Services Limited,Non Recyclable Waste Disposal/Refuse Collection,1040/5110374645,13 Dec 23,"1,136.69",
LONDON UNDERGROUND LTD,4-RAIL Services Limited,Non Recyclable Waste Disposal/Refuse Collection,1005/5110374647,13 Dec 23,998.21,
RAIL FOR LONDON LIMITED,4-RAIL Services Limited,Non Recyclable Waste Disposal/Refuse Collection,1020/5110375495,13 Dec 23,853.96,
LONDON UNDERGROUND LTD,4-RAIL Services Limited,Non Recyclable Waste Disposal/Refuse Collection,1005/5110379343,20 Dec 23,846.80,
LONDON UNDERGROUND LTD,4-RAIL Services Limited,Vehicle Repairs & Maintenance,1005/5110377816,19 Dec 23,845.00,
LONDON UNDERGROUND LTD,4-RAIL Services Limited,Non Recyclable Waste Disposal/Refuse Collection,1005/5110381629,22 Dec 23,842.42,
LONDON UNDERGROUND LTD,4-RAIL Services Limited,Non Recyclable Waste Disposal/Refuse Collection,1005/5110378551,20 Dec 23,842.42,
LONDON UNDERGROUND LTD,4-RAIL Services Limited,Non Recyclable Waste Disposal/Refuse Collection,1005/5110374650,13 Dec 23,830.88,
LONDON UNDERGROUND LTD,4-RAIL Services Limited,Non Recyclable Waste Disposal/Refuse Collection,1005/5110381970,27 Dec 23,727.02,
LONDON UNDERGROUND LTD,4-RAIL Services Limited,Non Recyclable Waste Disposal/Refuse Collection,1005/5110381635,22 Dec 23,703.17,
LONDON UNDERGROUND LTD,4-RAIL Services Limited,Non Recyclable Waste Disposal/Refuse Collection,1005/5110377796,19 Dec 23,690.67,
LONDON UNDERGROUND LTD,4-RAIL Services Limited,Non Recyclable Waste Disposal/Refuse Collection,1005/5110375498,13 Dec 23,547.57,
LONDON UNDERGROUND LTD,4-RAIL Services Limited,Vehicle Repairs & Maintenance,1005/5110377805,19 Dec 23,530.84,
LONDON UNDERGROUND LTD,4-RAIL Services Limited,Vehicle Repairs & Maintenance,1005/5110377820,19 Dec 23,525.00,
LONDON UNDERGROUND LTD,4-RAIL Services Limited,Non Recyclable Waste Disposal/Refuse Collection,1005/5110374651,13 Dec 23,478.91,
LONDON UNDERGROUND LTD,4-RAIL Services Limited,Non Recyclable Waste Disposal/Refuse Collection,1005/5110375497,13 Dec 23,426.98,
LONDON UNDERGROUND LTD,4-RAIL Services Limited,Non Recyclable Waste Disposal/Refuse Collection,1005/5110377808,19 Dec 23,426.98,
LONDON UNDERGROUND LTD,4-RAIL Services Limited,Non Recyclable Waste Disposal/Refuse Collection,1005/5110374649,13 Dec 23,426.98,
LONDON UNDERGROUND LTD,4-RAIL Services Limited,Building Maintenance & Repairs,1005/5110382154,05 Jan 24,426.98,
LONDON UNDERGROUND LTD,4-RAIL Services Limited,Non Recyclable Waste Disposal/Refuse Collection,1005/5110376964,18 Dec 23,426.98,
TFL CORPORATE,4-RAIL Services Limited,Non Recyclable Waste Disposal/Refuse Collection,1001/5110378542,21 Dec 23,426.98,
LONDON UNDERGROUND LTD,4-RAIL Services Limited,Non Recyclable Waste Disposal/Refuse Collection,1005/5110375490,13 Dec 23,421.21,
LONDON UNDERGROUND LTD,4-RAIL Services Limited,Non Recyclable Waste Disposal/Refuse Collection,1005/5110375492,13 Dec 23,421.21,
LONDON UNDERGROUND LTD,4-RAIL Services Limited,Non Recyclable Waste Disposal/Refuse Collection,1005/5110381628,22 Dec 23,421.21,
LONDON UNDERGROUND LTD,4-RAIL Services Limited,Non Recyclable Waste Disposal/Refuse Collection,1005/5110375489,13 Dec 23,421.21,
LONDON UNDERGROUND LTD,4-RAIL Services Limited,Non Recyclable Waste Disposal/Refuse Collection,1005/5110375484,13 Dec 23,421.21,
LONDON UNDERGROUND LTD,4-RAIL Services Limited,Non Recyclable Waste Disposal/Refuse Collection,1005/5110379236,20 Dec 23,415.44,
LONDON UNDERGROUND LTD,4-RAIL Services Limited,Non Recyclable Waste Disposal/Refuse Collection,1005/5110379239,20 Dec 23,346.20,
RAIL FOR LONDON LIMITED,777 Demolition & Haulage Co Ltd,Non Recyclable Waste Disposal/Refuse Collection,1020/5110377389,15 Dec 23,490.00,
RAIL FOR LONDON LIMITED,777 Demolition & Haulage Co Ltd,Non Recyclable Waste Disposal/Refuse Collection,1020/5110377394,15 Dec 23,490.00,
RAIL FOR LONDON LIMITED,777 Demolition & Haulage Co Ltd,Non Recyclable Waste Disposal/Refuse Collection,1020/5110377372,15 Dec 23,490.00,
RAIL FOR LONDON LIMITED,777 Demolition & Haulage Co Ltd,Non Recyclable Waste Disposal/Refuse Collection,1020/5110380993,20 Dec 23,490.00,
RAIL FOR LONDON LIMITED,777 Demolition & Haulage Co Ltd,Non Recyclable Waste Disposal/Refuse Collection,1020/5110377365,15 Dec 23,490.00,
RAIL FOR LONDON LIMITED,777 Demolition & Haulage Co Ltd,Non Recyclable Waste Disposal/Refuse Collection,1020/5110380983,20 Dec 23,490.00,
RAIL FOR LONDON LIMITED,777 Demolition & Haulage Co Ltd,Non Recyclable Waste Disposal/Refuse Collection,1020/5110380150,20 Dec 23,490.00,
RAIL FOR LONDON LIMITED,777 Demolition & Haulage Co Ltd,Non Recyclable Waste Disposal/Refuse Collection,1020/5110377410,15 Dec 23,490.00,
RAIL FOR LONDON LIMITED,777 Demolition & Haulage Co Ltd,Non Recyclable Waste Disposal/Refuse Collection,1020/5110377433,15 Dec 23,490.00,
RAIL FOR LONDON LIMITED,777 Demolition & Haulage Co Ltd,Non Recyclable Waste Disposal/Refuse Collection,1020/5110380153,20 Dec 23,490.00,
SURFACE TRANSPORT CORP,A J Scaffolding Ltd,General Fees & Charges,1002/1900077681,21 Dec 23,321.00,
TFL CORPORATE,A J WELLS & SONS LTD,Production Artwork And Design For Marketing,1001/5110374525,12 Dec 23,"6,299.00",
LONDON UNDERGROUND LTD,A J WELLS & SONS LTD,Stock Of Track,1005/5110377711,20 Dec 23,"4,465.00",
TFL CORPORATE,A J WELLS & SONS LTD,Street Furniture,1001/5110374526,12 Dec 23,"1,745.00",
TFL CORPORATE,A J WELLS & SONS LTD,Street Furniture,1001/5110376679,15 Dec 23,"1,198.50",
LONDON UNDERGROUND LTD,A J WELLS & SONS LTD,Street Furniture,1005/5110348271,15 Dec 23,"1,121.20",
LONDON UNDERGROUND LTD,A J WELLS & SONS LTD,Electrical Equipment Maintenance,1005/5110379320,21 Dec 23,388.00,
LONDON UNDERGROUND LTD,A&A Electrical Distributors Ltd,Civil Engineering Construction Works,1005/5110378440,19 Dec 23,"1,462.80",
LONDON UNDERGROUND LTD,A&A Electrical Distributors Ltd,Lift Maintenance,1005/5110380317,20 Dec 23,407.10,
LONDON UNDERGROUND LTD,A&A Electrical Distributors Ltd,Equipment Repairs & Maintenance,1005/5110334277,14 Dec 23,315.00,
LONDON UNDERGROUND LTD,A&A Electrical Distributors Ltd,Civil Engineering Construction Works,1005/5110377590,18 Dec 23,289.20,
RFL (IINFRASTRUCTURE) LTD,A&M Electricals Ltd,Professional Engineering Services,1025/5110380585,29 Dec 23,"33,586.37",
LONDON UNDERGROUND LTD,A.S.B. (RNI) LTD,Stock of Fleet,1005/5110372479,21 Dec 23,"1,580.00",
LONDON UNDERGROUND LTD,A.S.B. (RNI) LTD,Stock of Fleet,1005/5110368627,19 Dec 23,"1,430.00",
LONDON UNDERGROUND LTD,A.S.B. (RNI) LTD,Stock of Fleet,1005/5110372481,21 Dec 23,790.00,
LONDON BUS SERVICES LTD,AA DriveTech,Management & Support Consultancy,1006/5110371607,14 Dec 23,"21,316.75",
LUL NOMINEE BCV LIMITED,AALCO metal Ltd (Aylesbury),Plant & Equipment Purchases,1033/5110375152,27 Dec 23,"1,152.50",
LUL NOMINEE BCV LIMITED,AALCO metal Ltd (Aylesbury),Plant & Equipment Purchases,1033/5110370556,27 Dec 23,591.60,
LUL NOMINEE BCV LIMITED,AALCO metal Ltd (Aylesbury),Plant & Equipment Purchases,1033/5110370562,27 Dec 23,366.97,
LUL NOMINEE SSL LIMITED,AB CONNECTORS LTD,Stock of Fleet,1031/5110367896,20 Dec 23,"33,778.25",
LUL NOMINEE SSL LIMITED,AB CONNECTORS LTD,Stock of Fleet,1031/5110373901,02 Jan 24,"9,883.77",
LUL NOMINEE SSL LIMITED,AB CONNECTORS LTD,Stock of Fleet,1031/5110369414,22 Dec 23,532.14,
TRANSPORT TRADING LTD,AB Publishing Limited,Building Maintenance & Repairs,1004/5110378326,22 Dec 23,"5,489.00",
LUL NOMINEE SSL LIMITED,Abacus Lighting Ltd,Civil Engineering Construction Works,1031/5110380666,22 Dec 23,"1,200.00",
LONDON UNDERGROUND LTD,ABB Limited,Stock of Fleet,1005/5110362074,12 Dec 23,835.26,
LONDON UNDERGROUND LTD,ABB Limited,Stock of Fleet,1005/5110368609,21 Dec 23,495.85,
LONDON UNDERGROUND LTD,ABB Limited,Stock of Fleet,1005/5110374205,03 Jan 24,333.31,
LONDON UNDERGROUND LTD,ABB Limited,Stock of Fleet,1005/5110372988,29 Dec 23,276.27,
LONDON UNDERGROUND LTD,ABB Limited,Stock of Fleet,1005/5110371461,12 Dec 23,-883.41,
TRANSPORT TRADING LTD,REDACTED,Miscellaneous External Income,1004/1901699665,12 Dec 23,280.00,
LONDON UNDERGROUND LTD,Abellio East Anglia Ltd,Civil Engineering Construction Works,1005/5110384269,02 Jan 24,"3,504.95",
LONDON BUS SERVICES LTD,Abellio London Ltd,Bus Contract Payments,1006/1900049742,22 Dec 23,"7,448,581.94",
LONDON BUS SERVICES LTD,ABELLIO LONDON LTD,Bus Contract Payments,1006/1900049743,22 Dec 23,"4,582,987.28",
LONDON BUS SERVICES LTD,Abellio London Ltd,Bus Contract Payments,1006/1900049803,05 Jan 24,"2,237,494.64",
LONDON BUS SERVICES LTD,ABELLIO LONDON LTD,Bus Contract Payments,1006/1900049804,05 Jan 24,"1,486,082.26",
RAIL FOR LONDON LIMITED,Abellio London Ltd,Franchise/Concession Fixed Fee,1020/5110375396,03 Jan 24,"295,489.17",
RAIL FOR LONDON LIMITED,Abellio London Ltd,Professional Engineering Services,1020/5110367485,18 Dec 23,"166,792.48",
LONDON UNDERGROUND LTD,Abellio London Ltd,Franchise/Concession Fixed Fee,1005/5110371653,22 Dec 23,"156,757.74",
LONDON UNDERGROUND LTD,Abellio London Ltd,Franchise/Concession Fixed Fee,1005/5110371649,22 Dec 23,"101,176.77",
RAIL FOR LONDON LIMITED,Abellio London Ltd,Franchise/Concession Fixed Fee,1020/5110371646,22 Dec 23,"43,005.99",
LONDON UNDERGROUND LTD,Abellio London Ltd,Franchise/Concession Fixed Fee,1005/5110375417,03 Jan 24,"42,286.43",
RAIL FOR LONDON LIMITED,Abellio London Ltd,Franchise/Concession Fixed Fee,1020/5110367456,18 Dec 23,"30,636.00",
LONDON UNDERGROUND LTD,Abellio London Ltd,Franchise/Concession Fixed Fee,1005/5110375420,03 Jan 24,"29,554.96",
LONDON BUS SERVICES LTD,Abellio London Ltd,Bus Contract Payments,1006/1900049762,29 Dec 23,"26,720.00",
LONDON BUS SERVICES LTD,Abellio London Ltd,Bus Contract Payments,1006/1900049728,22 Dec 23,"23,774.40",
RAIL FOR LONDON LIMITED,Abellio London Ltd,Franchise/Concession Fixed Fee,1020/5110362839,11 Dec 23,"22,385.07",
LONDON UNDERGROUND LTD,Abellio London Ltd,Franchise/Concession Fixed Fee,1005/5110362894,11 Dec 23,"21,790.09",
RAIL FOR LONDON LIMITED,Abellio London Ltd,Franchise/Concession Fixed Fee,1020/5110367486,18 Dec 23,"13,776.00",
RAIL FOR LONDON LIMITED,Abellio London Ltd,Franchise/Concession Fixed Fee,1020/5110367488,18 Dec 23,"13,591.66",
RAIL FOR LONDON LIMITED,Abellio London Ltd,Franchise/Concession Fixed Fee,1020/5110362891,11 Dec 23,"13,160.00",
DOCKLANDS LIGHT RAILWAY,Abellio London Ltd,Equipment Hire & Rental,1012/5110375341,03 Jan 24,"12,949.95",
RAIL FOR LONDON LIMITED,Abellio London Ltd,Franchise/Concession Fixed Fee,1020/5110367453,18 Dec 23,"12,590.85",
RAIL FOR LONDON LIMITED,Abellio London Ltd,Franchise/Concession Fixed Fee,1020/5110362895,11 Dec 23,"12,155.87",
RAIL FOR LONDON LIMITED,Abellio London Ltd,Franchise/Concession Fixed Fee,1020/5110375368,03 Jan 24,"11,109.80",
RAIL FOR LONDON LIMITED,Abellio London Ltd,Franchise/Concession Fixed Fee,1020/5110362935,11 Dec 23,"9,813.00",
RAIL FOR LONDON LIMITED,Abellio London Ltd,Franchise/Concession Fixed Fee,1020/5110375348,03 Jan 24,"8,275.25",
RAIL FOR LONDON LIMITED,Abellio London Ltd,Franchise/Concession Fixed Fee,1020/5110367437,18 Dec 23,"8,062.00",
RAIL FOR LONDON LIMITED,Abellio London Ltd,Franchise/Concession Fixed Fee,1020/5110362889,11 Dec 23,"5,182.00",
LONDON UNDERGROUND LTD,Abellio London Ltd,Franchise/Concession Fixed Fee,1005/5110375343,03 Jan 24,"4,964.00",
LONDON UNDERGROUND LTD,Abellio London Ltd,Franchise/Concession Fixed Fee,1005/5110362928,11 Dec 23,"4,066.00",
LONDON UNDERGROUND LTD,Abellio London Ltd,Franchise/Concession Fixed Fee,1005/5110375366,03 Jan 24,"2,433.45",
LONDON BUS SERVICES LTD,Abellio London Ltd,Franchise/Concession Fixed Fee,1006/5110367482,18 Dec 23,"2,400.00",
LONDON BUS SERVICES LTD,Abellio London Ltd,Franchise/Concession Fixed Fee,1006/5110299745,18 Dec 23,"-1,412.00",
LONDON BUS SERVICES LTD,Abellio London Ltd,Bus Contract Payments,1006/1900049796,05 Jan 24,"-3,654.92",
LUL NOMINEE SSL LIMITED,ABG RUBBER AND PLASTICS LTD,Stock of Fleet,1031/5110368914,22 Dec 23,"1,939.00",
RFL (IINFRASTRUCTURE) LTD,Abtus Limited,Connect PFI Service Costs,1025/5110383185,29 Dec 23,"19,055.00",
TFL CORPORATE,Accenture (UK) Ltd,Manage IT Services,1001/5110369759,27 Dec 23,"89,000.00",
TFL CORPORATE,Access Design Solutions UK Limited,Staff Training,1001/5110378364,20 Dec 23,"1,909.10",
LONDON UNDERGROUND LTD,Acieries et Laminoirs de Rives SAS,Stock Of Track,1005/5110362858,13 Dec 23,"7,431.50",
LONDON UNDERGROUND LTD,Acieries et Laminoirs de Rives SAS,Stock Of Track,1005/5110362863,13 Dec 23,"7,431.50",
LONDON UNDERGROUND LTD,Acieries et Laminoirs de Rives SAS,Stock Of Track,1005/5110371290,27 Dec 23,"7,431.50",
LONDON UNDERGROUND LTD,Acieries et Laminoirs de Rives SAS,1st Outgoing CHAPS,1005/2000787340,27 Dec 23,"-8,917.80",
LONDON UNDERGROUND LTD,Acieries et Laminoirs de Rives SAS,1st Outgoing CHAPS,1005/2000786148,13 Dec 23,"-17,835.60",
LONDON UNDERGROUND LTD,ACL Hire Limited,Vehicle Operating Leases,1005/5110370665,27 Dec 23,987.00,
LONDON UNDERGROUND LTD,ACL Hire Limited,Vehicle Operating Leases,1005/5110370654,27 Dec 23,987.00,
LONDON UNDERGROUND LTD,ACL Hire Limited,Vehicle Operating Leases,1005/5110370657,27 Dec 23,987.00,
LONDON UNDERGROUND LTD,ACL Hire Limited,Vehicle Operating Leases,1005/5110370661,27 Dec 23,987.00,
LONDON UNDERGROUND LTD,ACL Hire Limited,Vehicle Operating Leases,1005/5110370467,27 Dec 23,846.60,
LONDON UNDERGROUND LTD,ACL Hire Limited,Vehicle Operating Leases,1005/5110370412,27 Dec 23,809.10,
LONDON UNDERGROUND LTD,ACL Hire Limited,Vehicle Operating Leases,1005/5110370490,27 Dec 23,809.10,
LONDON UNDERGROUND LTD,ACL Hire Limited,Vehicle Operating Leases,1005/5110370437,27 Dec 23,780.30,
LONDON UNDERGROUND LTD,ACL Hire Limited,Vehicle Operating Leases,1005/5110370652,27 Dec 23,722.40,
LONDON UNDERGROUND LTD,ACL Hire Limited,Vehicle Operating Leases,1005/5110370294,27 Dec 23,722.40,
LONDON UNDERGROUND LTD,ACL Hire Limited,Vehicle Operating Leases,1005/5110370651,27 Dec 23,722.40,
LONDON UNDERGROUND LTD,ACL Hire Limited,Vehicle Operating Leases,1005/5110370522,27 Dec 23,722.40,
LONDON UNDERGROUND LTD,ACL Hire Limited,Vehicle Operating Leases,1005/5110370656,27 Dec 23,722.40,
LONDON UNDERGROUND LTD,ACL Hire Limited,Vehicle Operating Leases,1005/5110370474,27 Dec 23,722.40,
LONDON UNDERGROUND LTD,ACL Hire Limited,Vehicle Operating Leases,1005/5110370466,27 Dec 23,722.40,
LONDON UNDERGROUND LTD,ACL Hire Limited,Vehicle Operating Leases,1005/5110370409,27 Dec 23,722.40,
LONDON UNDERGROUND LTD,ACL Hire Limited,Vehicle Operating Leases,1005/5110370449,27 Dec 23,722.40,
LONDON UNDERGROUND LTD,ACL Hire Limited,Vehicle Operating Leases,1005/5110370508,27 Dec 23,722.40,
LONDON UNDERGROUND LTD,ACL Hire Limited,Vehicle Operating Leases,1005/5110370303,27 Dec 23,722.40,
LONDON UNDERGROUND LTD,ACL Hire Limited,Vehicle Operating Leases,1005/5110370507,27 Dec 23,722.40,
LONDON UNDERGROUND LTD,ACL Hire Limited,Vehicle Operating Leases,1005/5110364127,13 Dec 23,665.47,
LONDON UNDERGROUND LTD,ACL Hire Limited,Vehicle Operating Leases,1005/5110370485,27 Dec 23,598.80,
LONDON UNDERGROUND LTD,ACL Hire Limited,Vehicle Operating Leases,1005/5110370664,27 Dec 23,598.80,
LONDON UNDERGROUND LTD,ACL Hire Limited,Vehicle Operating Leases,1005/5110370663,27 Dec 23,584.10,
LONDON UNDERGROUND LTD,ACL Hire Limited,Vehicle Operating Leases,1005/5110370339,27 Dec 23,584.10,
LONDON UNDERGROUND LTD,ACL Hire Limited,Vehicle Operating Leases,1005/5110370655,27 Dec 23,584.10,
LONDON UNDERGROUND LTD,ACL Hire Limited,Vehicle Operating Leases,1005/5110370518,27 Dec 23,584.10,
LONDON UNDERGROUND LTD,ACL Hire Limited,Vehicle Operating Leases,1005/5110370324,27 Dec 23,584.10,
LONDON UNDERGROUND LTD,ACL Hire Limited,Vehicle Operating Leases,1005/5110370337,27 Dec 23,584.10,
LONDON UNDERGROUND LTD,ACL Hire Limited,Vehicle Operating Leases,1005/5110370489,27 Dec 23,584.10,
LONDON UNDERGROUND LTD,ACL Hire Limited,Vehicle Operating Leases,1005/5110370463,27 Dec 23,584.10,
LONDON UNDERGROUND LTD,ACL Hire Limited,Vehicle Operating Leases,1005/5110370470,27 Dec 23,584.10,
LONDON UNDERGROUND LTD,ACL Hire Limited,Vehicle Operating Leases,1005/5110370478,27 Dec 23,584.10,
LONDON UNDERGROUND LTD,ACL Hire Limited,Vehicle Operating Leases,1005/5110370648,27 Dec 23,584.10,
LONDON UNDERGROUND LTD,ACL Hire Limited,Vehicle Operating Leases,1005/5110370306,27 Dec 23,584.10,
LONDON UNDERGROUND LTD,ACL Hire Limited,Vehicle Operating Leases,1005/5110370300,27 Dec 23,584.10,
LONDON UNDERGROUND LTD,ACL Hire Limited,Vehicle Operating Leases,1005/5110370309,27 Dec 23,584.10,
LONDON UNDERGROUND LTD,ACL Hire Limited,Vehicle Operating Leases,1005/5110370313,27 Dec 23,584.10,
LONDON UNDERGROUND LTD,ACL Hire Limited,Vehicle Operating Leases,1005/5110370534,27 Dec 23,584.10,
LONDON UNDERGROUND LTD,ACL Hire Limited,Vehicle Operating Leases,1005/5110370659,27 Dec 23,504.30,
LONDON UNDERGROUND LTD,ACL Hire Limited,Vehicle Operating Leases,1005/5110370530,27 Dec 23,504.30,
LONDON UNDERGROUND LTD,ACL Hire Limited,Vehicle Operating Leases,1005/5110370499,27 Dec 23,438.90,
LONDON UNDERGROUND LTD,ACL Hire Limited,Vehicle Operating Leases,1005/5110370395,27 Dec 23,438.90,
LONDON UNDERGROUND LTD,ACL Hire Limited,Vehicle Operating Leases,1005/5110370520,27 Dec 23,438.90,
LONDON UNDERGROUND LTD,ACL Hire Limited,Vehicle Operating Leases,1005/5110370452,27 Dec 23,438.90,
LONDON UNDERGROUND LTD,ACL Hire Limited,Vehicle Operating Leases,1005/5110370336,27 Dec 23,438.90,
LONDON UNDERGROUND LTD,ACL Hire Limited,Vehicle Operating Leases,1005/5110370473,27 Dec 23,438.90,
LONDON UNDERGROUND LTD,ACL Hire Limited,Vehicle Operating Leases,1005/5110370464,27 Dec 23,438.90,
LONDON UNDERGROUND LTD,ACL Hire Limited,Vehicle Operating Leases,1005/5110370457,27 Dec 23,438.90,
LONDON UNDERGROUND LTD,ACL Hire Limited,Vehicle Operating Leases,1005/5110370546,27 Dec 23,438.90,
LONDON UNDERGROUND LTD,ACL Hire Limited,Vehicle Operating Leases,1005/5110370540,27 Dec 23,438.90,
LONDON UNDERGROUND LTD,ACL Hire Limited,Vehicle Operating Leases,1005/5110370454,27 Dec 23,438.90,
LONDON UNDERGROUND LTD,ACL Hire Limited,Vehicle Operating Leases,1005/5110370197,27 Dec 23,438.90,
LONDON UNDERGROUND LTD,ACL Hire Limited,Vehicle Operating Leases,1005/5110370514,27 Dec 23,382.20,
LONDON UNDERGROUND LTD,ACL Hire Limited,Vehicle Operating Leases,1005/5110370543,27 Dec 23,382.20,
LONDON UNDERGROUND LTD,ACL Hire Limited,Vehicle Operating Leases,1005/5110370493,27 Dec 23,382.20,
LONDON UNDERGROUND LTD,ACL Hire Limited,Vehicle Operating Leases,1005/5110370549,27 Dec 23,382.20,
LONDON UNDERGROUND LTD,ACL Hire Limited,Vehicle Operating Leases,1005/5110370503,27 Dec 23,382.20,
