,Payments for Publishing for Invoices paid between 01-AUG-2023 and 31-AUG-2023,,,,,,
AUTISM TOGETHER,130623,02-AUG-2023,"19,252.00",Adults Care and Health and Strategic Commissioning,S6121,Learning & Disability Support - Adults (18-64),
AUTISM TOGETHER,130623,02-AUG-2023,"1,858.70",Adults Care and Health and Strategic Commissioning,S6121,Learning & Disability Support - Adults (18-64),
AUTISM TOGETHER,130623,02-AUG-2023,"1,944.14",Adults Care and Health and Strategic Commissioning,S6121,Learning & Disability Support - Adults (18-64),
AUTISM TOGETHER,136981,30-AUG-2023,"5,448.00",Adults Care and Health and Strategic Commissioning,S6121,Learning & Disability Support - Adults (18-64),
AUTISM TOGETHER,130623,02-AUG-2023,"12,040.00",Adults Care and Health and Strategic Commissioning,S6121,Learning & Disability Support - Adults (18-64),
AUTISM TOGETHER,137141,30-AUG-2023,"5,552.00",Adults Care and Health and Strategic Commissioning,S6121,Learning & Disability Support - Adults (18-64),
AUTISM TOGETHER,130623,02-AUG-2023,"11,280.00",Adults Care and Health and Strategic Commissioning,S6121,Learning & Disability Support - Adults (18-64),
AUTISM TOGETHER,137141,30-AUG-2023,"5,177.34",Adults Care and Health and Strategic Commissioning,S6121,Learning & Disability Support - Adults (18-64),
AUTISM TOGETHER,137141,30-AUG-2023,"11,192.00",Adults Care and Health and Strategic Commissioning,S6121,Learning & Disability Support - Adults (18-64),
AUTISM TOGETHER,137141,30-AUG-2023,"11,280.00",Adults Care and Health and Strategic Commissioning,S6121,Learning & Disability Support - Adults (18-64),
AUTISM TOGETHER,137141,30-AUG-2023,"11,464.00",Adults Care and Health and Strategic Commissioning,S6121,Learning & Disability Support - Adults (18-64),
AUTISM TOGETHER,130623,02-AUG-2023,"1,976.92",Adults Care and Health and Strategic Commissioning,S6121,Learning & Disability Support - Adults (18-64),
AUTISM TOGETHER,137141,30-AUG-2023,"5,652.00",Adults Care and Health and Strategic Commissioning,S6121,Learning & Disability Support - Adults (18-64),
AUTISM TOGETHER,130623,02-AUG-2023,"5,612.00",Adults Care and Health and Strategic Commissioning,S6121,Learning & Disability Support - Adults (18-64),
AUTISM TOGETHER,130623,02-AUG-2023,"6,339.60",Adults Care and Health and Strategic Commissioning,S6121,Learning & Disability Support - Adults (18-64),
AUTISM TOGETHER,130623,02-AUG-2023,"10,676.00",Adults Care and Health and Strategic Commissioning,S6121,Learning & Disability Support - Adults (18-64),
AUTISM TOGETHER,137141,30-AUG-2023,"4,960.00",Adults Care and Health and Strategic Commissioning,S6121,Learning & Disability Support - Adults (18-64),
AUTISM TOGETHER,130623,02-AUG-2023,"5,888.00",Adults Care and Health and Strategic Commissioning,S6121,Learning & Disability Support - Adults (18-64),
AUTISM TOGETHER,137141,30-AUG-2023,"10,676.00",Adults Care and Health and Strategic Commissioning,S6121,Learning & Disability Support - Adults (18-64),
AUTISM TOGETHER,137141,30-AUG-2023,"2,599.20",Adults Care and Health and Strategic Commissioning,S6121,Learning & Disability Support - Adults (18-64),
AUTISM TOGETHER,137141,30-AUG-2023,"2,599.20",Adults Care and Health and Strategic Commissioning,S6121,Learning & Disability Support - Adults (18-64),
AUTISM TOGETHER,137141,30-AUG-2023,"10,588.00",Adults Care and Health and Strategic Commissioning,S6121,Learning & Disability Support - Adults (18-64),
AUTISM TOGETHER,130623,02-AUG-2023,"5,612.00",Adults Care and Health and Strategic Commissioning,S6121,Learning & Disability Support - Adults (18-64),
AUTISM TOGETHER,137141,30-AUG-2023,"2,599.20",Adults Care and Health and Strategic Commissioning,S6121,Learning & Disability Support - Adults (18-64),
AUTISM TOGETHER,137141,30-AUG-2023,"2,599.20",Adults Care and Health and Strategic Commissioning,S6121,Learning & Disability Support - Adults (18-64),
AUTISM TOGETHER,137141,30-AUG-2023,"5,612.00",Adults Care and Health and Strategic Commissioning,S6121,Learning & Disability Support - Adults (18-64),
AUTISM TOGETHER,137141,30-AUG-2023,"10,676.00",Adults Care and Health and Strategic Commissioning,S6121,Learning & Disability Support - Adults (18-64),
AUTISM TOGETHER,137141,30-AUG-2023,835.46,Adults Care and Health and Strategic Commissioning,S6121,Learning & Disability Support - Adults (18-64),
AUTISM TOGETHER,136981,30-AUG-2023,"10,912.00",Adults Care and Health and Strategic Commissioning,S6121,Learning & Disability Support - Adults (18-64),
AUTISM TOGETHER,130657,02-AUG-2023,"8,628.90",Adults Care and Health and Strategic Commissioning,S6121,Learning & Disability Support - Adults (18-64),
AUTISM TOGETHER,130623,02-AUG-2023,"5,552.00",Adults Care and Health and Strategic Commissioning,S6121,Learning & Disability Support - Adults (18-64),
AUTISM TOGETHER,137141,30-AUG-2023,"4,930.80",Adults Care and Health and Strategic Commissioning,S6121,Learning & Disability Support - Adults (18-64),
AUTISM TOGETHER,130623,02-AUG-2023,"11,464.00",Adults Care and Health and Strategic Commissioning,S6121,Learning & Disability Support - Adults (18-64),
AUTISM TOGETHER,136982,30-AUG-2023,"8,628.90",Adults Care and Health and Strategic Commissioning,S6121,Learning & Disability Support - Adults (18-64),
AUTISM TOGETHER,130656,02-AUG-2023,"5,448.00",Adults Care and Health and Strategic Commissioning,S6121,Learning & Disability Support - Adults (18-64),
AUTISM TOGETHER,137141,30-AUG-2023,"7,434.80",Adults Care and Health and Strategic Commissioning,S6121,Learning & Disability Support - Adults (18-64),
AUTISM TOGETHER,136981,30-AUG-2023,"10,744.00",Adults Care and Health and Strategic Commissioning,S6121,Learning & Disability Support - Adults (18-64),
AUTISM TOGETHER,137141,30-AUG-2023,"6,339.60",Adults Care and Health and Strategic Commissioning,S6121,Learning & Disability Support - Adults (18-64),
AUTISM TOGETHER,137141,30-AUG-2023,"2,599.20",Adults Care and Health and Strategic Commissioning,S6121,Learning & Disability Support - Adults (18-64),
AUTISM TOGETHER,130623,02-AUG-2023,"4,930.80",Adults Care and Health and Strategic Commissioning,S6121,Learning & Disability Support - Adults (18-64),
AUTISM TOGETHER,130623,02-AUG-2023,"11,280.00",Adults Care and Health and Strategic Commissioning,S6121,Learning & Disability Support - Adults (18-64),
AUTISM TOGETHER,130623,02-AUG-2023,"4,960.00",Adults Care and Health and Strategic Commissioning,S6121,Learning & Disability Support - Adults (18-64),
AUTISM TOGETHER,130623,02-AUG-2023,"11,192.00",Adults Care and Health and Strategic Commissioning,S6121,Learning & Disability Support - Adults (18-64),
AUTISM TOGETHER,130623,02-AUG-2023,"5,177.34",Adults Care and Health and Strategic Commissioning,S6121,Learning & Disability Support - Adults (18-64),
AUTISM TOGETHER,137141,30-AUG-2023,"11,280.00",Adults Care and Health and Strategic Commissioning,S6121,Learning & Disability Support - Adults (18-64),
AUTISM TOGETHER,137141,30-AUG-2023,"2,441.28",Adults Care and Health and Strategic Commissioning,S6121,Learning & Disability Support - Adults (18-64),
AUTISM TOGETHER,137141,30-AUG-2023,"12,040.00",Adults Care and Health and Strategic Commissioning,S6121,Learning & Disability Support - Adults (18-64),
AUTISM TOGETHER,130623,02-AUG-2023,"10,676.00",Adults Care and Health and Strategic Commissioning,S6121,Learning & Disability Support - Adults (18-64),
AUTISM TOGETHER,136982,30-AUG-2023,"2,564.44",Adults Care and Health and Strategic Commissioning,S6121,Learning & Disability Support - Adults (18-64),
AUTISM TOGETHER,137141,30-AUG-2023,"5,612.00",Adults Care and Health and Strategic Commissioning,S6121,Learning & Disability Support - Adults (18-64),
AUTISM TOGETHER,130623,02-AUG-2023,686.79,Adults Care and Health and Strategic Commissioning,S6121,Learning & Disability Support - Adults (18-64),
AUTISM TOGETHER,137141,30-AUG-2023,"19,252.00",Adults Care and Health and Strategic Commissioning,S6121,Learning & Disability Support - Adults (18-64),
AUTISM TOGETHER,137141,30-AUG-2023,"11,516.94",Adults Care and Health and Strategic Commissioning,S6121,Learning & Disability Support - Adults (18-64),
AUTISM TOGETHER,130656,02-AUG-2023,"10,912.00",Adults Care and Health and Strategic Commissioning,S6121,Learning & Disability Support - Adults (18-64),
AUTISM TOGETHER,130657,02-AUG-2023,"2,564.44",Adults Care and Health and Strategic Commissioning,S6121,Learning & Disability Support - Adults (18-64),
AUTISM TOGETHER,130656,02-AUG-2023,"10,744.00",Adults Care and Health and Strategic Commissioning,S6121,Learning & Disability Support - Adults (18-64),
AUTISM TOGETHER,135468,23-AUG-2023,-9.72,Adults Care and Health and Strategic Commissioning,S6121,Customer and Client - Community Care,
AUTISM TOGETHER,134246,17-AUG-2023,-1.04,Adults Care and Health and Strategic Commissioning,S6121,Customer and Client - Community Care,
AUTISM TOGETHER,135468,23-AUG-2023,"160,805.28",Adults Care and Health and Strategic Commissioning,S6121,Learning & Disability Support - Adults (18-64),
AUTISM TOGETHER,134246,17-AUG-2023,"145,241.01",Adults Care and Health and Strategic Commissioning,S6121,Learning & Disability Support - Adults (18-64),
AUTISM TOGETHER,134942,21-AUG-2023,"3,763.20",Adults Care and Health and Strategic Commissioning,S6121,Learning & Disability Support - Adults (18-64),
AUTISM TOGETHER,134246,17-AUG-2023,"29,424.08",Adults Care and Health and Strategic Commissioning,S6121,Learning & Disability Support - Adults (18-64),
AUTISM TOGETHER,134246,17-AUG-2023,"1,066.80",Adults Care and Health and Strategic Commissioning,S6121,Learning & Disability Support - Older People (65+),
AUTISM TOGETHER,135468,23-AUG-2023,"3,855.61",Adults Care and Health and Strategic Commissioning,S6121,Learning & Disability Support - Older People (65+),
AUTISM TOGETHER,134246,17-AUG-2023,"2,426.64",Adults Care and Health and Strategic Commissioning,S6121,Social Care Activities,
AUTISM TOGETHER,130623,02-AUG-2023,"5,064.00",Adults Care and Health and Strategic Commissioning,S6131,Learning & Disability Support - Adults (18-64),
AUTISM TOGETHER,137141,30-AUG-2023,"5,064.00",Adults Care and Health and Strategic Commissioning,S6131,Learning & Disability Support - Adults (18-64),
AUTISM TOGETHER,135468,23-AUG-2023,"8,978.16",Adults Care and Health and Strategic Commissioning,S6131,Learning & Disability Support - Adults (18-64),
AUTISM TOGETHER,134942,21-AUG-2023,"1,097.60",Adults Care and Health and Strategic Commissioning,S6131,Learning & Disability Support - Adults (18-64),
AUTISM TOGETHER,134246,17-AUG-2023,"11,379.20",Adults Care and Health and Strategic Commissioning,S6131,Learning & Disability Support - Adults (18-64),
AUTISM TOGETHER,135468,23-AUG-2023,"2,123.51",Adults Care and Health and Strategic Commissioning,S6131,Mental Health Support - Adults (18-64),
AUTISM TOGETHER,134246,17-AUG-2023,"1,422.40",Adults Care and Health and Strategic Commissioning,S6131,Social Care Activities,
AUTISM TOGETHER,134246,17-AUG-2023,"13,840.96",Adults Care and Health and Strategic Commissioning,S6132,Learning & Disability Support - Adults (18-64),
AUTISM TOGETHER,134246,17-AUG-2023,"4,853.28",Adults Care and Health and Strategic Commissioning,S6132,Mental Health Support - Adults (18-64),
AUTISM TOGETHER,134246,17-AUG-2023,"1,422.40",Adults Care and Health and Strategic Commissioning,S6132,Social Care Activities,
AUTISM TOGETHER,135468,23-AUG-2023,"12,513.76",Adults Care and Health and Strategic Commissioning,S6132,Social Care Activities,
AUTISM TOGETHER,134246,17-AUG-2023,"7,112.00",Adults Care and Health and Strategic Commissioning,S6141,Learning & Disability Support - Adults (18-64),
AUTISM TOGETHER,135468,23-AUG-2023,"7,283.64",Adults Care and Health and Strategic Commissioning,S6141,Learning & Disability Support - Adults (18-64),
AUTISM TOGETHER,134246,17-AUG-2023,"3,200.40",Adults Care and Health and Strategic Commissioning,S6142,Learning & Disability Support - Adults (18-64),
AUTISM TOGETHER,135468,23-AUG-2023,"10,876.63",Adults Care and Health and Strategic Commissioning,S6142,Learning & Disability Support - Adults (18-64),
AUTISM TOGETHER,135468,23-AUG-2023,"3,150.01",Adults Care and Health and Strategic Commissioning,S6142,Mental Health Support - Adults (18-64),
AUTISM TOGETHER,135468,23-AUG-2023,"6,054.47",Adults Care and Health and Strategic Commissioning,S6161,Mental Health Support - Adults (18-64),
AUTISM TOGETHER,134246,17-AUG-2023,"2,489.20",Adults Care and Health and Strategic Commissioning,S6161,Mental Health Support - Adults (18-64),
AUTISM TOGETHER,135468,23-AUG-2023,"13,740.33",Adults Care and Health and Strategic Commissioning,S6162,Mental Health Support - Adults (18-64),
AUTISM TOGETHER,134246,17-AUG-2023,"2,489.20",Adults Care and Health and Strategic Commissioning,S6162,Mental Health Support - Adults (18-64),
AUTISM TOGETHER,135468,23-AUG-2023,"5,280.82",Adults Care and Health and Strategic Commissioning,S6165,Mental Health Support - Adults (18-64),
AUTISM TOGETHER,132935,11-AUG-2023,"2,083.34","Children, Families & Education",E9675,Hired or Contracted services,
AUTISM TOGETHER,136714,29-AUG-2023,"2,083.34","Children, Families & Education",E9675,Hired or Contracted services,
AUTISM TOGETHER,132982,11-AUG-2023,"2,083.34","Children, Families & Education",E9675,Hired or Contracted services,
AUTISM TOGETHER,132982,11-AUG-2023,"2,083.34","Children, Families & Education",E9675,Hired or Contracted services,
AVALON,136983,30-AUG-2023,"13,828.56",Adults Care and Health and Strategic Commissioning,S6121,Learning & Disability Support - Adults (18-64),
AVALON,130658,02-AUG-2023,"13,828.56",Adults Care and Health and Strategic Commissioning,S6121,Learning & Disability Support - Adults (18-64),
AVALON SCH EDUCATIONAL TRUST,136715,29-AUG-2023,"4,971.23","Children, Families & Education",E1170,Services,
AWC TRAINING LIMITED,135105,22-AUG-2023,"2,151.45","Children, Families & Education",E9965,Grants & Subscriptions,
AXIELL LIMITED,134816,18-AUG-2023,"2,127.24",Resources,F1260,Communications & Computing,
AYNSLEY NURSING HOME,136984,30-AUG-2023,"2,548.00",Adults Care and Health and Strategic Commissioning,S6121,Learning & Disability Support - Older People (65+),
AYNSLEY NURSING HOME,130659,02-AUG-2023,"2,548.00",Adults Care and Health and Strategic Commissioning,S6121,Learning & Disability Support - Older People (65+),
AYNSLEY NURSING HOME,130659,02-AUG-2023,"2,548.00",Adults Care and Health and Strategic Commissioning,S6141,Physical Support - Older People (65+),
AYNSLEY NURSING HOME,136984,30-AUG-2023,"2,548.00",Adults Care and Health and Strategic Commissioning,S6141,Physical Support - Older People (65+),
AYNSLEY NURSING HOME,130659,02-AUG-2023,"2,548.00",Adults Care and Health and Strategic Commissioning,S6141,Sensory Support - Older People (65+),
AYNSLEY NURSING HOME,136984,30-AUG-2023,"2,548.00",Adults Care and Health and Strategic Commissioning,S6141,Sensory Support - Older People (65+),
AYNSLEY NURSING HOME,136984,30-AUG-2023,"2,548.00",Adults Care and Health and Strategic Commissioning,S6142,Memory & Cognition Support - Older People (65+),
AYNSLEY NURSING HOME,130659,02-AUG-2023,"2,548.00",Adults Care and Health and Strategic Commissioning,S6142,Memory & Cognition Support - Older People (65+),
AYNSLEY NURSING HOME,130659,02-AUG-2023,"2,548.00",Adults Care and Health and Strategic Commissioning,S6142,Memory & Cognition Support - Older People (65+),
AYNSLEY NURSING HOME,136984,30-AUG-2023,"2,548.00",Adults Care and Health and Strategic Commissioning,S6142,Memory & Cognition Support - Older People (65+),
AYNSLEY NURSING HOME,136984,30-AUG-2023,"2,548.00",Adults Care and Health and Strategic Commissioning,S6142,Mental Health Support - Older People (65+),
AYNSLEY NURSING HOME,130659,02-AUG-2023,"2,548.00",Adults Care and Health and Strategic Commissioning,S6142,Mental Health Support - Older People (65+),
AYNSLEY NURSING HOME,136984,30-AUG-2023,"2,548.00",Adults Care and Health and Strategic Commissioning,S6142,Mental Health Support - Older People (65+),
AYNSLEY NURSING HOME,130659,02-AUG-2023,"2,548.00",Adults Care and Health and Strategic Commissioning,S6142,Mental Health Support - Older People (65+),
AYNSLEY NURSING HOME,136984,30-AUG-2023,"2,548.00",Adults Care and Health and Strategic Commissioning,S6142,Physical Support - Adults (18-64),
AYNSLEY NURSING HOME,130659,02-AUG-2023,"2,548.00",Adults Care and Health and Strategic Commissioning,S6142,Physical Support - Adults (18-64),
AYNSLEY NURSING HOME,130659,02-AUG-2023,"2,548.00",Adults Care and Health and Strategic Commissioning,S6142,Physical Support - Older People (65+),
AYNSLEY NURSING HOME,136984,30-AUG-2023,"2,548.00",Adults Care and Health and Strategic Commissioning,S6142,Physical Support - Older People (65+),
AYNSLEY NURSING HOME,136984,30-AUG-2023,"1,456.00",Adults Care and Health and Strategic Commissioning,S6142,Physical Support - Older People (65+),
AYNSLEY NURSING HOME,130659,02-AUG-2023,"2,548.00",Adults Care and Health and Strategic Commissioning,S6142,Physical Support - Older People (65+),
AYNSLEY NURSING HOME,136984,30-AUG-2023,"2,548.00",Adults Care and Health and Strategic Commissioning,S6142,Physical Support - Older People (65+),
AYNSLEY NURSING HOME,136984,30-AUG-2023,"2,548.00",Adults Care and Health and Strategic Commissioning,S6142,Physical Support - Older People (65+),
AYNSLEY NURSING HOME,130659,02-AUG-2023,"2,548.00",Adults Care and Health and Strategic Commissioning,S6142,Physical Support - Older People (65+),
AYNSLEY NURSING HOME,130659,02-AUG-2023,"1,001.00",Adults Care and Health and Strategic Commissioning,S6142,Physical Support - Older People (65+),
AYNSLEY NURSING HOME,130659,02-AUG-2023,"2,840.00",Adults Care and Health and Strategic Commissioning,S6142,Physical Support - Older People (65+),
AYNSLEY NURSING HOME,136984,30-AUG-2023,"2,548.00",Adults Care and Health and Strategic Commissioning,S6142,Physical Support - Older People (65+),
AYNSLEY NURSING HOME,136984,30-AUG-2023,"2,840.00",Adults Care and Health and Strategic Commissioning,S6142,Physical Support - Older People (65+),
AYNSLEY NURSING HOME,130659,02-AUG-2023,"2,548.00",Adults Care and Health and Strategic Commissioning,S6142,Physical Support - Older People (65+),
AYNSLEY NURSING HOME,136984,30-AUG-2023,"2,548.00",Adults Care and Health and Strategic Commissioning,S6142,Physical Support - Older People (65+),
AYNSLEY NURSING HOME,136984,30-AUG-2023,"2,548.00",Adults Care and Health and Strategic Commissioning,S6142,Physical Support - Older People (65+),
AYNSLEY NURSING HOME,130659,02-AUG-2023,"2,548.00",Adults Care and Health and Strategic Commissioning,S6142,Physical Support - Older People (65+),
AYNSLEY NURSING HOME,130659,02-AUG-2023,"1,729.00",Adults Care and Health and Strategic Commissioning,S6142,Physical Support - Older People (65+),
AYNSLEY NURSING HOME,130659,02-AUG-2023,"2,548.00",Adults Care and Health and Strategic Commissioning,S6142,Physical Support - Older People (65+),
AYNSLEY NURSING HOME,136984,30-AUG-2023,"2,548.00",Adults Care and Health and Strategic Commissioning,S6142,Physical Support - Older People (65+),
AYNSLEY NURSING HOME,136984,30-AUG-2023,"2,548.00",Adults Care and Health and Strategic Commissioning,S6167,Mental Health Support - Older People (65+),
AYNSLEY NURSING HOME,136984,30-AUG-2023,"2,840.00",Adults Care and Health and Strategic Commissioning,S6167,Mental Health Support - Older People (65+),
AYNSLEY NURSING HOME,130659,02-AUG-2023,"2,840.00",Adults Care and Health and Strategic Commissioning,S6167,Mental Health Support - Older People (65+),
AYNSLEY NURSING HOME,130659,02-AUG-2023,"2,548.00",Adults Care and Health and Strategic Commissioning,S6167,Mental Health Support - Older People (65+),
B L ROCK FERRY LIMITED T/A THE BLACK LIONS,137845,31-AUG-2023,"6,137.25",Regeneration & Place,H6080,Expenses,
B L ROCK FERRY LIMITED T/A THE BLACK LIONS,137845,31-AUG-2023,"5,649.00",Regeneration & Place,H6080,Expenses,
B L ROCK FERRY LIMITED T/A THE BLACK LIONS,133287,14-AUG-2023,"6,504.75",Regeneration & Place,H6080,Expenses,
B L ROCK FERRY LIMITED T/A THE BLACK LIONS,133287,14-AUG-2023,"6,126.75",Regeneration & Place,H6080,Expenses,
B L ROCK FERRY LIMITED T/A THE BLACK LIONS,133287,14-AUG-2023,"6,552.00",Regeneration & Place,H6080,Expenses,
B L ROCK FERRY LIMITED T/A THE BLACK LIONS,137845,31-AUG-2023,"5,958.75",Regeneration & Place,H6080,Expenses,
B L ROCK FERRY LIMITED T/A THE BLACK LIONS,133287,14-AUG-2023,"6,562.50",Regeneration & Place,H6080,Expenses,
BAGNALL & MORRIS WASTE SERVICES LTD,135106,22-AUG-2023,"1,975.00",Regeneration & Place,D3310,Cleaning & Domestic Supplies,
BAGNALL & MORRIS WASTE SERVICES LTD,131297,03-AUG-2023,"1,580.00",Regeneration & Place,D3310,Cleaning & Domestic Supplies,
BAGNALL & MORRIS WASTE SERVICES LTD,134748,18-AUG-2023,"2,018.70",Regeneration & Place,D4040,Cleaning & Domestic Supplies,
BAMBINI LOVE LIMITED,135107,22-AUG-2023,"1,048.60","Children, Families & Education",E9965,Grants & Subscriptions,
BARCHESTER HEALTHCARE LIMITED,136985,30-AUG-2023,"2,472.00",Adults Care and Health and Strategic Commissioning,S6131,Physical Support - Older People (65+),
BARCHESTER HEALTHCARE LIMITED,130660,02-AUG-2023,"2,472.00",Adults Care and Health and Strategic Commissioning,S6131,Physical Support - Older People (65+),
BARCHESTER HEALTHCARE LIMITED,136985,30-AUG-2023,618.00,Adults Care and Health and Strategic Commissioning,S6131,Physical Support - Older People (65+),
BARCHESTER HEALTHCARE LIMITED,130660,02-AUG-2023,"2,748.00",Adults Care and Health and Strategic Commissioning,S6141,Memory & Cognition Support - Older People (65+),
BARCHESTER HEALTHCARE LIMITED,136985,30-AUG-2023,"2,748.00",Adults Care and Health and Strategic Commissioning,S6141,Memory & Cognition Support - Older People (65+),
BARCHESTER HEALTHCARE LIMITED,130660,02-AUG-2023,"1,500.86",Adults Care and Health and Strategic Commissioning,S6141,Physical Support - Older People (65+),
BARCHESTER HEALTHCARE LIMITED,136985,30-AUG-2023,971.14,Adults Care and Health and Strategic Commissioning,S6141,Physical Support - Older People (65+),
BARCHESTER HEALTHCARE LIMITED,130660,02-AUG-2023,882.86,Adults Care and Health and Strategic Commissioning,S6141,Physical Support - Older People (65+),
BARKER CARE LIMITED,130592,02-AUG-2023,"3,107.56",Adults Care and Health and Strategic Commissioning,S6167,Mental Health Support - Older People (65+),
BARKER CARE LIMITED,136928,30-AUG-2023,"3,107.56",Adults Care and Health and Strategic Commissioning,S6167,Mental Health Support - Older People (65+),
BARNARDO'S,135291,22-AUG-2023,999.00,Adults Care and Health and Strategic Commissioning,E6760,Care Provision,
BARNARDO'S,135291,22-AUG-2023,"2,154.60",Adults Care and Health and Strategic Commissioning,E6760,Care Provision,
BARNARDO'S,135291,22-AUG-2023,"1,007.70",Adults Care and Health and Strategic Commissioning,E6760,Care Provision,
BARNARDO'S,135291,22-AUG-2023,"1,645.45",Adults Care and Health and Strategic Commissioning,E6760,Care Provision,
BARNARDO'S,135291,22-AUG-2023,"4,212.00",Adults Care and Health and Strategic Commissioning,E6760,Care Provision,
BARNARDO'S,135291,22-AUG-2023,991.50,Adults Care and Health and Strategic Commissioning,E6760,Care Provision,
BARNARDO'S,135291,22-AUG-2023,"1,072.10",Adults Care and Health and Strategic Commissioning,E6760,Care Provision,
BARNARDO'S,132508,08-AUG-2023,"3,135.00","Children, Families & Education",E7080,Care Provision,
BARNARDO'S,135291,22-AUG-2023,"3,059.61","Children, Families & Education",E7080,Care Provision,
BARNARDO'S,135291,22-AUG-2023,"3,154.25","Children, Families & Education",E7080,Care Provision,
BARNARDO'S,135291,22-AUG-2023,"4,924.22","Children, Families & Education",E7080,Care Provision,
BARNARDO'S,132508,08-AUG-2023,"3,280.50","Children, Families & Education",E7080,Care Provision,
BARNARDO'S,132508,08-AUG-2023,"2,960.91","Children, Families & Education",E7080,Care Provision,
BARNARDO'S,135291,22-AUG-2023,0.00,"Children, Families & Education",E7080,Care Provision,
BARNARDO'S,132508,08-AUG-2023,"3,551.27","Children, Families & Education",E7080,Care Provision,
BARNARDO'S,132508,08-AUG-2023,"3,052.50","Children, Families & Education",E7080,Care Provision,
BARNARDO'S,132508,08-AUG-2023,"3,297.86","Children, Families & Education",E7080,Care Provision,
BARNARDO'S,135291,22-AUG-2023,"4,765.37","Children, Families & Education",E7080,Care Provision,
BARNARDO'S,135291,22-AUG-2023,"3,669.65","Children, Families & Education",E7080,Care Provision,
BARNARDO'S,135291,22-AUG-2023,"4,924.22","Children, Families & Education",E7080,Care Provision,
BARNARDO'S,135291,22-AUG-2023,"3,407.79","Children, Families & Education",E7080,Care Provision,
BARNARDO'S,132508,08-AUG-2023,"3,551.27","Children, Families & Education",E7080,Care Provision,
BARNARDO'S,135291,22-AUG-2023,"3,669.65","Children, Families & Education",E7080,Care Provision,
BARNSTON BUDDIES LIMITED,136716,29-AUG-2023,"9,452.46","Children, Families & Education",E1170,Services,
Bates Wells,132621,09-AUG-2023,200.00,Balance Sheet,00000,Debtors - Other Entities and Individuals,
Bates Wells,132621,09-AUG-2023,200.00,Balance Sheet,00000,Debtors - Other Entities and Individuals,
Bates Wells,132621,09-AUG-2023,"1,000.00",Capital,C0111,Contractors - Main,
Bates Wells,132621,09-AUG-2023,"1,000.00",Capital,C8080,Contractors - Main,
BEBINGTON PRESCHOOL PLAYGROUP,136718,29-AUG-2023,"5,664.33","Children, Families & Education",E1170,Services,
BECKYS HOME DAY CARE - REBECCA JOHNSON,136719,29-AUG-2023,582.75,"Children, Families & Education",E1170,Services,
BEDSPACE RESOURCE LIMITED,135108,22-AUG-2023,244.88,"Children, Families & Education",E7033,Care Provision,
BEDSPACE RESOURCE LIMITED,135108,22-AUG-2023,"9,931.59","Children, Families & Education",E7080,Care Provision,
BEDSPACE RESOURCE LIMITED,135108,22-AUG-2023,"2,707.16","Children, Families & Education",E7081,Care Provision,
BEE WIRRAL CIC,130128,01-AUG-2023,967.20,"Children, Families & Education",E6150,Hired or Contracted services,
BELONG LIMITED,130490,01-AUG-2023,"3,378.57",Adults Care and Health and Strategic Commissioning,S6141,Physical Support - Older People (65+),
BELONG LIMITED,130490,01-AUG-2023,"2,200.00",Adults Care and Health and Strategic Commissioning,S6141,Physical Support - Older People (65+),
BELOVED HOMECARE LIMITED,135499,24-AUG-2023,65.16,Adults Care and Health and Strategic Commissioning,S6111,Physical Support - Adults (18-64),
BELOVED HOMECARE LIMITED,135499,24-AUG-2023,"1,466.10",Adults Care and Health and Strategic Commissioning,S6111,Physical Support - Older People (65+),
BELOVED HOMECARE LIMITED,134749,18-AUG-2023,"1,509.54",Adults Care and Health and Strategic Commissioning,S6111,Physical Support - Older People (65+),
BELOVED HOMECARE LIMITED,135499,24-AUG-2023,162.90,Adults Care and Health and Strategic Commissioning,S6131,Physical Support - Adults (18-64),
BELOVED HOMECARE LIMITED,135499,24-AUG-2023,"2,964.78",Adults Care and Health and Strategic Commissioning,S6131,Physical Support - Older People (65+),
BELOVED HOMECARE LIMITED,134749,18-AUG-2023,"1,650.72",Adults Care and Health and Strategic Commissioning,S6131,Physical Support - Older People (65+),
BELOVED HOMECARE LIMITED,135499,24-AUG-2023,456.12,Adults Care and Health and Strategic Commissioning,S6141,Physical Support - Adults (18-64),
BELOVED HOMECARE LIMITED,135499,24-AUG-2023,"1,476.96",Adults Care and Health and Strategic Commissioning,S6141,Physical Support - Older People (65+),
BELOVED HOMECARE LIMITED,134749,18-AUG-2023,"1,216.32",Adults Care and Health and Strategic Commissioning,S6141,Physical Support - Older People (65+),
BELOVED HOMECARE LIMITED,135499,24-AUG-2023,499.56,Adults Care and Health and Strategic Commissioning,S6142,Memory & Cognition Support - Older People (65+),
BELOVED HOMECARE LIMITED,134749,18-AUG-2023,771.06,Adults Care and Health and Strategic Commissioning,S6142,Memory & Cognition Support - Older People (65+),
BELOVED HOMECARE LIMITED,134749,18-AUG-2023,"6,304.23",Adults Care and Health and Strategic Commissioning,S6142,Physical Support - Older People (65+),
BELOVED HOMECARE LIMITED,135499,24-AUG-2023,"6,374.82",Adults Care and Health and Strategic Commissioning,S6142,Physical Support - Older People (65+),
BELOVED HOMECARE LIMITED,134749,18-AUG-2023,43.44,Adults Care and Health and Strategic Commissioning,S6142,Sensory Support - Older People (65+),
BELOVED HOMECARE LIMITED,135499,24-AUG-2023,912.24,Adults Care and Health and Strategic Commissioning,S6162,Physical Support - Older People (65+),
