Payments for Publishing for Invoices paid between 01-OCT-2023 and 31-OCT-2023,,,,,,,
Supplier Name,Transaction Number,Paid Date,Paid Amount,Department ,Cost Centre,Description,Irrecoverable VAT
51 WELLINGTON ROAD RES HOME,151961,25-OCT-2023,"2,548.00",Adults Care and Health and Strategic Commissioning,S6121,Learning & Disability Support - Adults (18-64),
51 WELLINGTON ROAD RES HOME,151961,25-OCT-2023,"2,548.00",Adults Care and Health and Strategic Commissioning,S6141,Learning & Disability Support - Adults (18-64),
51 WELLINGTON ROAD RES HOME,151961,25-OCT-2023,"2,548.00",Adults Care and Health and Strategic Commissioning,S6141,Learning & Disability Support - Adults (18-64),
51 WELLINGTON ROAD RES HOME,151961,25-OCT-2023,"2,548.00",Adults Care and Health and Strategic Commissioning,S6142,Learning & Disability Support - Adults (18-64),
51 WELLINGTON ROAD RES HOME,151961,25-OCT-2023,"2,548.00",Adults Care and Health and Strategic Commissioning,S6142,Learning & Disability Support - Adults (18-64),
51 WELLINGTON ROAD RES HOME,151961,25-OCT-2023,"2,548.00",Adults Care and Health and Strategic Commissioning,S6142,Mental Health Support - Older People (65+),
A TEAM WIRRAL LIMITED,147560,11-OCT-2023,"1,423.20","Children, Families & Education",E5731,School Transport - College,
A TEAM WIRRAL LIMITED,149978,18-OCT-2023,"1,423.20","Children, Families & Education",E5731,School Transport - College,
A TEAM WIRRAL LIMITED,151201,24-OCT-2023,"1,423.20","Children, Families & Education",E5731,School Transport - College,
A TEAM WIRRAL LIMITED,146158,04-OCT-2023,"1,423.20","Children, Families & Education",E5731,School Transport - College,
A TEAM WIRRAL LIMITED,146158,04-OCT-2023,865.25,"Children, Families & Education",E5731,School Transport - Primary,
A TEAM WIRRAL LIMITED,149978,18-OCT-2023,865.25,"Children, Families & Education",E5731,School Transport - Primary,
A TEAM WIRRAL LIMITED,146158,04-OCT-2023,"3,199.30","Children, Families & Education",E5731,School Transport - Primary,
A TEAM WIRRAL LIMITED,147560,11-OCT-2023,"3,199.30","Children, Families & Education",E5731,School Transport - Primary,
A TEAM WIRRAL LIMITED,151201,24-OCT-2023,865.25,"Children, Families & Education",E5731,School Transport - Primary,
A TEAM WIRRAL LIMITED,147560,11-OCT-2023,778.44,"Children, Families & Education",E5731,School Transport - Primary,
A TEAM WIRRAL LIMITED,151201,24-OCT-2023,"3,134.30","Children, Families & Education",E5731,School Transport - Primary,
A TEAM WIRRAL LIMITED,149978,18-OCT-2023,"3,199.30","Children, Families & Education",E5731,School Transport - Primary,
A TEAM WIRRAL LIMITED,151201,24-OCT-2023,"3,357.19","Children, Families & Education",E5731,School Transport - Secondary,
A TEAM WIRRAL LIMITED,147560,11-OCT-2023,"3,514.58","Children, Families & Education",E5731,School Transport - Secondary,
A TEAM WIRRAL LIMITED,146158,04-OCT-2023,"3,096.38","Children, Families & Education",E5731,School Transport - Secondary,
A TEAM WIRRAL LIMITED,149978,18-OCT-2023,"3,486.68","Children, Families & Education",E5731,School Transport - Secondary,
A TEAM WIRRAL LIMITED,146158,04-OCT-2023,464.95,"Children, Families & Education",E5731,School Transport - Secondary,
A TEAM WIRRAL LIMITED,147560,11-OCT-2023,"13,259.26","Children, Families & Education",E5731,School Transport - Special,
A TEAM WIRRAL LIMITED,151201,24-OCT-2023,"12,036.50","Children, Families & Education",E5731,School Transport - Special,
A TEAM WIRRAL LIMITED,146158,04-OCT-2023,"1,834.50","Children, Families & Education",E5731,School Transport - Special,
A TEAM WIRRAL LIMITED,146158,04-OCT-2023,"12,889.78","Children, Families & Education",E5731,School Transport - Special,
A TEAM WIRRAL LIMITED,149978,18-OCT-2023,"3,376.25","Children, Families & Education",E5731,School Transport - Special,
A TEAM WIRRAL LIMITED,149978,18-OCT-2023,"12,291.75","Children, Families & Education",E5731,School Transport - Special,
A TEAM WIRRAL LIMITED,147560,11-OCT-2023,"1,520.04","Children, Families & Education",E5731,School Transport - Special,
A TEAM WIRRAL LIMITED,151201,24-OCT-2023,"2,599.05","Children, Families & Education",E5731,School Transport - Special,
A TEAM WIRRAL LIMITED,149978,18-OCT-2023,"1,196.78",Neighbourhood Services,S5600,Care Provision,
A TEAM WIRRAL LIMITED,147560,11-OCT-2023,716.78,Neighbourhood Services,S5600,Care Provision,
A TEAM WIRRAL LIMITED,146158,04-OCT-2023,716.78,Neighbourhood Services,S5600,Care Provision,
A TEAM WIRRAL LIMITED,151201,24-OCT-2023,716.78,Neighbourhood Services,S5600,Care Provision,
A1 Training,150506,20-OCT-2023,"2,205.00",Adults Care and Health and Strategic Commissioning,S5110,APT&C,
A1A TRAVEL,151202,24-OCT-2023,"19,207.00","Children, Families & Education",E5731,School Transport - Special,
A1A TRAVEL,151662,25-OCT-2023,"1,713.69","Children, Families & Education",E5731,School Transport - Special,
A1A TRAVEL,151662,25-OCT-2023,"1,635.67","Children, Families & Education",E5731,School Transport - Special,
A1A TRAVEL,149979,18-OCT-2023,"22,165.60","Children, Families & Education",E5731,School Transport - Special,
A1A TRAVEL,151662,25-OCT-2023,"1,778.14","Children, Families & Education",E5731,School Transport - Special,
A1A TRAVEL,150674,23-OCT-2023,"2,072.46","Children, Families & Education",E5731,School Transport - Special,
A1A TRAVEL,147932,12-OCT-2023,"2,578.05","Children, Families & Education",E5731,School Transport - Special,
A1A TRAVEL,150674,23-OCT-2023,"1,300.15","Children, Families & Education",E5731,School Transport - Special,
A1A TRAVEL,147932,12-OCT-2023,"22,345.00","Children, Families & Education",E5731,School Transport - Special,
A1A TRAVEL,146436,05-OCT-2023,"22,345.00","Children, Families & Education",E5731,School Transport - Special,
A1A TRAVEL,150674,23-OCT-2023,"1,688.10","Children, Families & Education",E5731,School Transport - Special,
A2B TRAVEL (UK) LIMITED,150135,19-OCT-2023,"3,280.00","Children, Families & Education",E5731,School Transport - Special,
A2B TRAVEL (UK) LIMITED,151663,25-OCT-2023,"3,280.00","Children, Families & Education",E5731,School Transport - Special,
A2B TRAVEL (UK) LIMITED,147934,12-OCT-2023,"3,280.00","Children, Families & Education",E5731,School Transport - Special,
A2B TRAVEL (UK) LIMITED,146755,06-OCT-2023,"3,280.00","Children, Families & Education",E5731,School Transport - Special,
A2B TRAVEL (UK) LIMITED,152728,26-OCT-2023,552.75,"Children, Families & Education",E5731,School Transport - Special,
AA MEDIA LIMITED T/A VISIT ENGLAND ASSESSMENT SERVICES,149809,17-OCT-2023,"1,034.44",Neighbourhood Services,L4820,Grants & Subscriptions,
ABBEY SCHOOL,145781,02-OCT-2023,"7,398.08","Children, Families & Education",E5870,Specialist Contracts & Fees,
ABBEY SCHOOL,145781,02-OCT-2023,"7,398.08","Children, Families & Education",E5870,Specialist Contracts & Fees,
ABBEY SCHOOL,145781,02-OCT-2023,"7,398.08","Children, Families & Education",E5870,Specialist Contracts & Fees,
ABBEY SCHOOL,152837,27-OCT-2023,"7,398.08","Children, Families & Education",E5870,Specialist Contracts & Fees,
ABBEY SCHOOL,152837,27-OCT-2023,"7,398.08","Children, Families & Education",E5870,Specialist Contracts & Fees,
ABBEY SCHOOL,152837,27-OCT-2023,"7,398.08","Children, Families & Education",E5870,Specialist Contracts & Fees,
ABBEYFIELD HOYLAKE & WEST KIRBY,151962,25-OCT-2023,"2,472.00",Adults Care and Health and Strategic Commissioning,S6141,Physical Support - Older People (65+),
ABBEYFIELD HOYLAKE & WEST KIRBY,151962,25-OCT-2023,"2,472.00",Adults Care and Health and Strategic Commissioning,S6141,Physical Support - Older People (65+),
ABBEYFIELD HOYLAKE & WEST KIRBY,151962,25-OCT-2023,"1,917.92",Adults Care and Health and Strategic Commissioning,S6141,Physical Support - Older People (65+),
ABBEYFIELD HOYLAKE & WEST KIRBY,151962,25-OCT-2023,"2,472.00",Adults Care and Health and Strategic Commissioning,S6141,Physical Support - Older People (65+),
ABBEYFIELD HOYLAKE & WEST KIRBY,151962,25-OCT-2023,"2,472.00",Adults Care and Health and Strategic Commissioning,S6141,Physical Support - Older People (65+),
