Internal Reference,Statement Period – End Date,Transaction – Transaction Date,Transaction – Transaction Type,Transaction – Billing Amount,Supplier
JB,27/12/2023,28/11/2023,Purchase,100,Tenpin Ltd - 186
JB,27/12/2023,18/12/2023,Purchase,100,Scottish Power
JB,27/12/2023,30/11/2023,Purchase,100,Voucher Express
JB,27/12/2023,08/12/2023,Purchase,100,Voucher Express
AA,27/12/2023,08/12/2023,Purchase,100,Wm Morrisons Store
AA,27/12/2023,19/12/2023,Purchase,100,Asda Stores Ltd
AA,27/12/2023,09/12/2023,Purchase,100,Premier Inn
JR,27/12/2023,20/12/2023,Purchase,100.58,Cps
JB,27/12/2023,27/11/2023,Purchase,101.5,Flex E Card Ltd
JB,27/12/2023,05/12/2023,Purchase,101.5,Flex E Card Ltd
AA,27/12/2023,13/12/2023,Purchase,101.97,Travelodge Gb0000
JB,27/12/2023,14/12/2023,Purchase,102.99,Travelodge Gb0000
DS,27/12/2023,07/12/2023,Purchase,105,Www.Universalseatbelts
JB,27/12/2023,28/11/2023,Purchase,106.95,The White House Hotel
AA,27/12/2023,08/12/2023,Purchase,107.96,Amznmktplace
JR,27/12/2023,01/12/2023,Purchase,109.24,Facebk Uq6asw3xp2
JB,27/12/2023,20/12/2023,Purchase,109.6,Trainline
AA,27/12/2023,19/12/2023,Purchase,110,Asda Stores 5011
AA,27/12/2023,07/12/2023,Purchase,110.5,Premier Inn
AA,27/12/2023,05/12/2023,Purchase,111.16,Travelodge Gb0000
JR,27/12/2023,28/11/2023,Purchase,111.86,Booker Limited Ecom
JB,27/12/2023,08/12/2023,Purchase,111.89,Gear4music Limited
AA,27/12/2023,13/12/2023,Purchase,112.18,Travelodge Gb0000
JB,27/12/2023,29/11/2023,Purchase,112.5,Amznmktplace
DS,27/12/2023,04/12/2023,Purchase,112.8,Amznmktplace
JB,27/12/2023,21/12/2023,Purchase,113.8,Facebk Qdckfx74q2
JB,27/12/2023,29/11/2023,Purchase,115,One4all
JR,27/12/2023,06/12/2023,Purchase,115.14,Wm Morrisons Store
DS,27/12/2023,27/11/2023,Purchase,115.96,Amznmktplace
DS,27/12/2023,19/12/2023,Purchase,115.96,Amznmktplace
JB,27/12/2023,13/12/2023,Purchase,116,Www.Argos.Co.Uk
AA,27/12/2023,08/12/2023,Purchase,116.01,Allcachedup
JB,27/12/2023,08/12/2023,Purchase,116.98,Pmt Online
AA,27/12/2023,07/12/2023,Purchase,118.15,Premier Inn
JR,27/12/2023,13/12/2023,Purchase,120,Shropshire Removals Telfo
JR,27/12/2023,29/11/2023,Purchase,123.99,Sp Personalprojector
JB,27/12/2023,21/12/2023,Purchase,130,One Stop 2724
JB,27/12/2023,20/12/2023,Purchase,130,Amazon.Co.Uk*sp6036mm5
JB,27/12/2023,12/12/2023,Purchase,138,Www.Theplacetelford.Co
JB,27/12/2023,27/11/2023,Purchase,139,Sopra Steria Limited Ukvc
AA,27/12/2023,05/12/2023,Purchase,139,Bkg*hotel At Booking.C
JB,27/12/2023,01/12/2023,Purchase,142.07,Travelodge Gb0000
JB,27/12/2023,30/11/2023,Purchase,144,Green Skip Hire
AA,27/12/2023,29/11/2023,Purchase,144,Buckatree Hall Hotel
JR,27/12/2023,13/12/2023,Purchase,144,Shropshire Removals Telfo
JB,27/12/2023,05/12/2023,Purchase,145,Jd Sports Fashion Plc
AA,27/12/2023,15/12/2023,Purchase,145.82,Travelodge Gb0000
DS,27/12/2023,18/12/2023,Purchase,147.5,Wickes Telford
DS,27/12/2023,01/12/2023,Purchase,147.72,Facebk Wxmm7tfx82
JR,27/12/2023,30/11/2023,Purchase,148,Amznmktplace
JR,27/12/2023,23/12/2023,Purchase,148.42,Booker Ltd - 38598984
AA,27/12/2023,05/12/2023,Purchase,149.75,Paypal *workuniform
AA,27/12/2023,19/12/2023,Purchase,150,Climbing Hut Shrews
JR,27/12/2023,15/12/2023,Purchase,150,Royal Mail Online Shop
AA,27/12/2023,01/12/2023,Purchase,152.96,Travelodge Gb0000
AA,27/12/2023,01/12/2023,Purchase,152.96,Travelodge Gb0000
JR,27/12/2023,18/12/2023,Purchase,154.8,Telford Timber Supplies
AA,27/12/2023,20/12/2023,Purchase,155,Aces.Org.Uk
JR,27/12/2023,14/12/2023,Purchase,155,The Law Society
AA,27/12/2023,08/12/2023,Purchase,156.02,Travelodge Gb0000
JR,27/12/2023,29/11/2023,Purchase,157,Paypal *argosdirect
AA,27/12/2023,06/12/2023,Purchase,158.07,Travelodge Gb0000
JR,27/12/2023,07/12/2023,Purchase,158.86,Cartridge Save
JB,27/12/2023,28/11/2023,Purchase,159,Tvlicensing.Co.Uk
AA,27/12/2023,06/12/2023,Purchase,159,Bkg*hotel At Booking.C
JB,27/12/2023,18/12/2023,Purchase,160,Scottish Power
AA,27/12/2023,22/12/2023,Purchase,161,Rics Subs UK Cybs
AA,27/12/2023,15/12/2023,Purchase,161.12,Travelodge Gb0000
JR,27/12/2023,01/12/2023,Purchase,162.69,Trainline
JR,27/12/2023,18/12/2023,Purchase,162.69,Trainline
DS,27/12/2023,16/12/2023,Credit Voucher,162.9,Trainline
DS,27/12/2023,16/12/2023,Credit Voucher,162.9,Trainline
JB,27/12/2023,29/11/2023,Purchase,163.48,Gear4music Limited
JR,27/12/2023,12/12/2023,Purchase,165.47,Booker Limited Ecom
AA,27/12/2023,27/11/2023,Purchase,165.6,Paypal *paypalconfe
AA,27/12/2023,13/12/2023,Purchase,166.23,Travelodge Gb0000
JR,27/12/2023,07/12/2023,Purchase,166.25,Amazon* 204-6347133-54
AA,27/12/2023,12/12/2023,Purchase,167.5,Dvla Vehicle Tax
JB,27/12/2023,08/12/2023,Purchase,168.19,Trainline
JB,27/12/2023,01/12/2023,Purchase,168.5,West Midlands Rail
JB,27/12/2023,29/11/2023,Purchase,169,Amznmktplace
AA,27/12/2023,15/12/2023,Purchase,169.28,Travelodge Gb0000
JB,27/12/2023,01/12/2023,Purchase,171.99,Complete Care Shop
JR,27/12/2023,16/12/2023,Purchase,174,Amazon.Co.Uk*dk78d10v5
JB,27/12/2023,08/12/2023,Purchase,174.39,Trainline
DS,27/12/2023,15/12/2023,Purchase,175.39,Trainline
DS,27/12/2023,15/12/2023,Purchase,175.39,Trainline
DS,27/12/2023,15/12/2023,Purchase,175.39,Trainline
AA,27/12/2023,01/12/2023,Purchase,177.33,Tesco Stores 3290
JR,27/12/2023,28/11/2023,Purchase,179.88,Booker Limited Ecom
JR,27/12/2023,23/12/2023,Purchase,183.73,Booker Ltd - 38598984
JB,27/12/2023,04/12/2023,Purchase,186.2,Trainline
AA,27/12/2023,08/12/2023,Purchase,189.68,Travelodge Gb0000
AA,27/12/2023,08/12/2023,Purchase,190.7,Travelodge Gb0000
JR,27/12/2023,11/12/2023,Purchase,191.34,Lavazza Pro
JR,27/12/2023,19/12/2023,Purchase,191.98,Premier Inn
JR,27/12/2023,05/12/2023,Purchase,192,Booker Limited Ecom
JB,27/12/2023,24/12/2023,Purchase,197,Buckatree Hall Hotel
JB,27/12/2023,05/12/2023,Purchase,199,Www.Argos.Co.Uk
DS,27/12/2023,27/11/2023,Purchase,199,Architects Registn Boa
AA,27/12/2023,01/12/2023,Purchase,199.07,Shop.Swimming.Org
AA,27/12/2023,04/12/2023,Purchase,200.69,Tesco Stores 3290
AA,27/12/2023,01/12/2023,Purchase,200.83,Tesco Stores 3290
AA,27/12/2023,29/11/2023,Purchase,201.02,Sp Britannia Safety Lt
JR,27/12/2023,28/11/2023,Purchase,201.39,Trainline
JB,27/12/2023,07/12/2023,Purchase,202.97,Amznmktplace
AA,27/12/2023,30/11/2023,Purchase,203,Buckatree Hall Hotel
JB,27/12/2023,28/11/2023,Purchase,203.9,Browns Books
JR,27/12/2023,29/11/2023,Purchase,203.95,Paypal *argosdirect
JB,27/12/2023,20/12/2023,Credit Voucher,204.93,Bkg*hotel At Booking.C
AA,27/12/2023,12/12/2023,Purchase,205.2,Tesco Stores 3290
JB,27/12/2023,08/12/2023,Purchase,205.49,Travelodge Gb0000
JB,27/12/2023,02/12/2023,Purchase,206.74,Amznmktplace
AA,27/12/2023,19/12/2023,Purchase,207,Www.Irrv.Org.Uk
JB,27/12/2023,06/12/2023,Purchase,208.85,Sixt Rent Booking
JR,27/12/2023,05/12/2023,Purchase,211.39,Booker Limited Ecom
DS,27/12/2023,19/12/2023,Purchase,211.93,Brewers Telford
DS,27/12/2023,28/11/2023,Purchase,212.59,Trainline
JB,27/12/2023,08/12/2023,Purchase,216,Word360
AA,27/12/2023,15/12/2023,Purchase,218.24,Travelodge Gb0000
JB,27/12/2023,12/12/2023,Purchase,220.47,B&m 416 - Hs Shrewsbury
DS,27/12/2023,15/12/2023,Purchase,221.09,Trainline
DS,27/12/2023,01/12/2023,Purchase,221.39,Trainline
AA,27/12/2023,22/12/2023,Purchase,222,Premier Inn
AA,27/12/2023,04/12/2023,Purchase,222.74,Tesco Stores 3290
AA,27/12/2023,11/12/2023,Purchase,223.16,Adobe Creative Cloud
AA,27/12/2023,24/12/2023,Purchase,223.16,Adobe Systems Software
JR,27/12/2023,05/12/2023,Purchase,223.62,Booker Ltd - 38598984
AA,27/12/2023,01/12/2023,Purchase,226.4,Travelodge Gb0000
AA,27/12/2023,08/12/2023,Purchase,227.8,Premier Inn
AA,27/12/2023,18/12/2023,Purchase,234,The Chartered Institut
JR,27/12/2023,22/12/2023,Purchase,235.94,Booker Ltd - 38529434
DS,27/12/2023,08/12/2023,Purchase,238.8,Www.Local.Gov.Uk
JR,27/12/2023,28/11/2023,Purchase,240.77,Booker Limited Ecom
JR,27/12/2023,10/12/2023,Purchase,242.5,Amznmktplace
JR,27/12/2023,07/12/2023,Purchase,247.5,Royal Mail Online Shop
AA,27/12/2023,06/12/2023,Purchase,257.92,Austengroup
JB,27/12/2023,29/11/2023,Purchase,258.3,Cartwright Waste Dispo
JB,27/12/2023,07/12/2023,Purchase,258.3,Cartwright Waste Dispo
JB,27/12/2023,19/12/2023,Purchase,258.3,Cartwright Waste Dispo
AA,27/12/2023,22/12/2023,Credit Voucher,258.3,Cartwright Waste Dispo
JB,27/12/2023,08/12/2023,Purchase,260,Www.Wilsonpayments.Co.Uk
JB,27/12/2023,29/11/2023,Purchase,260,My.Edfenergy.Com
JB,27/12/2023,07/12/2023,Purchase,260,Utilita Energy Limited
AA,27/12/2023,08/12/2023,Purchase,262.1,Travelodge Gb0000
AA,27/12/2023,07/12/2023,Purchase,264,Rtpi
JB,27/12/2023,06/12/2023,Purchase,266.95,Www.Argos.Co.Uk
AA,27/12/2023,01/12/2023,Purchase,267.2,Travelodge Gb0000
AA,27/12/2023,28/11/2023,Purchase,276.38,Travelodge Gb0000
AA,27/12/2023,01/12/2023,Purchase,277.4,Travelodge Gb0000
DS,27/12/2023,30/11/2023,Purchase,278.88,Locsafe Security Syste
JB,27/12/2023,06/12/2023,Purchase,280,Amznmktplace
AA,27/12/2023,08/12/2023,Purchase,283.05,Premier Inn
JR,27/12/2023,28/11/2023,Purchase,288,Shropshire Removals Telfo
AA,27/12/2023,30/11/2023,Purchase,299.2,Bkg*hotel At Booking.C
JB,27/12/2023,30/11/2023,Purchase,299.95,Www.Argos.Co.Uk
JB,27/12/2023,11/12/2023,Purchase,300.98,Amznmktplace
JR,27/12/2023,13/12/2023,Purchase,301.55,Amznmktplace
JR,27/12/2023,12/12/2023,Purchase,302.36,Booker Limited Ecom
JB,27/12/2023,29/11/2023,Purchase,308.99,Bensonforbedsstok
DS,27/12/2023,01/12/2023,Purchase,312,Cruse
AA,27/12/2023,30/11/2023,Purchase,315.14,Travelodge Gb0000
AA,27/12/2023,22/12/2023,Purchase,322,Www.Ciob.Org.Uk
DS,27/12/2023,19/12/2023,Purchase,324,Edmundson Electrical- 044
JR,27/12/2023,19/12/2023,Purchase,328.7,Booker Limited Ecom
JR,27/12/2023,17/12/2023,Purchase,332.94,Lavazza Pro
JB,27/12/2023,05/12/2023,Purchase,338,Amznmktplace
JB,27/12/2023,06/12/2023,Purchase,342.95,Www.Argos.Co.Uk
AA,27/12/2023,06/12/2023,Purchase,346.5,Nspcc
DS,27/12/2023,05/12/2023,Purchase,349,Cima
DS,27/12/2023,21/12/2023,Purchase,354,Institute Of Fundraising
AA,27/12/2023,02/12/2023,Purchase,360,Tesco Stores 3290
JR,27/12/2023,20/12/2023,Purchase,360,Shropshire Removals Telfo
JR,27/12/2023,01/12/2023,Purchase,364.57,Amznmktplace
JB,27/12/2023,15/12/2023,Purchase,375,Www.1508stays.Co.Uk
AA,27/12/2023,01/12/2023,Purchase,393.55,Premier Inn
AA,27/12/2023,22/12/2023,Purchase,396.66,Travelodge Gb0000
JB,27/12/2023,30/11/2023,Purchase,399,Amznmktplace
AA,27/12/2023,29/11/2023,Purchase,400,Birds Of Dereham
AA,27/12/2023,30/11/2023,Purchase,401,The White House Hotel
AA,27/12/2023,30/11/2023,Purchase,401,The White House Hotel
AA,27/12/2023,30/11/2023,Purchase,401,The White House Hotel
AA,27/12/2023,22/12/2023,Purchase,402,Premier Inn
JB,27/12/2023,01/12/2023,Purchase,404.25,High Street Vouchers
JR,27/12/2023,09/12/2023,Purchase,409.41,Amznmktplace
AA,27/12/2023,29/11/2023,Purchase,410,Birds Of Dereham
JB,27/12/2023,19/12/2023,Purchase,425.06,Amznmktplace
