Internal Reference,Statement Period – End Date,Transaction – Transaction Date,Transaction – Transaction Type,Transaction – Billing Amount,Supplier
JB,26/09/2023,08/09/2023,Purchase,100,Voucher Express
AA,26/09/2023,12/09/2023,Purchase,100,Eb *heritage Impact As
AA,26/09/2023,31/08/2023,Purchase,101.55,Tesco Stores 3290
AA,26/09/2023,25/09/2023,Purchase,104.24,Vistaprint
AA,26/09/2023,01/09/2023,Purchase,104.69,Trainline
JR,26/09/2023,19/09/2023,Purchase,105.09,Lavazza Pro
AA,26/09/2023,08/09/2023,Purchase,105.37,Tesco Stores 3290
AA,26/09/2023,31/08/2023,Purchase,105.67,Tesco Stores 3290
JB,26/09/2023,25/09/2023,Purchase,106.59,Amznmktplace
JB,26/09/2023,13/09/2023,Purchase,107,Asda George Com Leeds
JR,26/09/2023,21/09/2023,Purchase,108.05,Trainline
AA,26/09/2023,05/09/2023,Purchase,109.38,Trainline
JR,26/09/2023,08/09/2023,Purchase,109.98,Amznmktplace
JB,26/09/2023,21/09/2023,Purchase,110.09,Trainline
AA,26/09/2023,30/08/2023,Purchase,111.16,Travelodge Gb0000
AA,26/09/2023,31/08/2023,Purchase,111.34,Tesco Stores 3290
AA,26/09/2023,13/09/2023,Purchase,111.38,Tesco Stores 3290
JB,26/09/2023,04/09/2023,Purchase,112.83,Easyjet K61ghs8
AA,26/09/2023,30/08/2023,Purchase,113,Asda Superstore 04236
AA,26/09/2023,31/08/2023,Purchase,113.9,Tesco Stores 3290
AA,26/09/2023,31/08/2023,Purchase,114.44,Tesco Stores 3290
AA,26/09/2023,17/09/2023,Purchase,114.61,Shop.Swimming.Org
AA,26/09/2023,15/09/2023,Purchase,115,Ikea Ltd Shop Online
DS,26/09/2023,29/08/2023,Purchase,115,Dvsa
JR,26/09/2023,31/08/2023,Purchase,116.03,Amznmktplace
JB,26/09/2023,04/09/2023,Purchase,116.24,Back Market
JR,26/09/2023,07/09/2023,Purchase,116.79,Wm Morrisons Store
DS,26/09/2023,20/09/2023,Purchase,117.07,Digital Id
DS,26/09/2023,01/09/2023,Purchase,119.95,Facebk 9ehj2rky82
JR,26/09/2023,08/09/2023,Purchase,119.98,Amznmktplace
JB,26/09/2023,15/09/2023,Purchase,120,Green Skip Hire
JB,26/09/2023,21/09/2023,Purchase,120,Www.Theworks.Co.Uk
DS,26/09/2023,22/07/2023,Purchase,120,Cpdconnect Membership
AA,26/09/2023,12/09/2023,Purchase,122.38,Travelodge Gb0000
AA,26/09/2023,05/09/2023,Purchase,123.4,Travelodge Gb0000
AA,26/09/2023,05/09/2023,Purchase,123.4,Travelodge Gb0000
AA,26/09/2023,05/09/2023,Purchase,123.4,Travelodge Gb0000
JB,26/09/2023,19/09/2023,Purchase,125.4,Ncfe
DS,26/09/2023,06/09/2023,Purchase,126,Shelly S Florist
JB,26/09/2023,14/09/2023,Purchase,126.45,Bookseller* Pc-Tf4 3st
DS,26/09/2023,14/09/2023,Purchase,127.8,Telford Repro
JB,26/09/2023,14/09/2023,Purchase,127.98,B&m 320 - An Telford
JR,26/09/2023,12/09/2023,Purchase,128.68,Booker Limited Ecom
JB,26/09/2023,18/09/2023,Purchase,128.98,Amznmktplace
JR,26/09/2023,15/09/2023,Credit Voucher,129.6,Thriiver Limited
AA,26/09/2023,19/09/2023,Purchase,132.58,Travelodge Gb0000
AA,26/09/2023,19/09/2023,Purchase,132.58,Travelodge Gb0000
DS,26/09/2023,11/09/2023,Purchase,133,Premier Inn
DS,26/09/2023,11/09/2023,Purchase,133,Premier Inn
DS,26/09/2023,11/09/2023,Purchase,133,Premier Inn
AA,26/09/2023,12/09/2023,Purchase,133.59,Travelodge Gb0000
AA,26/09/2023,12/09/2023,Purchase,133.59,Travelodge Gb0000
