Internal Reference,Statement Period – End Date,Transaction – Transaction Date,Transaction – Transaction Type,Transaction – Billing Amount,Supplier
JB,26/07/2023,19/07/2023,Purchase,100,Post Office Counter
JB,26/07/2023,19/07/2023,Purchase,100,Post Office Counter
JB,26/07/2023,20/07/2023,Purchase,100,Www.Theworks.Co.Uk
JB,26/07/2023,29/06/2023,Purchase,100,Voucher Express
JB,26/07/2023,14/07/2023,Purchase,100,Voucher Express
JB,26/07/2023,13/07/2023,Purchase,100,The Suite Exchange
JB,26/07/2023,30/06/2023,Purchase,100,Aldi Stores
JR,26/07/2023,30/06/2023,Purchase,101.95,Www.Argos.Co.Uk
AA,26/07/2023,18/07/2023,Purchase,102.85,Premier Inn
AA,26/07/2023,18/07/2023,Purchase,102.85,Premier Inn
JR,26/07/2023,19/07/2023,Purchase,103,Hadley Lc Swimming Office
JB,26/07/2023,29/06/2023,Purchase,103.33,Easyjet K5nhq3g
JB,26/07/2023,24/07/2023,Purchase,103.6,Days Rental - Shrewsbu
JB,26/07/2023,25/07/2023,Purchase,103.6,Days Rental - Shrewsbu
JB,26/07/2023,25/07/2023,Credit Voucher,103.6,Days Rental - Shrewsbu
AA,26/07/2023,20/07/2023,Purchase,106.93,Www.Screwfix.Com
JR,26/07/2023,17/07/2023,Purchase,106.98,Amznmktplace
JR,26/07/2023,06/07/2023,Purchase,107.46,Booker Ltd - 38529434
JB,26/07/2023,12/07/2023,Purchase,109,Abl Retail Ltd
JB,26/07/2023,05/07/2023,Purchase,109,Expedia Expedia 725996927
DS,26/07/2023,29/06/2023,Purchase,109.26,Travis Perkins
JB,26/07/2023,28/06/2023,Purchase,110,Bkg*hotel At Booking.C
JR,26/07/2023,05/07/2023,Purchase,110,Farmfoods 604
AA,26/07/2023,10/07/2023,Purchase,112.18,Travelodge Gb0000
AA,26/07/2023,05/07/2023,Purchase,113.05,Premier Inn
AA,26/07/2023,11/07/2023,Purchase,113.2,Travelodge Gb0000
JB,26/07/2023,12/07/2023,Purchase,113.81,Amznmktplace
JB,26/07/2023,12/07/2023,Purchase,114,Ofsted Internet
JR,26/07/2023,05/07/2023,Purchase,114.8,Travis Perkins
JR,26/07/2023,01/07/2023,Purchase,115.94,Easylink Uk
AA,26/07/2023,19/07/2023,Purchase,117.28,Travelodge Gb0000
JR,26/07/2023,10/07/2023,Purchase,117.5,Asda Groceries Online
AA,26/07/2023,07/07/2023,Purchase,120,Loqate
DS,26/07/2023,22/07/2023,Purchase,120,Cpdconnect Membership
JB,26/07/2023,19/07/2023,Purchase,123.9,Ncfe
DS,26/07/2023,29/06/2023,Purchase,125.27,Trainline
JB,26/07/2023,14/07/2023,Purchase,125.97,Nike Gbp
JB,26/07/2023,28/06/2023,Purchase,128.95,Www.Argos.Co.Uk
AA,26/07/2023,27/06/2023,Purchase,130.99,Premier Inn
JR,26/07/2023,30/06/2023,Purchase,137.7,Booker Ltd - 38598984
