Internal Reference,Statement Period – End Date,Transaction – Transaction Date,Transaction – Transaction Type,Transaction – Billing Amount,Supplier
AA,26/10/2023,10/10/2023,Purchase,166.23,Travelodge Gb0000
DS,26/10/2023,20/10/2023,Purchase,166.24,Screwfix Dir Ltd
JR,26/10/2023,29/09/2023,Purchase,166.97,Radmore And Tucker Ltd
AA,26/10/2023,19/10/2023,Purchase,167.5,Dvla Vehicle Tax
DS,26/10/2023,28/09/2023,Purchase,167.5,Dvla Vehicle Tax
DS,26/10/2023,28/09/2023,Purchase,167.5,Dvla Vehicle Tax
DS,26/10/2023,13/10/2023,Purchase,167.5,Dvla Vehicle Tax
JR,26/10/2023,12/10/2023,Purchase,168,White And Co Telford
AA,26/10/2023,23/10/2023,Purchase,170,Bkg*hotel At Booking.C
JB,26/10/2023,17/10/2023,Purchase,172,Halfords E.Comm
JR,26/10/2023,27/09/2023,Purchase,172,Buckatree Hall Hotel
AA,26/10/2023,12/10/2023,Purchase,173.4,White Ribbon Uk
JR,26/10/2023,28/09/2023,Purchase,173.99,Amznmktplace
AA,26/10/2023,04/10/2023,Purchase,174.25,Premier Inn
JB,26/10/2023,20/10/2023,Purchase,175,Storage Giant Ltd
AA,26/10/2023,23/10/2023,Purchase,176.82,Fasthosts
JR,26/10/2023,17/10/2023,Purchase,177.23,Booker Limited Ecom
JB,26/10/2023,25/10/2023,Purchase,177.62,Trainline
JB,26/10/2023,25/09/2023,Purchase,178.5,Primark
JB,26/10/2023,18/10/2023,Purchase,179,Currys Online
JR,26/10/2023,06/10/2023,Purchase,179.94,Amznmktplace
JR,26/10/2023,10/10/2023,Purchase,179.99,Pmc Electrics Limi
AA,26/10/2023,09/10/2023,Purchase,180,Www.Argos.Co.Uk
JR,26/10/2023,04/10/2023,Purchase,180,Asda Stores Ltd
AA,26/10/2023,05/10/2023,Purchase,180.42,Holiday Inn Expres
AA,26/10/2023,03/10/2023,Purchase,180.6,Hotelscom7205012331756
JB,26/10/2023,18/10/2023,Purchase,181.35,Allpay *the Wrekin Housin
AA,26/10/2023,29/09/2023,Purchase,181.52,Travelodge Gb0000
JR,26/10/2023,23/10/2023,Purchase,182,Thomson Reuters UK Ltd
AA,26/10/2023,27/09/2023,Purchase,184,Post Office Counter
AA,26/10/2023,08/10/2023,Purchase,184.16,Shop.Swimming.Org
JR,26/10/2023,26/09/2023,Purchase,185.21,Booker Limited Ecom
JR,26/10/2023,03/10/2023,Purchase,187.15,Booker Limited Ecom
JR,26/10/2023,23/10/2023,Purchase,188.46,Travelodge Gb0000
JB,26/10/2023,12/10/2023,Purchase,188.75,Www.Argos.Co.Uk
