Internal Reference,Statement Period – End Date,Transaction – Transaction Date,Transaction – Transaction Type,Transaction – Billing Amount,Supplier
JB,26/03/2024,20/03/2024,Purchase,100,Sainsburys S/mkts
JB,26/03/2024,08/03/2024,Purchase,100,Voucher Express
JB,26/03/2024,22/03/2024,Purchase,100,Voucher Express
DS,26/03/2024,07/03/2024,Purchase,100,Tesco Stores 4798
DS,26/03/2024,20/03/2024,Purchase,100.89,Amazon* 203-6640145-31
JB,26/03/2024,28/02/2024,Purchase,101.92,The Range
DS,26/03/2024,25/03/2024,NDR & Ctax summons court payment,102,Hmcts Staffordshire038
JB,26/03/2024,05/03/2024,Purchase,103,Asda George Com Leeds
AA,26/03/2024,11/03/2024,Purchase,103,Travelodge Gb0000
AA,26/03/2024,07/03/2024,Purchase,104.36,Net World Sports
JR,26/03/2024,01/03/2024,Purchase,104.97,Trainline
DS,26/03/2024,19/03/2024,Purchase,105,Tesco Pfs 3927
JB,26/03/2024,18/03/2024,Purchase,105.08,Www.Argos.Co.Uk
JR,26/03/2024,07/03/2024,Purchase,105.67,Amznmktplace
JB,26/03/2024,28/02/2024,Purchase,106,Wm Morrisons Store
AA,26/03/2024,20/03/2024,Purchase,107.7,Severn Trent Water
JB,26/03/2024,09/02/2024,Purchase,107.88,Twinkl
AA,26/03/2024,05/03/2024,Purchase,108,Premier Inn
AA,26/03/2024,05/03/2024,Purchase,108,Premier Inn
JB,26/03/2024,27/02/2024,Purchase,108.26,Dwp Debt Management
JR,26/03/2024,02/03/2024,Purchase,108.74,Amazon* 204-4358012-11
DS,26/03/2024,12/03/2024,Purchase,109.61,Www.Screwfix.Com
DS,26/03/2024,13/03/2024,Credit Voucher,109.98,Amazon* 205-3407047-47
JB,26/03/2024,18/03/2024,Purchase,115,Trainline
DS,26/03/2024,18/03/2024,Purchase,115,Wickes Telford
DS,26/03/2024,21/03/2024,Purchase,115,Wickes Telford
JB,26/03/2024,29/02/2024,Purchase,116,Bkg*hotel At Booking.C
JR,26/03/2024,06/03/2024,Purchase,116,Farmfoods 604
AA,26/03/2024,20/03/2024,Purchase,118.01,Travelodge Gb0000
JR,26/03/2024,04/03/2024,Purchase,119.95,Www.Argos.Co.Uk
