Internal Reference,Statement Period – End Date,Transaction – Transaction Date,Transaction – Transaction Type,Transaction – Billing Amount,Supplier
JB,29/08/2023,11/08/2023,Purchase,100,Www.1508stays.Co.Uk
JB,29/08/2023,03/08/2023,Purchase,100,Trentham Monkey Forest Ec
JB,29/08/2023,03/08/2023,Purchase,100,Voucher Express
JR,29/08/2023,08/08/2023,ATM Cash Withdrawal,100,Royal Bank UK /
JB,29/08/2023,22/08/2023,Purchase,101.51,Amznmktplace
JB,29/08/2023,26/07/2023,Purchase,103.6,Days Rental - Shrewsbu
JB,29/08/2023,28/07/2023,Credit Voucher,103.6,Days Rental - Shrewsbu
JR,29/08/2023,26/07/2023,Purchase,104.36,Booker Ltd - 38598984
JB,29/08/2023,27/07/2023,Purchase,104.6,Asda Store 4351
AA,29/08/2023,16/08/2023,Purchase,104.6,Tesco Stores 3290
JR,29/08/2023,24/08/2023,Purchase,104.99,Amznmktplace
AA,29/08/2023,07/08/2023,Purchase,105.04,Travelodge Gb0000
DS,29/08/2023,16/08/2023,Purchase,105.2,Trainline
AA,29/08/2023,08/08/2023,Purchase,106.2,Asda Stores 5011
AA,29/08/2023,16/08/2023,Purchase,106.45,Tesco Stores 3290
JB,29/08/2023,21/08/2023,Purchase,106.92,Bkg*hotel At Booking.C
AA,29/08/2023,24/08/2023,Purchase,107.34,Trainline
JB,29/08/2023,23/08/2023,Purchase,108,Bkg*hotel At Booking.C
AA,29/08/2023,16/08/2023,Purchase,108.71,Tesco Stores 3290
DS,29/08/2023,26/07/2023,Purchase,109,Currys Superstore
AA,29/08/2023,26/07/2023,Purchase,109.12,Travelodge Gb0000
JB,29/08/2023,27/07/2023,Purchase,109.99,Smyths Toys
JR,29/08/2023,31/07/2023,Purchase,110.15,Booker Ltd - 38529434
JB,29/08/2023,16/08/2023,Purchase,110.26,Amznmktplace
JR,29/08/2023,22/08/2023,Purchase,110.83,Radmore And Tucker Ltd
JB,29/08/2023,18/08/2023,Purchase,111.1,Trainline
JB,29/08/2023,02/08/2023,Purchase,113.9,Premier Inn
JB,29/08/2023,21/08/2023,Purchase,114.41,Facebk *reth4ut3q2
JR,29/08/2023,21/08/2023,Purchase,114.44,Trailertek
JB,29/08/2023,10/08/2023,Purchase,115,Premier Inn
JR,29/08/2023,07/08/2023,Purchase,115.54,Workwear Express
JR,29/08/2023,02/08/2023,Purchase,116,Farmfoods 604
JR,29/08/2023,23/08/2023,Purchase,117,Farmfoods 604
DS,29/08/2023,25/08/2023,Purchase,117.6,Eb *accounts Payable C
AA,29/08/2023,15/08/2023,Purchase,118,Asda Store 4351
JB,29/08/2023,12/08/2023,Purchase,118.8,Siren Films Ltd.
