BATCH ID,NAME VEND,INVOICE ID,Line,AMT LINE , DESCRIPTION, ISSUED DATE,AMT TOTAL,Department,PRO CLASS 1
310124L     ,ONE STOP LANGUAGE SERVICES LTD,44                    ,1,255.00,CONSULTANTS                             ,05/02/2024,255.00,Fire Safety Delivery,Consultancy
190224L     ,ONE STOP LANGUAGE SERVICES LTD,78                    ,1,320.00,CONSULTANTS                             ,22/02/2024,320.00,Fire Stations (North East),Consultancy
190224K     ,ONE STOP LANGUAGE SERVICES LTD,100                   ,1,406.25,CONSULTANTS                             ,22/02/2024,406.25,Fire Stations (North East),Consultancy
310124K3    ,Ambient People Limited        ,0000000953            ,1,"2,736.00",FRS STAFF AGENCY                        ,08/02/2024,"2,736.00",Finance Services,Human Resources
020224K     ,Ambient People Limited        ,0000001076            ,1,"5,472.00",FRS STAFF AGENCY                        ,19/02/2024,"5,472.00",Finance Services,Human Resources
230224B     ,Forensic Outcomes Ltd         ,1188                  ,1,"1,270.00",GENERAL                                 ,29/02/2024,"8,890.00",Fire Stations (Management),Consultancy
230224B     ,Forensic Outcomes Ltd         ,1188                  ,2,"1,270.00",GENERAL                                 ,29/02/2024,,Fire Stations (Management),Consultancy
230224B     ,Forensic Outcomes Ltd         ,1188                  ,3,"1,270.00",GENERAL                                 ,29/02/2024,,Fire Stations (Management),Consultancy
230224B     ,Forensic Outcomes Ltd         ,1188                  ,4,"1,270.00",GENERAL                                 ,29/02/2024,,Fire Stations (Management),Consultancy
230224B     ,Forensic Outcomes Ltd         ,1188                  ,5,"1,270.00",GENERAL                                 ,29/02/2024,,Fire Stations (Management),Consultancy
230224B     ,Forensic Outcomes Ltd         ,1188                  ,6,"1,270.00",GENERAL                                 ,29/02/2024,,Fire Stations (Management),Consultancy
230224B     ,Forensic Outcomes Ltd         ,1188                  ,7,"1,270.00",GENERAL                                 ,29/02/2024,,Fire Stations (Management),Consultancy
060224K     ,ACE VEHICLE SERVICES LIMITED  ,1337                  ,1,420.00,OPERATIONAL EQUIP-PURCHASE              ,12/02/2024,420.00,Fire Stations (South East),Fire & Rescue
190224K1    ,ACE VEHICLE SERVICES LIMITED  ,1362                  ,1,420.00,OPERATIONAL EQUIP-PURCHASE              ,22/02/2024,420.00,Fire Stations (South East),Fire & Rescue
120224K1    ,BANCROFT HINCHLEY LTD         ,1589                  ,1,"3,950.00",REPAIR & MAINTENANCE                    ,19/02/2024,"3,950.00",Technical & Support Service,Fire & Rescue
260124B     ,Mendez Marine Ltd             ,1700                  ,1,415.83,PROFESSIONAL DEVELOPMENT                ,05/02/2024,415.83,Training and Professional Development,Human Resources
310124K1    ,In-Press Photography Ltd      ,1754                  ,1,395.00,PRINTING                                ,08/02/2024,395.00,Communications,Facilities & Management Services
230224P     ,Heads Resourcing Group Ltd    ,1890                  ,1,"1,350.00",FRS STAFF AGENCY                        ,29/02/2024,"2,700.00",Procurement,Human Resources
230224P     ,Heads Resourcing Group Ltd    ,1890                  ,2,"1,350.00",FRS STAFF AGENCY                        ,29/02/2024,,Procurement,Human Resources
230224P     ,Heads Resourcing Group Ltd    ,1893                  ,1,"2,500.00",FRS STAFF AGENCY                        ,29/02/2024,"2,500.00",Procurement,Human Resources
280124P     ,Heads Resourcing Group Ltd    ,1895                  ,1,"4,623.15",FRS STAFF AGENCY                        ,01/02/2024,"4,623.15",Procurement,Human Resources
230224P     ,Heads Resourcing Group Ltd    ,1928                  ,1,"2,500.00",FRS STAFF AGENCY                        ,29/02/2024,"2,500.00",Procurement,Human Resources
230224P     ,Heads Resourcing Group Ltd    ,1963                  ,1,"3,000.00",FRS STAFF AGENCY                        ,29/02/2024,"3,000.00",Procurement,Human Resources
230224P     ,Heads Resourcing Group Ltd    ,1964                  ,1,"2,500.00",FRS STAFF AGENCY                        ,29/02/2024,"2,500.00",Procurement,Human Resources
230224P     ,Heads Resourcing Group Ltd    ,1965                  ,1,"2,500.00",FRS STAFF AGENCY                        ,29/02/2024,"2,500.00",Procurement,Human Resources
230224P     ,Heads Resourcing Group Ltd    ,1966                  ,1,"3,250.00",FRS STAFF AGENCY                        ,29/02/2024,"3,250.00",Procurement,Human Resources
230224P     ,Heads Resourcing Group Ltd    ,1967                  ,1,"4,573.15",FRS STAFF AGENCY                        ,29/02/2024,"4,573.15",Procurement,Human Resources
230224P     ,Heads Resourcing Group Ltd    ,1968                  ,1,"3,000.00",FRS STAFF AGENCY                        ,29/02/2024,"3,000.00",Procurement,Human Resources
230224P     ,Heads Resourcing Group Ltd    ,2004                  ,1,"2,000.00",FRS STAFF AGENCY                        ,29/02/2024,"2,500.00",Procurement,Human Resources
230224P     ,Heads Resourcing Group Ltd    ,2004                  ,2,500.00,FRS STAFF AGENCY                        ,29/02/2024,,Procurement,Human Resources
230224P     ,Heads Resourcing Group Ltd    ,2006                  ,1,"3,250.00",FRS STAFF AGENCY                        ,29/02/2024,"3,250.00",Procurement,Human Resources
230224P     ,Heads Resourcing Group Ltd    ,2007                  ,1,"4,573.15",FRS STAFF AGENCY                        ,29/02/2024,"4,573.15",Procurement,Human Resources
230224P     ,Heads Resourcing Group Ltd    ,2042                  ,1,"3,250.00",FRS STAFF AGENCY                        ,29/02/2024,"3,250.00",Procurement,Human Resources
230224P     ,Heads Resourcing Group Ltd    ,2043                  ,1,"4,573.15",FRS STAFF AGENCY                        ,29/02/2024,"4,573.15",Procurement,Human Resources
230224P     ,Heads Resourcing Group Ltd    ,2075                  ,1,"1,950.00",FRS STAFF AGENCY                        ,29/02/2024,"3,250.00",Procurement,Human Resources
