BATCH ID,NAME VEND,INVOICE ID,Line,AMT LINE , DESCRIPTION, ISSUED DATE,AMT TOTAL,Department,PRO CLASS 1,ID GLAC EXP
310523P     ,Heritage Digital Limited      ,973                   ,1,"2,254.00",GENERAL                                 ,05/06/2023,"2,254.00",Communications,Consultancy,A84511RR89                                   
010323K     ,ACE VEHICLE SERVICES LIMITED  ,994                   ,1,335.00,OPERATIONAL EQUIP-PURCHASE              ,05/06/2023,335.00,Fire Stations (North East),Fire & Rescue,F14061CC21                                   
140623P     ,Esther Manito                 ,1641                  ,1,500.00,ACCOMMODATION BOOKINGS                  ,19/06/2023,500.00,People Services,Human Resources,A33523PP03                                   
260523B     ,Fane Productions Limited      ,2136                  ,1,"5,600.00",CULTURAL CHANGE & TALENT                ,05/06/2023,"5,600.00",People Services,Human Resources,A31667PP03                                   
080623L     ,DMC PRODUCTS AND MARKETING    ,2543                  ,1,"1,839.00",OPERATIONAL EQUIP-PURCHASE              ,15/06/2023,"1,839.00",Procurement,Fire & Rescue,F14061PP32                                   
300523B     ,THE WINDSOR LEADERSHIP TRUST  ,3037                  ,1,"4,947.00",CULTURAL CHANGE & TALENT                ,05/06/2023,"4,947.00",People Services,Human Resources,A31667PP03                                   
300523B     ,THE WINDSOR LEADERSHIP TRUST  ,3042                  ,1,"6,468.00",CULTURAL CHANGE & TALENT                ,05/06/2023,"6,468.00",People Services,Human Resources,A31667PP03                                   
144424      ,KNAPP RICHARDSON LIMITED      ,4262                  ,1,296.00,OTHER EXPERTS FEES                      ,05/06/2023,296.00,Compensation Budgets,Legal Services,A61836RR64                                   
144424      ,KNAPP RICHARDSON LIMITED      ,4279                  ,1,740.00,OTHER EXPERTS FEES                      ,05/06/2023,740.00,Compensation Budgets,Legal Services,A61836RR64                                   
130623L     ,Beckett Rankine Ltd           ,4370                  ,1,"1,887.55",PROF FEES-MISCELLANEOUS                 ,19/06/2023,"1,887.55",Property Department,Consultancy,YBZ053DO03                                   
130623L     ,Beckett Rankine Ltd           ,4371                  ,1,"12,088.00",PROF FEES-MISCELLANEOUS                 ,19/06/2023,"12,088.00",Property Department,Consultancy,YBZ053DO03                                   
130623L     ,Beckett Rankine Ltd           ,4372                  ,1,"8,363.20",PROF FEES-MISCELLANEOUS                 ,19/06/2023,"8,363.20",Property Department,Consultancy,YBZ053DO03                                   
144445      ,KNAPP RICHARDSON LIMITED      ,4394                  ,1,"2,515.00",LEGAL PROFESSIONAL FEES-GENERL          ,15/06/2023,"2,515.00",Grenfell Investigation Legal Costs,Legal Services,F14521SS14                                   
144409      ,KENNEDY CATER                 ,6405                  ,1,"5,509.64",MISCELLANEOUS DISBURSEMENTS             ,05/06/2023,"5,509.64",General Counsel,Legal Services,A64525RR79                                   
050623B     ,CLOSE BROTHERS RAIL LTD       ,6502                  ,1,"6,250.45",DEVELOPMENT  EXPENSES-CONTRACT          ,08/06/2023,"6,250.45",Property Department,Consultancy,YBZ033DN03                                   
250523L     ,THE BRAND ALCHEMISTS          ,6505                  ,1,"2,792.00",PUBLIC RELATIONS                        ,05/06/2023,"2,792.00",Communications,Facilities & Management Services,A84936RR82                                   
260523B PROP,LINDFIELD ELECTRICAL SERVICES ,8223                  ,1,"43,069.16",DEVELOPMENT  EXPENSES-CONTRACT          ,05/06/2023,"43,069.16",Property Department,Consultancy,YCZ033BS85                                   
090623B PROP,LINDFIELD ELECTRICAL SERVICES ,8229                  ,1,"3,474.88",DEVELOPMENT  EXPENSES-CONTRACT          ,15/06/2023,"40,011.15",Property Department,Consultancy,YCZ033FV85                                   
090623B PROP,LINDFIELD ELECTRICAL SERVICES ,8229                  ,2,"36,536.27",DEVELOPMENT  EXPENSES-CONTRACT          ,15/06/2023,,Property Department,Consultancy,YCZ033FV85                                   
130623L     ,LINDFIELD ELECTRICAL SERVICES ,8230                  ,1,"22,068.15",DEVELOPMENT  EXPENSES-CONTRACT          ,19/06/2023,"22,068.15",Property Department,Consultancy,YCZ033CK01                                   
130623L     ,LINDFIELD ELECTRICAL SERVICES ,8231                  ,1,"29,500.00",DEVELOPMENT  EXPENSES-CONTRACT          ,19/06/2023,"29,500.00",Property Department,Consultancy,YCZ033CK01                                   
800194319   ,AZTEC COMPUTING LTD           ,10841                 ,1,"3,237.50",SOFTWARE BESPOKE                        ,29/06/2023,"3,237.50",Service Improvement,ICT,F24651MM96                                   
130623P     ,Genius Within CIC             ,12143                 ,1,255.00,LEARNING SUPPORT                        ,19/06/2023,255.00,People Services,Human Resources,A31663PP04                                   
130623P     ,Genius Within CIC             ,12145                 ,1,680.00,LEARNING SUPPORT                        ,19/06/2023,680.00,People Services,Human Resources,A31663PP04                                   
060623P     ,TELEMASTER LIMITED            ,12377                 ,1,"14,760.00",ESTATES MANGT CONSULTANCY PLND          ,12/06/2023,"14,760.00",Property Department,Consultancy,D22142EZ23                                   
130623P     ,Genius Within CIC             ,12606                 ,1,"3,315.00",LEARNING SUPPORT                        ,19/06/2023,"3,315.00",People Services,Human Resources,A31663PP04                                   
150623P     ,Genius Within CIC             ,12883                 ,1,"1,615.00",LEARNING SUPPORT                        ,22/06/2023,"1,615.00",People Services,Human Resources,A31663PP04                                   
050623B     ,Fulkers Bailey Russell        ,18726                 ,1,"2,532.17",PROF FEES-MISCELLANEOUS                 ,08/06/2023,"2,532.17",Property Department,Consultancy,YCZ053CF02                                   
060623B PROP,DRON & WRIGHT                 ,21039                 ,1,"4,568.47",ESTATES MANGT CONSULTANCY PLND          ,12/06/2023,"8,378.87",Property Department,Consultancy,D22142EZ23                                   
060623B PROP,DRON & WRIGHT                 ,21039                 ,2,"1,721.70",ESTATES MANGT CONSULTANCY PLND          ,12/06/2023,,Property Department,Consultancy,D22142EZ23                                   
060623B PROP,DRON & WRIGHT                 ,21039                 ,3,"2,088.70",ESTATES MANGT CONSULTANCY PLND          ,12/06/2023,,Property Department,Consultancy,D22142EZ23                                   
260523B PROP,Coniston Ltd.                 ,24824                 ,1,"51,946.53",DEVELOPMENT  EXPENSES-CONTRACT          ,05/06/2023,"51,946.53",Property Department,Consultancy,YCZ033BO02                                   
300523 PROP ,Coniston Ltd.                 ,24825                 ,1,"26,555.84",DEVELOPMENT  EXPENSES-CONTRACT          ,05/06/2023,"26,555.84",Property Department,Consultancy,YCZ033CF02                                   
210623K2    ,WILLIS NEWS DISTRIBUTION LTD  ,28355                 ,1,283.70,BOOKS & JOURNALS                        ,29/06/2023,283.70,Information Management (ICT),Facilities & Management Services,A54431EE73                                   
190523K1    ,GFG EUROPE LTD                ,29918                 ,1,89.25,REPAIR & MAINTENANCE                    ,05/06/2023,819.95,Technical & Support Service,Fire & Rescue,F14062EE13                                   
190523K1    ,GFG EUROPE LTD                ,29918                 ,2,376.55,REPAIR & MAINTENANCE                    ,05/06/2023,,Technical & Support Service,Fire & Rescue,F14062EE13                                   
190523K1    ,GFG EUROPE LTD                ,29918                 ,3,339.15,REPAIR & MAINTENANCE                    ,05/06/2023,,Technical & Support Service,Fire & Rescue,F14062EE13                                   
190523K1    ,GFG EUROPE LTD                ,29918                 ,4,15.00,REPAIR & MAINTENANCE                    ,05/06/2023,,Technical & Support Service,Fire & Rescue,F14062EE13                                   
260523B     ,JLA                           ,045849                ,1,"2,000.00",GENERAL                                 ,05/06/2023,"2,000.00",Communications,Consultancy,A84511RR82                                   
130623L     ,RIBBLE ENVIRO LTD             ,49873                 ,1,150.00,OPERATIONAL EQUIP-PURCHASE              ,26/06/2023,"1,146.00",Operational Resilience,Fire & Rescue,F14061MM51                                   
130623L     ,RIBBLE ENVIRO LTD             ,49873                 ,2,150.00,OPERATIONAL EQUIP-PURCHASE              ,26/06/2023,,Operational Resilience,Fire & Rescue,F14061MM51                                   
130623L     ,RIBBLE ENVIRO LTD             ,49873                 ,3,15.00,OPERATIONAL EQUIP-PURCHASE              ,26/06/2023,,Operational Resilience,Fire & Rescue,F14061MM51                                   
130623L     ,RIBBLE ENVIRO LTD             ,49873                 ,4,331.00,OPERATIONAL EQUIP-PURCHASE              ,26/06/2023,,Operational Resilience,Fire & Rescue,F14061MM51                                   
130623L     ,RIBBLE ENVIRO LTD             ,49873                 ,5,500.00,OPERATIONAL EQUIP-PURCHASE              ,26/06/2023,,Operational Resilience,Fire & Rescue,F14061MM51                                   
240523K     ,COSTELLO & SONS LIMITED       ,50945                 ,1,919.00,UNIFORMS                                ,12/06/2023,919.00,Technical & Support Service,Clothing,D24353EZ26                                   
144408      ,REDTRONIC LTD                 ,0000051744            ,1,"2,784.77",OPERATIONAL EQUIP-PURCHASE              ,05/06/2023,"2,784.77",Technical & Support Service,Fire & Rescue,F14061EZ14                                   
250523K     ,FRANKS EXPRESS                ,54856                 ,1,251.55,REFRESHMENTS                            ,05/06/2023,251.55,Fire Stations (North West),Catering,F24715CC16                                   
260523B PROP,GARRAN LOCKERS LTD            ,0000056196            ,1,"6,151.60",DEVELOPMENT  EXPENSES-CONTRACT          ,05/06/2023,"6,151.60",Property Department,Consultancy,YCZ033BF03                                   
260523B PROP,GARRAN LOCKERS LTD            ,0000056197            ,1,"7,909.20",DEVELOPMENT  EXPENSES-CONTRACT          ,05/06/2023,"7,909.20",Property Department,Consultancy,YCZ033DL03                                   
800193211   ,Tersus Consultancy Ltd        ,0000056334            ,1,"12,379.76",REACTIVE ASBESTOS                       ,08/06/2023,"12,379.76",Property Department,Works - Construction,F12121LL34                                   
800193320   ,Tersus Consultancy Ltd        ,0000056599            ,1,"1,451.20",REACTIVE ASBESTOS                       ,15/06/2023,"1,451.20",Property Department,Works - Construction,F12121AA44                                   
800193212   ,Tersus Consultancy Ltd        ,0000056600            ,1,923.36,REACTIVE ASBESTOS                       ,08/06/2023,923.36,Property Department,Works - Construction,F12121AA47                                   
800193322   ,Tersus Consultancy Ltd        ,0000057976            ,1,"4,346.24",REACTIVE ASBESTOS                       ,15/06/2023,"4,346.24",Property Department,Works - Construction,F12121LL25                                   
800194377   ,Tersus Consultancy Ltd        ,0000058037            ,1,"9,160.12",REACTIVE ASBESTOS                       ,29/06/2023,"9,160.12",Property Department,Works - Construction,F12121AA29                                   
800193213   ,Tersus Consultancy Ltd        ,0000058038            ,1,"1,431.20",REACTIVE ASBESTOS                       ,08/06/2023,"1,431.20",Property Department,Works - Construction,F12121AA55                                   
800193214   ,Tersus Consultancy Ltd        ,0000058119            ,1,454.00,PLANNED ASBESTOS                        ,08/06/2023,454.00,Property Department,Works - Construction,F12119AA58                                   
800193323   ,Tersus Consultancy Ltd        ,0000058755            ,1,"1,718.93",REACTIVE ASBESTOS                       ,15/06/2023,"1,718.93",Property Department,Works - Construction,F12121AA30                                   
800193321   ,Tersus Consultancy Ltd        ,0000058756            ,1,"1,662.49",REACTIVE ASBESTOS                       ,15/06/2023,"1,662.49",Property Department,Works - Construction,F12121LL35                                   
800193218   ,Tersus Consultancy Ltd        ,0000059284            ,1,400.00,REACTIVE ASBESTOS                       ,08/06/2023,400.00,Property Department,Works - Construction,F12121AA31                                   
800193227   ,Tersus Consultancy Ltd        ,0000059537            ,1,796.20,REACTIVE ASBESTOS                       ,08/06/2023,796.20,Property Department,Works - Construction,F12121CC32                                   
800194289   ,Tersus Consultancy Ltd        ,0000061152            ,1,"4,367.55",REACTIVE ASBESTOS                       ,26/06/2023,"4,367.55",Property Department,Works - Construction,F12121AA28                                   
210623K2    ,HOMEPACK LTD                  ,62929                 ,1,141.20,OPERATIONAL EQUIP-PURCHASE              ,29/06/2023,282.40,Fire Stations (North East),Fire & Rescue,F14061CC21                                   
210623K2    ,HOMEPACK LTD                  ,62929                 ,2,141.20,OPERATIONAL EQUIP-PURCHASE              ,29/06/2023,,Fire Stations (North East),Fire & Rescue,F14061CC21                                   
020623L     ,GATENBY SANDERSON LTD         ,68779                 ,1,892.00,FRS STAFF AGENCY                        ,08/06/2023,892.00,People Services,Human Resources,A31318PP03                                   
020623P     ,GATENBY SANDERSON LTD         ,69123                 ,1,"3,540.00",FRS STAFF AGENCY                        ,08/06/2023,"3,540.00",Training and Professional Development,Human Resources,A31318PP97                                   
020623P     ,GATENBY SANDERSON LTD         ,69162                 ,1,"11,900.00",CONSULTANTS                             ,08/06/2023,"12,054.70",Strategic Planning,Consultancy,A94943RR97                                   
020623P     ,GATENBY SANDERSON LTD         ,69162                 ,2,154.70,CONSULTANTS                             ,08/06/2023,,Strategic Planning,Consultancy,A94943RR97                                   
020623P     ,GATENBY SANDERSON LTD         ,69258                 ,1,"3,332.00",CONSULTANTS                             ,08/06/2023,"3,332.00",Strategic Planning,Consultancy,A94943RR97                                   
020623P     ,GATENBY SANDERSON LTD         ,69523                 ,1,"8,330.00",CONSULTANTS                             ,08/06/2023,"8,591.00",Strategic Planning,Consultancy,A94943RR97                                   
020623P     ,GATENBY SANDERSON LTD         ,69523                 ,2,261.00,CONSULTANTS                             ,08/06/2023,,Strategic Planning,Consultancy,A94943RR97                                   
230523P6    ,GATENBY SANDERSON LTD         ,69524                 ,1,"4,165.00",CONSULTANTS                             ,08/06/2023,"4,165.00",Strategic Planning,Consultancy,A94943RR97                                   
020623P     ,GATENBY SANDERSON LTD         ,69673                 ,1,"3,332.00",CONSULTANTS                             ,19/06/2023,"4,526.94",Strategic Planning,Consultancy,A94943RR97                                   
020623P     ,GATENBY SANDERSON LTD         ,69673                 ,2,"1,194.94",CONSULTANTS                             ,19/06/2023,,Strategic Planning,Consultancy,A94943RR97                                   
010623P     ,ABARIS INTERNATIONAL LIMITED  ,0000077071            ,1,60.04,CLOTHING                                ,08/06/2023,457.03,Rescue and ISAR Policy ,Clothing,F14351PP86                                   
010623P     ,ABARIS INTERNATIONAL LIMITED  ,0000077071            ,2,60.04,CLOTHING                                ,08/06/2023,,Rescue and ISAR Policy ,Clothing,F14351PP86                                   
010623P     ,ABARIS INTERNATIONAL LIMITED  ,0000077071            ,3,60.04,CLOTHING                                ,08/06/2023,,Rescue and ISAR Policy ,Clothing,F14351PP86                                   
010623P     ,ABARIS INTERNATIONAL LIMITED  ,0000077071            ,4,55.20,CLOTHING                                ,08/06/2023,,Rescue and ISAR Policy ,Clothing,F14351PP86                                   
010623P     ,ABARIS INTERNATIONAL LIMITED  ,0000077071            ,5,55.20,CLOTHING                                ,08/06/2023,,Rescue and ISAR Policy ,Clothing,F14351PP86                                   
010623P     ,ABARIS INTERNATIONAL LIMITED  ,0000077071            ,6,55.20,CLOTHING                                ,08/06/2023,,Rescue and ISAR Policy ,Clothing,F14351PP86                                   
010623P     ,ABARIS INTERNATIONAL LIMITED  ,0000077071            ,7,111.31,CLOTHING                                ,08/06/2023,,Rescue and ISAR Policy ,Clothing,F14351PP86                                   
010623P     ,ABARIS INTERNATIONAL LIMITED  ,0000077088            ,1,122.68,CLOTHING                                ,08/06/2023,"3,538.31",Rescue and ISAR Policy ,Clothing,F14351PP86                                   
010623P     ,ABARIS INTERNATIONAL LIMITED  ,0000077088            ,2,115.00,CLOTHING                                ,08/06/2023,,Rescue and ISAR Policy ,Clothing,F14351PP86                                   
010623P     ,ABARIS INTERNATIONAL LIMITED  ,0000077088            ,3,107.34,CLOTHING                                ,08/06/2023,,Rescue and ISAR Policy ,Clothing,F14351PP86                                   
010623P     ,ABARIS INTERNATIONAL LIMITED  ,0000077088            ,4,517.50,CLOTHING                                ,08/06/2023,,Rescue and ISAR Policy ,Clothing,F14351PP86                                   
010623P     ,ABARIS INTERNATIONAL LIMITED  ,0000077088            ,5,690.00,CLOTHING                                ,08/06/2023,,Rescue and ISAR Policy ,Clothing,F14351PP86                                   
010623P     ,ABARIS INTERNATIONAL LIMITED  ,0000077088            ,6,11.22,CLOTHING                                ,08/06/2023,,Rescue and ISAR Policy ,Clothing,F14351PP86                                   
010623P     ,ABARIS INTERNATIONAL LIMITED  ,0000077088            ,7,38.82,CLOTHING                                ,08/06/2023,,Rescue and ISAR Policy ,Clothing,F14351PP86                                   
010623P     ,ABARIS INTERNATIONAL LIMITED  ,0000077088            ,8,25.88,CLOTHING                                ,08/06/2023,,Rescue and ISAR Policy ,Clothing,F14351PP86                                   
010623P     ,ABARIS INTERNATIONAL LIMITED  ,0000077088            ,9,42.00,CLOTHING                                ,08/06/2023,,Rescue and ISAR Policy ,Clothing,F14351PP86                                   
010623P     ,ABARIS INTERNATIONAL LIMITED  ,0000077088            ,10,122.68,CLOTHING                                ,08/06/2023,,Rescue and ISAR Policy ,Clothing,F14351PP86                                   
010623P     ,ABARIS INTERNATIONAL LIMITED  ,0000077088            ,11,115.00,CLOTHING                                ,08/06/2023,,Rescue and ISAR Policy ,Clothing,F14351PP86                                   
010623P     ,ABARIS INTERNATIONAL LIMITED  ,0000077088            ,12,107.34,CLOTHING                                ,08/06/2023,,Rescue and ISAR Policy ,Clothing,F14351PP86                                   
010623P     ,ABARIS INTERNATIONAL LIMITED  ,0000077088            ,13,122.68,CLOTHING                                ,08/06/2023,,Rescue and ISAR Policy ,Clothing,F14351PP86                                   
010623P     ,ABARIS INTERNATIONAL LIMITED  ,0000077088            ,14,115.00,CLOTHING                                ,08/06/2023,,Rescue and ISAR Policy ,Clothing,F14351PP86                                   
010623P     ,ABARIS INTERNATIONAL LIMITED  ,0000077088            ,15,107.34,CLOTHING                                ,08/06/2023,,Rescue and ISAR Policy ,Clothing,F14351PP86                                   
010623P     ,ABARIS INTERNATIONAL LIMITED  ,0000077088            ,16,122.68,CLOTHING                                ,08/06/2023,,Rescue and ISAR Policy ,Clothing,F14351PP86                                   
010623P     ,ABARIS INTERNATIONAL LIMITED  ,0000077088            ,17,115.00,CLOTHING                                ,08/06/2023,,Rescue and ISAR Policy ,Clothing,F14351PP86                                   
010623P     ,ABARIS INTERNATIONAL LIMITED  ,0000077088            ,18,107.14,CLOTHING                                ,08/06/2023,,Rescue and ISAR Policy ,Clothing,F14351PP86                                   
010623P     ,ABARIS INTERNATIONAL LIMITED  ,0000077088            ,19,42.00,CLOTHING                                ,08/06/2023,,Rescue and ISAR Policy ,Clothing,F14351PP86                                   
010623P     ,ABARIS INTERNATIONAL LIMITED  ,0000077088            ,20,42.00,CLOTHING                                ,08/06/2023,,Rescue and ISAR Policy ,Clothing,F14351PP86                                   
010623P     ,ABARIS INTERNATIONAL LIMITED  ,0000077088            ,21,79.66,CLOTHING                                ,08/06/2023,,Rescue and ISAR Policy ,Clothing,F14351PP86                                   
010623P     ,ABARIS INTERNATIONAL LIMITED  ,0000077088            ,22,220.86,CLOTHING                                ,08/06/2023,,Rescue and ISAR Policy ,Clothing,F14351PP86                                   
010623P     ,ABARIS INTERNATIONAL LIMITED  ,0000077088            ,23,42.00,CLOTHING                                ,08/06/2023,,Rescue and ISAR Policy ,Clothing,F14351PP86                                   
010623P     ,ABARIS INTERNATIONAL LIMITED  ,0000077088            ,24,24.00,CLOTHING                                ,08/06/2023,,Rescue and ISAR Policy ,Clothing,F14351PP86                                   
010623P     ,ABARIS INTERNATIONAL LIMITED  ,0000077088            ,25,17.50,CLOTHING                                ,08/06/2023,,Rescue and ISAR Policy ,Clothing,F14351PP86                                   
010623P     ,ABARIS INTERNATIONAL LIMITED  ,0000077088            ,26,42.00,CLOTHING                                ,08/06/2023,,Rescue and ISAR Policy ,Clothing,F14351PP86                                   
010623P     ,ABARIS INTERNATIONAL LIMITED  ,0000077088            ,27,42.00,CLOTHING                                ,08/06/2023,,Rescue and ISAR Policy ,Clothing,F14351PP86                                   
010623P     ,ABARIS INTERNATIONAL LIMITED  ,0000077088            ,28,115.00,CLOTHING                                ,08/06/2023,,Rescue and ISAR Policy ,Clothing,F14351PP86                                   
010623P     ,ABARIS INTERNATIONAL LIMITED  ,0000077088            ,29,33.99,CLOTHING                                ,08/06/2023,,Rescue and ISAR Policy ,Clothing,F14351PP86                                   
010623P     ,ABARIS INTERNATIONAL LIMITED  ,0000077088            ,30,132.00,CLOTHING                                ,08/06/2023,,Rescue and ISAR Policy ,Clothing,F14351PP86                                   
060623P     ,Hammond Drysuits Ltd          ,78910                 ,1,615.00,GENERAL                                 ,12/06/2023,615.00,Rescue and ISAR Policy ,Consultancy,F14511PP86                                   
060623P     ,Hammond Drysuits Ltd          ,78973                 ,1,975.00,GENERAL                                 ,12/06/2023,975.00,Rescue and ISAR Policy ,Consultancy,F14511PP86                                   
010623P     ,ABARIS INTERNATIONAL LIMITED  ,0000079733            ,1,94.76,CLOTHING                                ,08/06/2023,437.54,Rescue and ISAR Policy ,Clothing,F14351PP86                                   
010623P     ,ABARIS INTERNATIONAL LIMITED  ,0000079733            ,2,86.26,CLOTHING                                ,08/06/2023,,Rescue and ISAR Policy ,Clothing,F14351PP86                                   
010623P     ,ABARIS INTERNATIONAL LIMITED  ,0000079733            ,3,86.26,CLOTHING                                ,08/06/2023,,Rescue and ISAR Policy ,Clothing,F14351PP86                                   
010623P     ,ABARIS INTERNATIONAL LIMITED  ,0000079733            ,4,86.26,CLOTHING                                ,08/06/2023,,Rescue and ISAR Policy ,Clothing,F14351PP86                                   
010623P     ,ABARIS INTERNATIONAL LIMITED  ,0000079733            ,5,84.00,CLOTHING                                ,08/06/2023,,Rescue and ISAR Policy ,Clothing,F14351PP86                                   
210623K     ,TRY & LILLY LTD               ,79826                 ,1,278.15,UNIFORMS - POMS                         ,29/06/2023,278.15,Technical & Support Service,Clothing,X29422ZZ84                                   
010623P     ,ABARIS INTERNATIONAL LIMITED  ,0000080408            ,1,122.88,CLOTHING                                ,08/06/2023,491.55,Operational Resilience,Clothing,F14351PP37                                   
010623P     ,ABARIS INTERNATIONAL LIMITED  ,0000080408            ,2,122.88,CLOTHING                                ,08/06/2023,,Operational Resilience,Clothing,F14351PP37                                   
010623P     ,ABARIS INTERNATIONAL LIMITED  ,0000080408            ,3,122.88,CLOTHING                                ,08/06/2023,,Operational Resilience,Clothing,F14351PP37                                   
010623P     ,ABARIS INTERNATIONAL LIMITED  ,0000080408            ,4,122.91,CLOTHING                                ,08/06/2023,,Operational Resilience,Clothing,F14351PP37                                   
010623K     ,THE HEIGHTEC GROUP LTD        ,87065                 ,1,"1,526.40",PROTECTIVE EQUIPT - PARTS               ,08/06/2023,"1,532.88",Technical & Support Service,Emergency Services,X29452ZZ82                                   
010623K     ,THE HEIGHTEC GROUP LTD        ,87065                 ,2,6.48,OPERATIONAL EQUIP-PURCHASE              ,08/06/2023,,Technical & Support Service,Fire & Rescue,F14061EE13                                   
060623L     ,SUPPORTPLAN (UK) LTD          ,93234                 ,1,410.40,SOFTWARE COTS                           ,12/06/2023,410.40,Infrastructure Team (ICT),ICT,A54652EE72                                   
060623L     ,SUPPORTPLAN (UK) LTD          ,93481                 ,1,366.00,SOFTWARE COTS                           ,12/06/2023,366.00,Infrastructure Team (ICT),ICT,A54652EE72                                   
200623K     ,NCC SERVICES LTD              ,00095520              ,1,"1,715.00",SOFTWARE COTS                           ,29/06/2023,"1,715.00",Enterprise Application Group (ICT),ICT,A54652EE62                                   
150623P     ,FOCUS & VISION TECHNOLOGY LTD ,109231                ,1,376.58,MEDICAL EXPENSES CONTRACT               ,22/06/2023,376.58,People Services,Human Resources,A31714PP09                                   
150523B PROP,S W BRUCE & CO LTD            ,0000116014            ,1,"43,518.06",DEVELOPMENT  EXPENSES-CONTRACT          ,05/06/2023,"43,518.06",Property Department,Consultancy,YCZ033BL08                                   
050623P     ,S W BRUCE & CO LTD            ,0000116265            ,1,"23,899.38",DEVELOPMENT  EXPENSES-CONTRACT          ,15/06/2023,"23,899.38",Property Department,Consultancy,YCZ033BL08                                   
310523L     ,SILVERSANDS LIMITED           ,134957                ,1,895.00,SOFTWARE COTS                           ,08/06/2023,895.00,Enterprise Application Group (ICT),ICT,A54652EE64                                   
310523L     ,SILVERSANDS LIMITED           ,134958                ,1,"1,125.00",SOFTWARE COTS                           ,08/06/2023,"2,915.00",Enterprise Application Group (ICT),ICT,A54652EE64                                   
310523L     ,SILVERSANDS LIMITED           ,134958                ,2,"1,790.00",SOFTWARE COTS                           ,08/06/2023,,Enterprise Application Group (ICT),ICT,A54652EE64                                   
310523L     ,SILVERSANDS LIMITED           ,134959                ,1,"1,125.00",SOFTWARE COTS                           ,08/06/2023,"9,215.00",Enterprise Application Group (ICT),ICT,A54652EE64                                   
310523L     ,SILVERSANDS LIMITED           ,134959                ,2,"1,125.00",SOFTWARE COTS                           ,08/06/2023,,Enterprise Application Group (ICT),ICT,A54652EE64                                   
310523L     ,SILVERSANDS LIMITED           ,134959                ,3,"6,965.00",SOFTWARE COTS                           ,08/06/2023,,Enterprise Application Group (ICT),ICT,A54652EE64                                   
010623L     ,SILVERSANDS LIMITED           ,134960                ,1,895.00,SOFTWARE COTS                           ,08/06/2023,"2,020.00",Enterprise Application Group (ICT),ICT,A54652EE64                                   
010623L     ,SILVERSANDS LIMITED           ,134960                ,2,"1,125.00",SOFTWARE COTS                           ,08/06/2023,,Enterprise Application Group (ICT),ICT,A54652EE64                                   
010623L     ,SILVERSANDS LIMITED           ,135133                ,1,"1,125.00",SOFTWARE COTS                           ,08/06/2023,"2,020.00",Enterprise Application Group (ICT),ICT,A54652EE64                                   
010623L     ,SILVERSANDS LIMITED           ,135133                ,2,895.00,SOFTWARE COTS                           ,08/06/2023,,Enterprise Application Group (ICT),ICT,A54652EE64                                   
130623L     ,SILVERSANDS LIMITED           ,135160                ,1,425.00,SOFTWARE COTS                           ,19/06/2023,425.00,Enterprise Application Group (ICT),ICT,A54652EE64                                   
130623L     ,SILVERSANDS LIMITED           ,135161                ,1,"1,525.00",SOFTWARE COTS                           ,19/06/2023,"1,525.00",Enterprise Application Group (ICT),ICT,A54652EE64                                   
130623L     ,SILVERSANDS LIMITED           ,135162                ,1,"2,000.00",SOFTWARE COTS                           ,19/06/2023,"2,000.00",Enterprise Application Group (ICT),ICT,A54652EE64                                   
090623B     ,WILLIAM SUGDEN & SONS LTD     ,136058                ,1,"5,175.00",UNIFORMS - POMS                         ,26/06/2023,"6,210.00",Technical & Support Service,Clothing,X29422ZZ84                                   
090623B     ,WILLIAM SUGDEN & SONS LTD     ,136058                ,2,"1,035.00",UNIFORMS - POMS                         ,26/06/2023,,Technical & Support Service,Clothing,X29422ZZ84                                   
800192926   ,ABM Technical Solutions Ltd   ,146447                ,1,"4,992.55",PLANNED MEP                             ,05/06/2023,"4,992.55",Property Department,Works - Construction,F12131LL26                                   
800192928   ,ABM Technical Solutions Ltd   ,146448                ,1,"4,992.55",PLANNED MEP                             ,05/06/2023,"4,992.55",Property Department,Works - Construction,F12131LL26                                   
800192922   ,ABM Technical Solutions Ltd   ,146449                ,1,"4,777.36",PLANNED MEP                             ,05/06/2023,"4,777.36",Property Department,Works - Construction,F12131CC43                                   
800192927   ,ABM Technical Solutions Ltd   ,146450                ,1,"4,777.36",PLANNED MEP                             ,05/06/2023,"4,777.36",Property Department,Works - Construction,F12131CC43                                   
800192923   ,ABM Technical Solutions Ltd   ,146451                ,1,"4,664.00",PLANNED MEP                             ,05/06/2023,"4,664.00",Property Department,Works - Construction,F12131LL54                                   
800192921   ,ABM Technical Solutions Ltd   ,146452                ,1,"4,664.00",PLANNED MEP                             ,05/06/2023,"4,664.00",Property Department,Works - Construction,F12131LL54                                   
800192903   ,ABM Technical Solutions Ltd   ,146453                ,1,"4,237.56",PLANNED MEP                             ,05/06/2023,"4,237.56",Property Department,Works - Construction,F12131CC26                                   
800192901   ,ABM Technical Solutions Ltd   ,146454                ,1,"4,237.56",PLANNED MEP                             ,05/06/2023,"4,237.56",Property Department,Works - Construction,F12131CC26                                   
800192865   ,ABM Technical Solutions Ltd   ,146455                ,1,"3,368.16",PLANNED MEP                             ,05/06/2023,"3,368.16",Property Department,Works - Construction,F12131CC34                                   
800192862   ,ABM Technical Solutions Ltd   ,146456                ,1,"3,368.16",PLANNED MEP                             ,05/06/2023,"3,368.16",Property Department,Works - Construction,F12131CC34                                   
