BATCH ID,NAME VEND,INVOICE ID,Line,AMT LINE , DESCRIPTION, ISSUED DATE,AMT TOTAL,Department,PRO CLASS 1
131223K1    ,C P GREGORY & ASSOCIATES LTD  ,972                   ,1,590.00,CULTURAL CHANGE & TALENT                ,22/12/2023,"1,180.00",Central Fire Safety,Human Resources
131223K1    ,C P GREGORY & ASSOCIATES LTD  ,972                   ,2,590.00,CULTURAL CHANGE & TALENT                ,22/12/2023,,Central Fire Safety,Human Resources
131223P     ,Sanderson Weatherall LLP      ,1251                  ,1,"1,042.50",ESTATES MANGT CONSULTANCY PLND          ,22/12/2023,"1,042.50",Property Department,Consultancy
111223B     ,In-Press Photography Ltd      ,1729                  ,1,395.00,FILM & VIDEO                            ,14/12/2023,395.00,Communications,Facilities & Management Services
011223P     ,Heads Resourcing Group Ltd    ,1815                  ,1,"2,700.00",FRS STAFF AGENCY                        ,07/12/2023,"2,700.00",Procurement,Human Resources
011223P     ,Heads Resourcing Group Ltd    ,1816                  ,1,"3,658.52",FRS STAFF AGENCY                        ,07/12/2023,"3,658.52",Procurement,Human Resources
011223P     ,Heads Resourcing Group Ltd    ,1838                  ,1,"3,250.00",FRS STAFF AGENCY                        ,07/12/2023,"3,250.00",Procurement,Human Resources
041223P     ,Heads Resourcing Group Ltd    ,1851                  ,1,"2,500.00",FRS STAFF AGENCY                        ,07/12/2023,"2,500.00",Procurement,Human Resources
011223P     ,Heads Resourcing Group Ltd    ,1869                  ,1,"1,350.00",FRS STAFF AGENCY                        ,07/12/2023,"1,350.00",Procurement,Human Resources
011223P     ,Heads Resourcing Group Ltd    ,1870                  ,1,"3,000.00",FRS STAFF AGENCY                        ,07/12/2023,"3,000.00",Procurement,Human Resources
011223P     ,Heads Resourcing Group Ltd    ,1871                  ,1,"1,500.00",FRS STAFF AGENCY                        ,07/12/2023,"1,500.00",Procurement,Human Resources
011223P     ,Heads Resourcing Group Ltd    ,1872                  ,1,"3,250.00",FRS STAFF AGENCY                        ,07/12/2023,"3,250.00",Procurement,Human Resources
011223P     ,Heads Resourcing Group Ltd    ,1873                  ,1,"4,573.15",FRS STAFF AGENCY                        ,07/12/2023,"4,573.15",Procurement,Human Resources
011223P     ,Heads Resourcing Group Ltd    ,1891                  ,1,"2,700.00",FRS STAFF AGENCY                        ,07/12/2023,"2,700.00",Procurement,Human Resources
011223P     ,Heads Resourcing Group Ltd    ,1892                  ,1,"2,250.00",FRS STAFF AGENCY                        ,07/12/2023,"2,250.00",Procurement,Human Resources
011223P     ,Heads Resourcing Group Ltd    ,1894                  ,1,"3,250.00",FRS STAFF AGENCY                        ,07/12/2023,"3,250.00",Procurement,Human Resources
011223P     ,Heads Resourcing Group Ltd    ,1896                  ,1,"1,371.95",FRS STAFF AGENCY                        ,07/12/2023,"1,371.95",Procurement,Human Resources
041223P     ,Heads Resourcing Group Ltd    ,1897                  ,1,"1,200.00",FRS STAFF AGENCY                        ,07/12/2023,"1,200.00",Procurement,Human Resources
011223P     ,Heads Resourcing Group Ltd    ,1926                  ,1,"3,000.00",FRS STAFF AGENCY                        ,07/12/2023,"3,000.00",Procurement,Human Resources
011223P     ,Heads Resourcing Group Ltd    ,1927                  ,1,"2,500.00",FRS STAFF AGENCY                        ,07/12/2023,"2,500.00",Procurement,Human Resources
041223P     ,Heads Resourcing Group Ltd    ,1930                  ,1,"3,000.00",FRS STAFF AGENCY                        ,07/12/2023,"3,000.00",Procurement,Human Resources
181223K1    ,Heads Resourcing Group Ltd    ,2003                  ,1,"3,000.00",FRS STAFF AGENCY                        ,22/12/2023,"3,000.00",Procurement,Human Resources
181223K1    ,Heads Resourcing Group Ltd    ,2005                  ,1,"2,500.00",FRS STAFF AGENCY                        ,22/12/2023,"2,500.00",Procurement,Human Resources
181223K2    ,Heads Resourcing Group Ltd    ,2008                  ,1,"3,000.00",FRS STAFF AGENCY                        ,22/12/2023,"3,000.00",Procurement,Human Resources
