BATCH ID,NAME VEND,INVOICE ID,Line,AMT LINE , DESCRIPTION, ISSUED DATE,AMT TOTAL,Department,PRO CLASS 1
180923K     ,Ambient People Limited        ,0000000243            ,1,"3,021.00",GENERAL                                 ,02/10/2023,"3,021.00",Finance Services,Consultancy
111023P     ,Pullman Motors Engineering    ,880                   ,1,330.00,OPERATIONAL EQUIP-PURCHASE              ,19/10/2023,330.00,Procurement,Fire & Rescue
111023P     ,Pullman Motors Engineering    ,881                   ,1,"4,400.00",OPERATIONAL EQUIP-PURCHASE              ,19/10/2023,"4,400.00",Procurement,Fire & Rescue
111023P     ,Pullman Motors Engineering    ,882                   ,1,600.00,INSPECTIONS                             ,19/10/2023,600.00,Procurement,Vehicle Management
111023P     ,Pullman Motors Engineering    ,883                   ,1,990.00,OPERATIONAL EQUIP-PURCHASE              ,19/10/2023,"1,320.00",Procurement,Fire & Rescue
111023P     ,Pullman Motors Engineering    ,883                   ,2,330.00,INSPECTIONS                             ,19/10/2023,,Procurement,Vehicle Management
270923K     ,ACE VEHICLE SERVICES LIMITED  ,983                   ,1,335.00,OPERATIONAL EQUIP-PURCHASE              ,05/10/2023,335.00,Fire Stations (North West),Fire & Rescue
270923K     ,ACE VEHICLE SERVICES LIMITED  ,1019                  ,1,335.00,OPERATIONAL EQUIP-PURCHASE              ,05/10/2023,335.00,Fire Stations (South West),Fire & Rescue
270923K     ,ACE VEHICLE SERVICES LIMITED  ,1073                  ,1,335.00,OPERATIONAL EQUIP-PURCHASE              ,05/10/2023,335.00,Fire Stations (North East),Fire & Rescue
270923K     ,ACE VEHICLE SERVICES LIMITED  ,1093                  ,1,335.00,OPERATIONAL EQUIP-PURCHASE              ,05/10/2023,335.00,Fire Stations (North West),Fire & Rescue
270923K     ,ACE VEHICLE SERVICES LIMITED  ,1183                  ,1,335.00,OPERATIONAL EQUIP-PURCHASE              ,05/10/2023,335.00,Fire Stations (North West),Fire & Rescue
270923K     ,ACE VEHICLE SERVICES LIMITED  ,1194                  ,1,335.00,OPERATIONAL EQUIP-PURCHASE              ,05/10/2023,335.00,Fire Stations (South East),Fire & Rescue
270923K     ,ACE VEHICLE SERVICES LIMITED  ,1202                  ,1,335.00,OPERATIONAL EQUIP-PURCHASE              ,05/10/2023,335.00,Fire Stations (North East),Fire & Rescue
260923K     ,ACE VEHICLE SERVICES LIMITED  ,1238                  ,1,335.00,OPERATIONAL EQUIP-PURCHASE              ,02/10/2023,335.00,Fire Stations (South West),Fire & Rescue
241023L     ,Sanderson Weatherall LLP      ,1269                  ,1,"1,042.50",ESTATES MANGT CONSULTANCY PLND          ,30/10/2023,"1,042.50",Property Department,Consultancy
101023B     ,WHITE RIBBON CAMPAIGN         ,1563                  ,1,322.03,ACCOMMODATION BOOKINGS                  ,16/10/2023,322.03,People Services,Human Resources
241023L     ,Sanderson Weatherall LLP      ,1644                  ,1,"15,432.22",ESTATES MANGT CONSULTANCY PLND          ,30/10/2023,"15,432.22",Property Department,Consultancy
270923K     ,In-Press Photography Ltd      ,1669                  ,1,395.00,FILM & VIDEO                            ,05/10/2023,395.00,Communications,Facilities & Management Services
021023B     ,THE WINDSOR LEADERSHIP TRUST  ,3156                  ,1,"6,468.00",CULTURAL CHANGE & TALENT                ,05/10/2023,"6,468.00",People Services,Human Resources
144539      ,KNAPP RICHARDSON LIMITED      ,4412                  ,1,"3,045.00",LEGAL PROFESSIONAL FEES-GENERL          ,09/10/2023,"3,045.00",Grenfell Investigation Legal Costs,Legal Services
