Beneficiary,Date,Merchant Category,Amount (Net of VAT)
Daton Electrical 475,10/10/2022,Direct Materials,774.9
Daton Electrical 475,10/10/2022,Direct Materials,1320.59
Ecmundson Electrical,08/04/2022,Direct Materials,974.52
Ecmundson Electrical,10/10/2022,Direct Materials,620.25
Edmundson Elec Ltd,07/02/2023,Direct Materials,533.41
Edmundson Elec Ltd,07/02/2023,Direct Materials,1178.2
Mini Cam Limited,07/06/2022,Repair And Maintenance Transport,1892.99
Vink UK Limited,04/08/2022,Direct Materials,1331.22
Bed Care Ltd,06/07/2022,Equipment Furniture & Materials,539
Argos Ltd,12/04/2022,Equipment Furniture & Materials,549
4imprint Direct Ltd,05/01/2023,Equipment Furniture & Materials,500
Sportsdirect.Com,09/01/2023,Equipment Furniture & Materials,669.98
Wigan Vets4pets Ltd,06/07/2022,Equipment Furniture & Materials,514.47
Currys Online,08/12/2022,Equipment Furniture & Materials,1910.97
Furniture Instore,07/02/2023,Equipment Furniture & Materials,799.99
Land Of Beds,07/09/2022,Equipment Furniture & Materials,857
Www.Game.Co.Uk,05/10/2022,Equipment Furniture & Materials,549.97
Www.Game.Co.Uk,09/01/2023,Equipment Furniture & Materials,569.97
Www.Scs.Co.Uk,08/08/2022,Equipment Furniture & Materials,1000
Www.Scs.Co.Uk,07/09/2022,Equipment Furniture & Materials,642.99
Www.Scs.Co.Uk,05/10/2022,Equipment Furniture & Materials,1000
Argos Ltd,04/11/2022,Equipment Furniture & Materials,502.95
Www.Hanover.Org.Uk,07/06/2022,Equipment Furniture & Materials,875.28
Struan Baptie Property,03/11/2022,Equipment Furniture & Materials,1094.66
Premier Inn,21/11/2022,Equipment Furniture & Materials,653.5
K West Hotel London Ltd,19/08/2022,Employee Subsistence,2160
Thetrainline.Com,19/08/2022,Employee Transport Costs,570.35
Sportsdirect.Com,05/08/2022,Equipment Furniture & Materials,506.66
Amznmktplace,05/04/2022,Equipment Furniture & Materials,508.07
B2b Partnerships Ltd,16/05/2022,Equipment Furniture & Materials,840
Embee Estates Ltd,04/10/2022,Payments to Private Contractors,900
Wigan Council,05/07/2022,Payments to Private Contractors,650
Wigan Council,05/07/2022,Payments to Private Contractors,900
Hi Haydock M6 Jct2,07/09/2022,Payments to Private Contractors,591.67
Hi Haydock M6 Jct2,08/09/2022,Payments to Private Contractors,861.65
Hi Haydock M6 Jct2,08/09/2022,Payments to Private Contractors,1000
Hi Haydock M6 Jct2,04/10/2022,Payments to Private Contractors,516.8
Hi Haydock M6 Jct2,04/10/2022,Payments to Private Contractors,763.33
Hi Haydock M6 Jct2,07/10/2022,Payments to Private Contractors,529
Hi Haydock M6 Jct2,07/10/2022,Payments to Private Contractors,630
Hi Haydock M6 Jct2,07/10/2022,Payments to Private Contractors,721.67
Hi Haydock M6 Jct2,07/10/2022,Payments to Private Contractors,823.33
Hi Haydock M6 Jct2,07/10/2022,Payments to Private Contractors,833.07
Hi Haydock M6 Jct2,07/10/2022,Payments to Private Contractors,962.37
Hi Haydock M6 Jct2,07/10/2022,Payments to Private Contractors,829.17
Hi Haydock M6 Jct2,08/11/2022,Payments to Private Contractors,721.67
Holiday Inn Express Leigh,05/07/2022,Payments to Private Contractors,1000
Holiday Inn Express Leigh,06/07/2022,Payments to Private Contractors,833.33
Holiday Inn Express Leigh,07/07/2022,Payments to Private Contractors,641.67
Holiday Inn Express Leigh,07/07/2022,Payments to Private Contractors,740.87
Holiday Inn Express Leigh,07/09/2022,Payments to Private Contractors,519.17
Holiday Inn Express Leigh,06/12/2022,Payments to Private Contractors,607
Holiday Inn Express Leigh,06/12/2022,Payments to Private Contractors,644.17
Holiday Inn Express Leigh,04/01/2023,Payments to Private Contractors,557.37
Holiday Inn Express Leigh,04/01/2023,Payments to Private Contractors,833.33
Holiday Inn Express Leigh,05/01/2023,Payments to Private Contractors,833.33
Holiday Inn Express Wi,01/06/2022,Payments to Private Contractors,1000
Holiday Inn Express Wi,07/06/2022,Payments to Private Contractors,562.5
Holiday Inn Express Wi,07/06/2022,Payments to Private Contractors,591.67
Holiday Inn Express Wi,05/07/2022,Payments to Private Contractors,519.58
Holiday Inn Express Wi,05/07/2022,Payments to Private Contractors,763.58
Hotel At Booking.Com,01/06/2022,Payments to Private Contractors,523.6
Hotel At Booking.Com,05/07/2022,Payments to Private Contractors,796.67
Hotel At Booking.Com,08/09/2022,Payments to Private Contractors,505
Hotel At Booking.Com,08/09/2022,Payments to Private Contractors,557
Hotel At Booking.Com,08/09/2022,Payments to Private Contractors,610
Hotel At Booking.Com,08/09/2022,Payments to Private Contractors,726.72
Hotel At Booking.Com,08/09/2022,Payments to Private Contractors,777.5
Hotel At Booking.Com,08/09/2022,Payments to Private Contractors,860
Hotel At Booking.Com,03/11/2022,Payments to Private Contractors,567.97
Hotel At Booking.Com,08/11/2022,Payments to Private Contractors,565.63
Hotel At Booking.Com,06/12/2022,Payments to Private Contractors,642.12
Premier Inn,05/01/2023,Payments to Private Contractors,593.69
Premier Inn 44536900,05/07/2022,Payments to Private Contractors,564.11
Premier Inn44017435,01/06/2022,Payments to Private Contractors,687.38
Premier Inn44017435,01/06/2022,Payments to Private Contractors,786.53
Premier Inn44017435,01/06/2022,Payments to Private Contractors,553.67
Swan & Railway Hotel Wiga,05/01/2023,Payments to Private Contractors,750
Swan & Railway Hotel Wiga,05/01/2023,Payments to Private Contractors,880
Travelodge Gb0000,01/06/2022,Payments to Private Contractors,526.06
Travelodge Gb0000,07/09/2022,Payments to Private Contractors,509.93
Travelodge Gb0000,07/09/2022,Payments to Private Contractors,564.32
Bowker Lettings Ltd,09/08/2022,Payments to Private Contractors,1000
Hotel Order Traveluro,01/06/2022,Payments to Private Contractors,648
The Towel Shop,06/04/2022,"Clothing, Uniform and Laundry",1471.69
Lake District Ntl Park,09/06/2022,Other MiscellaneousExpenses,850
Baker Ross,08/12/2022,Equipment Furniture & Materials,2261.4
Clinencstock,12/05/2022,Equipment Furniture & Materials,1892.82
Sumup *summerfield Shop,16/09/2022,Equipment Furniture & Materials,833.33
Sumup *summerfield Shop,16/09/2022,Equipment Furniture & Materials,2000
Www.B-Loony.Co.Uk,06/05/2022,Equipment Furniture & Materials,828.6
Govnet Events,05/12/2022,"Education, Training, Exam Fees",639
E.On Next,05/10/2022,Electricity,630.51
E.On Next,07/03/2023,Electricity,686.89
Www.Ovoenergy.Com,02/12/2022,Electricity,690.77
Amazon.Co.Uk*1i8s914v4,08/12/2022,Equipment Furniture & Materials,583.32
Msft * E0100kbxc8,02/11/2022,Computer Equipment,760.8
Msft * E0100kzw8z,08/12/2022,Computer Equipment,1202.4
Rsl,13/06/2022,Equipment Furniture & Materials,511
Novadata Tachograph An,05/05/2022,Equipment Furniture & Materials,585
Novadata Tachograph An,06/09/2022,Equipment Furniture & Materials,610.2
Novadata Tachograph An,03/11/2022,Equipment Furniture & Materials,570
Novadata Tachograph An,03/02/2023,Equipment Furniture & Materials,610.74
Www.Bannerwarehouse.Co,13/06/2022,Equipment Furniture & Materials,898.74
Wright Foundation,06/02/2023,"Education, Training, Exam Fees",537.5
Wright Foundation,06/02/2023,"Education, Training, Exam Fees",537.5
Welch Mill Carpets,24/10/2022,Payments to Private Contractors,695
Asda Superstore,06/06/2022,Equipment Furniture & Materials,692.3
Dri*maxon Computer,12/10/2022,Computer Software (Licences & Maintenance),551
C & D Systems Ltd,09/09/2022,Computer Software (Licences & Maintenance),780
Sp Goodwin & Goodwin,04/08/2022,Equipment Furniture & Materials,524.87
Uk Point Of Sale Group Lt,08/02/2023,Marketing & Publicity,531.15
Safe Fence,05/05/2022,Equipment Furniture & Materials,1031.63
Replica Ltd,21/02/2023,Repairs & Maintenance (Non CPMF),1443.6
Absolute Snow,09/06/2022,Equipment Furniture & Materials,524.95
The Towel Shop,09/06/2022,"Clothing, Uniform and Laundry",1054.22
Abaris International L,09/03/2023,Equipment Furniture & Materials,820.8
Amznmktplace,13/12/2022,Equipment Furniture & Materials,3228.92
Decathlon,09/06/2022,Equipment Furniture & Materials,1893.57
Paypal *arrampica,08/02/2023,Equipment Furniture & Materials,828
Wrexham Self Storage Ltd,02/12/2022,Equipment Furniture & Materials,1087.87
Wrexham Self Storage Ltd,06/03/2023,Equipment Furniture & Materials,678.86
Www.Red17.Co.Uk,08/03/2023,Direct Materials,807
M&j Distributors Limit,10/01/2023,Equipment Furniture & Materials,999
Www.Sportline.Com,11/07/2022,Equipment Furniture & Materials,576
Www.Sportline.Com,11/07/2022,Equipment Furniture & Materials,1152
Safe Fence,09/06/2022,Equipment Furniture & Materials,569.82
Amznmktplace,11/08/2022,Equipment Furniture & Materials,559.8
Ripencccom,01/06/2022,Equipment Furniture & Materials,671.01
Bt Repayment Works Or,01/02/2023,Computer Equipment,826.08
Wickes Building,10/11/2022,Equipment Furniture & Materials,925
Wickes Building,02/03/2023,Equipment Furniture & Materials,1490
Travelodge Gb0000,07/10/2022,Equipment Furniture & Materials,1196.87
Holiday Inn Express Leigh,11/05/2022,Equipment Furniture & Materials,1000
Holiday Inn Express Leigh,23/05/2022,Payments to Private Contractors,577.96
Holiday Inn Express Leigh,07/06/2022,Payments to Private Contractors,770
Hotel At Booking.Com,10/05/2022,Payments to Private Contractors,654.17
Premier Inn44017435,11/05/2022,Equipment Furniture & Materials,789.36
Premier Inn44017435,23/05/2022,Payments to Private Contractors,517.86
Www.Thehubevents.Com,12/04/2022,Equipment Furniture & Materials,1392
Premier Inn,03/11/2022,Equipment Furniture & Materials,1323
North West Landlords A,04/04/2022,Equipment Furniture & Materials,833.33
North West Landlords A,04/04/2022,Equipment Furniture & Materials,1000
North West Landlords A,12/04/2022,Professional Fees,1000
Purple,04/04/2022,Equipment Furniture & Materials,500
Purple,05/04/2022,Equipment Furniture & Materials,500
Purple,10/05/2022,Equipment Furniture & Materials,1577.4
Voucher Express,10/05/2022,Equipment Furniture & Materials,505.5
