Organisation name,Organisation code,Beneficiary,Date,Department,Summary of Purpose,Merchant Category,Amount (Net of VAT)
Wigan Council,E08000010,ABBOTT & SMITH LTD  ****,10/04/2014,Provider Management & Market Development,Supplies & Services,Equipment Furniture & Materials,758.33
Wigan Council,E08000010,ARGOS RETAIL GROUP  ****,10/04/2014,Provider Management & Market Development,Supplies & Services,Equipment Furniture & Materials,507.93
Wigan Council,E08000010,ARGOS RETAIL GROUP  ****,10/04/2014,Provider Management & Market Development,Supplies & Services,Equipment Furniture & Materials,528.33
Wigan Council,E08000010,ARGOS RETAIL GROUP  ****,10/04/2014,Targeted Services,Supplies & Services,Grants to External Bodies,608.92
Wigan Council,E08000010,DIRECT CARPET & VINY****,10/04/2014,Provider Management & Market Development,Supplies & Services,Equipment Furniture & Materials,552.5
Wigan Council,E08000010,EVENT EQUIPMENT LTD ****,10/04/2014,Targeted Services,Supplies & Services,Payments to Carers,1000
Wigan Council,E08000010,HMCOURTS-SERVICE.G  ****,10/04/2014,Customer Services,Supplies & Services,Professional Fees,3771
Wigan Council,E08000010,R N I B             ****,10/04/2014,Corporate,Capital Expenditure,GF Capital Expenditure,550.67
Wigan Council,E08000010,R N I B             ****,10/04/2014,Corporate,Capital Expenditure,GF Capital Expenditure,792
Wigan Council,E08000010,THETRAINLINE.COM    ****Split 2,10/04/2014,Wigan and Leigh Housing,Transport,Employee Transport Costs,834.78
Wigan Council,E08000010,TRAINLINE.COM       ****,10/04/2014,Partnerships & Safeguarding,Transport,Employee Transport Costs,705.33
Wigan Council,E08000010,ARGOS RETAIL GROUP  ****,13/05/2014,Provider Management & Market Development,Supplies & Services,Equipment Furniture & Materials,608.94
Wigan Council,E08000010,DFS                 ****,13/05/2014,Targeted Services,Supplies & Services,Grants to External Bodies,582
Wigan Council,E08000010,R N I B             ****,13/05/2014,Support & Safeguarding,Supplies & Services,Equipment Furniture & Materials,712.8
Wigan Council,E08000010,SYKES COTTAGES      ****,13/05/2014,Targeted Services,Supplies & Services,Payments to Carers,537.5
Wigan Council,E08000010,THE TRAINLINE.COM   ****,13/05/2014,Finance,Transport,Employee Transport Costs,1462.68
Wigan Council,E08000010,WWW.NEOPOST.CO.UK   ****Credifon Topup,13/05/2014,Wigan and Leigh Housing,Supplies & Services,Postages,1800
Wigan Council,E08000010,WWW.ROYALMAIL.COM   ****,13/05/2014,Wigan and Leigh Housing,Supplies & Services,Postages,575
Wigan Council,E08000010,WWW.ROYALMAIL.COM   ****,13/05/2014,Wigan and Leigh Housing,Supplies & Services,Postages,620
Wigan Council,E08000010,WWW.ROYALMAIL.COM   ****,13/05/2014,Wigan and Leigh Housing,Supplies & Services,Postages,630
Wigan Council,E08000010,AQUARIUS BEDROOMS AN****,16/06/2014,Provider Management & Market Development,Supplies & Services,Equipment Furniture & Materials,1000
Wigan Council,E08000010,AQUARIUS BEDROOMS AN****,16/06/2014,Provider Management & Market Development,Supplies & Services,Equipment Furniture & Materials,1000
Wigan Council,E08000010,ARGOS LTD           ****,16/06/2014,Provider Management & Market Development,Supplies & Services,Equipment Furniture & Materials,528.56
Wigan Council,E08000010,ARGOS RETAIL GROUP  ****,16/06/2014,Provider Management & Market Development,Supplies & Services,Equipment Furniture & Materials,519.05
Wigan Council,E08000010,COUNTY COURT        ****,16/06/2014,Targeted Services,Supplies & Services,Professional Fees,5940
Wigan Council,E08000010,COUNTY COURT        ****,16/06/2014,Targeted Services,Supplies & Services,Professional Fees,9960
Wigan Council,E08000010,FAZACKERLEY LTD     ****,16/06/2014,Provider Management & Market Development,Supplies & Services,Equipment Furniture & Materials,729.17
Wigan Council,E08000010,HMCOURTS-SERVICE.G  ****,16/06/2014,Finance,Supplies & Services,Professional Fees,4416
Wigan Council,E08000010,HMCOURTS-SERVICE.G  ****,16/06/2014,Finance,Supplies & Services,Professional Fees,6030
Wigan Council,E08000010,R N I B             ****,16/06/2014,Support & Safeguarding,Supplies & Services,Equipment Furniture & Materials,582.16
Wigan Council,E08000010,WWW.NEOPOST.CO.UK   ****Credifon Topup,16/06/2014,Wigan and Leigh Housing,Supplies & Services,Postages,1800
Wigan Council,E08000010,WWW.ROYALMAIL.COM   ****,16/06/2014,Wigan and Leigh Housing,Supplies & Services,Postages,690
Wigan Council,E08000010,WWW.SHEETPLASTICS.CO****,16/06/2014,Education,Premises,Repairs & Maintenance (Non CPMF),554
Wigan Council,E01000010,ARGOS RETAIL GROUP  ****,16/07/2014,Provider Management & Market Development,Supplies & Services,Equipment Furniture & Materials,611.65
Wigan Council,E01000010,ASHTON FURNISHINGS  ****,16/07/2014,Provider Management & Market Development,Supplies & Services,Equipment Furniture & Materials,1000
Wigan Council,E01000010,BRDGEDGTALSERVSLTD  ****,16/07/2014,Support & Safeguarding,Supplies & Services,Equipment Furniture & Materials,800
Wigan Council,E01000010,COUNTY COURT        ****,16/07/2014,Housing Revenue Account,Supplies & Services,Professional Fees,545
Wigan Council,E01000010,COUNTY COURT        ****,16/07/2014,Housing Revenue Account,Supplies & Services,Professional Fees,545
Wigan Council,E01000010,COUNTY COURT        ****,16/07/2014,Housing Revenue Account,Supplies & Services,Professional Fees,560
Wigan Council,E01000010,COUNTY COURT        ****,16/07/2014,Targeted Services,Supplies & Services,Professional Fees,6380
Wigan Council,E01000010,COUNTY COURT        ****,16/07/2014,Targeted Services,Supplies & Services,Professional Fees,10275
Wigan Council,E01000010,E.ON ENERGY SOLUTION****,16/07/2014,Support & Safeguarding,Premises,Other Fuel,550
Wigan Council,E01000010,HIGH STREET VOUCHE  ****,16/07/2014,Wigan and Leigh Housing,Supplies & Services,Consumable Materials,606.25
Wigan Council,E01000010,HMCOURTS-SERVICE.G  ****,16/07/2014,Finance,Supplies & Services,Professional Fees,5457
Wigan Council,E01000010,HMCOURTS-SERVICE.G  ****,16/07/2014,Finance,Supplies & Services,Professional Fees,5523
Wigan Council,E01000010,PREMIER INN         ****,16/07/2014,Economic Development & Skills,Supplies & Services,Equipment Furniture & Materials,574.17
Wigan Council,E01000010,R N I B             ****,16/07/2014,Support & Safeguarding,Supplies & Services,Equipment Furniture & Materials,1119.48
Wigan Council,E01000010,RYDER TRUCK RENTAL  ****,16/07/2014,Trading,Transport,MOT Certificates/DOT Plating,833.33
Wigan Council,E01000010,TESCO DIRECT        ****,16/07/2014,Education,Supplies & Services,Equipment Furniture & Materials,780
Wigan Council,E01000010,THE GUIDE ASSOCIATIO****,16/07/2014,Partnerships & Safeguarding,Premises,Premises Related Support Costs,984.58
Wigan Council,E01000010,THE TRAINLINE.COM   ****,16/07/2014,Finance,Transport,Employee Transport Costs,1662.4
Wigan Council,E01000010,TRAINLINE.COM       ****,16/07/2014,Wigan and Leigh Housing,Salaries,Learning and Development,644.13
Wigan Council,E01000010,WWW.NEOPOST.CO.UK   ****Credifon Topup,16/07/2014,Wigan and Leigh Housing,Supplies & Services,Postages,1500
Wigan Council,E01000010,Amazon Mktplce EU-UK****,15/08/2014,Trading,Supplies & Services,Printing & Stationery Supplies,686.4
Wigan Council,E01000010,Amazon Mktplce EU-UK****,15/08/2014,Wigan and Leigh Housing,Supplies & Services,Postages,724.7
Wigan Council,E01000010,ARGOS LTD           ****,15/08/2014,Provider Management & Market Development,Supplies & Services,Equipment Furniture & Materials,565.24
Wigan Council,E01000010,ARGOS RETAIL GROUP  ****,15/08/2014,Targeted Services,Supplies & Services,Grants to External Bodies,579.72
Wigan Council,E01000010,COUNTY COURT        ****,15/08/2014,Targeted Services,Supplies & Services,Professional Fees,560
Wigan Council,E01000010,COUNTY COURT        ****,15/08/2014,Customer Services,Supplies & Services,Professional Fees,700
Wigan Council,E01000010,COUNTY COURT        ****,15/08/2014,Targeted Services,Supplies & Services,Professional Fees,6620
Wigan Council,E01000010,COUNTY COURT        ****,15/08/2014,Targeted Services,Supplies & Services,Professional Fees,6835
Wigan Council,E01000010,COUNTY COURT        ****,15/08/2014,Targeted Services,Supplies & Services,Professional Fees,8220
Wigan Council,E01000010,COUNTY COURT        ****,15/08/2014,Targeted Services,Supplies & Services,Professional Fees,8890
Wigan Council,E01000010,HMCOURTS-SERVICE.G  ****,15/08/2014,Finance,Supplies & Services,Professional Fees,3309
Wigan Council,E01000010,HMCOURTS-SERVICE.G  ****,15/08/2014,Finance,Supplies & Services,Professional Fees,4677
Wigan Council,E01000010,HMCOURTS-SERVICE.G  ****,15/08/2014,Finance,Supplies & Services,Professional Fees,5430
Wigan Council,E01000010,HMCOURTS-SERVICE.G  ****,15/08/2014,Finance,Supplies & Services,Professional Fees,6219
Wigan Council,E01000010,PARTRIDGE  PRINT    ****,15/08/2014,Human Resources and Organisational Development,Supplies & Services,Professional Fees,808
Wigan Council,E01000010,PAYPAL ZAPGRAFFITI  ****,15/08/2014,Early Intervention and Prevention (Children),Supplies & Services,Equipment Furniture & Materials,550
Wigan Council,E01000010,PLA LETTINGS LTD    ****,15/08/2014,Targeted Services,Supplies & Services,Grants to External Bodies,755
Wigan Council,E01000010,PREMIER INN         ****,15/08/2014,Partnerships & Safeguarding,Supplies & Services,"Education, Training, Exam Fees",1316.67
Wigan Council,E01000010,PREMIER INN         ****,15/08/2014,Partnerships & Safeguarding,Supplies & Services,Provision of Meals,763.02
Wigan Council,E01000010,R N I B             ****,15/08/2014,Support & Safeguarding,Supplies & Services,Equipment Furniture & Materials,1374.52
Wigan Council,E01000010,SCS                 ****,15/08/2014,Provider Management & Market Development,Supplies & Services,Equipment Furniture & Materials,539
Wigan Council,E01000010,SIGHT  SOUND        ****,15/08/2014,Support & Safeguarding,Supplies & Services,Computer Equipment,564.95
Wigan Council,E01000010,THOMSON             ****,15/08/2014,Targeted Services,Transport,Employee Transport Costs,750.52
Wigan Council,E01000010,WELCH MILL CARPETS  ****,15/08/2014,Provider Management & Market Development,Supplies & Services,Equipment Furniture & Materials,750
Wigan Council,E01000010,WWW.ROYALMAIL.COM   ****,15/08/2014,Wigan and Leigh Housing,Supplies & Services,Postages,575
Wigan Council,E01000010,WWW.ROYALMAIL.COM   ****,15/08/2014,Wigan and Leigh Housing,Supplies & Services,Postages,620
Wigan Council,E01000010,ABBOTT  SMITH LTD   ****,16/09/2014,Provider Management & Market Development,Supplies & Services,Equipment Furniture & Materials,699
Wigan Council,E01000010,Amazon EU           ****,16/09/2014,Legal,Supplies & Services,Printing & Stationery Supplies,624.63
Wigan Council,E01000010,B  Q DIRECT         ****,16/09/2014,Provider Management & Market Development,Premises,Repairs & Maintenance (Non CPMF),508
Wigan Council,E01000010,COUNTY COURT        ****,16/09/2014,Targeted Services,Supplies & Services,Professional Fees,8675
Wigan Council,E01000010,COUNTY COURT        ****,16/09/2014,Targeted Services,Supplies & Services,Professional Fees,11855
Wigan Council,E01000010,FLAMINGOLAND.CO.UK  ****,16/09/2014,Targeted Services,Supplies & Services,Personal Needs,575
Wigan Council,E01000010,HMCOURTS-SERVICE.G  ****,16/09/2014,Customer Services,Supplies & Services,Professional Fees,3306
Wigan Council,E01000010,NL COMMERCIALS LTD  ****,16/09/2014,Early Intervention and Prevention (Children),Transport,Vehicle and Plant Hire,595
Wigan Council,E01000010,R N I B             ****,16/09/2014,Support & Safeguarding,Supplies & Services,Equipment Furniture & Materials,1306.53
Wigan Council,E01000010,RYANAIR             ****,16/09/2014,Support & Safeguarding,Transport,Employee Transport Costs,654.2
Wigan Council,E01000010,WWW.FLYBE.COFVV0TB  ****,16/09/2014,Economic Development & Skills,Transport,Employee Transport Costs,546.67
Wigan Council,E01000010,WWW.FLYBE.COFVZZ12  ****,16/09/2014,Economic Development & Skills,Transport,Employee Transport Costs,572.56
Wigan Council,E01000010,WWW.NEOPOST.CO.UK   ****Credifon Topup,16/09/2014,Wigan and Leigh Housing,Supplies & Services,Postages,1500
Wigan Council,E01000010,WWW.ROYALMAIL.COM   ****,16/09/2014,Wigan and Leigh Housing,Supplies & Services,Postages,690
Wigan Council,E01000010,ARGOS LTD           ****,13/10/2014,Provider Management & Market Development,Supplies & Services,Equipment Furniture & Materials,570.42
Wigan Council,E01000010,ARGOS RETAIL GROUP  ****,13/10/2014,Provider Management & Market Development,Supplies & Services,Equipment Furniture & Materials,501.46
Wigan Council,E01000010,ASDA  DIRECT WEB 438****,13/10/2014,Education,Supplies & Services,Equipment Furniture & Materials,1002.95
Wigan Council,E01000010,COUNTY COURT        ****,13/10/2014,Customer Services,Supplies & Services,Professional Fees,800
Wigan Council,E01000010,COUNTY COURT        ****,13/10/2014,Targeted Services,Supplies & Services,Professional Fees,10730
Wigan Council,E01000010,HMCOURTS-SERVICE.G  ****,13/10/2014,Customer Services,Supplies & Services,Professional Fees,4494
Wigan Council,E01000010,POST OFFICE COUNTER ****,13/10/2014,Education,Supplies & Services,Telecommunications,500
Wigan Council,E01000010,PRESTIGE RADIATORS L****,13/10/2014,Housing Revenue Account,Supplies & Services,Professional Fees,582.18
Wigan Council,E01000010,R N I B             ****,13/10/2014,Support & Safeguarding,Supplies & Services,Equipment Furniture & Materials,635.48
Wigan Council,E01000010,SCS                 ****,13/10/2014,Provider Management & Market Development,Supplies & Services,Equipment Furniture & Materials,656
Wigan Council,E01000010,SIGHT  SOUND        ****,13/10/2014,Support & Safeguarding,Supplies & Services,Equipment Furniture & Materials,559.95
