Beneficiary,Date,Merchant Category,Amount (Net of VAT)
Coordination Group Publications Ltd,09/04/2024,"Books, Publications and Resources",666.67
Talking Mats,03/05/2024,"Education, Training, Exam Fees",658
Www.Discountdisplays.C,08/04/2024,Equipment Furniture & Materials,821.95
Www.Adass.Org.Uk,10/04/2024,Equipment Furniture & Materials,605
Amznmktplace,08/04/2024,Grants to External Bodies,545
Lodge Appliances,08/04/2024,Grants to External Bodies,800
Amazon* 204-5093200-00,08/04/2024,Grants to External Bodies,679.4
Amazon* 204-8895903-45,08/05/2024,Grants to External Bodies,541
Paypal *argosdirect,08/04/2024,Grants to External Bodies,693.99
Www.Argos.Co.Uk,08/05/2024,Grants to External Bodies,501.69
Perrys Bolton Seat,05/04/2024,Equipment Furniture & Materials,"2,949.00"
Child Poverty Action G,14/05/2024,"Books, Publications and Resources",795.99
Rs Components,06/05/2024,Equipment Furniture & Materials,747
Www.Adass.Org.Uk,05/04/2024,Equipment Furniture & Materials,755
Www.Adass.Org.Uk,05/04/2024,Equipment Furniture & Materials,755
Www.Adass.Org.Uk,08/05/2024,Equipment Furniture & Materials,"2,376.00"
Trainline,08/05/2024,Employee Transport Costs,"1,136.49"
Enviroment Agency,07/05/2024,Waste and Recycling,"3,960.55"
Amari Manchester (005),07/05/2024,Direct Materials,"3,330.16"
Certsure Llp Portal,07/05/2024,"Education, Training, Exam Fees",575
Btas UK Limited,03/04/2024,"Education, Training, Exam Fees",891.25
Btas UK Limited,03/04/2024,"Education, Training, Exam Fees","1,018.85"
Icon Training & Assess,03/04/2024,"Education, Training, Exam Fees","1,035.00"
Parlicentre.Org,04/04/2024,"Education, Training, Exam Fees","2,000.00"
Buyitdirect Co Uk,04/04/2024,Computer Software (Licences & Maintenance),"1,709.32"
Buyitdirect Co Uk,04/04/2024,Computer Software (Licences & Maintenance),"1,709.34"
Buyitdirect Co Uk,04/04/2024,Computer Software (Licences & Maintenance),"1,709.34"
Uavhub,04/04/2024,Equipment Furniture & Materials,"1,451.30"
Uavhub,04/04/2024,Equipment Furniture & Materials,"1,451.30"
Zettle_*two Left Feet,16/05/2024,Equipment Furniture & Materials,516.06
Allpay *great Places Hous,10/05/2024,Rent,539.33
Premier Inn,08/05/2024,Equipment Furniture & Materials,604.97
Sp Meglio,04/04/2024,Equipment Furniture & Materials,929.2
Henchman,03/05/2024,Equipment Furniture & Materials,569
Nisbets Ltd,04/04/2024,Equipment Furniture & Materials,908.38
Nisbets Ltd,04/04/2024,Equipment Furniture & Materials,"1,904.88"
Snowshock Ltd,03/05/2024,Equipment Furniture & Materials,"1,588.00"
Sumup *rugby League Care,04/04/2024,Equipment Furniture & Materials,"1,050.00"
Hartley Travel Limited,03/05/2024,Equipment Furniture & Materials,500
Cs* Tesco Stores Gc,04/04/2024,Provisions - Food and Drink,"4,800.00"
Sportsdirect.Com,03/04/2024,Equipment Furniture & Materials,"1,420.82"
Lake District N P,03/05/2024,Equipment Furniture & Materials,"1,200.00"
Www.Dji.Com,09/04/2024,Equipment Furniture & Materials,619
Uavhub,15/05/2024,Equipment Furniture & Materials,894
Ripencccom,08/05/2024,Equipment Furniture & Materials,"1,281.95"
Ramblers Association,03/04/2024,Licence Fees,750
Crowdfund* Crowdfunder,09/04/2024,Equipment Furniture & Materials,"2,000.00"
Crowdfund* Crowdfunder,01/05/2024,Equipment Furniture & Materials,"1,250.00"
Justgiving Amyhodgson,01/05/2024,Equipment Furniture & Materials,"1,500.00"
Currys Wigan,03/04/2024,Equipment Furniture & Materials,833.33
Wigan Carpets,01/05/2024,Equipment Furniture & Materials,"1,418.00"
Pmt Online,03/05/2024,Equipment Furniture & Materials,"1,157.50"
Mailchimp,04/04/2024,Advertising (Non Employee),755.28
Bkg*hotel At Booking.C,08/05/2024,Hospitality,682.6
Amznmktplace*hd9yt62h4,16/05/2024,Equipment Furniture & Materials,514.98
Lgc*uber Giftcard,07/05/2024,Home To School,600
Sp Arthaussfurniture,07/05/2024,Equipment Furniture & Materials,599
Residential Estates,12/04/2024,Rent,980
The Mercury Hotel,08/05/2024,Payments to Private Contractors,866.67
The Mercury Hotel,08/05/2024,Payments to Private Contractors,866.67
Perrys Bolton Seat,04/04/2024,Equipment Furniture & Materials,"2,749.00"
Tahdah Verified,03/04/2024,Computer Software (Licences & Maintenance),732
Paypal *argosdirect,08/04/2024,Grants to External Bodies,636.95
Www.Argos.Co.Uk,02/05/2024,Grants to External Bodies,501.62
Www.Argos.Co.Uk,02/05/2024,Grants to External Bodies,516.62
Www.Argos.Co.Uk,02/05/2024,Grants to External Bodies,581.62
Www.Argos.Co.Uk,02/05/2024,Grants to External Bodies,656.95
Residential Estates,12/04/2024,Hospitality,980
Residential Estates,07/05/2024,Hospitality,980
Residential Estates,07/05/2024,Hospitality,980
The Mercury Hotel,16/04/2024,Payments to Private Contractors,687.5
Dewisant Lettings And,21/05/2024,Payments to Private Contractors,"2,333.33"
Reedsrains.Co.Uk,18/04/2024,Payments to Private Contractors,"1,282.05"
Airbnb * Hmea8yst32,08/04/2024,Employee Transport Costs,"1,202.57"
Salesforce.Com Emea Li,09/05/2024,Equipment Furniture & Materials,811.4
Air Tool Services,05/04/2024,Equipment Furniture & Materials,990.94
Amznmktplace*h57k09354,09/05/2024,Equipment Furniture & Materials,"1,124.14"
Sp Electric Mania,14/05/2024,Equipment Furniture & Materials,"1,512.00"
Sp Electric Mania,14/05/2024,Equipment Furniture & Materials,"1,512.00"
Www.Supertuffeurope.Co,11/04/2024,Equipment Furniture & Materials,739.2
Ikea Ltd Shop Online,04/07/2024,Equipment Furniture & Materials,604.17
Working Planet Payment,01/08/2024,Advertising (Non Employee),597.6
Facebk *6qsjk5gsw2,05/07/2024,Advertising (Non Employee),500
Facebk *dbhqb3lsw2,11/06/2024,Advertising (Non Employee),500
Facebk *v8xdh6csw2,09/08/2024,Advertising (Non Employee),500
Paypal *ikealimited 60,09/08/2024,Grants to External Bodies,681.67
Sumup *afghan Shop Lt,09/07/2024,Grants to External Bodies,550
Amazon* 204-2682722-25,14/06/2024,Grants to External Bodies,574.32
Paypal *argosdirect,14/06/2024,Grants to External Bodies,516.99
Paypal *argosdirect,09/07/2024,Grants to External Bodies,619.19
Paypal *argosdirect,09/07/2024,Grants to External Bodies,736.95
Paypal *argosdirect,09/08/2024,Grants to External Bodies,534.17
Easyjet 000k7s4pbf,05/08/2024,Equipment Furniture & Materials,712.96
Premier Inn,04/07/2024,Equipment Furniture & Materials,956.91
Amari Manchester (005),06/06/2024,Direct Materials,"1,931.87"
Brickstore Ltd,06/06/2024,Direct Materials,588.75
Www.Rentontime.Co.Uk,06/06/2024,Professional Fees,585
Indeed 91687825,07/06/2024,Agency Staff,502.16
Indeed 94239822,07/08/2024,Agency Staff,500.76
Doubletree Hotels,06/06/2024,Hospitality,"1,159.85"
The Mercury Hotel,17/07/2024,Payments to Private Contractors,541.67
The Mercury Hotel,17/07/2024,Payments to Private Contractors,595.83
Cs *tesco Gc,14/08/2024,Provisions - Food and Drink,833.33
The International Hotel,22/07/2024,Employee Subsistence,633
Cs *tesco Gc,01/08/2024,Equipment Furniture & Materials,"3,000.00"
Machine Mart Web,01/08/2024,Equipment Furniture & Materials,"1,197.60"
Hse,12/06/2024,Equipment Furniture & Materials,715
Buy It Direct,12/06/2024,Equipment Furniture & Materials,"1,287.57"
Northern Diver (Intnl),01/08/2024,Equipment Furniture & Materials,"3,588.00"
Northern Diver (Intnl),08/08/2024,Equipment Furniture & Materials,"1,934.40"
Sp Jm Band,12/06/2024,Equipment Furniture & Materials,"1,280.41"
Ao Retail Limited,05/07/2024,Equipment Furniture & Materials,"1,055.83"
Barker & Stonehous,12/08/2024,Equipment Furniture & Materials,833.33
Www.Planningportal.Co.,05/08/2024,Professional Fees,540
Furniture Village,12/06/2024,Equipment Furniture & Materials,"1,704.17"
Crowdfund* Crowdfunder,05/06/2024,Equipment Furniture & Materials,"1,000.00"
Crowdfund* Crowdfunder,02/07/2024,Equipment Furniture & Materials,"1,250.00"
Gofndme *support Pembe,12/08/2024,Equipment Furniture & Materials,"2,000.00"
Sp Chamberlain Music,08/07/2024,Equipment Furniture & Materials,758.33
Www.Eric.Uwl.Ac.Uk,06/06/2024,Equipment Furniture & Materials,628
Bandstands.Co.Uk,07/08/2024,Equipment Furniture & Materials,"1,287.50"
A B Print Group Limited,08/07/2024,Equipment Furniture & Materials,763.58
Www.Adass.Org.Uk,11/07/2024,Equipment Furniture & Materials,540
Badgemaster Limited,11/06/2024,Marketing & Publicity,500.65
The Paddock,04/07/2024,Marketing & Publicity,605
Uk Business Events Ltd,21/06/2024,Computer Software (Licences & Maintenance),984
Amazon* 204-7463179-95,06/08/2024,Equipment Furniture & Materials,526.85
Qatar Air 0002114876359,10/06/2024,Employee Transport Costs,"1,011.52"
Lgc*uber Giftcard,08/07/2024,Children�s ITU Contractor Costs,500
Dignity Web,17/06/2024,Professional Fees,"1,973.00"
Neofinix.Com,07/08/2024,Rent,600
Bkg*hotel At Booking.C,08/07/2024,Hospitality,"1,370.88"
Bkg*hotel At Booking.C,07/08/2024,Rent,628.11
Booking.Com,07/08/2024,Rent,"1,257.75"
The Mercury Hotel,10/07/2024,Payments to Private Contractors,650
The Mercury Hotel,10/07/2024,Payments to Private Contractors,758.33
The Mercury Hotel,10/07/2024,Payments to Private Contractors,866.67
The Mercury Hotel,10/07/2024,Payments to Private Contractors,866.67
The Mercury Hotel,10/07/2024,Payments to Private Contractors,866.67
The Mercury Hotel,11/07/2024,Payments to Private Contractors,758.33
The Mercury Hotel,05/08/2024,Payments to Private Contractors,650
The Mercury Hotel,06/08/2024,Payments to Private Contractors,650
The Mercury Hotel,06/08/2024,Payments to Private Contractors,650
Booking.Com,05/08/2024,Payments to Private Contractors,640.2
Furniturerunner.Com,09/08/2024,GF Capital Expenditure,504.37
Next Directory,05/07/2024,"Clothing, Uniform and Laundry",589.95
Nisbets Ltd,11/06/2024,Equipment Furniture & Materials,"3,680.49"
Ikea Ltd Shop Online,11/06/2024,Equipment Furniture & Materials,973.33
Ikea Ltd Shop Online,11/06/2024,Equipment Furniture & Materials,908.33
Facebk*,17/06/2024,Advertising (Non Employee),500
Facebk*,17/06/2024,Advertising (Non Employee),500
Facebk*,17/06/2024,Advertising (Non Employee),500
Facebk*,21/06/2024,Advertising (Non Employee),500
Tahdah Verified,05/06/2024,"Education, Training, Exam Fees",732
Tahdah Verified,08/07/2024,"Education, Training, Exam Fees",732
Tahdah Verified,02/08/2024,Computer Software (Licences & Maintenance),732
Allpay *great Places Hous,21/06/2024,Equipment Furniture & Materials,530.04
Wf *uk4249339874,09/07/2024,Grants to External Bodies,603.89
Wf *uk4249344874,09/08/2024,Grants to External Bodies,669.99
Wf *uk4250358254,09/08/2024,Grants to External Bodies,679.99
Amazon* 204-8729412-30,12/06/2024,Grants to External Bodies,978.85
Www.Argos.Co.Uk,09/07/2024,Grants to External Bodies,678.2
Www.Argos.Co.Uk,09/07/2024,Grants to External Bodies,691.95
Www.Argos.Co.Uk,09/08/2024,Grants to External Bodies,511.37
Www.Argos.Co.Uk,09/08/2024,Grants to External Bodies,515.79
Www.Argos.Co.Uk,09/08/2024,Grants to External Bodies,666.87
Www.Argos.Co.Uk,09/08/2024,Grants to External Bodies,677.46
One4all,06/08/2024,Personal Needs,550
Sublime Embroidery And,02/08/2024,"Clothing, Uniform and Laundry",975
Sumup *sublime Embroider,02/08/2024,"Clothing, Uniform and Laundry",974
Sumup *sublime Embroider,02/08/2024,"Clothing, Uniform and Laundry",999
Staycay.Uk,07/06/2024,Hospitality,975
Staycay.Uk,07/06/2024,Hospitality,"1,000.00"
Staycay.Uk,08/07/2024,Hospitality,"1,155.00"
Amazon* 204-6722892-40,11/07/2024,Equipment Furniture & Materials,633.71
Amazon* 204-8343596-85,22/08/2024,Professional Fees,793.69
Bkg*hotel At Booking.C,06/06/2024,Hospitality,"1,048.44"
Bkg*hotel At Booking.C,07/06/2024,Hospitality,"1,048.44"
Bkg*hotel At Booking.C,11/07/2024,Hospitality,962.8
Bkg*hotel At Booking.C,11/07/2024,Hospitality,"1,117.35"
Bkg*hotel At Booking.C,09/08/2024,Hospitality,577
Www.Argos.Co.Uk,12/06/2024,Equipment Furniture & Materials,501.95
Sterling Property Co L,17/06/2024,Payments to Private Contractors,953.77
Clr*www.Robertsaudios,06/06/2024,Equipment Furniture & Materials,"1,725.95"
Currys Online,12/08/2024,Equipment Furniture & Materials,604.99
Humanware Europe Limit,06/06/2024,Equipment Furniture & Materials,547.2
Amazon* Cc13j,06/06/2024,Equipment Furniture & Materials,"1,065.48"
Sp Electric Mania,06/06/2024,Equipment Furniture & Materials,"2,603.79"
Sp Electric Mania,06/06/2024,Equipment Furniture & Materials,"2,603.79"
Staycay.Uk,10/06/2024,Hospitality,975
Bkg*hotel At Booking.C,10/06/2024,Hospitality,539.22
Bkg*hotel At Booking.C,10/06/2024,Hospitality,539.22
Pearson Benelux,07/10/2024,"Books, Publications and Resources",856.5
Intuit Ltd Mailchimp,23/09/2024,Equipment Furniture & Materials,525.12
Intuit Ltd Mailchimp,21/10/2024,Equipment Furniture & Materials,507.61
Facebk *2rqq2agsw2,04/10/2024,Advertising (Non Employee),500
Facebk *s2vly7qsw2,04/09/2024,Advertising (Non Employee),500
Amznmktplace*hs32f6hf5,07/10/2024,Grants to External Bodies,720.45
Paypal *ikealimited 77,07/10/2024,Grants to External Bodies,645
Paypal *ikealimited 95,13/09/2024,Grants to External Bodies,602.5
Amazon* Oh6du97y5,07/10/2024,Grants to External Bodies,712.87
Paypal *argosdirect,13/09/2024,Grants to External Bodies,531.95
Paypal *argosdirect,07/10/2024,Grants to External Bodies,541.88
Paypal *wowcher,07/10/2024,Grants to External Bodies,579
Sas Event Management,23/09/2024,Conferences,721.99
Www.Local.Gov.Uk,07/10/2024,Equipment Furniture & Materials,"2,041.20"
Booking.Com,08/10/2024,Employee Transport Costs,996.1
Booking.Com,08/10/2024,Employee Transport Costs,"1,404.00"
Sp Unihertz-Shop,04/09/2024,Equipment Furniture & Materials,556.54
Rbl Poppy Appeal,07/10/2024,Equipment Furniture & Materials,825
Rbl Poppy Appeal,07/10/2024,Equipment Furniture & Materials,825
Simple Life,03/10/2024,Professional Fees,"2,210.00"
Eb *housing Data And A,04/10/2024,Conferences,800
Lockershopuk.Co.Uk,14/10/2024,Equipment Furniture & Materials,670.6
Baker Ross,04/09/2024,Equipment Furniture & Materials,"1,353.75"
C & D Systems Ltd,07/10/2024,Computer Software (Licences & Maintenance),696
Cs *tesco Gc,07/10/2024,Provisions - Food and Drink,"3,000.00"
M And J Distributors,08/10/2024,Equipment Furniture & Materials,900
Barker & Stonehous,13/09/2024,Equipment Furniture & Materials,650
Barker & Stonehous,13/09/2024,Equipment Furniture & Materials,"1,666.67"
Www.Planningportal.Co.,23/10/2024,Professional Fees,540
Avenue Dental Centre,04/10/2024,Equipment Furniture & Materials,"1,849.00"
Crowdfund* Crowdfunder,03/09/2024,Equipment Furniture & Materials,"2,000.00"
