Beneficiary,Date,Merchant Category,Amount (Net of VAT)
Www.Tlcstay.Co.Uk,02/04/2025,Hospitality,"2,088.00"
Bkg*hotel At Booking.C,02/04/2025,Hospitality,674
Bkg*hotel At Booking.C,02/04/2025,Hospitality,"2,418.80"
Amazon* Rz8045o84,02/04/2025,Equipment Furniture & Materials,672.13
Furniture@work Ltd,02/04/2025,Equipment Furniture & Materials,509
Furniture@work Ltd,02/04/2025,Equipment Furniture & Materials,650
Amazon* Rb9ca3wx4,02/04/2025,Equipment Furniture & Materials,508.95
Www.Adass.Org.Uk,03/04/2025,Equipment Furniture & Materials,855
Association For Public,03/04/2025,"Education, Training, Exam Fees","1,121.00"
Crowdfund* Crowdfunder,03/04/2025,Equipment Furniture & Materials,"2,000.00"
Gofundme,03/04/2025,Equipment Furniture & Materials,"2,000.00"
Cipd.Co.Uk,03/04/2025,Equipment Furniture & Materials,990
Hse,03/04/2025,Equipment Furniture & Materials,715
Crowdfund* Crowdfunder,04/04/2025,Equipment Furniture & Materials,600
Ikea Ltd Shop Online,04/04/2025,Equipment Furniture & Materials,554.17
Cipd.Co.Uk,04/04/2025,Equipment Furniture & Materials,"1,188.00"
Sp Rnib,04/04/2025,Equipment Furniture & Materials,623.33
Sp Rnib,04/04/2025,Equipment Furniture & Materials,642
Hogrefe Ltd.,04/04/2025,Equipment Furniture & Materials,538.8
Direct Fabr,04/04/2025,Equipment Furniture & Materials,"1,895.21"
Defibshop.Co.Uk,08/04/2025,Equipment Furniture & Materials,"1,194.00"
Onlineshop* O #7441,08/04/2025,Equipment Furniture & Materials,515
Holiday Inn Express Wiga,08/04/2025,Equipment Furniture & Materials,991.45
Thomann Co Uk,08/04/2025,Equipment Furniture & Materials,695.83
Amazon* Ri0qo67w4,14/04/2025,Grants to External Bodies,559.99
Amazon* Ri6h54i64,14/04/2025,Grants to External Bodies,501.72
Paypal *argosdirect,14/04/2025,Grants to External Bodies,502.46
Paypal *argosdirect,14/04/2025,Grants to External Bodies,549.07
Paypal *argosdirect,14/04/2025,Grants to External Bodies,583.41
Amazon* Rw3o56o04,14/04/2025,Equipment Furniture & Materials,937.98
Argos,14/04/2025,Equipment Furniture & Materials,604.95
Www.Argos.Co.Uk,14/04/2025,Equipment Furniture & Materials,554.95
