Body Name,Transaction Number,Account Code Description,Expenses Type,Service Code,Service Area Categorisation,Supplier Name,Date,Amount
Bath and North East Somerset Council,81297172,LM2,Foster Carer Allowances,P21,Childrens Services,REDACTED,02/10/2024,26.1
Bath and North East Somerset Council,81297182,LM2,Foster Carer Allowances,P21,Childrens Services,REDACTED,02/10/2024,27
Bath and North East Somerset Council,11096126,LA1,Equipment Purchase (Non Medical),P05,Neighbourhood Services,CHROMA VISION LIMITED,02/10/2024,44.96
Bath and North East Somerset Council,81297172,LL6,Needs & Services,P21,Childrens Services,REDACTED,02/10/2024,46.4
Bath and North East Somerset Council,11096138,KD1,Employees Public Transport,P33,Economic & Cultural Sustainable Development,VEEZU LTD,02/10/2024,62.42
Bath and North East Somerset Council,81297182,LL6,Needs & Services,P21,Childrens Services,REDACTED,02/10/2024,86.74
Bath and North East Somerset Council,81297168,LL3,Supported Living,P21,Childrens Services,REDACTED,02/10/2024,102
Bath and North East Somerset Council,81297155,LM5,Fostering Families Allowance,P21,Childrens Services,REDACTED,02/10/2024,122.92
Bath and North East Somerset Council,81297148,LL9,Special Guardianship,P21,Childrens Services,REDACTED,02/10/2024,129.95
Bath and North East Somerset Council,81297148,LL9,Special Guardianship,P21,Childrens Services,REDACTED,02/10/2024,129.95
Bath and North East Somerset Council,81297253,LM2,Foster Carer Allowances,P21,Childrens Services,REDACTED,02/10/2024,134.55
Bath and North East Somerset Council,81297148,LL9,Special Guardianship,P21,Childrens Services,REDACTED,02/10/2024,150.95
Bath and North East Somerset Council,81297148,LL9,Special Guardianship,P21,Childrens Services,REDACTED,02/10/2024,150.95
Bath and North East Somerset Council,81297252,LL9,Special Guardianship,P21,Childrens Services,REDACTED,02/10/2024,168.05
Bath and North East Somerset Council,81297168,LS1,Supported Lodgings CS,P21,Childrens Services,REDACTED,02/10/2024,171
Bath and North East Somerset Council,81297200,LM2,Foster Carer Allowances,P21,Childrens Services,REDACTED,02/10/2024,174.6
Bath and North East Somerset Council,81297148,LL9,Special Guardianship,P21,Childrens Services,REDACTED,02/10/2024,183.3
Bath and North East Somerset Council,81297230,LM2,Foster Carer Allowances,P21,Childrens Services,REDACTED,02/10/2024,185
Bath and North East Somerset Council,81297178,LM2,Foster Carer Allowances,P21,Childrens Services,REDACTED,02/10/2024,187.4
