Body Name,Transaction Number,Account Code Description,Expenses Type,Service Code,Service Area Categorisation,Supplier Name,Date,Amount
Bath and North East Somerset Council,81265541,PC1,Precepts,Z99,Outside Revenue Accounts,BATHFORD PARISH COUNCIL,02/04/2024,18475.00
Bath and North East Somerset Council,81265657,PG4,Support Grants,P19,Resources,COVID-19 BUSINESS GRANT,02/04/2024,750.00
Bath and North East Somerset Council,11078493,LM3,Residential Care,P20,Adult Services,CROCUS CARE LTD,02/04/2024,501.71
Bath and North East Somerset Council,81265544,PC1,Precepts,Z99,Outside Revenue Accounts,ST CATHERINE PARISH COUNCIL,02/04/2024,750.00
Bath and North East Somerset Council,81265517,PC1,Precepts,Z99,Outside Revenue Accounts,EAST HARPTREE PARISH COUNCIL,02/04/2024,8000.00
Bath and North East Somerset Council,81265510,PC1,Precepts,Z99,Outside Revenue Accounts,CLAVERTON PARISH COUNCIL,02/04/2024,1250.00
Bath and North East Somerset Council,81265526,PC1,Precepts,Z99,Outside Revenue Accounts,KELSTON PARISH MEETING,02/04/2024,1250.00
Bath and North East Somerset Council,81265523,PC1,Precepts,Z99,Outside Revenue Accounts,HIGH LITTLETON PARISH COUNCIL,02/04/2024,19500.00
Bath and North East Somerset Council,81265525,PC1,Precepts,Z99,Outside Revenue Accounts,HINTON CHARTERHOUSE PARISH COU,02/04/2024,9906.00
Bath and North East Somerset Council,81265557,PC1,Precepts,Z99,Outside Revenue Accounts,CHELWOOD PARISH COUNCIL,02/04/2024,1750.00
Bath and North East Somerset Council,81265534,PC1,Precepts,Z99,Outside Revenue Accounts,NORTON MALREWARD PARISH COUNC,02/04/2024,2000.00
Bath and North East Somerset Council,81265547,PC1,Precepts,Z99,Outside Revenue Accounts,SWAINSWICK PARISH COUNCIL,02/04/2024,2000.00
Bath and North East Somerset Council,81265556,PC1,Precepts,Z99,Outside Revenue Accounts,CHARLCOMBE PARISH COUNCIL,02/04/2024,2500.00
Bath and North East Somerset Council,81265532,PC1,Precepts,Z99,Outside Revenue Accounts,NEMPNETT THRUBWELL PARISH COUNCIL,02/04/2024,3050.00
Bath and North East Somerset Council,81265537,PC1,Precepts,Z99,Outside Revenue Accounts,PRISTON PARISH COUNCIL,02/04/2024,3914.50
Bath and North East Somerset Council,81265512,PC1,Precepts,Z99,Outside Revenue Accounts,COMBE HAY PARISH COUNCIL,02/04/2024,4896.00
Bath and North East Somerset Council,81265518,PC1,Precepts,Z99,Outside Revenue Accounts,ENGLISHCOMBE PARISH COUNCIL,02/04/2024,5000.00
Bath and North East Somerset Council,81265533,PC1,Precepts,Z99,Outside Revenue Accounts,NEWTON ST LOE PARISH COUNCIL,02/04/2024,5088.50
Bath and North East Somerset Council,81265528,PC1,Precepts,Z99,Outside Revenue Accounts,MARKSBURY PARISH COUNCIL,02/04/2024,5250.00
Bath and North East Somerset Council,81265542,PC1,Precepts,Z99,Outside Revenue Accounts,SHOSCOMBE PARISH COUNCIL,02/04/2024,5524.15
Bath and North East Somerset Council,81265513,PC1,Precepts,Z99,Outside Revenue Accounts,COMPTON DANDO PARISH COUNCIL,02/04/2024,5534.50
Bath and North East Somerset Council,81265524,PC1,Precepts,Z99,Outside Revenue Accounts,HINTON BLEWETT PARISH COUNCIL,02/04/2024,5729.00
Bath and North East Somerset Council,81265516,PC1,Precepts,Z99,Outside Revenue Accounts,DUNKERTON & TUNLEY PARISH COUNCIL,02/04/2024,6253.00
Bath and North East Somerset Council,81265551,PC1,Precepts,Z99,Outside Revenue Accounts,WEST HARPTREE PARISH COUNCIL,02/04/2024,6375.00
Bath and North East Somerset Council,81265531,PC1,Precepts,Z99,Outside Revenue Accounts,MONKTON COMBE PARISH COUNCIL,02/04/2024,6446.50
Bath and North East Somerset Council,81265521,PC1,Precepts,Z99,Outside Revenue Accounts,FARRINGTON GURNEY PARISH COUNCIL,02/04/2024,7166.50
Bath and North East Somerset Council,81265515,PC1,Precepts,Z99,Outside Revenue Accounts,CORSTON PARISH COUNCIL,02/04/2024,7180.00
Bath and North East Somerset Council,81265549,PC1,Precepts,Z99,Outside Revenue Accounts,UBLEY PARISH COUNCIL,02/04/2024,7727.31
Bath and North East Somerset Council,81265550,PC1,Precepts,Z99,Outside Revenue Accounts,WELLOW PARISH COUNCIL,02/04/2024,8020.00
Bath and North East Somerset Council,81265543,PC1,Precepts,Z99,Outside Revenue Accounts,SOUTHSTOKE PARISH COUNCIL,02/04/2024,9725.00
Bath and North East Somerset Council,81265545,PC1,Precepts,Z99,Outside Revenue Accounts,STANTON DREW PARISH COUNCIL,02/04/2024,9847.00
Bath and North East Somerset Council,81265514,PC1,Precepts,Z99,Outside Revenue Accounts,COMPTON MARTIN PARISH COUNCIL,02/04/2024,11000.00
Bath and North East Somerset Council,81265509,PC1,Precepts,Z99,Outside Revenue Accounts,CHEW STOKE PARISH COUNCIL,02/04/2024,11500.00
Bath and North East Somerset Council,81265538,PC1,Precepts,Z99,Outside Revenue Accounts,PUBLOW WITH PENSFORD PARISH COUNCIL,02/04/2024,12500.00
Bath and North East Somerset Council,81265555,PC1,Precepts,Z99,Outside Revenue Accounts,CAMERTON PARISH COUNCIL,02/04/2024,12759.50
Bath and North East Somerset Council,81265546,PC1,Precepts,Z99,Outside Revenue Accounts,STOWEY SUTTON PARISH COUNCIL,02/04/2024,14000.00
Bath and North East Somerset Council,81265519,PC1,Precepts,Z99,Outside Revenue Accounts,BATHAMPTON PARISH COUNCIL,02/04/2024,14850.00
Bath and North East Somerset Council,81265520,PC1,Precepts,Z99,Outside Revenue Accounts,FARMBOROUGH PARISH COUNCIL,02/04/2024,17500.00
Bath and North East Somerset Council,81265522,PC1,Precepts,Z99,Outside Revenue Accounts,FRESHFORD PARISH COUNCIL,02/04/2024,19051.37
Bath and North East Somerset Council,81265558,PC1,Precepts,Z99,Outside Revenue Accounts,CHEW MAGNA PARISH COUNCIL,02/04/2024,19250.00
Bath and North East Somerset Council,81265552,PC1,Precepts,Z99,Outside Revenue Accounts,TEMPLE CLOUD WITH CAMELEY PARISH COUNCIL,02/04/2024,21384.50
Bath and North East Somerset Council,81265554,PC1,Precepts,Z99,Outside Revenue Accounts,WHITCHURCH VILLAGE COUNCIL,02/04/2024,21840.00
Bath and North East Somerset Council,81265540,PC1,Precepts,Z99,Outside Revenue Accounts,SALTFORD PARISH COUNCIL,02/04/2024,28160.00
Bath and North East Somerset Council,81265511,PC1,Precepts,Z99,Outside Revenue Accounts,CLUTTON PARISH COUNCIL,02/04/2024,32234.00
Bath and North East Somerset Council,81265548,PC1,Precepts,Z99,Outside Revenue Accounts,TIMSBURY PARISH COUNCIL,02/04/2024,51000.00
Bath and North East Somerset Council,11078221,3C4,Building Works,P19,Resources,21st Century Building Services Ltd,02/04/2024,53493.82
Bath and North East Somerset Council,81265530,PC1,Precepts,Z99,Outside Revenue Accounts,BATHEASTON PARISH COUNCIL,02/04/2024,62287.50
Bath and North East Somerset Council,81265553,PC1,Precepts,Z99,Outside Revenue Accounts,WESTFIELD PARISH COUNCIL,02/04/2024,120401.00
Bath and North East Somerset Council,81265535,PC1,Precepts,Z99,Outside Revenue Accounts,PAULTON PARISH COUNCIL,02/04/2024,150888.23
Bath and North East Somerset Council,81265539,PC1,Precepts,Z99,Outside Revenue Accounts,RADSTOCK TOWN COUNCIL,02/04/2024,154722.50
Bath and North East Somerset Council,81265536,PC1,Precepts,Z99,Outside Revenue Accounts,PEASEDOWN ST JOHN PARISH COUNCIL,02/04/2024,168997.50
Bath and North East Somerset Council,81265529,PC1,Precepts,Z99,Outside Revenue Accounts,MIDSOMER NORTON TOWN COUNCIL,02/04/2024,279367.00
Bath and North East Somerset Council,81265527,PC1,Precepts,Z99,Outside Revenue Accounts,KEYNSHAM TOWN COUNCIL,02/04/2024,379019.00
Bath and North East Somerset Council,81266257,LJ3,Other Services to the Council,P32,Council Priorities & Delivery,REDACTED,03/04/2024,500.00
Bath and North East Somerset Council,81266267,LJ3,Other Services to the Council,P32,Council Priorities & Delivery,REDACTED,03/04/2024,500.00
Bath and North East Somerset Council,11078573,LA3,Equipment Maintenance (Non Medical),P05,Neighbourhood Services,HANNEY WELDING  LTD,03/04/2024,70.00
