PAYMENT DATE,SUPPLIER NAME,PURPOSE,DEPARTMENT,AMOUNT
02/01/2024,HAIL LTD,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",44417.78
02/01/2024,VERITY HEALTHCARE LTD,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",43707.35
02/01/2024,TRANSITION AND LATERLIFE MATTER LTD,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",15573.72
02/01/2024,HARINGEY MENCAP LIMITED,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",13947.04
02/01/2024,ASHNESS CARE LTD,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",9566.7
02/01/2024,TEMPORARY ACCOMODATION,Prem - Leasing,"Dir of Adults, Health & Communities",6000
02/01/2024,TEMPORARY ACCOMODATION,Prem - Rents,"Dir of Adults, Health & Communities",3600
02/01/2024,HAIL LTD,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",3461.67
02/01/2024,Taranto Systems Ltd,Parking,Dir of Environment & Resident Experience,2731.23
02/01/2024,FAITHORN FARRELL TIMMS,Consultancy,Housing Revenue Account,1830
02/01/2024,WARHAM SEYMOUR INVESTMENS LTD,Prem - Leasing,"Dir of Adults, Health & Communities",1776.66
02/01/2024,Personal Data Redacted,Prem - Leasing,"Dir of Adults, Health & Communities",1776.66
02/01/2024,CAPAAN DAY SERVICE,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",1755
02/01/2024,HARTLEY DEVELOPMENTS LIMITED,Prem - Leasing,"Dir of Adults, Health & Communities",1755
02/01/2024,HARTLEY DEVELOPMENTS LIMITED,Prem - Leasing,"Dir of Adults, Health & Communities",1755
02/01/2024,Personal Data Redacted,Prem - Leasing,"Dir of Adults, Health & Communities",1711.66
02/01/2024,STATEBOND LTD T/A HORNSEY AGENCIES,Prem - Leasing,"Dir of Adults, Health & Communities",1681.33
02/01/2024,Personal Data Redacted,Prem - Leasing,"Dir of Adults, Health & Communities",1681.33
02/01/2024,Personal Data Redacted,Prem - Leasing,"Dir of Adults, Health & Communities",1681.33
02/01/2024,ALLIED PUBLICITY SERVICES MANCHESTE,Parking,Dir of Environment & Resident Experience,1669.62
02/01/2024,Personal Data Redacted,Prem - Leasing,"Dir of Adults, Health & Communities",1646.66
02/01/2024,Taranto Systems Ltd,Parking,Dir of Environment & Resident Experience,1542.3
02/01/2024,WARHAM SEYMOUR INVESTMENS LTD,Prem - Leasing,"Dir of Adults, Health & Communities",1525.28
02/01/2024,Personal Data Redacted,Prem - Leasing,"Dir of Adults, Health & Communities",1516.66
02/01/2024,Taranto Systems Ltd,Parking,Dir of Environment & Resident Experience,1502.05
02/01/2024,Personal Data Redacted,Prem - Leasing,"Dir of Adults, Health & Communities",1495
02/01/2024,Personal Data Redacted,Prem - Leasing,"Dir of Adults, Health & Communities",1451.66
02/01/2024,Personal Data Redacted,Prem - Leasing,"Dir of Adults, Health & Communities",1451.66
02/01/2024,Personal Data Redacted,Prem - Leasing,"Dir of Adults, Health & Communities",1451.66
02/01/2024,LYCIUM LIMITED,Prem - Leasing,"Dir of Adults, Health & Communities",1408.33
02/01/2024,Personal Data Redacted,Prem - Leasing,"Dir of Adults, Health & Communities",1408.33
02/01/2024,Personal Data Redacted,Prem - Leasing,"Dir of Adults, Health & Communities",1386.66
02/01/2024,CLASS ESTATES LIMITED,Prem - Leasing,"Dir of Adults, Health & Communities",1365.52
02/01/2024,Personal Data Redacted,Prem - Leasing,"Dir of Adults, Health & Communities",1365
02/01/2024,Personal Data Redacted,Prem - Leasing,"Dir of Adults, Health & Communities",1365
02/01/2024,Personal Data Redacted,Prem - Leasing,"Dir of Adults, Health & Communities",1365
02/01/2024,JUNITA LTD T/A STEPHEN GRACEY,Prem - Leasing,"Dir of Adults, Health & Communities",1360
02/01/2024,Personal Data Redacted,Prem - Leasing,"Dir of Adults, Health & Communities",1360
02/01/2024,CHOICE SUPPORT,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",1352.4
02/01/2024,Taranto Systems Ltd,Parking,Dir of Environment & Resident Experience,1320
02/01/2024,Personal Data Redacted,Prem - Leasing,"Dir of Adults, Health & Communities",1300
02/01/2024,ANS MANAGEMENT LTD,Prem - Leasing,"Dir of Adults, Health & Communities",1235
02/01/2024,VMG CONSTRUCTION LTD,Prem - Leasing,"Dir of Adults, Health & Communities",1235
02/01/2024,CLASS ESTATES LIMITED,Prem - Leasing,"Dir of Adults, Health & Communities",1235
02/01/2024,RINGDALE LTD,Prem - Leasing,"Dir of Adults, Health & Communities",1235
02/01/2024,ADAMS & STYLES,Prem - Leasing,"Dir of Adults, Health & Communities",1213.33
02/01/2024,ADAMS & STYLES,Prem - Leasing,"Dir of Adults, Health & Communities",1213.33
02/01/2024,WRIGHT EVENT SUPPLIES LTD,Technical & Feasibility,Dir of Finance,1207
02/01/2024,ANCHOR TEACHING LIMITED,Statutory Education Services,Dir of Children's Services,1200
02/01/2024,STATEBOND LTD T/A HORNSEY AGENCIES,Prem - Leasing,"Dir of Adults, Health & Communities",1191.66
02/01/2024,Personal Data Redacted,Prem - Leasing,"Dir of Adults, Health & Communities",1170
02/01/2024,KELTIC LIMITED,Parking,Dir of Environment & Resident Experience,1157.25
02/01/2024,ADAMS & STYLES,Prem - Leasing,"Dir of Adults, Health & Communities",1148.64
02/01/2024,LYCIUM LIMITED,Prem - Leasing,"Dir of Adults, Health & Communities",1148.33
02/01/2024,Personal Data Redacted,Prem - Leasing,"Dir of Adults, Health & Communities",1148.33
02/01/2024,Personal Data Redacted,Prem - Leasing,"Dir of Adults, Health & Communities",1148.33
02/01/2024,Personal Data Redacted,Prem - Leasing,"Dir of Adults, Health & Communities",1139.66
