Payment date,Supplier Name,Purpose,Department,Amount
03/04/2023,NRT Building Services Group Ltd.,Technical & Feasibility,Housing Revenue Account,683478.69
03/04/2023,HUMANKIND,Alcohol & Drug Rehabilitation,"Dir of Adults, Health & Communities",219093.63
03/04/2023,NRT Building Services Group Ltd.,Technical & Feasibility,Housing Revenue Account,165837.78
03/04/2023,URBIS SCHREDER LTD,Electricity,Dir of Finance,135076.29
03/04/2023,EQUANS REGENERATION LIMITED,Pay Cntrctor-Aqu L&B,Dir of Finance,125772
03/04/2023,REED WELLBEING LIMITED,Public Health,"Dir of Adults, Health & Communities",125000
03/04/2023,EQUANS REGENERATION LIMITED,Pay Cntrctor-Aqu L&B,Dir of Finance,92992.61
03/04/2023,Marston Holdings Ltd,Parking,Dir of Environment & Resident Experience,90184.1
03/04/2023,CCS MEDIA LIMITED,Hardware,Dir of Finance,72542.5
03/04/2023,NORTHGATE VEHICLE HIRE LTD,Leasing,Housing Revenue Account,63369.75
03/04/2023,Arc Group London Ltd,Priv - Sub Contract,Housing Revenue Account,59673.49
03/04/2023,MITRE CONSTRUCTION CO LTD,"Works - Construction, Repair & Maintenance",Dir of Environment & Resident Experience,40000
03/04/2023,EQUANS REGENERATION LIMITED,Buildings,Dir of Finance,39995.29
03/04/2023,MITRE CONSTRUCTION CO LTD,"Works - Construction, Repair & Maintenance",Dir of Environment & Resident Experience,39000
03/04/2023,FOURWAYS PLANT LTD,Priv - Sub Contract,Housing Revenue Account,38832.08
03/04/2023,Lilstone Limited,Buildings,Dir of Finance,34960
03/04/2023,Formation Design and Build Limited,Buildings,Dir of Finance,32056.73
03/04/2023,D&G CONSTRUCTION & ELECTRICAL LIMIT,Priv - Sub Contract,Housing Revenue Account,27420
03/04/2023,The Bridge Renewal trust,Community Based Services,Dir of Children's Services,27000
03/04/2023,Metis Consultants Limted,Water Assessment & Treatment,Dir of Environment & Resident Experience,26340
03/04/2023,THE SOUTHOVER PARTNERSHIP,Vol Sec -  Day Place,Dedicated Schools Grant Management,25200
03/04/2023,TRIPLE P UK LTD,Community Based Services,Dir of Children's Services,21445
03/04/2023,UNITED GUARDING SERVICES LTD,Security,Dir of Environment & Resident Experience,20708.22
03/04/2023,PSYCH MEDICS COMPANY (UK) LIMITED,"Advice, Advocacy & Counselling Services","Dir of Adults, Health & Communities",20277.9
03/04/2023,GOLDEN CARE ESTATES LTD,Priv - Contractor,Dir of Children's Services,19085.72
03/04/2023,THE SOUTHOVER PARTNERSHIP,Vol Sec -  Day Place,Dedicated Schools Grant Management,19070
03/04/2023,PETERS LTD,Library -CentralFund,"Dir of  Culture, Strategy & Engagement",18878.97
03/04/2023,PENNA PLC,Accommodation,"Dir of  Culture, Strategy & Engagement",18848.7
03/04/2023,ACCESS UK LTD T/A ADAM,Organised Activities,Dir of Environment & Resident Experience,18750
03/04/2023,THE PATHOLOGY GROUP,Forensic & Laboratory,Assistant Dir Corporate Governance,17625
03/04/2023,WPG LIMITED,Printing - Internal,"Dir of  Culture, Strategy & Engagement",17092.5
03/04/2023,Ingleton Wood LLP,Buildings,Dir of Finance,16471.88
03/04/2023,RIDGE AND PARTNERS LLP,Consultancy,Dir of Finance,15877.59
03/04/2023,MITRE CONSTRUCTION CO LTD,"Works - Construction, Repair & Maintenance",Dir of Environment & Resident Experience,15000
03/04/2023,CAN DIGITAL SOLUTIONS LIMITED,Advert - Non Staff,"Dir of  Culture, Strategy & Engagement",15000
03/04/2023,THE PATHOLOGY GROUP,Forensic & Laboratory,Assistant Dir Corporate Governance,11625
03/04/2023,PENNA PLC,Consultancy,Housing Revenue Account,11550
03/04/2023,CAPITAL LETTERS LONDON LMITED,Letting  / Estate Agents,"Dir of Adults, Health & Communities",11000
03/04/2023,Hustle & Heels Ladies Lunch Limited,Business,Dir of Finance,10388.89
03/04/2023,INDIVIDUALISED CARE LTD,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",10085.32
03/04/2023,El Warcha CIC,Business,Housing Revenue Account,10000
03/04/2023,PENNA PLC,Consultancy,Housing Revenue Account,9900
03/04/2023,Peopletoo Ltd,Business,Dir of Placemaking & Housing,9725
03/04/2023,A. & T. FLOORING LTD,Floor Coverings,Dir of Finance,9578
03/04/2023,UNITED GUARDING SERVICES LTD,Security,Dir of Environment & Resident Experience,9375
03/04/2023,COMPENSATE,Exp - Compensation,Housing Revenue Account,9000
03/04/2023,THE PATHOLOGY GROUP,Forensic & Laboratory,Assistant Dir Corporate Governance,8625
03/04/2023,COMPENSATE,Fees Legal External,Housing Revenue Account,8000
03/04/2023,DCK Construction Ltd,General Materials,Dir of Finance,7404.35
03/04/2023,THE PATHOLOGY GROUP,Forensic & Laboratory,Assistant Dir Corporate Governance,7125
03/04/2023,THE PATHOLOGY GROUP,Forensic & Laboratory,Assistant Dir Corporate Governance,7125
03/04/2023,THE PATHOLOGY GROUP,Forensic & Laboratory,Assistant Dir Corporate Governance,7125
03/04/2023,THE PATHOLOGY GROUP,Forensic & Laboratory,Assistant Dir Corporate Governance,7125
03/04/2023,Allied Water Ltd,Water Assessment & Treatment,Dir of Placemaking & Housing,7096.17
03/04/2023,FAITHORN FARRELL TIMMS,Buildings,Dir of Finance,6877.42
03/04/2023,JEWSON LTD,Stock - Raw Material,Housing Revenue Account,6854
03/04/2023,THE PATHOLOGY GROUP,Forensic & Laboratory,Assistant Dir Corporate Governance,6750
03/04/2023,THE PATHOLOGY GROUP,Forensic & Laboratory,Assistant Dir Corporate Governance,6750
03/04/2023,THE PATHOLOGY GROUP,Forensic & Laboratory,Assistant Dir Corporate Governance,6750
03/04/2023,THE PATHOLOGY GROUP,Forensic & Laboratory,Assistant Dir Corporate Governance,6750
03/04/2023,THE PATHOLOGY GROUP,Forensic & Laboratory,Assistant Dir Corporate Governance,6750
03/04/2023,THE PATHOLOGY GROUP,Forensic & Laboratory,Assistant Dir Corporate Governance,6750
03/04/2023,OMEGA CITYLIFTS SERVICES LIMITED,Priv - Sub Contract,Housing Revenue Account,6581.21
03/04/2023,ORBIS PROTECT LIMITED,Priv - Sub Contract,Housing Revenue Account,6309.23
03/04/2023,THE SOUTHOVER PARTNERSHIP,Vol Sec - Add Supp,Dedicated Schools Grant Management,6179
03/04/2023,ACTIVE CHILDREN YOUTH CENTRE (ACYC),Organised Activities,Dir of Children's Services,6150
03/04/2023,THE PATHOLOGY GROUP,Forensic & Laboratory,Assistant Dir Corporate Governance,6000
03/04/2023,Isos Partnership LLP,Education,Dir of Children's Services,5750
03/04/2023,CROYDON COUNCIL,Audit,Dir of Finance,5670
03/04/2023,Hudson West LTD,"Works - Construction, Repair & Maintenance",Dir of Finance,5585
03/04/2023,MITRE CONSTRUCTION CO LTD,General Materials,Dir of Finance,5556
03/04/2023,THE SOUTHOVER PARTNERSHIP,Vol Sec - Add Supp,Dedicated Schools Grant Management,5511
03/04/2023,CROYDON COUNCIL,Audit,Dir of Finance,5481
03/04/2023,ORBIS PROTECT LIMITED,Priv - Sub Contract,Housing Revenue Account,5044.35
03/04/2023,MetroSRM LLP,Consultancy,Dir of Finance,5000
03/04/2023,MetroSRM LLP,Consultancy,Dir of Finance,5000
03/04/2023,Martin Arnold Limited,Property,Dir of Finance,4987.5
03/04/2023,CHELSEA & WESTMINSTER HOSPITAL NHS,Public Health,"Dir of Adults, Health & Communities",4888.62
03/04/2023,Peopletoo Ltd,Business,Dir of Placemaking & Housing,4600
03/04/2023,Teaching Personnel Ltd,Statutory Education Services,Dir of Children's Services,4517.44
03/04/2023,WPG LIMITED,Printing - Internal,"Dir of  Culture, Strategy & Engagement",4454
03/04/2023,JEWSON LTD,Stock - Raw Material,Housing Revenue Account,4436.4
03/04/2023,A. & T. FLOORING LTD,Floor Coverings,Dir of Finance,4347
03/04/2023,Ingleton Wood LLP,Design Team Partner,Dir of Finance,4000
03/04/2023,Ingleton Wood LLP,Design Team Partner,Dir of Finance,4000
03/04/2023,SAMA CARE LTD,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",3902.8
03/04/2023,Graphic Structures Ltd,Engineering,Dir of Finance,3850
03/04/2023,ESSKAY FACILITIES MANAGEMENT LIMITE,Cleaning Service,"Dir of Adults, Health & Communities",3688.33
03/04/2023,LENDON CONTAINERS LTD,Sport & Fitness,Dir of Finance,3501.6
03/04/2023,CROWN PROMOTIONS & REMOVALS LTD,Removals,"Dir of Adults, Health & Communities",3454.36
03/04/2023,PROTEST ES LTD,Priv - Sub Contract,Housing Revenue Account,3334.5
03/04/2023,KARTEROS LTD T/A ST MARKS DAY SERVI,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",3200
03/04/2023,KARTEROS LTD T/A ST MARKS DAY SERVI,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",3200
03/04/2023,KARTEROS LTD T/A ST MARKS DAY SERVI,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",3200
03/04/2023,KAINOS SOFTWARE LIMITED INVOICING O,Services,Dir of Environment & Resident Experience,3125
03/04/2023,DAVID ARCHIBALD CONSULTING LTD,Management,Dir of Children's Services,3000
03/04/2023,Personal Data Redacted,Organised Activities,Dir of Children's Services,3000
03/04/2023,KARTEROS LTD T/A ST MARKS DAY SERVI,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",2900
03/04/2023,KARTEROS LTD T/A ST MARKS DAY SERVI,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",2735.6
03/04/2023,GERDA SECURITY PRODUCTS LIMITED,Priv - Sub Contract,Housing Revenue Account,2727.84
03/04/2023,INDIVIDUALISED CARE LTD,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",2629.2
03/04/2023,OURRIS RESIDENTIAL HOMES LTD,Priv - Res Long,"Dir of Adults, Health & Communities",2601.19
03/04/2023,OURRIS RESIDENTIAL HOMES LTD,Priv - Res Long,"Dir of Adults, Health & Communities",2601.19
03/04/2023,KARTEROS LTD T/A ST MARKS DAY SERVI,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",2600
03/04/2023,SAMA CARE LTD,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",2538.16
03/04/2023,TLT LLP,Specialist Support,Assistant Dir Corporate Governance,2500
03/04/2023,MITRE CONSTRUCTION CO LTD,"Works - Construction, Repair & Maintenance",Dir of Environment & Resident Experience,2500
03/04/2023,SAMA CARE LTD,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",2483.6
03/04/2023,INTEGRITY PRINT LIMITED,Printing - Internal,"Dir of  Culture, Strategy & Engagement",2469
03/04/2023,SAMA CARE LTD,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",2341.68
03/04/2023,SAMA CARE LTD,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",2284.4
03/04/2023,JEWSON LTD,Stock - Raw Material,Housing Revenue Account,2260.8
03/04/2023,COMPENSATE,Exp - Compensation,Housing Revenue Account,2250
03/04/2023,SAMA CARE LTD,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",2235.24
03/04/2023,SAMA CARE LTD,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",2235.24
03/04/2023,SAMA CARE LTD,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",2190.89
03/04/2023,INDIVIDUALISED CARE LTD,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",2129.16
03/04/2023,SAMA CARE LTD,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",2111.08
03/04/2023,SAMA CARE LTD,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",2111.06
03/04/2023,SAMA CARE LTD,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",2111.06
03/04/2023,Personal Data Redacted,LAC - Regular Pay,Dir of Children's Services,2072.35
03/04/2023,COMPENSATE,Fees Legal External,Housing Revenue Account,2050
03/04/2023,INDIVIDUALISED CARE LTD,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",2032.4
03/04/2023,EMPOWERMENT HEALTHCARE LTD,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",2016
03/04/2023,EMPOWERMENT HEALTHCARE LTD,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",2016
03/04/2023,CIRCLE OF CARE SERVICE LTD,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",2016
03/04/2023,SAMA CARE LTD,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",1986.88
03/04/2023,SAMA CARE LTD,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",1986.88
03/04/2023,2TR FOOTBALL LTD,Sport & Fitness,Dir of Environment & Resident Experience,1920
03/04/2023,EQUANS REGENERATION LIMITED,Buildings,Dir of Finance,1899.73
03/04/2023,Teaching Personnel Ltd,Statutory Education Services,Dir of Children's Services,1889.28
03/04/2023,MORGAN LAMBERT LTD,Buildings,Housing Revenue Account,1864.5
03/04/2023,MITRE CONSTRUCTION CO LTD,"Works - Construction, Repair & Maintenance",Dir of Environment & Resident Experience,1850
03/04/2023,Hydro-X Water Treatment,Priv - Sub Contract,Housing Revenue Account,1842
03/04/2023,INDIVIDUALISED CARE LTD,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",1806.56
03/04/2023,Personal Data Redacted,Organised Activities,Dir of Children's Services,1796.67
03/04/2023,EMPOWERMENT HEALTHCARE LTD,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",1760
03/04/2023,Personal Data Redacted,Organised Activities,Dir of Children's Services,1742.44
03/04/2023,TEXTHELP LTD,Software,"Dir of  Culture, Strategy & Engagement",1742
03/04/2023,SAMA CARE LTD,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",1738.52
03/04/2023,SAMA CARE LTD,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",1738.52
03/04/2023,Personal Data Redacted,Prem - Leasing,"Dir of Adults, Health & Communities",1733.33
03/04/2023,Personal Data Redacted,Prem - Leasing,"Dir of Adults, Health & Communities",1733.33
03/04/2023,MITRE CONSTRUCTION CO LTD,"Works - Construction, Repair & Maintenance",Dir of Environment & Resident Experience,1700
03/04/2023,CROWN PROMOTIONS & REMOVALS LTD,Removals,"Dir of Adults, Health & Communities",1686.3
03/04/2023,ADAMS & STYLES,Prem - Leasing,"Dir of Adults, Health & Communities",1684.15
03/04/2023,WARHAM SEYMOUR INVESTMENS LTD,Prem - Leasing,"Dir of Adults, Health & Communities",1681.33
03/04/2023,HARTLEY DEVELOPMENTS LIMITED,Prem - Leasing,"Dir of Adults, Health & Communities",1681.33
03/04/2023,HARTLEY DEVELOPMENTS LIMITED,Prem - Leasing,"Dir of Adults, Health & Communities",1681.33
03/04/2023,STATEBOND LTD T/A HORNSEY AGENCIES,Prem - Leasing,"Dir of Adults, Health & Communities",1681.33
03/04/2023,ARISTON ACCOMMODATION,Prem - Leasing,"Dir of Adults, Health & Communities",1681.33
03/04/2023,Personal Data Redacted,Prem - Leasing,"Dir of Adults, Health & Communities",1681.33
03/04/2023,Personal Data Redacted,Prem - Leasing,"Dir of Adults, Health & Communities",1681.33
03/04/2023,Personal Data Redacted,Prem - Leasing,"Dir of Adults, Health & Communities",1681.33
03/04/2023,Personal Data Redacted,Prem - Leasing,"Dir of Adults, Health & Communities",1681.33
03/04/2023,INDIVIDUALISED CARE LTD,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",1677.52
03/04/2023,Personal Data Redacted,Prem - Leasing,"Dir of Adults, Health & Communities",1646.66
03/04/2023,Personal Data Redacted,Prem - Leasing,"Dir of Adults, Health & Communities",1646.66
03/04/2023,SAMA CARE LTD,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",1596.6
03/04/2023,Personal Data Redacted,Prem - Leasing,"Dir of Adults, Health & Communities",1582.05
03/04/2023,INDIVIDUALISED CARE LTD,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",1580.76
03/04/2023,INDIVIDUALISED CARE LTD,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",1548.48
03/04/2023,SAMA CARE LTD,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",1531.32
03/04/2023,COLLABORATE & INNOVATE LTD T/A COSY,Supplies,Dir of Children's Services,1484.63
03/04/2023,Personal Data Redacted,Prem - Leasing,"Dir of Adults, Health & Communities",1451.66
03/04/2023,Personal Data Redacted,Prem - Leasing,"Dir of Adults, Health & Communities",1451.66
03/04/2023,PROPERTYNET (UK) LIMITED,Prem - Leasing,"Dir of Adults, Health & Communities",1430
03/04/2023,Personal Data Redacted,Organised Activities,Dir of Children's Services,1428
03/04/2023,Personal Data Redacted,Prem - Leasing,"Dir of Adults, Health & Communities",1408.33
03/04/2023,Personal Data Redacted,Prem - Leasing,"Dir of Adults, Health & Communities",1404
03/04/2023,Personal Data Redacted,Prem - Leasing,"Dir of Adults, Health & Communities",1400.01
03/04/2023,Personal Data Redacted,Prem - Leasing,"Dir of Adults, Health & Communities",1386.66
03/04/2023,CLASS ESTATES LIMITED,Prem - Leasing,"Dir of Adults, Health & Communities",1365.52
03/04/2023,VMG CONSTRUCTION LTD,Prem - Leasing,"Dir of Adults, Health & Communities",1365
03/04/2023,ANDREW LLOYD ESTATES LIMITED,Prem - Leasing,"Dir of Adults, Health & Communities",1365
03/04/2023,Personal Data Redacted,Prem - Leasing,"Dir of Adults, Health & Communities",1365
03/04/2023,Personal Data Redacted,Prem - Leasing,"Dir of Adults, Health & Communities",1365
03/04/2023,Personal Data Redacted,Prem - Leasing,"Dir of Adults, Health & Communities",1365
03/04/2023,Personal Data Redacted,Prem - Leasing,"Dir of Adults, Health & Communities",1365
03/04/2023,Personal Data Redacted,Prem - Leasing,"Dir of Adults, Health & Communities",1365
03/04/2023,Personal Data Redacted,Prem - Leasing,"Dir of Adults, Health & Communities",1365
03/04/2023,Personal Data Redacted,Prem - Leasing,"Dir of Adults, Health & Communities",1365
03/04/2023,Personal Data Redacted,Prem - Leasing,"Dir of Adults, Health & Communities",1360
03/04/2023,SAMA CARE LTD,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",1348.24
03/04/2023,ADAMS & STYLES,Prem - Leasing,"Dir of Adults, Health & Communities",1310.09
03/04/2023,DIRECTA UK LTD,Stock - Raw Material,Housing Revenue Account,1262
03/04/2023,SAMA CARE LTD,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",1259.54
03/04/2023,VMG CONSTRUCTION LTD,Prem - Leasing,"Dir of Adults, Health & Communities",1235
03/04/2023,Teaching Personnel Ltd,Statutory Education Services,Dir of Children's Services,1198.08
03/04/2023,INDIVIDUALISED CARE LTD,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",1193.64
03/04/2023,STATEBOND LTD T/A HORNSEY AGENCIES,Prem - Leasing,"Dir of Adults, Health & Communities",1191.66
03/04/2023,Personal Data Redacted,Prem - Leasing,"Dir of Adults, Health & Communities",1191.66
03/04/2023,Personal Data Redacted,Prem - Leasing,"Dir of Adults, Health & Communities",1191.66
03/04/2023,BLOOMSCARE LTD,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",1176
03/04/2023,Arc Group London Ltd,Priv - Sub Contract,Housing Revenue Account,1172.15
03/04/2023,Personal Data Redacted,Prem - Leasing,"Dir of Adults, Health & Communities",1170
03/04/2023,AYERST ENVIRONMENTAL LTD,Buildings,Dir of Finance,1168.5
03/04/2023,ORBIS PROTECT LIMITED,Priv - Sub Contract,Housing Revenue Account,1162.22
03/04/2023,BLOOMSCARE LTD,Priv Sec-- LBH & CCG,"Dir of Adults, Health & Communities",1159.2
03/04/2023,AYERST ENVIRONMENTAL LTD,Buildings,Dir of Finance,1155
03/04/2023,Teaching Personnel Ltd,Statutory Education Services,Dir of Children's Services,1152
03/04/2023,Personal Data Redacted,LAC - Regular Pay,Dir of Children's Services,1150.1
03/04/2023,ADAMS & STYLES,Prem - Leasing,"Dir of Adults, Health & Communities",1148.64
03/04/2023,ADAMS & STYLES,Prem - Leasing,"Dir of Adults, Health & Communities",1148.64
03/04/2023,ADAMS & STYLES,Prem - Leasing,"Dir of Adults, Health & Communities",1148.64
03/04/2023,Personal Data Redacted,Prem - Leasing,"Dir of Adults, Health & Communities",1148.33
03/04/2023,Personal Data Redacted,Prem - Leasing,"Dir of Adults, Health & Communities",1148.33
03/04/2023,BLOOMSCARE LTD,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",1142.4
03/04/2023,SAMA CARE LTD,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",1142.2
03/04/2023,Personal Data Redacted,Prem - Leasing,"Dir of Adults, Health & Communities",1139.66
03/04/2023,SAMA CARE LTD,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",1135.36
03/04/2023,RINGDALE LTD,Prem - Leasing,"Dir of Adults, Health & Communities",1126.66
03/04/2023,SAMA CARE LTD,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",1117.64
03/04/2023,SAMA CARE LTD,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",1117.64
03/04/2023,SAMA CARE LTD,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",1117.62
03/04/2023,SAMA CARE LTD,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",1117.62
03/04/2023,SAMA CARE LTD,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",1117.62
03/04/2023,BLOOMSCARE LTD,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",1108.8
03/04/2023,Teaching Personnel Ltd,Statutory Education Services,Dir of Children's Services,1105.92
03/04/2023,CLASS ESTATES LIMITED,Prem - Leasing,"Dir of Adults, Health & Communities",1105
03/04/2023,CLASS ESTATES LIMITED,Prem - Leasing,"Dir of Adults, Health & Communities",1105
03/04/2023,Personal Data Redacted,Prem - Leasing,"Dir of Adults, Health & Communities",1105
03/04/2023,Personal Data Redacted,Prem - Leasing,"Dir of Adults, Health & Communities",1105
03/04/2023,Personal Data Redacted,Prem - Leasing,"Dir of Adults, Health & Communities",1105
03/04/2023,Personal Data Redacted,Prem - Leasing,"Dir of Adults, Health & Communities",1105
03/04/2023,Personal Data Redacted,Prem - Leasing,"Dir of Adults, Health & Communities",1105
03/04/2023,Personal Data Redacted,Organised Activities,Dir of Children's Services,1098
03/04/2023,INDIVIDUALISED CARE LTD,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",1080.72
03/04/2023,INDIVIDUALISED CARE LTD,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",1071
03/04/2023,BLOOMSCARE LTD,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",1052.12
03/04/2023,INDIVIDUALISED CARE LTD,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",1048.44
03/04/2023,ARTISAN LITHO LMITED,Printing - Internal,"Dir of  Culture, Strategy & Engagement",1040
03/04/2023,Personal Data Redacted,Prem - Leasing,"Dir of Adults, Health & Communities",1040
03/04/2023,Personal Data Redacted,Professional & Advisory Services,Dir of Children's Services,1034.53
03/04/2023,INDIVIDUALISED CARE LTD,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",1032.32
03/04/2023,INDIVIDUALISED CARE LTD,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",1032.32
03/04/2023,INDIVIDUALISED CARE LTD,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",1032.32
03/04/2023,INDIVIDUALISED CARE LTD,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",1016.2
03/04/2023,INDIVIDUALISED CARE LTD,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",1016.2
03/04/2023,INDIVIDUALISED CARE LTD,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",1016.2
03/04/2023,Teaching Personnel Ltd,Statutory Education Services,Dir of Children's Services,1013.76
03/04/2023,Personal Data Redacted,Organised Activities,Dir of Children's Services,1010.33
03/04/2023,INDIVIDUALISED CARE LTD,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",1000.08
03/04/2023,Civic Engineers Ltd,Planning,Dir of Finance,1000
03/04/2023,SAMA CARE LTD,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",993.44
03/04/2023,SAMA CARE LTD,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",993.44
03/04/2023,SAMA CARE LTD,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",993.44
03/04/2023,SAMA CARE LTD,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",993.44
03/04/2023,ORANGE STONE MANAGEMENT LIMITED,Prem - Leasing,"Dir of Adults, Health & Communities",964.16
03/04/2023,Teaching Personnel Ltd,Statutory Education Services,Dir of Children's Services,921.6
03/04/2023,INDIVIDUALISED CARE LTD,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",903.28
03/04/2023,INDIVIDUALISED CARE LTD,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",903.28
03/04/2023,Personal Data Redacted,Prem - Leasing,"Dir of Adults, Health & Communities",897
03/04/2023,SAMA CARE LTD,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",888.36
03/04/2023,Personal Data Redacted,Prem - Leasing,"Dir of Adults, Health & Communities",888.33
03/04/2023,Personal Data Redacted,Professional & Advisory Services,Dir of Children's Services,886.74
03/04/2023,Personal Data Redacted,Professional & Advisory Services,Dir of Children's Services,886.74
03/04/2023,INDIVIDUALISED CARE LTD,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",871.04
03/04/2023,SAMA CARE LTD,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",869.28
03/04/2023,SAMA CARE LTD,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",869.26
03/04/2023,INDIVIDUALISED CARE LTD,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",862.96
03/04/2023,SAMA CARE LTD,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",857.5
03/04/2023,Martin Arnold Limited,Management,Dir of Finance,847
03/04/2023,Martin Arnold Limited,Management,Dir of Finance,847
03/04/2023,Martin Arnold Limited,Management,Dir of Finance,847
03/04/2023,BLOOMSCARE LTD,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",833
03/04/2023,SAMA CARE LTD,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",824.91
03/04/2023,INDIVIDUALISED CARE LTD,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",822.64
03/04/2023,BLOOMSCARE LTD,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",818.32
03/04/2023,INDIVIDUALISED CARE LTD,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",806.52
03/04/2023,WING PARKING LTD T/A WING PARKING,Fees - C Parking Z,Housing Revenue Account,790.47
03/04/2023,INDIVIDUALISED CARE LTD,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",790.36
03/04/2023,INDIVIDUALISED CARE LTD,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",790.36
03/04/2023,INDIVIDUALISED CARE LTD,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",790.36
03/04/2023,INDIVIDUALISED CARE LTD,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",790.36
03/04/2023,INDIVIDUALISED CARE LTD,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",790.36
03/04/2023,INDIVIDUALISED CARE LTD,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",790.36
03/04/2023,INDIVIDUALISED CARE LTD,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",790.36
03/04/2023,INDIVIDUALISED CARE LTD,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",790.36
03/04/2023,INDIVIDUALISED CARE LTD,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",790.36
03/04/2023,Personal Data Redacted,Organised Activities,Dir of Children's Services,786.33
