Payment Date,Supplier name,Purpose,Department,Amount
03/07/2023,KIND DIAMOND BUILD CONSORT,Priv - Sub Contract,Housing Revenue Account,149084.75
03/07/2023,GRANT PAYMENTS,Gen Cap Disburs-NCCR,Dir of Finance,22002.5
03/07/2023,Arc Group London Ltd,Priv - Sub Contract,Housing Revenue Account,19216.4
03/07/2023,JOSEPH CLARKE SCHOOL,SEND Top Up,Dedicated Schools Grant Management,18333.33
03/07/2023,Ebsford Environmental Ltd,Environmental Services,Dir of Finance,15276.38
03/07/2023,KEEGANS LTD,Consultancy,Dir of Finance,14175
03/07/2023,Galop,"Advice, Advocacy & Counselling Services","Dir of Adults, Health & Communities",12500
03/07/2023,NPOWER LIMITED,Energy - Electric,Dir of Placemaking & Housing,11096.89
03/07/2023,NORTH LONDON BIKUR CHOLIM LTD,ZFWI CODEZ186F6585,Dir of Children's Services,9252
03/07/2023,XEROX (UK) LTD,Services,"Dir of  Culture, Strategy & Engagement",8454.17
03/07/2023,PBL Group Ltd,"Works - Construction, Repair & Maintenance",Dir of Finance,8148.44
03/07/2023,IKS Consulting,Engineering,Dir of Finance,7500
03/07/2023,NEC SOFTWARE SOLUTIONS UK LTD,Services,"Dir of  Culture, Strategy & Engagement",7391.71
03/07/2023,ICB General Build and Civil Eng Ltd,Construction,Dir of Finance,5904.11
03/07/2023,EBRIT SERVICES LIMITED,Maintenance,Dir of Finance,5500
03/07/2023,Whittington Health NHS Trust,ZFWI SEN Additional,Dedicated Schools Grant Management,5415.45
03/07/2023,HCL TECHNOLOGIES UK LTD,Services,"Dir of  Culture, Strategy & Engagement",5305
03/07/2023,Whittington Health NHS Trust,ZFWI SEN Additional,Dedicated Schools Grant Management,4956.42
03/07/2023,INSURANCE CLAIMS,Fees - Credit Search,Dir of Finance,4120
03/07/2023,IKS Consulting,Roads,Dir of Finance,4025
03/07/2023,Cadmap Ltd,Testing & Inspection,Dir of Finance,3950
03/07/2023,Global Guardians Facilities Mgnt,Security,Dir of Finance,3400
03/07/2023,Met GeoEnvironmental Ltd,Business,Dir of Finance,2995
03/07/2023,HOMES FOR HARINGEY LIMITED,Arms Length Mgmt Org,Housing Revenue Account,1901.92
03/07/2023,Redacted Personal Data,Organised Activities,Dir of Children's Services,1875
03/07/2023,JACKSONS LANE,Sport & Fitness,Dir of Environment & Resident Experience,1865
03/07/2023,Redacted Personal Data,Maint & Support,"Dir of  Culture, Strategy & Engagement",1820.83
03/07/2023,Redacted Personal Data,ZFWI CODEZ186F5743,Dir of Children's Services,1811.95
03/07/2023,Redacted Personal Data,Prem - Leasing,"Dir of Adults, Health & Communities",1776.66
03/07/2023,Redacted Personal Data,Prem - Leasing,"Dir of Adults, Health & Communities",1733.33
03/07/2023,ADAMS & STYLES,Prem - Leasing,"Dir of Adults, Health & Communities",1684.15
03/07/2023,STATEBOND LTD T/A HORNSEY AGENCIES,Prem - Leasing,"Dir of Adults, Health & Communities",1681.33
03/07/2023,ARISTON ACCOMMODATION,Prem - Leasing,"Dir of Adults, Health & Communities",1681.33
03/07/2023,Redacted Personal Data,Prem - Leasing,"Dir of Adults, Health & Communities",1681.33
03/07/2023,SEA Ltd,Repair & Maint,Housing Revenue Account,1668
03/07/2023,Redacted Personal Data,Prem - Leasing,"Dir of Adults, Health & Communities",1646.66
03/07/2023,Redacted Personal Data,Prem - Leasing,"Dir of Adults, Health & Communities",1646.66
03/07/2023,ATLAS CONTRACTORS LTD,Internal,"Dir of Adults, Health & Communities",1642.83
03/07/2023,Harleston Sancroft Academy,SEND Top Up,Dedicated Schools Grant Management,1632.05
03/07/2023,CARTER JONAS LLP,Tech & Feasibility,Dir of Placemaking & Housing,1467
03/07/2023,AYERST ENVIRONMENTAL LTD,Demolition&Asbestos,Dir of Finance,1460
03/07/2023,Redacted Personal Data,Prem - Leasing,"Dir of Adults, Health & Communities",1451.66
03/07/2023,Harleston Sancroft Academy,SEND Top Up,Dedicated Schools Grant Management,1445.35
03/07/2023,Redacted Personal Data,Prem - Leasing,"Dir of Adults, Health & Communities",1404
03/07/2023,Redacted Personal Data,Prem - Leasing,"Dir of Adults, Health & Communities",1400.01
03/07/2023,Redacted Personal Data,Prem - Leasing,"Dir of Adults, Health & Communities",1386.66
03/07/2023,CLASS ESTATES LIMITED,Prem - Leasing,"Dir of Adults, Health & Communities",1365.52
03/07/2023,VMG CONSTRUCTION LTD,Prem - Leasing,"Dir of Adults, Health & Communities",1365
03/07/2023,Redacted Personal Data,Prem - Leasing,"Dir of Adults, Health & Communities",1365
03/07/2023,Redacted Personal Data,Prem - Leasing,"Dir of Adults, Health & Communities",1365
03/07/2023,Redacted Personal Data,Prem - Leasing,"Dir of Adults, Health & Communities",1365
03/07/2023,Redacted Personal Data,Prem - Leasing,"Dir of Adults, Health & Communities",1360
03/07/2023,ADAMS & STYLES,Prem - Leasing,"Dir of Adults, Health & Communities",1310.09
03/07/2023,AYERST ENVIRONMENTAL LTD,Demolition&Asbestos,Dir of Finance,1280
03/07/2023,AYERST ENVIRONMENTAL LTD,Demolition&Asbestos,Dir of Finance,1260
03/07/2023,VMG CONSTRUCTION LTD,Prem - Leasing,"Dir of Adults, Health & Communities",1235
03/07/2023,Redacted Personal Data,ZFWI CODEZ186F5743,Dir of Children's Services,1204.35
03/07/2023,Daniel Connal LLP,Business,Dir of Finance,1200
03/07/2023,Daniel Connal LLP,Business,Dir of Finance,1200
03/07/2023,STATEBOND LTD T/A HORNSEY AGENCIES,Prem - Leasing,"Dir of Adults, Health & Communities",1191.66
03/07/2023,Redacted Personal Data,Prem - Leasing,"Dir of Adults, Health & Communities",1191.66
03/07/2023,CLASS ESTATES LIMITED,Prem - Leasing,"Dir of Adults, Health & Communities",1170
03/07/2023,Redacted Personal Data,Prem - Leasing,"Dir of Adults, Health & Communities",1170
03/07/2023,ADAMS & STYLES,Prem - Leasing,"Dir of Adults, Health & Communities",1148.64
03/07/2023,ADAMS & STYLES,Prem - Leasing,"Dir of Adults, Health & Communities",1148.64
03/07/2023,ADAMS & STYLES,Prem - Leasing,"Dir of Adults, Health & Communities",1148.64
03/07/2023,Redacted Personal Data,Prem - Leasing,"Dir of Adults, Health & Communities",1148.33
03/07/2023,BRITISH GAS BUSINESS,Energy - Electric,Dir of Placemaking & Housing,1108.2
03/07/2023,CLASS ESTATES LIMITED,Prem - Leasing,"Dir of Adults, Health & Communities",1105
03/07/2023,CLASS ESTATES LIMITED,Prem - Leasing,"Dir of Adults, Health & Communities",1105
03/07/2023,Redacted Personal Data,Prem - Leasing,"Dir of Adults, Health & Communities",1105
03/07/2023,Redacted Personal Data,Prem - Leasing,"Dir of Adults, Health & Communities",1105
03/07/2023,Redacted Personal Data,Prem - Leasing,"Dir of Adults, Health & Communities",1105
03/07/2023,Redacted Personal Data,Prem - Leasing,"Dir of Adults, Health & Communities",1105
03/07/2023,LINK COMMUNITY CARE LTD,ZFWI CODEZ241F6665,"Dir of Adults, Health & Communities",1050.48
03/07/2023,Redacted Personal Data,Prem - Leasing,"Dir of Adults, Health & Communities",1040
03/07/2023,AYERST ENVIRONMENTAL LTD,Buildings,Dir of Finance,915
03/07/2023,Redacted Personal Data,Prem - Leasing,"Dir of Adults, Health & Communities",897
03/07/2023,Redacted Personal Data,Prem - Leasing,"Dir of Adults, Health & Communities",888.33
03/07/2023,AYERST ENVIRONMENTAL LTD,Demolition&Asbestos,Dir of Finance,785
03/07/2023,Redacted Personal Data,Prem - Leasing,"Dir of Adults, Health & Communities",762.64
03/07/2023,AYERST ENVIRONMENTAL LTD,Buildings,Dir of Finance,685
03/07/2023,LINK COMMUNITY CARE LTD,ZFWI CODEZ241F6665,"Dir of Adults, Health & Communities",672.4
03/07/2023,AYERST ENVIRONMENTAL LTD,Demolition&Asbestos,Dir of Finance,670
03/07/2023,NORTH LONDON CATERING EQUIPMENT LTD,Repairs,Dir of Children's Services,654
03/07/2023,AYERST ENVIRONMENTAL LTD,Demolition&Asbestos,Dir of Finance,630
03/07/2023,AYERST ENVIRONMENTAL LTD,Demolition&Asbestos,Dir of Finance,620
03/07/2023,AYERST ENVIRONMENTAL LTD,Buildings,Dir of Finance,605
03/07/2023,AYERST ENVIRONMENTAL LTD,Buildings,Dir of Finance,565
03/07/2023,LINK COMMUNITY CARE LTD,ZFWI CODEZ241F6665,"Dir of Adults, Health & Communities",564.5
03/07/2023,AYERST ENVIRONMENTAL LTD,Demolition&Asbestos,Dir of Finance,550
03/07/2023,LINK COMMUNITY CARE LTD,ZFWI CODEZ261F6787,"Dir of Adults, Health & Communities",549.76
03/07/2023,SUREKEY LTD,Prem - Leasing,"Dir of Adults, Health & Communities",535.52
03/07/2023,CROWN PAINTS LIMITED,Stock - Raw Material,Housing Revenue Account,482.6
03/07/2023,LINK COMMUNITY CARE LTD,ZFWI CODEZ241F6665,"Dir of Adults, Health & Communities",441.72
03/07/2023,YMCA London City and North,School Milk,Dir of Children's Services,422
03/07/2023,NEWSQUEST MEDIA GROUP,Advert - Non Staff,"Dir of  Culture, Strategy & Engagement",418.56
03/07/2023,CONOCHEM MANAGEMENT LIMITED T/A,Specialist Services,"Dir of Adults, Health & Communities",408.6
03/07/2023,HOWARTH TIMBER & BUILDING SUPPLIES,Stock - Raw Material,Housing Revenue Account,391.95
03/07/2023,Redacted Personal Data,ZFWI CODEZ186F5743,Dir of Children's Services,382.55
03/07/2023,Redacted Personal Data,School Services,Dir of Children's Services,300
03/07/2023,AKW MEDICARE LTD,"Material - Purch,Rep",Housing Revenue Account,298.36
03/07/2023,NEWSQUEST MEDIA GROUP,Advert - Non Staff,"Dir of  Culture, Strategy & Engagement",279.04
03/07/2023,NEWSQUEST MEDIA GROUP,Advert - Non Staff,"Dir of  Culture, Strategy & Engagement",261.6
03/07/2023,LINK COMMUNITY CARE LTD,ZFWI CODEZ241F6665,"Dir of Adults, Health & Communities",260.12
03/07/2023,J.A. STEEL AND SON LTD,Removals,Housing Revenue Account,238
03/07/2023,NORTH LONDON BIKUR CHOLIM LTD,ZFWI Children DCT HC,Dir of Children's Services,230.77
03/07/2023,LINK COMMUNITY CARE LTD,ZFWI CODEZ261F6787,"Dir of Adults, Health & Communities",230.68
03/07/2023,Focus Furnishing,Domestic Furniture,Housing Revenue Account,218.3
03/07/2023,NEWSQUEST MEDIA GROUP,Advert - Non Staff,"Dir of  Culture, Strategy & Engagement",218
03/07/2023,AKW MEDICARE LTD,"Material - Purch,Rep",Housing Revenue Account,205.02
03/07/2023,EMPOWERMENT HEALTHCARE LTD,ZFWI CODEZ261F6787,"Dir of Adults, Health & Communities",160
03/07/2023,THOMAS RIDLEY & SON  LTD,Corporate Services,Dir of Children's Services,158.36
03/07/2023,NEWSQUEST MEDIA GROUP,Advert - Non Staff,"Dir of  Culture, Strategy & Engagement",143.88
03/07/2023,NEWSQUEST MEDIA GROUP,Advert - Non Staff,"Dir of  Culture, Strategy & Engagement",143.88
03/07/2023,THE ASSOC OF ELECTORAL ADMIN,Election Services,"Dir of  Culture, Strategy & Engagement",139
03/07/2023,CROWN PAINTS LIMITED,Equip - Tools,Housing Revenue Account,129.56
03/07/2023,EDUCATIONAPPEALS DOTCOM LTD,Training,Dir of Children's Services,120
03/07/2023,NEWSQUEST MEDIA GROUP,Advert - Non Staff,"Dir of  Culture, Strategy & Engagement",104.64
03/07/2023,NEWSQUEST MEDIA GROUP,Advert - Non Staff,"Dir of  Culture, Strategy & Engagement",104.64
03/07/2023,McAvoy Modular Rental and Sales,Buildings,Housing Revenue Account,104
