Payment date,Supplier Name,Purpose,Department,Amount
02/10/2023,NPOWER LIMITED,Energy - Electric,Dir of Placemaking & Housing,123827.73
02/10/2023,OURRIS PROPERTIES LIMITED,Priv - Res Long,"Dir of Adults, Health & Communities",111217.96
02/10/2023,DIAMOND BUILD PLC,"Works - Construction, Repair & Maintenance",Dir of Finance,103351.18
02/10/2023,FILEY CARE AND SUPPORT LTD,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",61471.38
02/10/2023,FILEY CARE AND SUPPORT LTD,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",61471.38
02/10/2023,London Dream Building,"Works - Construction, Repair & Maintenance",Dir of Finance,35000
02/10/2023,OURRIS RESIDENTIAL HOMES LTD,Priv - Res Long,"Dir of Adults, Health & Communities",34160
02/10/2023,VINEYARD (UK) SERVICES LTD,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",32329.5
02/10/2023,HOMERTON HEALTHCARE NHS FOUNDATION,Healthcare,"Dir of Adults, Health & Communities",27256.99
02/10/2023,FILEY CARE AND SUPPORT LTD,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",18287.28
02/10/2023,FILEY CARE AND SUPPORT LTD,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",18287.28
02/10/2023,GRANT PAYMENTS,Vol Sec -  Day Place,Dedicated Schools Grant Management,13667
02/10/2023,GRANT PAYMENTS,Vol Sec -  Day Place,Dedicated Schools Grant Management,12500
02/10/2023,RIDGE AND PARTNERS LLP,"Works - Construction, Repair & Maintenance",Dir of Finance,10565.13
02/10/2023,The Bridge Renewal trust,Social Community Care Supplies & Services - Children,Dir of Children's Services,10500
02/10/2023,CRE8 Structures LLP,Consultancy,Dir of Finance,10000
02/10/2023,Miller Partnership Ltd,"Works - Construction, Repair & Maintenance",Dir of Finance,8869
02/10/2023,TEMPORARY ACCOMODATION,Prem - Rents,"Dir of Adults, Health & Communities",6796.44
02/10/2023,TEMPORARY ACCOMODATION,Prem - Rents,"Dir of Adults, Health & Communities",6700
02/10/2023,Flatt Consulting Ltd,Consultancy,Dir of Finance,6500
02/10/2023,ANTHONY COLLINS SOLICITORS,Legal Services,Assistant Dir Corporate Governance,6500
02/10/2023,COMPENSATION CLAIMS & LEGAL COSTS,Fees Legal External,Housing Revenue Account,6114.54
02/10/2023,THE PATHOLOGY GROUP,Environmental Services,Assistant Dir Corporate Governance,5625
02/10/2023,OURRIS PROPERTIES LIMITED,Priv - Res Long,"Dir of Adults, Health & Communities",4774.84
02/10/2023,COMPENSATION CLAIMS & LEGAL COSTS,Fees Legal External,Housing Revenue Account,4000
02/10/2023,THE PATHOLOGY GROUP,Environmental Services,Assistant Dir Corporate Governance,3750
02/10/2023,OURRIS PROPERTIES LIMITED,Priv - Res Long,"Dir of Adults, Health & Communities",3416
02/10/2023,Emerging Talent Programme,Human Resources,Dir of Placemaking & Housing,3200
02/10/2023,Emerging Talent Programme,Human Resources,Dir of Placemaking & Housing,3200
02/10/2023,TEMPORARY ACCOMODATION,Prem - Rents,"Dir of Adults, Health & Communities",2600
02/10/2023,Vivid Resourcing,Legal Services,Assistant Dir Corporate Governance,2508.75
02/10/2023,TEMPORARY ACCOMODATION,Prem - Rents,"Dir of Adults, Health & Communities",2300
02/10/2023,NPOWER LIMITED,Energy - Electric,Dir of Placemaking & Housing,2254.68
02/10/2023,THE PATHOLOGY GROUP,Environmental Services,Assistant Dir Corporate Governance,2250
02/10/2023,THE PATHOLOGY GROUP,Environmental Services,Assistant Dir Corporate Governance,2250
02/10/2023,THE PATHOLOGY GROUP,Environmental Services,Assistant Dir Corporate Governance,2250
02/10/2023,MEDILINK CONSULTING LTD,Environmental Services,Assistant Dir Corporate Governance,2070
02/10/2023,BVL Scaffolding Co. Ltd,"Works - Construction, Repair & Maintenance",Housing Revenue Account,1986
02/10/2023,THE PATHOLOGY GROUP,Environmental Services,Assistant Dir Corporate Governance,1875
02/10/2023,THE PATHOLOGY GROUP,Environmental Services,Assistant Dir Corporate Governance,1875
02/10/2023,SENTRY DOORS LIMITED,"Material - Purch,Rep",Housing Revenue Account,1779
02/10/2023,THE PATHOLOGY GROUP,Environmental Services,Assistant Dir Corporate Governance,1750
02/10/2023,Personal Data Redacted,Prem - Leasing,"Dir of Adults, Health & Communities",1711.66
02/10/2023,LYCIUM LIMITED,Prem - Leasing,"Dir of Adults, Health & Communities",1681.33
02/10/2023,Personal Data Redacted,Prem - Leasing,"Dir of Adults, Health & Communities",1681.33
