Local Authority,Directorate,Service Area,Service Division,Expense Type,Supplier Name,Transaction Number,Payment Date,Expense Category,Invoice Value  £
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,WELLBURN CARE HOMES,7003698248,03.07.2023,REVENUE,"7,039.73"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,WEST LODGE CARE HOMES LTD,7003698286,03.07.2023,REVENUE,771.32
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,YOHDEN CARE COMPLEX,7003698242,03.07.2023,REVENUE,761.58
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,BELLE VUE HOUSE,7003698214,03.07.2023,REVENUE,"17,553.61"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,HOUSING AND CARE 21 BECKWITH MEWS,5122745561,05.07.2023,REVENUE,"3,118.08"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,HOUSING AND CARE 21 BECKWITH MEWS,5122745601,05.07.2023,REVENUE,"3,118.08"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,HOUSING AND CARE 21 BECKWITH MEWS,5122745776,05.07.2023,REVENUE,"3,118.08"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,HOUSING AND CARE 21 BECKWITH MEWS,5122745799,05.07.2023,REVENUE,"3,118.08"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,HOUSING AND CARE 21- DOVECOTE MEADOWS,5122745541,05.07.2023,REVENUE,"2,558.24"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,HOUSING AND CARE 21- DOVECOTE MEADOWS,5122745550,05.07.2023,REVENUE,"2,601.60"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,HOUSING AND CARE 21- DOVECOTE MEADOWS,5122745588,05.07.2023,REVENUE,"2,558.24"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,HOUSING AND CARE 21- DOVECOTE MEADOWS,5122745790,05.07.2023,REVENUE,"2,558.24"
