Local Authority,Directorate,Service Area,Service Division,Expense Type,Supplier Name,Transaction Number,Payment Date,Expense Category,Invoice Value  £
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,MALHOTRA CARE HOMES LIMITED,7003711635,14.08.2023,REVENUE,"53,787.33"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,PERCY HEDLEY FOUNDATION,7003711606,14.08.2023,REVENUE,"4,555.04"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,SLW LIMITED - SYCAMORE LODGE,7003711557,14.08.2023,REVENUE,"72,688.10"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,THE LAURELS NURSING HOME,7003711551,14.08.2023,REVENUE,"32,645.07"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,ARCHERS COURT,7003715197,21.08.2023,REVENUE,"35,324.58"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,ARCHERS PARK,7003714968,21.08.2023,REVENUE,"23,665.83"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,ASHLEA LODGE CARE HOME,7003714998,21.08.2023,REVENUE,"31,183.53"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,ASHLEA LODGE CARE HOME,7003715164,21.08.2023,REVENUE,"31,183.53"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,ASHWOOD COURT,7003715077,21.08.2023,REVENUE,"26,728.13"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,ASHWOOD COURT,7003715231,21.08.2023,REVENUE,"26,728.13"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,BALMORAL COURT CARE HOME,7003715005,21.08.2023,REVENUE,"4,332.83"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,BALMORAL COURT CARE HOME,7003715177,21.08.2023,REVENUE,"4,332.83"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,BARNES COURT,7003715087,21.08.2023,REVENUE,"52,328.00"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,CONAGS CARE LTD,7003715085,21.08.2023,REVENUE,"27,998.06"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,CONAGS CARE LTD,7003715242,21.08.2023,REVENUE,"27,998.06"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,HOLY CROSS HOME - ST CUTHBERTS CARE,7003714985,21.08.2023,REVENUE,"29,000.37"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,MAPLE LODGE CARE HOME,7003714969,21.08.2023,REVENUE,"28,420.28"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,MAPLE LODGE CARE HOME,7003715143,21.08.2023,REVENUE,"28,420.28"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,PERCY HEDLEY FOUNDATION,7003715001,21.08.2023,REVENUE,"4,555.04"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,PERCY HEDLEY FOUNDATION,7003715218,21.08.2023,REVENUE,"4,555.04"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,QUALIA CARE LTD T/A WASHINGTON LODGE,7003715256,21.08.2023,REVENUE,"31,417.85"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,ST MARKS NURSING HOME,7003715006,21.08.2023,REVENUE,"27,422.97"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,ST MARKS NURSING HOME,7003715211,21.08.2023,REVENUE,"25,937.66"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,THE LAURELS NURSING HOME,7003715206,21.08.2023,REVENUE,"32,645.07"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,THE MEWS,7003715168,21.08.2023,REVENUE,"23,019.61"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,THORNBURY CARE CENTRE,7003715259,21.08.2023,REVENUE,"23,587.81"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,PERCY HEDLEY FOUNDATION,7003718912,04.09.2023,REVENUE,"4,555.04"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,BALMORAL COURT CARE HOME,7003718893,04.09.2023,REVENUE,"4,332.83"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,KROLL ADVISORY LTD,7003718973,04.09.2023,REVENUE,"27,018.51"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,BLOSSOM HILL CARE HOME,7003719004,04.09.2023,REVENUE,"34,123.71"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,MALHOTRA CARE HOMES LIMITED,7003719026,04.09.2023,REVENUE,"68,637.54"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,MAPLE LODGE CARE HOME,7003718932,04.09.2023,REVENUE,"28,621.10"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,PERCY HEDLEY FOUNDATION,7003720256,11.09.2023,REVENUE,"4,555.04"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,ARCHERS COURT NURSING CARE HOME,7003720201,11.09.2023,REVENUE,"35,324.58"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,ASHLEA LODGE CARE HOME,7003720199,11.09.2023,REVENUE,"30,356.50"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,ASHWOOD COURT,7003720257,11.09.2023,REVENUE,"27,783.71"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,BALMORAL COURT CARE HOME,7003720182,11.09.2023,REVENUE,"4,332.83"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,CONAGS CARE LTD,7003720273,11.09.2023,REVENUE,"27,998.06"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,HOLY CROSS HOME - ST CUTHBERTS CARE,7003720210,11.09.2023,REVENUE,"22,159.77"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,KROLL ADVISORY LTD,7003720193,11.09.2023,REVENUE,"25,638.66"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,PERCY HEDLEY FOUNDATION,7003723919,18.09.2023,REVENUE,"4,555.04"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,ARCHERS COURT NURSING CARE HOME,7003723872,18.09.2023,REVENUE,"35,324.58"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,ASHLEA LODGE CARE HOME,7003723859,18.09.2023,REVENUE,"30,356.50"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,BALMORAL COURT CARE HOME,7003723856,18.09.2023,REVENUE,"2,601.79"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,CHASE PARK NEURO CENTRE,7003723823,18.09.2023,REVENUE,"31,287.43"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,HOLY CROSS HOME - ST CUTHBERTS CARE,7003723895,18.09.2023,REVENUE,"15,559.28"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,MALHOTRA CARE HOMES LIMITED,7003723884,18.09.2023,REVENUE,"41,496.82"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,MAPLE LODGE CARE HOME,7003723803,18.09.2023,REVENUE,"29,087.40"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,ST MARKS NURSING HOME,7003723879,18.09.2023,REVENUE,"25,174.99"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,THORNBURY CARE CENTRE,7003723822,18.09.2023,REVENUE,"23,623.90"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,PERCY HEDLEY FOUNDATION,7003725096,25.09.2023,REVENUE,"4,555.04"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,ARCHERS COURT NURSING CARE HOME,7003725071,25.09.2023,REVENUE,"35,324.58"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,ASHLEA LODGE CARE HOME,7003725067,25.09.2023,REVENUE,"30,356.50"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,ASHWOOD COURT,7003725155,25.09.2023,REVENUE,"27,527.91"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,BALMORAL COURT CARE HOME,7003725117,25.09.2023,REVENUE,"2,601.79"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,CHASE PARK NEURO CENTRE,7003725104,25.09.2023,REVENUE,"8,468.14"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,HOLY CROSS HOME - ST CUTHBERTS CARE,7003725084,25.09.2023,REVENUE,"28,313.53"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,LANSBURY COURT CARE HOME,7003725082,25.09.2023,REVENUE,"33,299.58"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,MAPLE LODGE CARE HOME,7003725051,25.09.2023,REVENUE,"31,205.41"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,REGENTS VIEW CARE HOME,7003725068,25.09.2023,REVENUE,"30,417.02"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,ST MARKS NURSING HOME,7003725078,25.09.2023,REVENUE,"26,014.16"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,HOUSING AND CARE 21- GILDACRE,5122744811,03.07.2023,REVENUE,"1,430.88"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,HOUSING AND CARE 21- GILDACRE,5122744809,03.07.2023,REVENUE,"9,280.00"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,BARCHESTER HEALTH CARE LTD T/A WYKEHAM HOUSE,7003698289,03.07.2023,REVENUE,"1,615.76"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,BEECHCOMBER R/H,7003698197,03.07.2023,REVENUE,"3,135.28"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,CAPWELL GRANGE CARE HOME HOME,7003698233,03.07.2023,REVENUE,"1,270.99"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,CONAGS CARE LTD,7003698172,03.07.2023,REVENUE,"28,660.63"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,DAIRY LANE CARE CENTRE,7003698253,03.07.2023,REVENUE,"10,587.89"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,MELBURY HOUSE CARE HOME,7003698227,03.07.2023,REVENUE,799.65
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,PARKLANDS,7003698204,03.07.2023,REVENUE,"1,542.64"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,EMBRACE CARE LTD,7003698315,03.07.2023,REVENUE,"1,599.30"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,WESTWOOD LODGE LTD,7003698268,03.07.2023,REVENUE,970.18
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,HOUSING AND CARE 21- GILDACRE,5122745560,05.07.2023,REVENUE,"1,430.88"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,HOUSING AND CARE 21- GILDACRE,5122745596,05.07.2023,REVENUE,"1,474.24"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,HOUSING AND CARE 21- GILDACRE,5122745788,05.07.2023,REVENUE,"1,430.88"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,HOUSING AND CARE 21- GILDACRE,5122745805,05.07.2023,REVENUE,"1,430.88"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,HOUSING AND CARE 21- KEELBOAT LODGE,5122745544,05.07.2023,REVENUE,"1,691.04"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,HOUSING AND CARE 21- KEELBOAT LODGE,5122745565,05.07.2023,REVENUE,"1,647.68"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,HOUSING AND CARE 21- KEELBOAT LODGE,5122745582,05.07.2023,REVENUE,"1,647.68"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,HOUSING AND CARE 21- KEELBOAT LODGE,5122745584,05.07.2023,REVENUE,"1,691.04"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,HOUSING AND CARE 21- KEELBOAT LODGE,5122745802,05.07.2023,REVENUE,"1,647.68"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,SUNDERLAND HOME CARE ASSOCIATES,5122745683,05.07.2023,REVENUE,"3,118.08"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,HOUSING AND CARE 21- GILDACRE,5122745558,05.07.2023,REVENUE,"9,280.00"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,HOUSING AND CARE 21- GILDACRE,5122745597,05.07.2023,REVENUE,"9,280.00"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,HOUSING AND CARE 21- GILDACRE,5122745787,05.07.2023,REVENUE,"9,280.00"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,HOUSING AND CARE 21- GILDACRE,5122745804,05.07.2023,REVENUE,"9,280.00"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,HOUSING AND CARE 21- KEELBOAT LODGE,5122745542,05.07.2023,REVENUE,"9,280.00"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,HOUSING AND CARE 21- KEELBOAT LODGE,5122745562,05.07.2023,REVENUE,"9,280.00"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,HOUSING AND CARE 21- KEELBOAT LODGE,5122745581,05.07.2023,REVENUE,"9,280.00"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,HOUSING AND CARE 21- KEELBOAT LODGE,5122745803,05.07.2023,REVENUE,"9,280.00"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,SUNDERLAND HOME CARE ASSOCIATES,5122745681,05.07.2023,REVENUE,"5,846.40"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,HOUSING AND CARE 21- GILDACRE,5122746126,06.07.2023,REVENUE,"1,430.88"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,HOUSING AND CARE 21- GILDACRE,5122746211,06.07.2023,REVENUE,"1,430.88"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,HOUSING AND CARE 21- KEELBOAT LODGE,5122746129,06.07.2023,REVENUE,"1,647.68"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,HOUSING AND CARE 21- GILDACRE,5122746125,06.07.2023,REVENUE,"9,280.00"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,HOUSING AND CARE 21- GILDACRE,5122746209,06.07.2023,REVENUE,"9,280.00"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,HOUSING AND CARE 21- KEELBOAT LODGE,5122746130,06.07.2023,REVENUE,"9,280.00"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,LIFEWAYS COMMUNITY CARE LTD,5122746383,07.07.2023,REVENUE,704.56
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,CARE AT HOME (WEARSIDE) LTD,5122747028,10.07.2023,REVENUE,"8,620.20"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,ARCHERS COURT,7003701431,10.07.2023,REVENUE,"31,895.28"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,ASHLEA LODGE CARE HOME,7003701418,10.07.2023,REVENUE,"20,044.98"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,BARCHESTER HEALTH CARE LTD T/A WYKEHAM HOUSE,7003701531,10.07.2023,REVENUE,865.10
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,BEECHCOMBER R/H,7003701393,10.07.2023,REVENUE,"3,135.28"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,BELLE VUE HOUSE,7003701412,10.07.2023,REVENUE,"17,096.61"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,CAPWELL GRANGE CARE HOME HOME,7003701423,10.07.2023,REVENUE,"1,270.99"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,CEDAR HOUSE,7003701404,10.07.2023,REVENUE,"20,159.17"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,DAIRY LANE CARE CENTRE,7003701456,10.07.2023,REVENUE,"10,587.89"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,FALSTONE COURT CARE HOME,7003701383,10.07.2023,REVENUE,"15,477.28"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,MELBURY HOUSE CARE HOME,7003701446,10.07.2023,REVENUE,799.65
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,PARKLANDS,7003701395,10.07.2023,REVENUE,"1,542.64"
