Posting date,Supplier number,Supplier name,Expense type,Department,Amount
30/08/2023,1273817,GCH Alan Morkill House Ltd,Hired and Contracted Services,Bi-Borough Director of Integrated Care,364008
30/08/2023,1273817,GCH Alan Morkill House Ltd,Hired and Contracted Services,Bi-Borough Director of Integrated Care,364008
30/08/2023,1273817,GCH Alan Morkill House Ltd,Hired and Contracted Services,Bi-Borough Director of Integrated Care,18030
30/08/2023,1273817,GCH Alan Morkill House Ltd,Hired and Contracted Services,Bi-Borough Director of Integrated Care,364008
30/08/2023,1273817,GCH Alan Morkill House Ltd,Hired and Contracted Services,Bi-Borough Director of Integrated Care,5012.94
30/08/2023,1273817,GCH Alan Morkill House Ltd,Hired and Contracted Services,Bi-Borough Director of Integrated Care,2210049
27/09/2023,1273817,GCH Alan Morkill House Ltd,Hired and Contracted Services,Bi-Borough Director of Integrated Care,90530.16
27/09/2023,1273817,GCH Alan Morkill House Ltd,Hired and Contracted Services,Bi-Borough Director of Integrated Care,381251.52
28/09/2023,1273817,GCH Alan Morkill House Ltd,Hired and Contracted Services,Bi-Borough Director of Integrated Care,381251.52
17/07/2023,1243481,Gold Care Homes Ltd,Staff - Basic Pay,Bi-Borough Director of Integrated Care,998941.06
02/08/2023,1251196,Royal Borough of Kensington and,B*Payments to OLAs - Southampton City Co,Bi-Borough Director of Integrated Care,63380
31/07/2023,1245693,London Borough Of Hammersmith &,B*Payments to OLAs - Southampton City Co,Bi-Borough Director of Integrated Care,92029
31/07/2023,1251196,Royal Borough of Kensington and,B*Payments to OLAs - Southampton City Co,Bi-Borough Director of Integrated Care,65376
31/07/2023,1251196,Royal Borough of Kensington and,B*Payments to OLAs - Southampton City Co,Bi-Borough Director of Integrated Care,13161.01
13/07/2023,1245595,Skyguard Ltd,Health and Safety Equipment,Bi-Borough Director of Integrated Care,7560
25/08/2023,1245563,Sharpe Pritchard,Legal Costs,Bi-Borough Director of Integrated Care,10376.75
19/09/2023,1245563,Sharpe Pritchard,Legal Costs,Bi-Borough Director of Integrated Care,17000
19/07/2023,1292095,365 Care Solutions Ltd,,Bi-Borough Director of Integrated Care,10990
19/07/2023,1292095,365 Care Solutions Ltd,,Bi-Borough Director of Integrated Care,9480
16/08/2023,1292095,365 Care Solutions Ltd,,Bi-Borough Director of Integrated Care,9480
16/08/2023,1292095,365 Care Solutions Ltd,,Bi-Borough Director of Integrated Care,10990
13/09/2023,1292095,365 Care Solutions Ltd,,Bi-Borough Director of Integrated Care,9480
13/09/2023,1292095,365 Care Solutions Ltd,,Bi-Borough Director of Integrated Care,10990
19/07/2023,1255843,A.I. Care Services Ltd,,Bi-Borough Director of Integrated Care,7454.32
16/08/2023,1255843,A.I. Care Services Ltd,,Bi-Borough Director of Integrated Care,7454.32
16/09/2023,1255843,A.I. Care Services Ltd,,Bi-Borough Director of Integrated Care,7454.32
19/07/2023,1245929,The Regard Partnership Ltd,,Bi-Borough Director of Integrated Care,19301.21
19/07/2023,1245929,The Regard Partnership Ltd,,Bi-Borough Director of Integrated Care,10446.2
16/08/2023,1245929,The Regard Partnership Ltd,,Bi-Borough Director of Integrated Care,10446.2
16/08/2023,1245929,The Regard Partnership Ltd,,Bi-Borough Director of Integrated Care,16325.96
13/09/2023,1245929,The Regard Partnership Ltd,,Bi-Borough Director of Integrated Care,10446.2
