Posting date,Supplier number,Supplier name,Expense type,Department,Amount
21/09/2023,1246066,Barrie Bookkeeping & Payroll,Adult Social Care - Other Transfer Pay,Bi-Borough Director of Integrated Care,1228.24
21/09/2023,1246066,Barrie Bookkeeping & Payroll,Adult Social Care - Other Transfer Pay,Bi-Borough Director of Integrated Care,1183.6
21/09/2023,1248132,PERSONAL PAYMENTS,Social Care - Direct Payments,Bi-Borough Director of Integrated Care,1513.96
21/09/2023,1246066,Barrie Bookkeeping & Payroll,Adult Social Care - Other Transfer Pay,Bi-Borough Director of Integrated Care,1571.52
21/09/2023,1248722,PERSONAL PAYMENTS,Social Care - Direct Payments,Bi-Borough Director of Integrated Care,1837.6
21/09/2023,1246066,Barrie Bookkeeping & Payroll,Adult Social Care - Other Transfer Pay,Bi-Borough Director of Integrated Care,1414.92
21/09/2023,1266532,PERSONAL PAYMENTS,Adult Social Care - Other Transfer Pay,Bi-Borough Director of Integrated Care,1026.12
21/09/2023,1246066,Barrie Bookkeeping & Payroll,Adult Social Care - Other Transfer Pay,Bi-Borough Director of Integrated Care,1348.84
21/09/2023,1247500,PERSONAL PAYMENTS,Social Care - Direct Payments,Bi-Borough Director of Integrated Care,1552.39
21/09/2023,1250650,PERSONAL PAYMENTS,Social Care - Direct Payments,Bi-Borough Director of Integrated Care,1387.68
24/07/2023,1248541,Priory Nursing Agency & Home Care,,Bi-Borough Director of Integrated Care,2603.56
24/07/2023,1248541,Priory Nursing Agency & Home Care,,Bi-Borough Director of Integrated Care,1718.69
24/07/2023,1248541,Priory Nursing Agency & Home Care,,Bi-Borough Director of Integrated Care,537.88
24/07/2023,1248541,Priory Nursing Agency & Home Care,,Bi-Borough Director of Integrated Care,1844.16
31/08/2023,1248541,Priory Nursing Agency & Home Care,,Bi-Borough Director of Integrated Care,2630.23
31/08/2023,1248541,Priory Nursing Agency & Home Care,,Bi-Borough Director of Integrated Care,1749.65
31/08/2023,1248541,Priory Nursing Agency & Home Care,,Bi-Borough Director of Integrated Care,537.88
31/08/2023,1248541,Priory Nursing Agency & Home Care,,Bi-Borough Director of Integrated Care,1844.16
16/09/2023,1248541,Priory Nursing Agency & Home Care,,Bi-Borough Director of Integrated Care,1749.65
16/09/2023,1248541,Priory Nursing Agency & Home Care,,Bi-Borough Director of Integrated Care,2630.23
16/09/2023,1248541,Priory Nursing Agency & Home Care,,Bi-Borough Director of Integrated Care,537.88
16/09/2023,1248541,Priory Nursing Agency & Home Care,,Bi-Borough Director of Integrated Care,1844.16
18/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,599.65
18/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,899.17
18/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,679.52
18/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,1075.76
18/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,6450.12
18/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,1421.61
18/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,663.2
18/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,883.66
18/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,589.4
18/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,1178.2
18/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,551.61
18/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,512.36
18/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,518.8
18/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,518.8
18/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,559.87
18/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,691.77
18/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,678.1
18/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,614.86
18/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,537.88
18/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,540.86
18/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,806.96
18/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,641.62
18/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,1255.97
18/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,1082
18/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,538.02
18/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,538.02
18/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,947.38
18/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,538.16
18/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,680.96
18/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,538.02
18/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,806.96
18/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,941.36
18/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,636.8
18/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,806.96
18/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,538.02
18/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,1825.16
18/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,614.72
18/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,680.94
18/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,543.7
18/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,806.82
18/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,806.82
18/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,806.96
18/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,806.96
18/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,537.88
18/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,678.24
18/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,672.56
18/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,806.96
18/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,806.96
18/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,806.96
18/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,595.7
18/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,675.26
18/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,608.71
18/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,605.16
18/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,505.06
19/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,614.86
19/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,537.88
19/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,540.86
19/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,806.96
19/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,641.62
19/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,1082
19/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,1255.97
19/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,538.02
19/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,538.02
19/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,947.38
19/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,538.16
19/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,680.96
19/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,538.02
19/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,806.96
19/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,682.36
19/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,941.36
19/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,579.14
19/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,806.96
19/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,538.02
19/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,1604.22
19/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,614.72
19/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,680.94
19/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,806.96
19/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,543.7
19/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,806.82
19/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,806.82
19/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,806.96
19/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,806.96
19/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,540.86
19/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,518.67
19/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,672.56
19/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,678.24
19/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,950.96
19/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,950.96
19/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,806.96
19/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,599.65
19/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,899.17
19/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,679.52
19/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,1075.76
19/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,6450.12
19/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,1402.4
19/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,663.2
19/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,883.66
19/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,531.74
19/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,1062.94
19/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,551.61
19/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,509.26
19/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,518.8
19/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,518.8
19/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,559.87
19/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,691.77
19/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,678.1
26/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,899.17
26/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,599.65
26/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,679.52
26/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,1079.31
26/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,6469.32
26/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,1421.61
26/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,663.2
26/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,883.66
26/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,589.4
26/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,1178.2
26/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,551.61
26/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,512.36
26/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,518.8
26/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,518.8
26/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,559.87
26/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,672.56
26/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,678.1
26/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,614.86
26/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,537.88
26/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,540.86
26/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,806.96
26/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,641.62
26/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,1082
26/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,1255.97
26/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,538.02
26/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,538.02
26/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,947.38
26/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,538.16
26/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,680.96
26/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,538.02
26/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,806.96
26/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,941.36
26/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,713.68
26/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,806.96
26/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,538.02
26/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,1825.16
26/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,632.91
26/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,595.64
26/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,543.7
26/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,806.82
26/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,806.82
26/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,806.96
26/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,806.96
26/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,540.86
26/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,537.88
26/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,672.56
26/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,678.24
26/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,806.96
26/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,806.96
26/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,806.96
26/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,675.26
26/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,941.36
26/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,948.46
26/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,1383.36
26/07/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,1383.36
08/08/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,899.17
08/08/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,599.65
08/08/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,679.52
08/08/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,1082.86
08/08/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,6459.72
08/08/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,1402.4
08/08/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,663.2
08/08/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,883.66
08/08/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,589.4
08/08/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,1178.2
08/08/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,551.61
08/08/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,518.8
08/08/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,518.8
08/08/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,559.87
08/08/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,672.56
08/08/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,678.1
08/08/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,614.86
08/08/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,537.88
08/08/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,641.62
08/08/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,1255.97
08/08/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,1082
08/08/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,538.02
08/08/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,538.02
08/08/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,947.38
08/08/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,538.16
08/08/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,680.96
08/08/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,538.02
08/08/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,806.96
08/08/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,941.36
08/08/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,713.68
08/08/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,806.96
08/08/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,538.02
08/08/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,1825.16
08/08/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,682.38
08/08/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,749.4
08/08/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,543.7
08/08/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,806.82
08/08/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,806.82
08/08/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,806.96
08/08/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,806.96
08/08/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,540.86
08/08/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,537.88
08/08/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,672.56
08/08/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,678.24
08/08/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,1431.28
08/08/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,1431.29
08/08/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,806.96
08/08/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,675.26
08/08/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,948.46
08/08/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,941.36
08/08/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,1613.92
08/08/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,1613.92
08/08/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,582.04
29/08/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,687.23
29/08/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,679.52
29/08/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,1100.06
29/08/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,6450.12
29/08/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,1402.4
29/08/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,701.55
29/08/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,883.66
29/08/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,589.4
29/08/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,1178.2
29/08/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,551.61
29/08/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,518.8
29/08/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,518.8
29/08/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,559.87
29/08/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,672.56
29/08/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,678.1
29/08/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,614.86
29/08/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,537.88
29/08/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,641.62
29/08/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,1082
29/08/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,1255.97
29/08/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,538.02
29/08/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,538.02
29/08/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,538.16
29/08/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,947.38
29/08/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,680.96
29/08/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,538.02
29/08/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,835.78
29/08/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,941.36
29/08/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,713.68
29/08/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,806.96
29/08/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,538.02
29/08/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,1825.16
29/08/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,518.67
29/08/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,719.38
29/08/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,749.4
29/08/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,537.88
29/08/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,543.7
29/08/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,806.82
29/08/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,806.82
29/08/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,806.96
29/08/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,806.96
29/08/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,513.65
29/08/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,537.88
29/08/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,678.24
29/08/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,672.56
29/08/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,2305.35
29/08/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,2305.36
29/08/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,806.96
29/08/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,675.26
29/08/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,941.36
29/08/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,948.46
29/08/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,1613.92
29/08/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,1613.92
29/08/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,679.52
29/08/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,516.64
07/09/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,582.11
07/09/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,679.52
07/09/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,1082.86
07/09/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,6440.52
07/09/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,1402.4
07/09/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,739.91
07/09/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,883.66
07/09/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,589.4
07/09/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,1178.2
07/09/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,551.61
07/09/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,538.02
07/09/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,538.02
07/09/2023,1245316,Respect Care Services Ltd,,Bi-Borough Director of Integrated Care,559.87
