Organisation Name,Barnsley Metropolitan Borough Council,,,,,,
Organisation Code,http://opendatacommunities.org/id/metropolitan-district-council/barnsley,,,,,,
Document Title,"Expenditure Exceeding £500/Grants to Voluntary, Community and Social Enterprise Organisations -May 2023",,,,,,
Effective Date,01/05/2023 - 31/05/2023,,,,,,
,,,,,,,
Transaction Date,Gross Amount £,Supplier Name,Expense Area,Expense Type,Expense Code,VCSE,Charity Number
02.05.2023,"3,297.50",Front Row Live Ltd,Growth & Sustainability,Grants,505002,N,N/A
02.05.2023,840,Smile,Corporate Budgets,Unascertained Material Group,400008,N,N/A
02.05.2023,534.75,REDACTED PERSONAL DATA,Corporate Budgets,Collection Fund - Council Tax refunds pa,550003,N,N/A
02.05.2023,601.27,REDACTED PERSONAL DATA,Corporate Budgets,Collection Fund - Council Tax refunds pa,550003,N,N/A
02.05.2023,681.43,REDACTED PERSONAL DATA,Corporate Budgets,Collection Fund - Council Tax refunds pa,550003,N,N/A
02.05.2023,988,REDACTED PERSONAL DATA,Corporate Budgets,Collection Fund - Council Tax refunds pa,550003,N,N/A
02.05.2023,628.72,REDACTED PERSONAL DATA,Corporate Budgets,Collection Fund - Council Tax refunds pa,550003,N,N/A
02.05.2023,539.35,REDACTED PERSONAL DATA,Corporate Budgets,Collection Fund - Council Tax refunds pa,550003,N,N/A
02.05.2023,"2,344.07",REDACTED PERSONAL DATA,Corporate Budgets,Collection Fund - Council Tax refunds pa,550003,N,N/A
02.05.2023,901.33,REDACTED PERSONAL DATA,Corporate Budgets,Collection Fund - Council Tax refunds pa,550003,N,N/A
02.05.2023,"1,528.28",REDACTED PERSONAL DATA,Corporate Budgets,Collection Fund - Council Tax refunds pa,550003,N,N/A
02.05.2023,"2,200.00",MW Property Holdings Ltd,Public Health & Communities,Property Rents,211002,N,N/A
02.05.2023,"28,334.75",REDACTED PERSONAL DATA,Growth & Sustainability,Professional Fees,424006,N,N/A
02.05.2023,"1,200.00",Elia International,Childrens Services,Computer S/ware-Licenses,426010,N,N/A
03.05.2023,"3,050.88",AMENITY HORTICULTURAL SERVICES LTD,Growth & Sustainability,Miscellaneous Materials,402009,N,N/A
03.05.2023,"1,431.59",BSS GROUP LTD,Growth & Sustainability,Direct - Building Items,403013,N,N/A
03.05.2023,639.71,BSS GROUP LTD,Growth & Sustainability,Direct - Building Items,403013,N,N/A
03.05.2023,731.84,DENNIS EAGLE LTD,Growth & Sustainability,Transport Stores,300008,N,N/A
03.05.2023,554.4,REDACTED PERSONAL DATA,Growth & Sustainability,Basic pay - Agency Fees,104001,N,N/A
03.05.2023,647.23,ST PHILIPS CARE CALEDONIA LTD,Place Health & Adult Social Care,Carers - Respite,506058,N,N/A
03.05.2023,"6,548.64",BMBC LABOUR GROUP,Growth & Sustainability,Members Political Levy,951054,N,N/A
03.05.2023,"1,242.00",EDMUNDSON ELECTRICAL LTD,Growth & Sustainability,Direct - Building Items,403013,N,N/A
03.05.2023,"1,934.16",EDMUNDSON ELECTRICAL LTD,Growth & Sustainability,Direct - Building Items,403013,N,N/A
03.05.2023,576,EDMUNDSON ELECTRICAL LTD,Growth & Sustainability,Direct - Building Items,403013,N,N/A
03.05.2023,"10,077.48",MEDELA UK LTD,Childrens Services,Equipment - Play,400009,N,N/A
03.05.2023,513.16,REDACTED PERSONAL DATA,Place Health & Adult Social Care,Supported Accommodation,506054,N,N/A
03.05.2023,"1,234.30",REDACTED PERSONAL DATA,Place Health & Adult Social Care,Supported Accommodation,506054,N,N/A
03.05.2023,612.76,MODERN SCHOOLS (BARNSLEY) LTD C/O,Core Services ,Repair & Maintenance Of Buildings,200003,N,N/A
03.05.2023,513.16,REDACTED PERSONAL DATA,Place Health & Adult Social Care,Supported Accommodation,506054,N,N/A
