Organisation Name,Barnsley Metropolitan Borough Council,,,,,,
Organisation Code,http://opendatacommunities.org/id/metropolitan-district-council/barnsley,,,,,,
Document Title,"Expenditure Exceeding £500/Grants to Voluntary, Community and Social Enterprise Organisations - Jan 2024",,,,,,
Effective Date,01/01/2024 - 31/01/2024,,,,,,
,,,,,,,
Transaction Date,Gross Amount £,Supplier Name,Expense Area,Expense Type,Expense Code,VCSE,Charity Number
02.01.2024,"1,515.00",SILVERLINE TRAVEL,Growth & Sustainability,Transport Services - Home to School,424046,N,N/A
02.01.2024,600,REDACTED PERSONAL DATA,Public Health & Communities,Property Rents,211002,N,N/A
02.01.2024,"26,251.85",TERRY GROUP LTD,Growth & Sustainability,Community Services,505045,N,N/A
02.01.2024,"2,547.09",SG EQUIPMENT FINANCE LTD,Corporate Budgets,Miscellaneous Materials,402009,N,N/A
02.01.2024,"1,001.66",SG EQUIPMENT FINANCE LTD,Corporate Budgets,Miscellaneous Materials,402009,N,N/A
02.01.2024,762,SG EQUIPMENT FINANCE LTD,Corporate Budgets,Main contractor,506011,N,N/A
02.01.2024,"37,786.80",BERNESLAI HOMES LTD,Housing Revenue Account,Consultants Fees,424007,N,N/A
02.01.2024,974.4,WOLSELEY UK LTD,Growth & Sustainability,Stock Materials,,N,N/A
02.01.2024,"5,931.86",WOLSELEY UK LTD,Growth & Sustainability,Stock Materials,,N,N/A
02.01.2024,653.9,EDMUNDSON ELECTRICAL LTD,Growth & Sustainability,Direct - Building Items,403013,N,N/A
02.01.2024,"14,943.24",REDACTED PERSONAL DATA,Core Services ,Credit Agencies,424048,N,N/A
02.01.2024,"14,804.03",Barnsley FC Community Trust Ltd,Public Health & Communities,Special Guardianship,506041,N,N/A
02.01.2024,"2,017.00",IMAGINATION GAMING,Public Health & Communities,Holidays & Outings,424004,N,N/A
02.01.2024,668.54,SPEEDY ASSET SERVICES LTD,Growth & Sustainability,Plant hire,320002,N,N/A
02.01.2024,510,REDACTED PERSONAL DATA,Growth & Sustainability,Main contractor,506011,N,N/A
02.01.2024,"4,807.13",THURGOLAND TRAVEL LTD,Growth & Sustainability,Transport Services - Home to School,424046,N,N/A
02.01.2024,"2,438.70",THURGOLAND TRAVEL LTD,Growth & Sustainability,Transport Services - Home to School,424046,N,N/A
02.01.2024,"2,174.10",THURGOLAND TRAVEL LTD,Growth & Sustainability,Transport Services - Home to School,424046,N,N/A
02.01.2024,"11,000.00",CALDER TRAINING AND CONSULTANCY LTD,Childrens Services,Other Training Providers,506001,N,N/A
02.01.2024,"32,414.31",ROTHERHAM COLLEGE OF ARTS & TECHNOL,Growth & Sustainability,Training Courses,112001,N,N/A
02.01.2024,"10,999.99",TWIGGS GROUND MAINTENANCE,Public Health & Communities,Miscellaneous Materials,402009,N,N/A
02.01.2024,"6,800.00",JKN RENEWABLES,Growth & Sustainability,Main contractor,506011,N,N/A
02.01.2024,"2,869.20",FIM HYDRAULICS LIMITED,Growth & Sustainability,Transport Stores,300008,N,N/A
02.01.2024,"1,012.38",FIM HYDRAULICS LIMITED,Growth & Sustainability,Transport Stores,300008,N,N/A
02.01.2024,"1,199.94",FIM HYDRAULICS LIMITED,Growth & Sustainability,Transport Stores,300008,N,N/A
02.01.2024,515.94,FIM HYDRAULICS LIMITED,Growth & Sustainability,Transport Stores,300008,N,N/A
02.01.2024,"1,016.40",FIM HYDRAULICS LIMITED,Growth & Sustainability,Transport Stores,300008,N,N/A
02.01.2024,"20,924.95",ACORN CARE AND EDUCATION,Childrens Services,Out Of Borough Placements,501004,N,N/A
02.01.2024,"20,924.95",ACORN CARE AND EDUCATION,Childrens Services,Out Of Borough Placements,501004,N,N/A
02.01.2024,"16,284.69",ACORN CARE AND EDUCATION,Childrens Services,Out Of Borough Placements,501004,N,N/A
02.01.2024,"16,284.69",ACORN CARE AND EDUCATION,Childrens Services,Out Of Borough Placements,501004,N,N/A
02.01.2024,"20,831.09",ACORN CARE AND EDUCATION,Childrens Services,Out Of Borough Placements,501004,N,N/A
02.01.2024,"20,414.67",ACORN CARE AND EDUCATION,Childrens Services,Out Of Borough Placements,501004,N,N/A
02.01.2024,"17,478.65",ACORN CARE AND EDUCATION,Childrens Services,Out Of Borough Placements,501004,N,N/A
02.01.2024,"20,925.03",ACORN CARE AND EDUCATION,Childrens Services,Out Of Borough Placements,501004,N,N/A
02.01.2024,"20,924.95",ACORN CARE AND EDUCATION,Childrens Services,Out Of Borough Placements,501004,N,N/A
02.01.2024,"20,931.60",ACORN CARE AND EDUCATION,Childrens Services,Out Of Borough Placements,501004,N,N/A
02.01.2024,"29,128.63",ACORN CARE AND EDUCATION,Childrens Services,Out Of Borough Placements,501004,N,N/A
02.01.2024,"20,931.60",ACORN CARE AND EDUCATION,Childrens Services,Out Of Borough Placements,501004,N,N/A
02.01.2024,"20,830.04",ACORN CARE AND EDUCATION,Childrens Services,Out Of Borough Placements,501004,N,N/A
02.01.2024,"20,831.09",ACORN CARE AND EDUCATION,Childrens Services,Out Of Borough Placements,501004,N,N/A
02.01.2024,"20,924.95",ACORN CARE AND EDUCATION,Childrens Services,Out Of Borough Placements,501004,N,N/A
02.01.2024,"20,924.95",ACORN CARE AND EDUCATION,Childrens Services,Out Of Borough Placements,501004,N,N/A
02.01.2024,"8,500.00",ACORN CARE AND EDUCATION,Childrens Services,Out Of Borough Placements,501004,N,N/A
02.01.2024,"20,931.60",ACORN CARE AND EDUCATION,Childrens Services,Out Of Borough Placements,501004,N,N/A
02.01.2024,"20,931.60",ACORN CARE AND EDUCATION,Childrens Services,Out Of Borough Placements,501004,N,N/A
02.01.2024,"8,500.00",ACORN CARE AND EDUCATION,Childrens Services,Out Of Borough Placements,501004,N,N/A
02.01.2024,"8,500.00",ACORN CARE AND EDUCATION,Childrens Services,Out Of Borough Placements,501004,N,N/A
