Payment Date,Transaction Number,Amount Excluding VAT,Vendor Number,Vendor Name,Company Number,Debit/Credit Indicator,PO Number,Document Type,Cost Centre,Cost Centre Description,Proclass Code,Proclass Description,Purpose of Spend
45139,1900202282,3007.94,108071,REDACTED PERSONAL DATA,06903140,H,,KR,103578,Domestic Refuse Coll,,,REDACTED PERSONAL DATA
45139,1900202283,247930.22,108071,REDACTED PERSONAL DATA,06903140,H,,KR,100094,Elm Grove,,,REDACTED PERSONAL DATA
45139,1900202289,14256.46,100918,D. Croft & Son Ltd,04662342,H,,KR,660789,Disabled Facilities,,,REDACTED DATA
45139,5106344828,2573.28,116415,Team Telemarketing Limited,,H,3300284393,RE,107070,,,,
45139,5106344872,3208.27,100724,Civica UK Ltd,,H,3300277149,RE,103133,HIGHS OVERHEADS,,,
45140,1900202281,2500,682141,REDACTED PERSONAL DATA,,H,,KR,100054,External Residential,,,REDACTED PERSONAL DATA
45140,1900202291,602249,320772,REDACTED DATA,,H,,KR,106678,,,,REDACTED DATA
45140,1900202292,5125,320772,REDACTED DATA,,H,,KR,100252,BESD Partnerships,,,REDACTED DATA
45140,1900202298,43039,112425,REDACTED PERSONAL DATA,10057286,H,,KR,103508,Chestnut Centre,,,REDACTED PERSONAL DATA
45140,1900202299,9200,112425,REDACTED PERSONAL DATA,10057286,H,,KR,103508,Chestnut Centre,,,REDACTED PERSONAL DATA
45140,1900202300,833,112425,REDACTED PERSONAL DATA,10057286,H,,KR,103508,Chestnut Centre,,,REDACTED PERSONAL DATA
45140,1900202301,17256,112425,REDACTED PERSONAL DATA,10057286,H,,KR,103508,Chestnut Centre,,,REDACTED PERSONAL DATA
45140,1900202308,550,207438,REDACTED DATA,,H,,KR,100050,Persons Abroad,,,REDACTED DATA
45141,101458518,-2334,100941,Cyclescheme Ltd,012796322,S,,AB,,,,,
45141,1900202314,9230.4,219740,REDACTED DATA,,H,,KR,100037,Assessment & Int Nth,,,REDACTED DATA
45141,1900202315,2755,102789,Prism UK Medical Ltd,04992349,H,,KR,660789,Disabled Facilities,,,REDACTED DATA
45141,1900202316,1500,203306,REDACTED DATA,,H,,KR,660789,Disabled Facilities,,,REDACTED DATA
45141,1900202317,5402,103345,Stone & Copley,,H,,KR,660789,Disabled Facilities,,,REDACTED DATA
45141,1900202318,7507,110734,Creative Care Limited,,H,,KR,660789,Disabled Facilities,,,REDACTED DATA
45141,1900202319,6070,117307,Arrow Developments Ltd,12836814,H,,KR,660789,Disabled Facilities,,,REDACTED DATA
45141,1900202322,1276,480154,Weightmans Llp,01386672,H,,KR,103867,Publ Liability Hways,,,1540
