Payment Date,Transaction Number,Amount Excluding VAT,Vendor Number,Vendor Name,Company Number,Debit/Credit Indicator,PO Number,Document Type,Cost Centre,Cost Centre Description,Proclass Code,Proclass Description,Purpose of Spend
45323,1900207825,26881,320772,REDACTED DATA,,H,,KR,106678,ATU ETHOS MAT,,,REDACTED DATA
45323,1900207826,98206,320006,REDACTED DATA,,H,,KR,100851,4613 All Saints Cath,201700,Grants,REDACTED DATA
45323,1900207827,155647,320178,REDACTED DATA,,H,,KR,100845,4046 Holmfirth High,,,REDACTED DATA
45323,1900207828,129660,320236,REDACTED DATA,,H,,KR,100838,4009 Netherhall High,,,REDACTED DATA
45323,1900207829,221691,320256,REDACTED DATA,,H,,KR,100853,4801 North Huddersfi,,,REDACTED DATA
45323,1900207830,119147,320341,REDACTED DATA,,H,,KR,100849,4061 Spen Valley Hig,201700,Grants,REDACTED DATA
45323,1900207831,45083,320410,REDACTED DATA,,H,,KR,100847,4057 Westborough Hig,,,REDACTED DATA
45323,1900207832,3578.24,220030,REDACTED DATA,,H,,KR,100040,Assessment & Int Sth,,,REDACTED DATA
45323,1900207845,5665,201120,REDACTED DATA,,H,,KR,660789,Disabled Facilities,,,REDACTED DATA
45323,5106375044,2081.6,420047,Mini Travel Executive,,H,3300348498,RE,103360,SPECIAL SCHOOL TRANS,361600,Taxi Services Home to School,A056 Ravenshall School Jul 24
45323,5106375045,2400,420047,Mini Travel Executive,,H,3300352837,RE,103360,SPECIAL SCHOOL TRANS,361600,Taxi Services Home to School,A068 Ravenshall Sch Jul 24
45323,5106375046,1827.2,420047,Mini Travel Executive,,H,3300347766,RE,103360,SPECIAL SCHOOL TRANS,361600,Taxi Services Home to School,A011 Fairfield School Jul 24
45323,5106375047,1694.72,420047,Mini Travel Executive,,H,3300347769,RE,103360,SPECIAL SCHOOL TRANS,361600,Taxi Services Home to School,A009 Fairfield School Jul 24
45323,5106375180,2750,340084,Crowther & Shaw Ltd,05903424,H,3300342737,RE,665575,Civic Centre 1 - Ref,111100,Equipment & Utensils,1 X WILLIAMS HJ2 Doulble door fridge
