Payment Date,Transaction Number,Amount Excluding VAT,Vendor Number,Vendor Name,Company Number,Debit/Credit Indicator,PO Number,Document Type,Cost Centre,Cost Centre Description,Proclass Code,Proclass Description,Purpose of Spend
45201,1900203567,659.26,102902,Readymix Huddersfield Ltd,00446451,H,,KR,103376,Highways + Sewrs Wks,,,
45201,1900203568,895.29,102902,Readymix Huddersfield Ltd,00446451,H,,KR,103376,Highways + Sewrs Wks,,,
45201,1900203571,155647,320178,REDACTED DATA,,H,,KR,100845,4046 Holmfirth High,,,REDACTED DATA
45201,1900203572,129660,320236,REDACTED DATA,,H,,KR,100838,4009 Netherhall High,,,REDACTED DATA
45201,1900203573,221691,320256,REDACTED DATA,,H,,KR,100853,4801 North Huddersfi,,,REDACTED DATA
45201,1900203575,45083,320410,REDACTED DATA,,H,,KR,100847,4057 Westborough Hig,,,REDACTED DATA
45201,1900203576,654.97,108071,REDACTED PERSONAL DATA,06903140,H,,KR,103422,MAINTENANCE DESIGN,,,REDACTED PERSONAL DATA
45201,1900203578,218598.63,108071,REDACTED PERSONAL DATA,06903140,H,,KR,104079,CASTLE GRANGE,,,REDACTED PERSONAL DATA
45201,5106355756,1180,108652,Wavin Ltd (IP),,H,,RE,103570,Strategic Waste,,,2023-24 Land rental at Bromley Farm
45202,101481217,-1247.76,390432,Valeo Ltd (Care Tech),04099715,S,,AB,,,,,
45202,1700023238,-735.98,340360,Tim Watson Excavations,,S,,KG,104778,ZZ Balance Sheet,,,
45202,1900203579,6226.17,103441,Telent Technology Services Ltd,,H,,KR,102189,Signals Maintenance,,,Telent Technology Services Ltd Val 101
45202,1900203580,556.97,103441,Telent Technology Services Ltd,,H,,KR,666554,,,,Telent Technology Services Ltd Val 101
45202,1900203581,1113.92,103441,Telent Technology Services Ltd,,H,,KR,664681,Highways Maintenance,,,Telent Technology Services Ltd Val 101
45202,1900203582,21240.32,500136,Corona Energy,,H,,KR,101161,Kirklees Active Leis,,,Corona 8814264902 010823 010923 Batley S
45202,1900203583,5219.06,500136,Corona Energy,,H,,KR,101161,Kirklees Active Leis,,,Corona 8814264902 010823 010923 Batley S
45202,1900203585,791.88,116554,E.ON Energy Solutions Ltd,03407430,H,,KR,666636,,,,Flint St EV Disconnection 8214101
45202,5106355913,2397.08,116415,Team Telemarketing Limited,,H,3300284393,RE,107070,,,,
45203,1700023254,-1000,340606,Yorkshire Building Contractors Ltd,9455664,S,,KG,104778,ZZ Balance Sheet,,,
45203,1900203586,750,410201,REDACTED PERSONAL DATA,,H,,KR,100299,Free ErlyYrsEdu(PVI),,,REDACTED PERSONAL DATA
45203,1900203587,750,410201,REDACTED PERSONAL DATA,,H,,KR,100278,2 Year Old Funding,,,REDACTED PERSONAL DATA
45203,1900203600,65390.55,320009,REDACTED DATA,,H,,KR,100797,3045 All Hallows' CE,,,REDACTED DATA
45203,1900203601,27004.15,320017,REDACTED DATA,,H,,KR,100806,3320 Batley Parish J,,,REDACTED DATA
45203,1900203602,44983.83,410008,Battyeford CE (VC) Primary School,,H,,KR,100798,3046 Battyeford Prim,,,SEA Reimb 2023-24 P6 3046
45203,1900203603,34557.11,320028,REDACTED DATA,,H,,KR,100686,2006 Birkby I&N Scho,,,REDACTED DATA
45203,1900203604,73622.75,320031,REDACTED DATA,,H,,KR,100702,2041 Birkby Junior S,,,REDACTED DATA
45203,1900203605,25862.14,320030,REDACTED DATA,,H,,KR,100800,3048 Birkenshaw Prim,,,REDACTED DATA
45203,1900203606,14041.49,320044,REDACTED DATA,,H,,KR,100785,3021 Brockholes J&I,,,REDACTED DATA
45203,1900203607,72040.66,320053,REDACTED DATA,,H,,KR,100778,3009 Bywell Junior S,,,REDACTED DATA
45203,1900203608,130662.31,320056,REDACTED DATA,,H,,KR,100685,2005 Carlton J&I Sch,,,REDACTED DATA
45203,1900203609,11943.76,320074,REDACTED DATA,,H,,KR,100715,2069 Clough Head J&I,,,REDACTED DATA
45203,1900203610,42726.32,410050,Crossley Fields J & I School,,H,,KR,100766,2152 Crossley Fields,,,SEA Reimb 2023-24 P6 2152
45203,1900203611,34520.06,410051,Crow Lane J I & N School,,H,,KR,100701,2038 Crow Lane J I &,,,SEA Reimb 2023-24 P6 2038
45203,1900203612,31490.42,320084,REDACTED DATA,,H,,KR,100796,3041 Crowlees J&I Sc,,,REDACTED DATA
45203,1900203613,16110.59,320086,REDACTED DATA,,H,,KR,100811,3325 Cumberworth Fir,,,REDACTED DATA
45203,1900203614,119831.52,320088,REDACTED DATA,,H,,KR,100771,2157 Dalton School,,,REDACTED DATA
45203,1900203615,12500.9,410053,Denby Ce (A) First School,,H,,KR,100812,3326 Denby First Sch,,,SEA Reimb 2023-24 P6 3326
45203,1900203616,13835.34,410056,Earlsheaton Infant School,,H,,KR,100689,2013 Earlsheaton Inf,,,SEA Reimb 2023-24 P6 2013
45203,1900203617,22721.5,410057,East Bierley CE (VC) Primary School,,H,,KR,100791,3032 East Bierley Pr,,,SEA Reimb 2023-24 P6 3032
45203,1900203618,34108.12,320099,REDACTED DATA,,H,,KR,100687,2007 Eastborough J I,,,REDACTED DATA
45203,1900203619,8936.71,320104,REDACTED DATA,,H,,KR,100723,2081 Emley First Sch,,,REDACTED DATA
45203,1900203620,31468.58,320105,REDACTED DATA,,H,,KR,100862,7011 Fairfield Schoo,,,REDACTED DATA
45203,1900203621,8055.46,320106,REDACTED DATA,,H,,KR,100793,3036 Farnley Tyas Fi,,,REDACTED DATA
45203,1900203622,47069.74,320115,REDACTED DATA,,H,,KR,100706,2056 Fixby J&I Schoo,,,REDACTED DATA
45203,1900203623,14443.48,410066,Flatts Nursery School,,H,,KR,100679,1005 Flatts Nursery,,,SEA Reimb 2023-24 P6 1005
45203,1900203624,11521.63,410067,Flockton CE (VC) First School,,H,,KR,100786,3022 Flockton First,,,SEA Reimb 2023-24 P6 3022
45203,1900203625,77788.76,320120,REDACTED DATA,,H,,KR,100765,2151 Golcar J I & N,,,REDACTED DATA
45203,1900203626,49541.48,320122,REDACTED DATA,,H,,KR,100736,2099 Gomersal Primar,,,REDACTED DATA
45203,1900203627,26968.32,320123,REDACTED DATA,,H,,KR,100817,3332 Gomersal St Mar,,,REDACTED DATA
