Payment Date,Transaction Number,Amount Excluding VAT,Vendor Number,Vendor Name,Company Number,Debit/Credit Indicator,PO Number,Document Type,Cost Centre,Cost Centre Description,Proclass Code,Proclass Description,Purpose of Spend
45231,1900204713,155647,320178,REDACTED DATA,,H,,KR,100845,4046 Holmfirth High,,,REDACTED DATA
45231,1900204714,129660,320236,REDACTED DATA,,H,,KR,100838,4009 Netherhall High,,,REDACTED DATA
45231,1900204715,221691,320256,REDACTED DATA,,H,,KR,100853,4801 North Huddersfi,,,REDACTED DATA
45231,1900204717,45083,320410,REDACTED DATA,,H,,KR,100847,4057 Westborough Hig,,,REDACTED DATA
45231,1900204722,4320,100032,1St Ability Ltd,06853960,H,,KR,660789,Disabled Facilities,,,REDACTED DATA
45231,1900204724,4982,110734,Creative Care Limited,,H,,KR,660789,Disabled Facilities,,,REDACTED DATA
45231,1900204725,5825,103506,Closomat Ltd,02489536,H,,KR,660789,Disabled Facilities,,,REDACTED DATA
45231,1900204726,7601,100032,1St Ability Ltd,06853960,H,,KR,660789,Disabled Facilities,,,REDACTED DATA
45231,1900204727,4850,203306,REDACTED DATA,,H,,KR,660789,Disabled Facilities,,,REDACTED DATA
45231,1900204728,4340,117089,Innova Care Concepts Ltd. T/A Aquad,11951702,H,,KR,660789,Disabled Facilities,,,REDACTED DATA
45231,1900204729,7210.5,103471,TK Access Solutions Ltd,1166449,H,,KR,660789,Disabled Facilities,,,REDACTED DATA
45231,1900204730,120287,320772,REDACTED DATA,,H,,KR,106678,,,,REDACTED DATA
45232,1900204736,3227.87,500265,Business Stream,,H,,KR,102651,WEST YORKS PUBLIC TR,,,Bus Station
45232,1900204737,1640.93,500265,Business Stream,,H,,KR,102651,WEST YORKS PUBLIC TR,,,Bus Station
45232,1900204738,1333.51,500265,Business Stream,,H,,KR,102651,WEST YORKS PUBLIC TR,,,Bus Station
45232,1900204739,1289.34,500265,Business Stream,,H,,KR,102651,WEST YORKS PUBLIC TR,,,Bus Station
45232,1900204749,45000,219921,REDACTED DATA,,H,,KR,103867,Publ Liability Hways,,,REDACTED DATA
45232,1900204750,1414,480154,Weightmans Llp,01386672,H,,KR,103867,Publ Liability Hways,,,1540
45232,1900204753,4111,205307,REDACTED DATA,,H,,KR,103866,Employers Liability,,,REDACTED DATA
45232,1900204754,1250,205307,REDACTED DATA,,H,,KR,103866,Employers Liability,,,REDACTED DATA
45232,5106362343,7500.7,340010,Albert Innes Ltd,00353716,H,3300284175,RE,665916,,,,
45233,1900204755,1119.69,500073,Northern Powergrid (Yorks) Plc (YED,04112320,H,,KR,103385,LGHTNG EXTRWKS(57AC),,,NPG YD20403676 SL 192 49238
45233,1900204756,1119.69,500073,Northern Powergrid (Yorks) Plc (YED,04112320,H,,KR,103445,SL MAINT-OBSOL SCHS,,,NPG YD20413429 SL 192 49412
45233,1900204757,11704.93,500073,Northern Powergrid (Yorks) Plc (YED,04112320,H,,KR,666516,,,,NPG YD20413439 SL 192 49732
45233,1900204758,4896.4,500073,Northern Powergrid (Yorks) Plc (YED,04112320,H,,KR,666262,,,,NPG YD20413475 SL 192 49828
45233,1900204760,708.93,500073,Northern Powergrid (Yorks) Plc (YED,04112320,H,,KR,103438,SL MAIN-FAULTS,,,NPG YD20413498 SL 192 50061
45233,1900204761,3997.41,500073,Northern Powergrid (Yorks) Plc (YED,04112320,H,,KR,666262,,,,NPG YD20414417 SL 192 49828
45233,1900204762,982.77,500073,Northern Powergrid (Yorks) Plc (YED,04112320,H,,KR,103438,SL MAIN-FAULTS,,,NPG YD20414438 SL 192 50047
45233,1900204763,886.93,500073,Northern Powergrid (Yorks) Plc (YED,04112320,H,,KR,103383,SECT38 LIGHT D(55AC),,,NPG YD20415488 SL 192 49206
45233,1900204764,1125.42,500073,Northern Powergrid (Yorks) Plc (YED,04112320,H,,KR,663909,Holme Valley South 2,,,NPG YD20415489 SL 192 49170
45233,1900204765,640.47,500073,Northern Powergrid (Yorks) Plc (YED,04112320,H,,KR,103445,SL MAINT-OBSOL SCHS,,,NPG YD20415491 SL 192 50045
45233,1900204766,1604.3,500073,Northern Powergrid (Yorks) Plc (YED,04112320,H,,KR,103383,SECT38 LIGHT D(55AC),,,NPG YD20415493 SL 192 50086
45233,1900204767,527.24,500073,Northern Powergrid (Yorks) Plc (YED,04112320,H,,KR,666013,,,,NPG YD20415494 SL 192 49804
45233,1900204768,934.46,500073,Northern Powergrid (Yorks) Plc (YED,04112320,H,,KR,103445,SL MAINT-OBSOL SCHS,,,NPG YD20415498 SL 192 50044
45233,1900204769,3163.44,500073,Northern Powergrid (Yorks) Plc (YED,04112320,H,,KR,662448,TF5 A629 Halifax Roa,,,NPG YD20415502 SL 192 50093
