Directorate,Department,Expenditure Type,Ref.Doc.1,Vendor Name,Expenditure Amount (exc VAT),Payment Date,"Comment from
Database:
Publish/ Exclude/ Publish-Redact Name"
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090578255,Swifthand Care Services Ltd,379.61,21/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090578256,Swifthand Care Services Ltd,241.57,21/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090578257,Swifthand Care Services Ltd,241.57,21/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090578258,Swifthand Care Services Ltd,241.57,21/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090578259,Swifthand Care Services Ltd,241.57,21/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090578260,Swifthand Care Services Ltd,207.06,21/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090578261,Swifthand Care Services Ltd,207.06,21/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090578262,Swifthand Care Services Ltd,207.06,21/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090578263,Swifthand Care Services Ltd,207.06,21/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090578264,Swifthand Care Services Ltd,532.44,21/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090578265,Swifthand Care Services Ltd,"1,064.88",21/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090578266,Swifthand Care Services Ltd,"1,064.88",21/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090578267,Swifthand Care Services Ltd,769.08,21/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090578268,Swifthand Care Services Ltd,207.06,21/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090578269,Swifthand Care Services Ltd,207.06,21/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090578270,Swifthand Care Services Ltd,207.06,21/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090578271,Swifthand Care Services Ltd,207.06,21/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090578272,Swifthand Care Services Ltd,49.31,21/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090578273,Swifthand Care Services Ltd,49.31,21/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090578274,Swifthand Care Services Ltd,49.30,21/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090578275,Swifthand Care Services Ltd,49.31,21/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090578276,Swifthand Care Services Ltd,138.04,21/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090578277,Swifthand Care Services Ltd,138.04,21/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090578278,Swifthand Care Services Ltd,138.04,21/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090578279,Swifthand Care Services Ltd,138.04,21/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090578280,Swifthand Care Services Ltd,241.57,21/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090578281,Swifthand Care Services Ltd,241.57,21/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090578282,Swifthand Care Services Ltd,241.57,21/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090578283,Swifthand Care Services Ltd,241.57,21/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090578284,Swifthand Care Services Ltd,"2,839.68",21/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090578285,Swifthand Care Services Ltd,"2,839.68",21/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090578286,Swifthand Care Services Ltd,"2,839.68",21/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090578287,Swifthand Care Services Ltd,"2,839.68",21/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090578292,Swifthand Care Services Ltd,172.55,21/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090578293,Swifthand Care Services Ltd,172.55,21/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090578294,Swifthand Care Services Ltd,172.55,21/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090578295,Swifthand Care Services Ltd,172.55,21/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090578296,Swifthand Care Services Ltd,"3,312.96",21/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090578297,Swifthand Care Services Ltd,"3,312.96",21/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090578298,Swifthand Care Services Ltd,"3,312.96",21/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090578299,Swifthand Care Services Ltd,"3,312.96",21/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090578300,Swifthand Care Services Ltd,690.20,21/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090578301,Swifthand Care Services Ltd,690.20,21/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090578302,Swifthand Care Services Ltd,690.20,21/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090578303,Swifthand Care Services Ltd,690.20,21/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090578304,Swifthand Care Services Ltd,29.58,21/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090578305,Swifthand Care Services Ltd,29.58,21/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090578306,Swifthand Care Services Ltd,29.58,21/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090578307,Swifthand Care Services Ltd,29.58,21/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090578308,Swifthand Care Services Ltd,207.06,21/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090578309,Swifthand Care Services Ltd,207.06,21/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090578310,Swifthand Care Services Ltd,207.06,21/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090578311,Swifthand Care Services Ltd,207.06,21/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090578312,Swifthand Care Services Ltd,172.55,21/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090578313,Swifthand Care Services Ltd,172.55,21/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090578314,Swifthand Care Services Ltd,172.55,21/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090578315,Swifthand Care Services Ltd,172.55,21/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090578316,Swifthand Care Services Ltd,759.22,21/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090578317,Swifthand Care Services Ltd,759.22,21/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090578318,Swifthand Care Services Ltd,759.22,21/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090578319,Swifthand Care Services Ltd,759.22,21/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090578320,Swifthand Care Services Ltd,325.38,21/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090578321,Swifthand Care Services Ltd,325.38,21/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090578322,Swifthand Care Services Ltd,325.38,21/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090578323,Swifthand Care Services Ltd,325.38,21/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090578324,Swifthand Care Services Ltd,172.55,21/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090578325,Swifthand Care Services Ltd,172.55,21/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090578326,Swifthand Care Services Ltd,172.55,21/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090578327,Swifthand Care Services Ltd,172.55,21/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090578337,Swifthand Care Services Ltd,315.52,21/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090578338,Swifthand Care Services Ltd,261.29,21/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090578339,Swifthand Care Services Ltd,315.52,21/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090578340,Swifthand Care Services Ltd,315.52,21/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090578341,Swifthand Care Services Ltd,138.04,21/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090578342,Swifthand Care Services Ltd,138.04,21/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090578343,Swifthand Care Services Ltd,138.04,21/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090578344,Swifthand Care Services Ltd,138.04,21/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090578345,Swifthand Care Services Ltd,103.53,21/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090578346,Swifthand Care Services Ltd,93.67,21/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090578347,Swifthand Care Services Ltd,103.53,21/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090578348,Swifthand Care Services Ltd,414.12,21/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090578349,Swifthand Care Services Ltd,276.08,21/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090578350,Swifthand Care Services Ltd,414.12,21/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090579271,Rivendell Care & Support,"2,122.62",25/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090579272,Rivendell Care & Support,"3,464.87",25/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090579273,Rivendell Care & Support,"2,861.38",25/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090579301,Concept Care Solutions Ltd,288.68,25/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090579302,Concept Care Solutions Ltd,288.68,25/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090579315,MI HOMECARE LIMITED,364.21,25/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090579524,Swifthand Care Services Ltd,187.34,25/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090580228,Springvilla Care Ltd,"1,309.00",26/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090580244,Circle Care Ltd,"1,134.00",27/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090580260,Good Neighbour Care,"6,565.58",28/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090580265,I-Care Recruitment Services Ltd,902.58,28/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090580266,I-Care Recruitment Services Ltd,"9,789.52",28/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090580267,I-Care Recruitment Services Ltd,515.76,28/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090580276,Nwando Domiciliary Care Ltd,360.94,28/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090580279,Nwando Domiciliary Care Ltd,131.25,28/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090580280,Nwando Domiciliary Care Ltd,656.25,28/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090580281,Nwando Domiciliary Care Ltd,295.31,28/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090580282,Nwando Domiciliary Care Ltd,135.94,28/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090580285,Nwando Domiciliary Care Ltd,393.75,28/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090580286,Nwando Domiciliary Care Ltd,"1,050.00",28/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090580292,Nwando Domiciliary Care Ltd,300.00,28/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090580294,Nwando Domiciliary Care Ltd,360.94,28/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090580297,Nwando Domiciliary Care Ltd,196.88,28/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090580298,Nwando Domiciliary Care Ltd,656.25,28/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090580299,Nwando Domiciliary Care Ltd,295.31,28/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090580300,Nwando Domiciliary Care Ltd,135.94,28/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090580303,Nwando Domiciliary Care Ltd,393.75,28/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090580304,Nwando Domiciliary Care Ltd,"1,350.00",28/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090580308,Nwando Domiciliary Care Ltd,300.00,28/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090580311,Nwando Domiciliary Care Ltd,360.94,28/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090580314,Nwando Domiciliary Care Ltd,196.88,28/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090580315,Nwando Domiciliary Care Ltd,656.25,28/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090580316,Nwando Domiciliary Care Ltd,225.00,28/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090580317,Nwando Domiciliary Care Ltd,135.94,28/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090580320,Nwando Domiciliary Care Ltd,393.75,28/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090580321,Nwando Domiciliary Care Ltd,"1,050.00",28/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090580323,Nwando Domiciliary Care Ltd,300.00,28/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090580326,Nwando Domiciliary Care Ltd,271.88,28/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090580327,Nwando Domiciliary Care Ltd,360.94,28/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090580330,Nwando Domiciliary Care Ltd,196.88,28/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090580331,Nwando Domiciliary Care Ltd,656.25,28/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090580332,Nwando Domiciliary Care Ltd,131.25,28/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090580333,Nwando Domiciliary Care Ltd,135.94,28/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090580336,Nwando Domiciliary Care Ltd,393.75,28/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090580337,Nwando Domiciliary Care Ltd,"1,050.00",28/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090580339,Nwando Domiciliary Care Ltd,300.00,28/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090580342,Social Care Consortium Limited,415.60,28/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090580343,Pringle's Care Services Ltd,131.11,28/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090580346,Pringle's Care Services Ltd,262.22,28/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090580347,Pringle's Care Services Ltd,163.89,28/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090580348,Pringle's Care Services Ltd,168.57,28/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090580349,Pringle's Care Services Ltd,332.46,28/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090580350,Pringle's Care Services Ltd,327.78,28/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090580351,Pringle's Care Services Ltd,458.89,28/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090580352,Pringle's Care Services Ltd,327.78,28/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090580353,Pringle's Care Services Ltd,346.51,28/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090580354,Pringle's Care Services Ltd,590.00,28/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090580355,Pringle's Care Services Ltd,117.06,28/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090580357,Pringle's Care Services Ltd,131.11,28/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090580360,Pringle's Care Services Ltd,262.22,28/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090580361,Pringle's Care Services Ltd,163.89,28/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090580362,Pringle's Care Services Ltd,332.46,28/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090580363,Pringle's Care Services Ltd,18.73,28/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090580364,Pringle's Care Services Ltd,65.56,28/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090580365,Pringle's Care Services Ltd,327.78,28/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090580366,Pringle's Care Services Ltd,346.51,28/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090580367,Pringle's Care Services Ltd,590.00,28/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090580368,Pringle's Care Services Ltd,117.06,28/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090580372,Pringle's Care Services Ltd,131.11,28/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090580375,Pringle's Care Services Ltd,262.22,28/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090580376,Pringle's Care Services Ltd,163.89,28/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090580377,Pringle's Care Services Ltd,149.84,28/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090580378,Pringle's Care Services Ltd,332.46,28/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090580379,Pringle's Care Services Ltd,327.78,28/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090580380,Pringle's Care Services Ltd,346.51,28/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090580381,Pringle's Care Services Ltd,590.00,28/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090580382,Pringle's Care Services Ltd,117.06,28/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090580383,Pringle's Care Services Ltd,131.11,28/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090580386,Pringle's Care Services Ltd,262.22,28/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090580387,Pringle's Care Services Ltd,163.89,28/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090580388,Pringle's Care Services Ltd,248.17,28/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090580389,Pringle's Care Services Ltd,107.70,28/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090580390,Pringle's Care Services Ltd,327.78,28/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090580391,Pringle's Care Services Ltd,346.51,28/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090580392,Pringle's Care Services Ltd,590.00,28/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090580393,Pringle's Care Services Ltd,117.06,28/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090580394,Pringle's Care Services Ltd,262.22,28/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090580395,Pringle's Care Services Ltd,131.11,28/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090580398,Pringle's Care Services Ltd,262.22,28/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090580399,Pringle's Care Services Ltd,163.89,28/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090580400,Pringle's Care Services Ltd,248.17,28/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090580401,Pringle's Care Services Ltd,327.78,28/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090580402,Pringle's Care Services Ltd,327.78,28/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090580403,Pringle's Care Services Ltd,346.51,28/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090580404,Pringle's Care Services Ltd,505.71,28/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090580405,Pringle's Care Services Ltd,117.06,28/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090580406,Pringle's Care Services Ltd,262.22,28/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090580407,Pringle's Care Services Ltd,398.01,28/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090580410,Pringle's Care Services Ltd,360.55,28/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090580412,MI HOMECARE LIMITED,56.76,28/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090580413,MI HOMECARE LIMITED,184.47,28/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090580414,MI HOMECARE LIMITED,"1,523.06",28/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090580415,MI HOMECARE LIMITED,245.96,28/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090580416,MI HOMECARE LIMITED,"3,174.21",28/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090580417,MI HOMECARE LIMITED,279.07,28/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090580418,MI HOMECARE LIMITED,70.95,28/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090580419,MI HOMECARE LIMITED,170.28,28/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090580421,MI HOMECARE LIMITED,179.74,28/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090580422,MI HOMECARE LIMITED,245.96,28/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090580423,MI HOMECARE LIMITED,85.14,28/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090580425,MI HOMECARE LIMITED,983.84,28/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090580426,MI HOMECARE LIMITED,283.80,28/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090580427,MI HOMECARE LIMITED,132.44,28/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090580428,MI HOMECARE LIMITED,297.99,28/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090580430,MI HOMECARE LIMITED,198.66,28/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090580432,MI HOMECARE LIMITED,283.80,28/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090580433,MI HOMECARE LIMITED,293.26,28/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090580434,MI HOMECARE LIMITED,"1,688.61",28/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090580435,MI HOMECARE LIMITED,297.99,28/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090580436,MI HOMECARE LIMITED,250.69,28/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090580437,MI HOMECARE LIMITED,85.14,28/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090580438,MI HOMECARE LIMITED,487.19,28/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090580439,MI HOMECARE LIMITED,297.99,28/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090580441,MI HOMECARE LIMITED,99.33,28/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090580443,MI HOMECARE LIMITED,264.88,28/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090580444,MI HOMECARE LIMITED,66.22,28/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090580445,MI HOMECARE LIMITED,335.83,28/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090580447,MI HOMECARE LIMITED,85.14,28/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090580449,MI HOMECARE LIMITED,113.52,28/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090580450,MI HOMECARE LIMITED,255.42,28/04/2023,PUBLISH
Delivery Units,Adults and Health,Other Agencies - Third Party P,0090580452,MI HOMECARE LIMITED,198.47,28/04/2023,PUBLISH
