Directorate,Department,Expenditure Type,Ref.Doc.1,Vendor Name,Expenditure Amount (exc VAT),Payment Date
Delivery Units,Adults and Health,Software Licences & Support,1032422202,Access UK Ltd," 1,474.53 ",06/03/2024
Delivery Units,Adults and Health,Ttl IT & Comms,1032422902,Access UK Ltd," 9,620.62 ",06/03/2024
Delivery Units,Adults and Health,Software Licences & Support,1033197602,Access UK Ltd," 1,474.53 ",06/03/2024
Delivery Units,Adults and Health,Ttl IT & Comms,1033198602,Access UK Ltd," 9,620.62 ",06/03/2024
Delivery Units,Adults and Health,Software Licences & Support,1033916101,Access UK Ltd,-84.78 ,06/03/2024
Delivery Units,Adults and Health,Ttl IT & Comms,1033916701,Access UK Ltd,-553.12 ,06/03/2024
Delivery Units,Adults and Health,Software Licences & Support,1033917101,Access UK Ltd,-84.78 ,06/03/2024
Delivery Units,Adults and Health,Ttl IT & Comms,1033918401,Access UK Ltd,-553.12 ,06/03/2024
Delivery Units,Adults and Health,Software Licences & Support,1034190101,Access UK Ltd," 1,389.75 ",06/03/2024
Delivery Units,Adults and Health,Ttl IT & Comms,1034190201,Access UK Ltd," 9,067.50 ",06/03/2024
Delivery Units,Adults and Health,Other Agencies - Third Party P,1034455102,THE BARNETGROUP LIMITED, 306.12 ,13/03/2024
Delivery Units,Adults and Health,Professional Services,1034061801,Recruitment Team Nine Limited, 442.50 ,01/03/2024
Delivery Units,Adults and Health,Professional Services,1032084803,Action First Assessment Ltd," 2,345.00 ",05/03/2024
Delivery Units,Adults and Health,Professional Services,1034137302,Community Connex Ltd, 210.00 ,05/03/2024
Delivery Units,Adults and Health,Professional Services,1034137802,Community Connex Ltd, 201.25 ,05/03/2024
Delivery Units,Adults and Health,Professional Services,1034383102,Aisa Medical Ltd," 9,100.00 ",13/03/2024
Delivery Units,Adults and Health,Professional Services,1033857902,Recruitment Team Nine Limited, 737.50 ,18/03/2024
Delivery Units,Adults and Health,Ttl IT & Comms,1034409601,MEDEQUIP ASSISTIVE TECHNOLOGY," 167,091.94 ",13/03/2024
