Body Name,Vendor Number,Vendor Name,Cost Centre,Service Label,BV Code,Amount,Period
Slough Borough Council,804709,247 Careservices Ltd,M44D,AD Adult Social Care Operations,Supplies and Services,"11,800.00",Feb-24
Slough Borough Council,804709,247 Careservices Ltd,M44D,AD Adult Social Care Operations,Supplies and Services,"10,800.00",Feb-24
Slough Borough Council,1869,3Ms Gold Services Limited,P006,Capital,Capital Charges,"3,238.56",Feb-24
Slough Borough Council,1869,3Ms Gold Services Limited,P006,Capital,Capital Charges,"7,267.26",Feb-24
Slough Borough Council,1869,3Ms Gold Services Limited,P006,Capital,Capital Charges,"5,406.51",Feb-24
Slough Borough Council,1869,3Ms Gold Services Limited,P006,Capital,Capital Charges,"6,936.15",Feb-24
Slough Borough Council,1055,A J Chapman,F123,AD Education & Inclusion,External Receipts,"1,908.00",Feb-24
Slough Borough Council,1055,A J Chapman,F123,AD Education & Inclusion,External Receipts,"3,920.00",Feb-24
Slough Borough Council,1055,A J Chapman,F123,AD Education & Inclusion,External Receipts,"3,549.00",Feb-24
Slough Borough Council,1055,A J Chapman,F123,AD Education & Inclusion,External Receipts,"59,079.50",Feb-24
Slough Borough Council,809183,Aamay Resource Management Ltd,H205,AD Housing,Supplies and Services,"10,695.00",Feb-24
Slough Borough Council,809078,Aaron Alexander,C322,AD Public Protection & Communities - Children Services,Supplies and Services,792.00,Feb-24
Slough Borough Council,536,Ability Housing Association,M42E,AD People Strategy & Commissioning,Supplies and Services,"3,023.03",Feb-24
Slough Borough Council,536,Ability Housing Association,M42E,AD People Strategy & Commissioning,Supplies and Services,"3,490.52",Feb-24
Slough Borough Council,536,Ability Housing Association,M42E,AD People Strategy & Commissioning,Supplies and Services,"2,788.84",Feb-24
Slough Borough Council,536,Ability Housing Association,M42E,AD People Strategy & Commissioning,Supplies and Services,"2,895.28",Feb-24
Slough Borough Council,536,Ability Housing Association,M42E,AD People Strategy & Commissioning,Supplies and Services,"2,852.71",Feb-24
Slough Borough Council,536,Ability Housing Association,M42E,AD People Strategy & Commissioning,Supplies and Services,"2,682.39",Feb-24
Slough Borough Council,536,Ability Housing Association,M42E,AD People Strategy & Commissioning,Supplies and Services,"1,532.71",Feb-24
Slough Borough Council,536,Ability Housing Association,M42E,AD People Strategy & Commissioning,Supplies and Services,"2,008.57",Feb-24
Slough Borough Council,536,Ability Housing Association,M42E,AD People Strategy & Commissioning,Supplies and Services,"2,583.38",Feb-24
Slough Borough Council,536,Ability Housing Association,M42E,AD People Strategy & Commissioning,Supplies and Services,"2,924.09",Feb-24
Slough Borough Council,536,Ability Housing Association,M42E,AD People Strategy & Commissioning,Supplies and Services,"2,668.57",Feb-24
Slough Borough Council,536,Ability Housing Association,M42E,AD People Strategy & Commissioning,Supplies and Services,"3,222.12",Feb-24
Slough Borough Council,536,Ability Housing Association,M42E,AD People Strategy & Commissioning,Supplies and Services,"2,860.19",Feb-24
Slough Borough Council,536,Ability Housing Association,M42E,AD People Strategy & Commissioning,Supplies and Services,"2,835.72",Feb-24
Slough Borough Council,536,Ability Housing Association,M42E,AD People Strategy & Commissioning,Supplies and Services,"2,860.71",Feb-24
Slough Borough Council,536,Ability Housing Association,M42E,AD People Strategy & Commissioning,Supplies and Services,"1,967.07",Feb-24
Slough Borough Council,536,Ability Housing Association,M42E,AD People Strategy & Commissioning,Supplies and Services,"3,261.53",Feb-24
Slough Borough Council,536,Ability Housing Association,M44E,AD People Strategy & Commissioning,Supplies and Services,"2,078.78",Feb-24
Slough Borough Council,536,Ability Housing Association,M44E,AD People Strategy & Commissioning,Supplies and Services,"2,156.97",Feb-24
Slough Borough Council,536,Ability Housing Association,M44E,AD People Strategy & Commissioning,Supplies and Services,"2,543.29",Feb-24
Slough Borough Council,536,Ability Housing Association,M44E,AD People Strategy & Commissioning,Supplies and Services,"2,635.27",Feb-24
Slough Borough Council,3933,Academy21 Limited,F462,AD Children & Families,Supplies and Services,"3,000.00",Feb-24
