Body Name,Vendor Number,Vendor Name,Cost Centre,Service Label,BV Code,Amount,Period
Slough Borough Council,807554,Acorn Care & Education Ltd,F462,Children & Families,Supplies and Services,"21,586.67",Jul-23
Slough Borough Council,805529,Action First Recrutiment Ltd,A02A,People,Supplies and Services,760.00,Jul-23
Slough Borough Council,805529,Action First Recrutiment Ltd,A02A,People,Supplies and Services,"1,100.00",Jul-23
Slough Borough Council,2855,Advance Housing & Support Ltd,M27F,Adult Social Care Operations,Supplies and Services,553.02,Jul-23
Slough Borough Council,2855,Advance Housing & Support Ltd,M27F,Adult Social Care Operations,Supplies and Services,843.55,Jul-23
Slough Borough Council,2855,Advance Housing & Support Ltd,M27F,Adult Social Care Operations,Supplies and Services,713.12,Jul-23
Slough Borough Council,2855,Advance Housing & Support Ltd,M42F,Adult Social Care Operations,Supplies and Services,"1,130.43",Jul-23
Slough Borough Council,2855,Advance Housing & Support Ltd,M42F,Adult Social Care Operations,Supplies and Services,695.65,Jul-23
Slough Borough Council,2855,Advance Housing & Support Ltd,M42F,Adult Social Care Operations,Supplies and Services,956.51,Jul-23
Slough Borough Council,2855,Advance Housing & Support Ltd,M42F,Adult Social Care Operations,Supplies and Services,972.52,Jul-23
Slough Borough Council,807002,Advanced Card Bureau LTD,J020,Place Management,Supplies and Services,505.36,Jul-23
Slough Borough Council,2135,Adventure Learning Childcare Limited,F909,Children & Families,Supplies and Services,"11,657.00",Jul-23
Slough Borough Council,2135,Adventure Learning Childcare Limited,F909,Children & Families,Supplies and Services,630.00,Jul-23
Slough Borough Council,805178,AFM Transport Limited,D880,Place Operations,Supplies and Services,"2,012.50",Jul-23
Slough Borough Council,2197,Altwood Housing Ltd,H205,Housing (People) Services,Supplies and Services,"1,200.00",Jul-23
Slough Borough Council,86,Altwood Properties Ltd,H205,Housing (People) Services,Premises,"50,732.82",Jul-23
Slough Borough Council,807515,Always Growing Together Community Interest Company Limited,F909,Children & Families,Supplies and Services,"9,263.27",Jul-23
Slough Borough Council,807515,Always Growing Together Community Interest Company Limited,F909,Children & Families,Supplies and Services,990.00,Jul-23
Slough Borough Council,808191,Ambrose Adrian Healthcare Ltd,M44E,Adult Social Care Operations,Supplies and Services,"3,800.00",Jul-23
Slough Borough Council,807893,Antz Kidz Activity Centre,F382,Children & Families,Supplies and Services,"5,725.50",Jul-23
Slough Borough Council,3137,Applegarth Care Home Ltd,M25C,Adult Social Care Operations,Supplies and Services,"3,600.00",Jul-23
Slough Borough Council,3137,Applegarth Care Home Ltd,M25C,Adult Social Care Operations,Supplies and Services,"1,414.27",Jul-23
Slough Borough Council,3137,Applegarth Care Home Ltd,M25C,Adult Social Care Operations,Supplies and Services,"3,200.00",Jul-23
Slough Borough Council,3137,Applegarth Care Home Ltd,M28C,Adult Social Care Operations,Supplies and Services,"1,414.27",Jul-23
Slough Borough Council,3137,Applegarth Care Home Ltd,M28C,Adult Social Care Operations,Supplies and Services,"3,278.60",Jul-23
Slough Borough Council,3137,Applegarth Care Home Ltd,M28C,Adult Social Care Operations,Supplies and Services,"2,307.14",Jul-23
Slough Borough Council,3137,Applegarth Care Home Ltd,M28C,Adult Social Care Operations,Supplies and Services,"1,092.86",Jul-23
Slough Borough Council,3137,Applegarth Care Home Ltd,M29C,Adult Social Care Operations,Supplies and Services,"-2,185.70",Jul-23
Slough Borough Council,3137,Applegarth Care Home Ltd,M29C,Adult Social Care Operations,Supplies and Services,"3,400.00",Jul-23
Slough Borough Council,3137,Applegarth Care Home Ltd,M29C,Adult Social Care Operations,Supplies and Services,"-1,214.29",Jul-23
Slough Borough Council,3137,Applegarth Care Home Ltd,M29C,Adult Social Care Operations,Supplies and Services,"1,457.16",Jul-23
Slough Borough Council,3137,Applegarth Care Home Ltd,M29C,Adult Social Care Operations,Supplies and Services,"2,064.29",Jul-23
Slough Borough Council,808415,APTUS EA LTD,H205,Housing (People) Services,Supplies and Services,"179,275.00",Jul-23
Slough Borough Council,511,Aquaneed Limited,P006,Capital,Capital Charges,"9,348.45",Jul-23
Slough Borough Council,3350,Arbour Vale School,E610,Children & Families,Supplies and Services,"465,509.71",Jul-23
Slough Borough Council,2073,Arc Preschool,F909,Children & Families,Supplies and Services,"7,695.19",Jul-23
Slough Borough Council,2073,Arc Preschool,F909,Children & Families,Supplies and Services,"1,170.00",Jul-23
Slough Borough Council,831,Argos Business Solutions Ltd,H055,Finance & Commercial,Supplies and Services,"35,936.00",Jul-23
Slough Borough Council,831,Argos Business Solutions Ltd,H055,Finance & Commercial,Supplies and Services,"19,790.64",Jul-23
Slough Borough Council,831,Argos Business Solutions Ltd,H055,Finance & Commercial,Supplies and Services,"16,207.05",Jul-23
Slough Borough Council,831,Argos Business Solutions Ltd,H055,Finance & Commercial,Supplies and Services,"17,433.70",Jul-23
Slough Borough Council,420,Ashburn Estate Agents,H205,Housing (People) Services,Premises,"113,782.00",Jul-23
Slough Borough Council,3666,Assisted Living South West,M26E,Adult Social Care Operations,Supplies and Services,"5,105.00",Jul-23
Slough Borough Council,3666,Assisted Living South West,M26E,Adult Social Care Operations,Supplies and Services,"6,778.96",Jul-23
Slough Borough Council,804324,Astoria Healthcare,M27F,Adult Social Care Operations,Supplies and Services,"4,417.50",Jul-23
Slough Borough Council,806232,Astral PS LTD (Trading as Foundations),A06C,People Strategy & Commissioning,Agency Staff,593.76,Jul-23
Slough Borough Council,570,Atkins Limited,P212,Capital,Capital Charges,"2,000.00",Jul-23
Slough Borough Council,570,Atkins Limited,P209,Capital,Supplies and Services,"1,150.00",Jul-23
Slough Borough Council,808330,Avison Young,P242,Capital,Capital Charges,"3,525.00",Jul-23
Slough Borough Council,1286,Barnardos,F462,Children & Families,Supplies and Services,"32,882.40",Jul-23
Slough Borough Council,1286,Barnardos,F462,Children & Families,Supplies and Services,"9,864.52",Jul-23
Slough Borough Council,3370,Baylis Court School,E610,Children & Families,Supplies and Services,"4,166.67",Jul-23
Slough Borough Council,1681,Bcq,B240,Business Services,Supplies and Services,"1,099.00",Jul-23
Slough Borough Council,1681,Bcq,D610,Place Operations,Supplies and Services,"1,339.00",Jul-23
Slough Borough Council,1681,Bcq,D610,Place Operations,Supplies and Services,686.00,Jul-23
Slough Borough Council,3208,Be Happy Pre School,F909,Children & Families,Supplies and Services,"12,214.36",Jul-23
Slough Borough Council,3208,Be Happy Pre School,F909,Children & Families,Supplies and Services,"6,747.25",Jul-23
Slough Borough Council,3208,Be Happy Pre School,F909,Children & Families,Supplies and Services,"1,800.00",Jul-23
Slough Borough Council,3208,Be Happy Pre School,F909,Children & Families,Supplies and Services,900.00,Jul-23
Slough Borough Council,805539,Beech Haven Ltd,M27C,Adult Social Care Operations,Supplies and Services,"3,277.14",Jul-23
Slough Borough Council,609,Beechwood Secondary School,E610,Children & Families,Supplies and Services,"5,500.00",Jul-23
Slough Borough Council,804588,BEN Motor & Allied Trades Bev.Fnd,M15D,Adult Social Care Operations,Supplies and Services,"6,400.00",Jul-23
Slough Borough Council,804588,BEN Motor & Allied Trades Bev.Fnd,M18C,Adult Social Care Operations,Supplies and Services,"9,114.29",Jul-23
Slough Borough Council,804588,BEN Motor & Allied Trades Bev.Fnd,M18C,Adult Social Care Operations,Supplies and Services,"-6,007.14",Jul-23
Slough Borough Council,804588,BEN Motor & Allied Trades Bev.Fnd,M27C,Adult Social Care Operations,Supplies and Services,"5,600.00",Jul-23
Slough Borough Council,804588,BEN Motor & Allied Trades Bev.Fnd,M27C,Adult Social Care Operations,Supplies and Services,"5,400.00",Jul-23
Slough Borough Council,808448,Benjamin Bown,F253,Children & Families,Agency Staff,600.00,Jul-23
Slough Borough Council,612,Berkshire Healthcare Nhs Foundation Trust,A07R,Adult Social Care Operations,Supplies and Services,"19,746.00",Jul-23
Slough Borough Council,612,Berkshire Healthcare Nhs Foundation Trust,F520,Education & Inclusion,Supplies and Services,"36,666.63",Jul-23
Slough Borough Council,612,Berkshire Healthcare Nhs Foundation Trust,F520,Education & Inclusion,Supplies and Services,"4,750.00",Jul-23
Slough Borough Council,808116,BeSpoke Cycling Instruction Ltd,D500,Place Strategy & Infrastructure,Supplies and Services,"5,940.00",Jul-23
Slough Borough Council,2308,Bespoke Supportive Tenancies Ltd,A04L,Adult Social Care Operations,Supplies and Services,"2,041.27",Jul-23
Slough Borough Council,2308,Bespoke Supportive Tenancies Ltd,A04L,Adult Social Care Operations,Supplies and Services,"1,975.43",Jul-23
Slough Borough Council,2308,Bespoke Supportive Tenancies Ltd,A04L,Adult Social Care Operations,Supplies and Services,"1,958.79",Jul-23
Slough Borough Council,808148,BEST CHOICE CARE LTD,A07R,Adult Social Care Operations,Supplies and Services,"1,102.66",Jul-23
Slough Borough Council,808148,BEST CHOICE CARE LTD,M41D,Adult Social Care Operations,Supplies and Services,586.25,Jul-23
Slough Borough Council,808148,BEST CHOICE CARE LTD,M44C,Adult Social Care Operations,Supplies and Services,568.88,Jul-23
Slough Borough Council,808148,BEST CHOICE CARE LTD,M44C,Adult Social Care Operations,Supplies and Services,547.15,Jul-23
Slough Borough Council,808148,BEST CHOICE CARE LTD,M44C,Adult Social Care Operations,Supplies and Services,"1,470.28",Jul-23
Slough Borough Council,808148,BEST CHOICE CARE LTD,M44C,Adult Social Care Operations,Supplies and Services,993.75,Jul-23
Slough Borough Council,808148,BEST CHOICE CARE LTD,M44C,Adult Social Care Operations,Supplies and Services,612.64,Jul-23
Slough Borough Council,808148,BEST CHOICE CARE LTD,M44C,Adult Social Care Operations,Supplies and Services,734.97,Jul-23
Slough Borough Council,808148,BEST CHOICE CARE LTD,M44C,Adult Social Care Operations,Supplies and Services,600.63,Jul-23
Slough Borough Council,808148,BEST CHOICE CARE LTD,M44C,Adult Social Care Operations,Supplies and Services,980.00,Jul-23
Slough Borough Council,808148,BEST CHOICE CARE LTD,M44C,Adult Social Care Operations,Supplies and Services,835.76,Jul-23
Slough Borough Council,808148,BEST CHOICE CARE LTD,M44C,Adult Social Care Operations,Supplies and Services,"1,837.78",Jul-23
Slough Borough Council,808148,BEST CHOICE CARE LTD,M44D,Adult Social Care Operations,Supplies and Services,"2,467.50",Jul-23
Slough Borough Council,808148,BEST CHOICE CARE LTD,M45C,Adult Social Care Operations,Supplies and Services,551.25,Jul-23
Slough Borough Council,808148,BEST CHOICE CARE LTD,M45C,Adult Social Care Operations,Supplies and Services,-633.75,Jul-23
Slough Borough Council,808148,BEST CHOICE CARE LTD,M45C,Adult Social Care Operations,Supplies and Services,"1,130.47",Jul-23
Slough Borough Council,806987,Better Life Care Ltd,M44E,Adult Social Care Operations,Supplies and Services,"4,400.00",Jul-23
Slough Borough Council,1736,Bevan Brittan Llp,P242,Capital,Capital Charges,"8,957.00",Jul-23
Slough Borough Council,3611,Birch Assist Ltd T/A Bluebird Care (South Bucks & Slough),M44D,Adult Social Care Operations,Supplies and Services,"2,982.00",Jul-23
Slough Borough Council,803828,Blue Willow Day Nursery Ltd,F909,Children & Families,Supplies and Services,"27,353.32",Jul-23
Slough Borough Council,803828,Blue Willow Day Nursery Ltd,F909,Children & Families,Supplies and Services,"2,250.00",Jul-23
Slough Borough Council,807297,BNP Paribas Real Estate Advisory & Property Management UK Limited,B079,Place Strategy & Infrastructure,Premises,"4,117.89",Jul-23
Slough Borough Council,807297,BNP Paribas Real Estate Advisory & Property Management UK Limited,B079,Place Strategy & Infrastructure,Premises,"5,169.17",Jul-23
Slough Borough Council,807297,BNP Paribas Real Estate Advisory & Property Management UK Limited,B079,Place Strategy & Infrastructure,Premises,613.97,Jul-23
Slough Borough Council,807297,BNP Paribas Real Estate Advisory & Property Management UK Limited,B079,Place Strategy & Infrastructure,Premises,613.97,Jul-23
Slough Borough Council,807297,BNP Paribas Real Estate Advisory & Property Management UK Limited,B079,Place Strategy & Infrastructure,Premises,930.09,Jul-23
Slough Borough Council,807297,BNP Paribas Real Estate Advisory & Property Management UK Limited,B079,Place Strategy & Infrastructure,Premises,930.09,Jul-23
Slough Borough Council,805060,BPS Dorking Ltd t/a BPS Chartered Surveyors,D224,Place Regulation,Supplies and Services,"5,580.00",Jul-23
Slough Borough Council,805060,BPS Dorking Ltd t/a BPS Chartered Surveyors,D224,Place Regulation,Supplies and Services,"5,580.00",Jul-23
Slough Borough Council,2856,Brain Injury Rehabilitation Trust,M26E,Adult Social Care Operations,Supplies and Services,"5,937.65",Jul-23
Slough Borough Council,2856,Brain Injury Rehabilitation Trust,M26E,Adult Social Care Operations,Supplies and Services,"5,746.11",Jul-23
Slough Borough Council,2856,Brain Injury Rehabilitation Trust,M26E,Adult Social Care Operations,Supplies and Services,"5,432.48",Jul-23
Slough Borough Council,2856,Brain Injury Rehabilitation Trust,M26E,Adult Social Care Operations,Supplies and Services,"5,613.57",Jul-23
Slough Borough Council,2856,Brain Injury Rehabilitation Trust,M26E,Adult Social Care Operations,Supplies and Services,"5,452.68",Jul-23
Slough Borough Council,2856,Brain Injury Rehabilitation Trust,M26E,Adult Social Care Operations,Supplies and Services,"5,752.05",Jul-23
Slough Borough Council,2856,Brain Injury Rehabilitation Trust,M27C,Adult Social Care Operations,Supplies and Services,"7,240.33",Jul-23
