Body Name,Vendor Number,Vendor Name,Cost Centre,Service Label,BV Code,Amount,Period
Slough Borough Council,803753,Healthcare Homes,M28C,Adult Social Care Operations,Supplies and Services,"1,371.43",Oct-23
Slough Borough Council,803753,Healthcare Homes,M28C,Adult Social Care Operations,Supplies and Services,"5,314.29",Oct-23
Slough Borough Council,803753,Healthcare Homes,M28C,Adult Social Care Operations,Supplies and Services,"2,571.43",Oct-23
Slough Borough Council,803753,Healthcare Homes,M28C,Adult Social Care Operations,Supplies and Services,"5,142.86",Oct-23
Slough Borough Council,805368,Heathermount School,F462,Children & Families,Supplies and Services,"22,857.03",Oct-23
Slough Borough Council,805368,Heathermount School,F462,Children & Families,Supplies and Services,"22,857.03",Oct-23
Slough Borough Council,805368,Heathermount School,F462,Children & Families,Supplies and Services,"25,715.20",Oct-23
Slough Borough Council,807682,Help and Care,A02C,People Strategy & Commissioning,Supplies and Services,"16,109.74",Oct-23
Slough Borough Council,1686,Herald Chase,B660,Finance & Commercial,Supplies and Services,"1,215.36",Oct-23
Slough Borough Council,1686,Herald Chase,F382,Children & Families,Supplies and Services,"4,595.82",Oct-23
Slough Borough Council,803447,Herewards House Residential Home,M25C,Adult Social Care Operations,Supplies and Services,"3,764.29",Oct-23
Slough Borough Council,803447,Herewards House Residential Home,M25C,Adult Social Care Operations,Supplies and Services,"3,985.71",Oct-23
Slough Borough Council,803447,Herewards House Residential Home,M27C,Adult Social Care Operations,Supplies and Services,"2,878.57",Oct-23
Slough Borough Council,803447,Herewards House Residential Home,M27C,Adult Social Care Operations,Supplies and Services,"3,764.29",Oct-23
Slough Borough Council,803447,Herewards House Residential Home,M27C,Adult Social Care Operations,Supplies and Services,"3,985.71",Oct-23
Slough Borough Council,803447,Herewards House Residential Home,M27C,Adult Social Care Operations,Supplies and Services,"3,764.29",Oct-23
Slough Borough Council,3387,Herschel Grammar School,E610,Children & Families,Supplies and Services,"3,750.00",Oct-23
Slough Borough Council,807998,Heywood's Catering,F253,Children & Families,Supplies and Services,"1,069.43",Oct-23
Slough Borough Council,659,Hilton Cabinet Co Ltd,D320,Place Operations,Supplies and Services,731.26,Oct-23
Slough Borough Council,850,Holy Family Catholic Primary School,E250,Children & Families,Supplies and Services,"192,526.64",Oct-23
Slough Borough Council,808922,HOUSING ACTION MANAGEMENT LTD,H205,Housing (People) Services,Supplies and Services,"1,705.00",Oct-23
Slough Borough Council,808922,HOUSING ACTION MANAGEMENT LTD,H205,Housing (People) Services,Supplies and Services,"1,650.00",Oct-23
Slough Borough Council,808773,Hygiene Systems Ltd,B060,Business Services,Premises,"1,049.90",Oct-23
Slough Borough Council,808773,Hygiene Systems Ltd,B060,Business Services,Premises,"1,464.28",Oct-23
Slough Borough Council,808897,Imperial Breeze Healthcare South East Ltd,M44D,Adult Social Care Operations,Supplies and Services,"2,010.00",Oct-23
Slough Borough Council,808897,Imperial Breeze Healthcare South East Ltd,M44D,Adult Social Care Operations,Supplies and Services,"5,025.00",Oct-23
Slough Borough Council,2917,Imperial Coaches Ltd,F123,Education & Inclusion,External Receipts,"4,700.00",Oct-23
Slough Borough Council,2917,Imperial Coaches Ltd,F123,Education & Inclusion,External Receipts,"5,130.00",Oct-23
Slough Borough Council,807666,Independence Home and Domicilary Care,M44F,Adult Social Care Operations,Supplies and Services,"3,272.10",Oct-23
Slough Borough Council,807666,Independence Home and Domicilary Care,M44F,Adult Social Care Operations,Supplies and Services,"2,845.80",Oct-23
Slough Borough Council,807666,Independence Home and Domicilary Care,M44F,Adult Social Care Operations,Supplies and Services,"3,240.00",Oct-23
Slough Borough Council,807666,Independence Home and Domicilary Care,M44F,Adult Social Care Operations,Supplies and Services,"1,494.75",Oct-23
Slough Borough Council,3570,Independent Supported Living And Disabilities Ltd,M42E,Adult Social Care Operations,Supplies and Services,"3,010.00",Oct-23
Slough Borough Council,3570,Independent Supported Living And Disabilities Ltd,M44E,Adult Social Care Operations,Supplies and Services,"3,570.00",Oct-23
Slough Borough Council,3570,Independent Supported Living And Disabilities Ltd,M44E,Adult Social Care Operations,Supplies and Services,"1,050.00",Oct-23
Slough Borough Council,3570,Independent Supported Living And Disabilities Ltd,M44E,Adult Social Care Operations,Supplies and Services,"4,212.00",Oct-23
Slough Borough Council,3570,Independent Supported Living And Disabilities Ltd,M44E,Adult Social Care Operations,Supplies and Services,"1,440.00",Oct-23
Slough Borough Council,3570,Independent Supported Living And Disabilities Ltd,M44F,Adult Social Care Operations,Supplies and Services,"1,362.06",Oct-23
Slough Borough Council,3570,Independent Supported Living And Disabilities Ltd,M44F,Adult Social Care Operations,Supplies and Services,"2,608.00",Oct-23
Slough Borough Council,803651,Insight Direct (UK) Ltd,B281,Business Services,Supplies and Services,"2,185.40",Oct-23
Slough Borough Council,3172,Intelligent Transport Services,P579,Capital,Supplies and Services,"5,346.90",Oct-23
Slough Borough Council,3172,Intelligent Transport Services,P212,Capital,Capital Charges,616.95,Oct-23
Slough Borough Council,3172,Intelligent Transport Services,P238,Capital,Capital Charges,"2,056.50",Oct-23
Slough Borough Council,3172,Intelligent Transport Services,P244,Capital,Capital Charges,"3,701.70",Oct-23
Slough Borough Council,3172,Intelligent Transport Services,P244,Capital,Capital Charges,"2,262.15",Oct-23
Slough Borough Council,3172,Intelligent Transport Services,P579,Capital,Capital Charges,"4,729.95",Oct-23
Slough Borough Council,3172,Intelligent Transport Services,D501,Place Strategy & Infrastructure,Supplies and Services,"1,750.00",Oct-23
Slough Borough Council,3172,Intelligent Transport Services,D501,Place Strategy & Infrastructure,Supplies and Services,"1,750.00",Oct-23
Slough Borough Council,3172,Intelligent Transport Services,D509,Place Strategy & Infrastructure,Supplies and Services,"6,894.33",Oct-23
Slough Borough Council,3500,Iqra Slough Islamic Primary School,E480,Children & Families,Supplies and Services,"107,988.80",Oct-23
