Body Name,Vendor Number,Vendor Name,Cost Centre,Service Label,BV Code,Amount,Period
Slough Borough Council,1869,3Ms Gold Services Limited,P006,Capital,Capital Charges,9455.35,Dec-23
Slough Borough Council,1055,A J Chapman,F123,Education & Inclusion,External Receipts,4312,Dec-23
Slough Borough Council,1055,A J Chapman,F123,Education & Inclusion,External Receipts,2559,Dec-23
Slough Borough Council,1055,A J Chapman,F123,Education & Inclusion,External Receipts,3211,Dec-23
Slough Borough Council,1055,A J Chapman,F123,Education & Inclusion,External Receipts,63527,Dec-23
Slough Borough Council,809183,Aamay Resource Management Ltd,H205,Housing (People) Services,Supplies and Services,10350,Dec-23
Slough Borough Council,809078,Aaron Alexander,C322,Community,Supplies and Services,940.5,Dec-23
Slough Borough Council,536,Ability Housing Association,M42E,Adult Social Care Operations,Supplies and Services,2872.96,Dec-23
Slough Borough Council,536,Ability Housing Association,M42E,Adult Social Care Operations,Supplies and Services,2584.51,Dec-23
Slough Borough Council,536,Ability Housing Association,M42E,Adult Social Care Operations,Supplies and Services,2925.51,Dec-23
Slough Borough Council,536,Ability Housing Association,M42E,Adult Social Care Operations,Supplies and Services,3377.96,Dec-23
Slough Borough Council,536,Ability Housing Association,M42E,Adult Social Care Operations,Supplies and Services,2698.87,Dec-23
Slough Borough Council,536,Ability Housing Association,M42E,Adult Social Care Operations,Supplies and Services,2801.89,Dec-23
Slough Borough Council,536,Ability Housing Association,M42E,Adult Social Care Operations,Supplies and Services,2760.68,Dec-23
Slough Borough Council,536,Ability Housing Association,M42E,Adult Social Care Operations,Supplies and Services,2595.85,Dec-23
Slough Borough Council,536,Ability Housing Association,M42E,Adult Social Care Operations,Supplies and Services,1483.26,Dec-23
Slough Borough Council,536,Ability Housing Association,M42E,Adult Social Care Operations,Supplies and Services,1945.8,Dec-23
Slough Borough Council,536,Ability Housing Association,M42E,Adult Social Care Operations,Supplies and Services,2502.09,Dec-23
Slough Borough Council,536,Ability Housing Association,M42E,Adult Social Care Operations,Supplies and Services,3120.2,Dec-23
Slough Borough Council,536,Ability Housing Association,M42E,Adult Social Care Operations,Supplies and Services,2769.94,Dec-23
Slough Borough Council,536,Ability Housing Association,M42E,Adult Social Care Operations,Supplies and Services,2744.25,Dec-23
Slough Borough Council,536,Ability Housing Association,M42E,Adult Social Care Operations,Supplies and Services,2768.96,Dec-23
Slough Borough Council,536,Ability Housing Association,M42E,Adult Social Care Operations,Supplies and Services,1903.62,Dec-23
Slough Borough Council,536,Ability Housing Association,M42E,Adult Social Care Operations,Supplies and Services,3156.32,Dec-23
Slough Borough Council,536,Ability Housing Association,M44E,Adult Social Care Operations,Supplies and Services,2361.17,Dec-23
Slough Borough Council,536,Ability Housing Association,M44E,Adult Social Care Operations,Supplies and Services,1862.56,Dec-23
Slough Borough Council,536,Ability Housing Association,M44E,Adult Social Care Operations,Supplies and Services,1932.62,Dec-23
Slough Borough Council,536,Ability Housing Association,M44E,Adult Social Care Operations,Supplies and Services,2278.76,Dec-23
Slough Borough Council,808047,Access UK Limited,C529,Community,Supplies and Services,29743.13,Dec-23
Slough Borough Council,807554,Acorn Care & Education Ltd,F462,Children & Families,Supplies and Services,23938.33,Dec-23
Slough Borough Council,807554,Acorn Care & Education Ltd,F558,Children & Families,Supplies and Services,4408,Dec-23
Slough Borough Council,807554,Acorn Care & Education Ltd,F558,Children & Families,Supplies and Services,4452,Dec-23
Slough Borough Council,807554,Acorn Care & Education Ltd,F558,Children & Families,Supplies and Services,8904,Dec-23
Slough Borough Council,807554,Acorn Care & Education Ltd,F558,Children & Families,Supplies and Services,31426,Dec-23
Slough Borough Council,807554,Acorn Care & Education Ltd,F558,Children & Families,Supplies and Services,36454,Dec-23
Slough Borough Council,805529,Action First Recrutiment Ltd,A02A,People,Supplies and Services,550,Dec-23
Slough Borough Council,805529,Action First Recrutiment Ltd,A02A,People,Supplies and Services,2750,Dec-23
Slough Borough Council,805529,Action First Recrutiment Ltd,A02A,People,Supplies and Services,825,Dec-23
Slough Borough Council,805529,Action First Recrutiment Ltd,A02A,People,Supplies and Services,550,Dec-23
Slough Borough Council,805529,Action First Recrutiment Ltd,A02A,People,Supplies and Services,2090,Dec-23
Slough Borough Council,2011,Active Iq,C322,Community,Supplies and Services,625,Dec-23
Slough Borough Council,807832,Adaptec Mobility Ltd,P006,Capital,Capital Charges,16671.25,Dec-23
Slough Borough Council,807832,Adaptec Mobility Ltd,P006,Capital,Capital Charges,8765,Dec-23
Slough Borough Council,2135,Adventure Learning Childcare Limited,F909,Children & Families,Supplies and Services,710.49,Dec-23
Slough Borough Council,2135,Adventure Learning Childcare Limited,F909,Children & Families,Supplies and Services,12339.77,Dec-23
Slough Borough Council,809107,All About Place Ltd,D224,Place Regulation,Supplies and Services,690,Dec-23
Slough Borough Council,809107,All About Place Ltd,D224,Place Regulation,Supplies and Services,690,Dec-23
Slough Borough Council,809107,All About Place Ltd,D224,Place Regulation,Supplies and Services,510,Dec-23
Slough Borough Council,806268,Allied Publicity Services (Manchester) Limited,A120,Customer,Supplies and Services,559.68,Dec-23
Slough Borough Council,2197,Altwood Housing Ltd,H205,Housing (People) Services,Supplies and Services,1740,Dec-23
Slough Borough Council,2197,Altwood Housing Ltd,H205,Housing (People) Services,Supplies and Services,1080,Dec-23
Slough Borough Council,2197,Altwood Housing Ltd,H205,Housing (People) Services,Supplies and Services,900,Dec-23
Slough Borough Council,2197,Altwood Housing Ltd,H205,Housing (People) Services,Supplies and Services,1080,Dec-23
Slough Borough Council,2197,Altwood Housing Ltd,H205,Housing (People) Services,Supplies and Services,1380,Dec-23
Slough Borough Council,2197,Altwood Housing Ltd,H205,Housing (People) Services,Supplies and Services,1080,Dec-23
Slough Borough Council,807515,Always Growing Together Community Interest Company Limited,F909,Children & Families,Supplies and Services,557.14,Dec-23
Slough Borough Council,807515,Always Growing Together Community Interest Company Limited,F909,Children & Families,Supplies and Services,9357.37,Dec-23
