Body Name,Vendor Number,Vendor Name,Cost Centre,Service Label,BV Code,Amount,Period
Slough Borough Council,2197,Altwood Housing Ltd,H205,Housing (People) Services,Supplies and Services,"1,426.00",Nov-23
Slough Borough Council,2197,Altwood Housing Ltd,H205,Housing (People) Services,Supplies and Services,792.00,Nov-23
Slough Borough Council,2197,Altwood Housing Ltd,H205,Housing (People) Services,Supplies and Services,"1,116.00",Nov-23
Slough Borough Council,2197,Altwood Housing Ltd,H205,Housing (People) Services,Supplies and Services,828.00,Nov-23
Slough Borough Council,2197,Altwood Housing Ltd,H205,Housing (People) Services,Supplies and Services,930.00,Nov-23
Slough Borough Council,2197,Altwood Housing Ltd,H205,Housing (People) Services,Supplies and Services,"1,116.00",Nov-23
Slough Borough Council,86,Altwood Properties Ltd,H205,Housing (People) Services,Premises,"47,146.91",Nov-23
Slough Borough Council,86,Altwood Properties Ltd,H205,Housing (People) Services,Premises,"48,320.78",Nov-23
Slough Borough Council,807515,Always Growing Together Community Interest Company Limited,F909,Children & Families,Supplies and Services,557.14,Nov-23
Slough Borough Council,807515,Always Growing Together Community Interest Company Limited,F909,Children & Families,Supplies and Services,"9,357.37",Nov-23
Slough Borough Council,807515,Always Growing Together Community Interest Company Limited,F909,Children & Families,Supplies and Services,567.00,Nov-23
Slough Borough Council,808191,Ambrose Adrian Healthcare Ltd,M44E,Adult Social Care Operations,Supplies and Services,"3,800.00",Nov-23
Slough Borough Council,808562,Andy Clements,F253,Children & Families,Agency Staff,"2,349.67",Nov-23
Slough Borough Council,808368,Anthony Toby Homes Trust,M26E,Adult Social Care Operations,Supplies and Services,"5,911.58",Nov-23
Slough Borough Council,808368,Anthony Toby Homes Trust,M26E,Adult Social Care Operations,Supplies and Services,"6,108.64",Nov-23
Slough Borough Council,807893,Antz Kidz Activity Centre,F382,Children & Families,Supplies and Services,"1,460.25",Nov-23
Slough Borough Council,804702,Apna Virsa,C424,Community,Supplies and Services,"2,880.00",Nov-23
Slough Borough Council,3137,Applegarth Care Home Ltd,M28C,Adult Social Care Operations,Supplies and Services,"2,064.29",Nov-23
Slough Borough Council,3137,Applegarth Care Home Ltd,M28C,Adult Social Care Operations,Supplies and Services,"3,400.00",Nov-23
Slough Borough Council,3137,Applegarth Care Home Ltd,M28C,Adult Social Care Operations,Supplies and Services,971.44,Nov-23
Slough Borough Council,3137,Applegarth Care Home Ltd,M29C,Adult Social Care Operations,Supplies and Services,"3,400.00",Nov-23
Slough Borough Council,3137,Applegarth Care Home Ltd,M29C,Adult Social Care Operations,Supplies and Services,678.55,Nov-23
Slough Borough Council,808415,APTUS EA LTD,H205,Housing (People) Services,Supplies and Services,"241,373.00",Nov-23
Slough Borough Council,3350,Arbour Vale School,E610,Children & Families,Supplies and Services,"461,517.29",Nov-23
Slough Borough Council,2073,Arc Preschool,F909,Children & Families,Supplies and Services,702.45,Nov-23
Slough Borough Council,2073,Arc Preschool,F909,Children & Families,Supplies and Services,"7,750.19",Nov-23
Slough Borough Council,2073,Arc Preschool,F909,Children & Families,Supplies and Services,"1,417.50",Nov-23
Slough Borough Council,831,Argos Business Solutions Ltd,H055,Finance & Commercial,Supplies and Services,"1,621.90",Nov-23
Slough Borough Council,831,Argos Business Solutions Ltd,H055,Finance & Commercial,Supplies and Services,"2,371.60",Nov-23
Slough Borough Council,831,Argos Business Solutions Ltd,H055,Finance & Commercial,Supplies and Services,"2,185.40",Nov-23
Slough Borough Council,2221,Arjohuntleigh Uk,A08R,Adult Social Care Operations,Supplies and Services,"2,550.00",Nov-23
Slough Borough Council,1637,Arlingclose Ltd,B015,Finance & Commercial,Supplies and Services,"8,108.37",Nov-23
Slough Borough Council,1637,Arlingclose Ltd,B015,Finance & Commercial,Supplies and Services,"8,108.37",Nov-23
Slough Borough Council,804353,Arts Class,F382,Children & Families,Supplies and Services,"1,306.80",Nov-23
Slough Borough Council,1985,Ascentis,F210,Community,Supplies and Services,"1,053.00",Nov-23
Slough Borough Council,809029,ASH TEIKO,F253,Children & Families,Agency Staff,800.00,Nov-23
Slough Borough Council,420,Ashburn Estate Agents,H205,Housing (People) Services,Premises,"107,944.00",Nov-23
Slough Borough Council,420,Ashburn Estate Agents,H205,Housing (People) Services,Premises,"104,699.00",Nov-23
Slough Borough Council,3666,Assisted Living South West,M26E,Adult Social Care Operations,Supplies and Services,"6,778.96",Nov-23
Slough Borough Council,803499,Association of Directors of Public Health,A01P,Public Health,Supplies and Services,"4,250.00",Nov-23
Slough Borough Council,804324,Astoria Healthcare,M27F,Adult Social Care Operations,Supplies and Services,"4,275.00",Nov-23
Slough Borough Council,570,Atkins Limited,P243,Capital,Capital Charges,684.00,Nov-23
Slough Borough Council,3370,Baylis Court School,E610,Children & Families,Supplies and Services,"4,791.67",Nov-23
Slough Borough Council,1681,BCQ Solutions Ltd,B246,Business Services,Supplies and Services,684.00,Nov-23
Slough Borough Council,1681,BCQ Solutions Ltd,D320,Place Operations,Supplies and Services,600.00,Nov-23
Slough Borough Council,3208,Be Happy Pre School,F909,Children & Families,Supplies and Services,"1,860.95",Nov-23
Slough Borough Council,3208,Be Happy Pre School,F909,Children & Families,Supplies and Services,690.21,Nov-23
Slough Borough Council,3208,Be Happy Pre School,F909,Children & Families,Supplies and Services,"16,074.49",Nov-23
Slough Borough Council,3208,Be Happy Pre School,F909,Children & Families,Supplies and Services,"7,754.53",Nov-23
Slough Borough Council,3208,Be Happy Pre School,F909,Children & Families,Supplies and Services,"3,118.50",Nov-23
Slough Borough Council,3208,Be Happy Pre School,F909,Children & Families,Supplies and Services,850.50,Nov-23
Slough Borough Council,609,Beechwood Secondary School,E610,Children & Families,Supplies and Services,"3,768.26",Nov-23
Slough Borough Council,804588,BEN Motor & Allied Trades Bev.Fnd,M15D,Adult Social Care Operations,Supplies and Services,"6,400.00",Nov-23
Slough Borough Council,804588,BEN Motor & Allied Trades Bev.Fnd,M27C,Adult Social Care Operations,Supplies and Services,"5,600.00",Nov-23
Slough Borough Council,808116,BeSpoke Cycling Instruction Ltd,D500,Place Strategy & Infrastructure,Supplies and Services,"1,080.00",Nov-23
Slough Borough Council,2308,Bespoke Supportive Tenancies Ltd,A04L,Adult Social Care Operations,Supplies and Services,"1,975.43",Nov-23
Slough Borough Council,808148,BEST CHOICE CARE LTD,M41D,Adult Social Care Operations,Supplies and Services,603.75,Nov-23
Slough Borough Council,808148,BEST CHOICE CARE LTD,M44C,Adult Social Care Operations,Supplies and Services,857.64,Nov-23
Slough Borough Council,808148,BEST CHOICE CARE LTD,M44C,Adult Social Care Operations,Supplies and Services,612.64,Nov-23
Slough Borough Council,808148,BEST CHOICE CARE LTD,M44C,Adult Social Care Operations,Supplies and Services,726.25,Nov-23
Slough Borough Council,808148,BEST CHOICE CARE LTD,M44C,Adult Social Care Operations,Supplies and Services,857.64,Nov-23
Slough Borough Council,808148,BEST CHOICE CARE LTD,M44C,Adult Social Care Operations,Supplies and Services,857.64,Nov-23
Slough Borough Council,808148,BEST CHOICE CARE LTD,M44C,Adult Social Care Operations,Supplies and Services,612.64,Nov-23
