Directorate,Service,Division,Responsible Unit,Expense Type,Payment Date,Trans No,Net Amount,Supplier Name
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,04/08/2023,5811347,450,42 Bedford Row
Chief Executive�s Office,Planning Services,Community Development,Ch Exec Mainstream Grants,Third Party Payments - Other Establishments,04/08/2023,5810011,"21,035.00",AGE UK EAST LONDON
Chief Executive�s Office,Planning Services,Community Development,Ch Exec Mainstream Grants,Third Party Payments - Other Establishments,04/08/2023,5810012,"24,580.00",AGE UK EAST LONDON
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,16/08/2023,5813681,"9,000.00",Alpine Law Ltd
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,21/08/2023,5807186,"6,000.00",Antony Hodari Holdings Limited
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,04/08/2023,5811173,"6,000.00",Antony Hodari Holdings Limited
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,04/08/2023,5811174,"4,000.00",Antony Hodari Holdings Limited
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,04/08/2023,5811175,"1,000.00",Antony Hodari Holdings Limited
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,16/08/2023,5813682,750,Antony Hodari Holdings Limited
Chief Executive�s Office,Planning Services,Community Development,Ch Exec Mainstream Grants,Third Party Payments - Other Establishments,04/08/2023,5810013,"3,667.00",Auto Italia South East
Chief Executive�s Office,Planning Services,Community Development,Ch Exec Mainstream Grants,Third Party Payments - Other Establishments,04/08/2023,5810050,"7,181.00",Bangladesh Youth Movement
Chief Executive�s Office,Corporate & Democratic Core,Corporate Management,Tower Design,Printing - Internal,04/08/2023,5795976,"2,750.00",Beta Distribution (South) Ltd t/a London Letterbox Marketing
Chief Executive�s Office,Corporate & Democratic Core,Corporate Management,Tower Design,Printing - Internal,04/08/2023,5804723,352.44,Beta Distribution (South) Ltd t/a London Letterbox Marketing
Chief Executive�s Office,Corporate & Democratic Core,Corporate Management,Tower Design,Printing - Internal,04/08/2023,5808898,"1,547.66",Beta Distribution (South) Ltd t/a London Letterbox Marketing
Chief Executive�s Office,Corporate & Democratic Core,Corporate Management,Tower Design,Printing - Internal,04/08/2023,5808899,"-2,750.00",Beta Distribution (South) Ltd t/a London Letterbox Marketing
Chief Executive�s Office,Corporate & Democratic Core,Corporate Management,Tower Design,Printing - Internal,30/08/2023,5811543,"1,547.66",Beta Distribution (South) Ltd t/a London Letterbox Marketing
Chief Executive�s Office,Planning Services,Community Development,Ch Exec Mainstream Grants,Training Expenses - Staff External Training (UK Based),14/08/2023,5806939,"1,295.00",Buzzacott Giving Solutons
Chief Executive�s Office,Planning Services,Community Development,Ch Exec Mainstream Grants,Third Party Payments - Other Establishments,04/08/2023,5810014,"9,603.50",CANAAN PROJECT
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,16/08/2023,5813670,300,Cerberus Law Limited
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,21/08/2023,5814972,300,Cerberus Law Limited
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,25/08/2023,5817687,375,Cerberus Law Limited
Chief Executive�s Office,Central Services to the Public,Elections,Electoral Registration,Training Expenses - Staff External Training (UK Based),11/08/2023,5805205,"1,260.00",CIVICA UK LTD
Chief Executive�s Office,Corporate & Democratic Core,Corporate Management,Tower Design,Printing - Internal,30/08/2023,5813295,"1,000.00",CLOC Limited
Chief Executive�s Office,Planning Services,Community Development,Ch Exec Mainstream Grants,Third Party Payments - Other Establishments,04/08/2023,5810015,"10,909.00",COMMUNITY OF REFUGEES FROM VIETNAM -
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,09/08/2023,5812298,800,CORAM CHAMBERS LTD
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,09/08/2023,5812262,450,Cornerstone Barristers
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,11/08/2023,5813230,"2,083.33",Gowing Law Solicitors
Chief Executive�s Office,Corporate & Democratic Core,Corporate Management,Tower Design,Printing - Internal,18/08/2023,5806324,"1,879.41",Cubiquity Ltd
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,09/08/2023,5812283,"1,250.00",Curae Solicitors Limited
Chief Executive�s Office,Planning Services,Community Development,Ch Exec Mainstream Grants,Third Party Payments - Other Establishments,04/08/2023,5810016,"15,071.50",Deaf Plus London
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,09/08/2023,5812294,"9,000.00",Driscoll Kingston Solicitors
Chief Executive�s Office,Planning Services,Community Development,Ch Exec Mainstream Grants,Third Party Payments - Other Establishments,02/08/2023,5810017,"308,034.00",East End Citizens Advice Bureau
Chief Executive�s Office,Corporate & Democratic Core,Democratic Representation & Management,Community Grant,Third Party Payments - Voluntary Associations,02/08/2023,5800953,"6,250.00",Elop
Chief Executive�s Office,Planning Services,Community Development,Ch Exec Mainstream Grants,Third Party Payments - Other Establishments,04/08/2023,5810018,"9,206.00",Elop
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,18/08/2023,5814491,"6,000.00",FDM SOLICITORS
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,18/08/2023,5814659,"1,000.00",FDM SOLICITORS
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Counsel's Fees,16/08/2023,5813654,500,Field Court Chambers  - Fees Account
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,04/08/2023,5811392,450,Field Court Chambers  - Fees Account
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,25/08/2023,5817676,500,Field Court Chambers  - Fees Account
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,30/08/2023,5817691,350,Field Court Chambers  - Fees Account
Chief Executive�s Office,Central Services to the Public,Elections,Electoral Registration,Comms - Postages,09/08/2023,5811886,"1,447.58",Financial Data Management Ltd
Chief Executive�s Office,Central Services to the Public,Elections,Annual Canvass,Printing - External,09/08/2023,5811888,"6,527.39",Financial Data Management Ltd
Chief Executive�s Office,Corporate & Democratic Core,Corporate Management,Tower Design,Printing - Internal,21/08/2023,5807028,620,Financial Data Management Ltd
Chief Executive�s Office,Corporate & Democratic Core,Corporate Management,Tower Design,Printing - Internal,04/08/2023,5809261,"4,436.15",Financial Data Management Ltd
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,04/08/2023,5811181,"2,160.00",Five Paper Buildings
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,07/08/2023,5811751,650,Five Paper Buildings
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,07/08/2023,5811852,700,Five Paper Buildings
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,25/08/2023,5815745,"1,850.00",Five Paper Buildings
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,25/08/2023,5815746,"1,150.00",Five Paper Buildings
Chief Executive�s Office,Planning Services,Community Development,Ch Exec Mainstream Grants,Third Party Payments - Other Establishments,04/08/2023,5810019,"5,528.00",FOUR CORNERS LTD
Chief Executive�s Office,Planning Services,Community Development,Ch Exec Mainstream Grants,Third Party Payments - Other Establishments,04/08/2023,5810020,"27,124.00",FOUR CORNERS LTD
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,30/08/2023,5817689,"1,750.00",Francis Taylor Building
Chief Executive�s Office,Corporate & Democratic Core,Corporate Management,Strategic Communications,Subscriptions - Subscriptions to Associations,23/08/2023,5811864,"1,156.17",Global Insight Conferences Limited
Chief Executive�s Office,Planning Services,Community Development,Ch Exec Mainstream Grants,Third Party Payments - Other Establishments,04/08/2023,5810021,"9,349.00",GLOBE COMMUNITY PROJECT
Chief Executive�s Office,Corporate & Democratic Core,Corporate Management,Tower Design,Printing - Internal,04/08/2023,5803443,"2,610.00",Good Impressions
Chief Executive�s Office,Corporate & Democratic Core,Corporate Management,Tower Design,Printing - Internal,04/08/2023,5803446,524,Good Impressions
Chief Executive�s Office,Corporate & Democratic Core,Corporate Management,Tower Design,Printing - Internal,04/08/2023,5803447,320,Good Impressions
Chief Executive�s Office,Corporate & Democratic Core,Corporate Management,Tower Design,Printing - Internal,25/08/2023,5809678,"1,040.00",Good Impressions
Chief Executive�s Office,Corporate & Democratic Core,Corporate Management,Tower Design,Printing - Internal,25/08/2023,5809679,"2,150.00",Good Impressions
Chief Executive�s Office,Planning Services,Community Development,Ch Exec Mainstream Grants,Third Party Payments - Other Establishments,04/08/2023,5810022,"12,738.00",Half Moon Young People's Theatre
Chief Executive�s Office,Corporate & Democratic Core,Corporate Management,"Legal Services SMT and PMT		",Services - Professional Fees - Consultants Fees,04/08/2023,5811354,"1,000.00",Health Assured Limited
Chief Executive�s Office,Corporate & Democratic Core,Corporate Management,"Legal Services SMT and PMT		",Services - Professional Fees - Consultants Fees,04/08/2023,5811364,360,Health Assured Limited
Chief Executive�s Office,Planning Services,Community Development,Ch Exec Mainstream Grants,Third Party Payments - Other Establishments,04/08/2023,5810023,"7,700.00",HESTIA HOUSING & SUPPORT
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,23/08/2023,5814949,"6,233.59",Hodge Jones & Allen LLP - Client Account
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,23/08/2023,5815615,347.5,Housing Disrepair Surveys Ltd
Chief Executive�s Office,Planning Services,Community Development,Ch Exec Mainstream Grants,Third Party Payments - Other Establishments,04/08/2023,5810024,"4,376.64",I C M FOUNDATION CIC - CORE NEWS PROJECT
Chief Executive�s Office,Planning Services,Community Development,Ch Exec Mainstream Grants,Third Party Payments - Other Establishments,04/08/2023,5810025,"16,667.00",ISLAND ADVICE CENTRE
Chief Executive�s Office,Planning Services,Community Development,Ch Exec Mainstream Grants,Third Party Payments - Other Establishments,04/08/2023,5810026,"4,539.42",KAZZUM ARTS PROJECT LTD
