Directorate,Service,Division,Responsible Unit,Expense Type,Payment Date,Trans No,Net Amount,Supplier Name
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,15/09/2023,5824482,750,42 Bedford Row
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,29/09/2023,5829852,675,42 Bedford Row
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,15/09/2023,5823879,800,Alpine Law Ltd
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,15/09/2023,5824069,"2,185.64",Alpine Law Ltd
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,27/09/2023,5827658,630,Alpine Law Ltd
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,15/09/2023,5823878,"2,000.00",Antony Hodari Holdings Limited
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,08/09/2023,5822266,300,Cerberus Law Limited
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,15/09/2023,5824485,277.5,Cerberus Law Limited
Chief Executive�s Office,Corporate & Democratic Core,Democratic Representation & Management,Mayor�s Office,Panel & Conference Expenses - Conference - UK Based,20/09/2023,5818774,"4,725.00",Circles Training & Consultancy Limited
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,01/09/2023,5818887,"5,000.00",Gowing Law Solicitors
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,08/09/2023,5822255,500,Gowing Law Solicitors
