Directorate,Service,Division,Responsible Unit,Expense Type,Payment Date,Trans No,Net Amount,Supplier Name
Chief Executive�s Office,Planning Services,Community Development,SIT - Strategy and Transformation,Training Expenses - Staff External Training (UK Based),14/06/2023,5794132,700.00,Social Engine Ltd
Chief Executive�s Office,Planning Services,Community Development,SIT - Strategy and Transformation,Training Expenses - Staff External Training (UK Based),16/06/2023,5795207,900.00,The Learning Architect
Chief Executive�s Office,Planning Services,Community Development,SIT - Strategy and Transformation,Training Expenses - Staff External Training (UK Based),30/06/2023,5795208,900.00,The Learning Architect
Chief Executive�s Office,Planning Services,Community Development,SIT - Strategy and Transformation,Training Expenses - Staff External Training (UK Based),16/06/2023,5795377,850.00,New Local Ltd
Chief Executive�s Office,Planning Services,Community Development,SIT - Strategy and Transformation,Training Expenses - Staff External Training (UK Based),26/06/2023,5798315,975.00,Basis Ltd
Chief Executive�s Office,Planning Services,Community Development,SIT - Strategy and Improvement,Staff Advertising,12/06/2023,5783405,"16,000.00",M-E-L RESEARCH LIMITED
Chief Executive�s Office,Corporate & Democratic Core,Democratic Representation & Management,Chief Executives Office,Recruitment Agency Costs,21/06/2023,5789053,450.00,Penna PLC
Chief Executive�s Office,Corporate & Democratic Core,Democratic Representation & Management,Chief Executives Office,Recruitment Agency Costs,21/06/2023,5789054,"29,156.00",Penna PLC
Chief Executive�s Office,Corporate & Democratic Core,Democratic Representation & Management,Chief Executives Office,Recruitment Agency Costs,28/06/2023,5790385,"14,666.00",Penna PLC
Chief Executive�s Office,Corporate & Democratic Core,Democratic Representation & Management,Chief Executives Office,Recruitment Agency Costs,28/06/2023,5790386,"2,500.00",Penna PLC
Chief Executive�s Office,Corporate & Democratic Core,Democratic Representation & Management,Community Grant,Third Party Payments - Voluntary Associations,12/06/2023,5783860,"6,200.00",Account 3 Ltd
Chief Executive�s Office,Corporate & Democratic Core,Democratic Representation & Management,Civic Mayor/Chair of Council,Events & Exhibitions,07/06/2023,5783092,"3,200.00",Kois Miah Photography
Chief Executive�s Office,Corporate & Democratic Core,Democratic Representation & Management,Members Allowances/Facilities,Training Expenses - Staff External Training (UK Based),23/06/2023,5790362,750.00,Improvement and Development Agency
Chief Executive�s Office,Central Services to the Public,Elections,Electoral Registration,Printing - External,07/06/2023,5791208,"1,206.82",Financial Data Management Ltd
Chief Executive�s Office,Central Services to the Public,Elections,Electoral Registration,Printing - External,19/06/2023,5791427,572.99,Financial Data Management Ltd
Chief Executive�s Office,Central Services to the Public,Elections,Electoral Registration,Comms - Postages,05/06/2023,5789850,"2,065.80",Financial Data Management Ltd
Chief Executive�s Office,Central Services to the Public,Elections,Electoral Registration,Comms - Postages,05/06/2023,5789851,402.32,Financial Data Management Ltd
Chief Executive�s Office,Central Services to the Public,Elections,Electoral Registration,Comms - Postages,07/06/2023,5791206,"2,953.34",Financial Data Management Ltd
