Directorate,Service,Division,Responsible Unit,Expense Type,Payment Date,Trans No,Net Amount,Supplier Name
Chief Executive’s Office,Planning Services,Community Development,SIT - Strategy and Transformation,Services - Professional Fees - Consultants Fees,22/12/2023,5852509,750,London Councils
Chief Executive’s Office,Planning Services,Community Development,"HDRC(Grant funded)		",Services - Professional Fees - Legal Fees/Expenses,04/12/2023,5849804,360.3,Browne Jacobson LLP
Chief Executive’s Office,Planning Services,Community Development,"HDRC(Grant funded)		",Services - Professional Fees - Legal Fees/Expenses,04/12/2023,5849805,297.9,Browne Jacobson LLP
Chief Executive’s Office,Planning Services,Community Development,"HDRC(Grant funded)		",Services - Professional Fees - Legal Fees/Expenses,04/12/2023,5849806,335.9,Browne Jacobson LLP
Chief Executive’s Office,Planning Services,Community Development,"HDRC(Grant funded)		",Services - Professional Fees - Legal Fees/Expenses,04/12/2023,5849807,431.1,Browne Jacobson LLP
Chief Executive’s Office,Planning Services,Community Development,"HDRC(Grant funded)		",Services - Professional Fees - Legal Fees/Expenses,04/12/2023,5849808,"2,879.90",Browne Jacobson LLP
Chief Executive’s Office,Planning Services,Community Development,"HDRC(Grant funded)		",Services - Professional Fees - Legal Fees/Expenses,22/12/2023,5854678,348.8,Browne Jacobson LLP
Chief Executive’s Office,Planning Services,Community Development,"HDRC(Grant funded)		",Subscriptions - Subscriptions to Associations,22/12/2023,5853129,549.63,Penna PLC
Chief Executive’s Office,Corporate & Democratic Core,Democratic Representation & Management,Chief Executives Office,Training Expenses - Staff External Training (UK Based),11/12/2023,5853934,"1,200.00",S40 FOIA
Chief Executive’s Office,Corporate & Democratic Core,Democratic Representation & Management,Community Grant,Third Party Payments - Voluntary Associations,06/12/2023,5844008,"6,200.00",Account 3 Ltd
Chief Executive’s Office,Corporate & Democratic Core,Democratic Representation & Management,Community Grant,Third Party Payments - Voluntary Associations,20/12/2023,5848748,325,Cafe Bite
Chief Executive’s Office,Corporate & Democratic Core,Democratic Representation & Management,Civic Mayor/Chair of Council,Services - Professional Fees - Financial Services Fees,18/12/2023,5848059,"3,250.00",Hawksworth Valuations Limited
Chief Executive’s Office,Corporate & Democratic Core,Democratic Representation & Management,Members Allowances/Facilities,Room Hire,22/12/2023,5856119,270,Westferry Community Organisation
Chief Executive’s Office,Central Services to the Public,Elections,Electoral Registration,Printing - External,01/12/2023,5852421,361.99,Financial Data Management Ltd
Chief Executive’s Office,Central Services to the Public,Elections,Electoral Registration,Printing - External,22/12/2023,5860846,844.88,Financial Data Management Ltd
Chief Executive’s Office,Central Services to the Public,Elections,Electoral Registration,Comms - Postages,01/12/2023,5852419,"1,815.58",Financial Data Management Ltd
Chief Executive’s Office,Central Services to the Public,Elections,Electoral Registration,Comms - Postages,01/12/2023,5852420,"8,631.29",Financial Data Management Ltd
Chief Executive’s Office,Central Services to the Public,Elections,Electoral Registration,Comms - Postages,22/12/2023,5860844,"6,312.88",Financial Data Management Ltd
