Directorate,Service,Division,Responsible Unit,Expense Type,Payment Date,Trans No,Net Amount,Supplier Name
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,10/11/2023,5843965,600,Antony Hodari Holdings Limited
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,24/11/2023,5848844,800,Antony Hodari Holdings Limited
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,24/11/2023,5849135,400,Antony Hodari Holdings Limited
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,24/11/2023,5849146,300,Antony Hodari Holdings Limited
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,24/11/2023,5849152,"1,000.00",Antony Hodari Holdings Limited
Chief Executive�s Office,Corporate & Democratic Core,Democratic Representation & Management,Democratic Services Team,Subscriptions - Subscriptions to Associations,08/11/2023,5834995,704,Association of Democratic Services Offi
Chief Executive�s Office,Central Services to the Public,Elections,Electoral Registration,Training Expenses - Staff External Training (UK Based),10/11/2023,5836730,675,Association of Electoral Administrators
Chief Executive�s Office,Central Services to the Public,Elections,Electoral Registration,Subscriptions - Subscriptions to Associations,03/11/2023,5834992,285,Association of Electoral Administrators
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,10/11/2023,5843972,"7,400.00",Bond Turner Solicitors
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,24/11/2023,5849154,"1,000.00",Bond Turner Solicitors
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,10/11/2023,5843983,262.5,Cerberus Law Limited
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,29/11/2023,5848934,562.5,Cerberus Law Limited
Chief Executive�s Office,Corporate & Democratic Core,Democratic Representation & Management,Democratic Services Team,Training Expenses - Staff External Training (UK Based),24/11/2023,5848750,"1,247.00",CIVICA UK LTD
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,29/11/2023,5849983,"5,500.00",Claim for Disrepair
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,24/11/2023,5849123,"6,780.00",Cooper Hall Solicitors Limited
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,10/11/2023,5843974,"3,000.00",Coupland Cavendish t/a Gowing Law Solicitors
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,24/11/2023,5849155,"6,300.00",Coupland Cavendish t/a Gowing Law Solicitors
Chief Executive�s Office,Corporate & Democratic Core,Democratic Representation & Management,Community Grant,Third Party Payments - Voluntary Associations,24/11/2023,5840261,"6,219.75",Coventry University - Centre for Trust Peace and Social Relations
Chief Executive�s Office,Corporate & Democratic Core,Democratic Representation & Management,Community Grant,Third Party Payments - Voluntary Associations,24/11/2023,5840262,"6,219.75",Coventry University - Centre for Trust Peace and Social Relations
Chief Executive�s Office,Corporate & Democratic Core,Democratic Representation & Management,Community Grant,Third Party Payments - Voluntary Associations,24/11/2023,5840263,"6,219.75",Coventry University - Centre for Trust Peace and Social Relations
Chief Executive�s Office,Corporate & Democratic Core,Democratic Representation & Management,Community Grant,Third Party Payments - Voluntary Associations,24/11/2023,5840264,"6,219.75",Coventry University - Centre for Trust Peace and Social Relations
Chief Executive�s Office,Corporate & Democratic Core,Corporate Management,Tower Design,Printing - Internal,29/11/2023,5840674,"1,398.00",Cubiquity Ltd
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,22/11/2023,5846926,"5,500.00",Curae Solicitors Limited
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,24/11/2023,5848940,"5,000.00",Driscoll Kingston Solicitors
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,08/11/2023,5842740,424.5,elliot leigh property management ltd
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,27/11/2023,5849776,"2,000.00",FDM SOLICITORS
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Counsel's Fees,08/11/2023,5842760,950,Field Court Chambers  - Fees Account
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Counsel's Fees,13/11/2023,5844331,950,Field Court Chambers  - Fees Account
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Counsel's Fees,17/11/2023,5846027,"1,275.00",Field Court Chambers  - Fees Account
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Counsel's Fees,17/11/2023,5846028,500,Field Court Chambers  - Fees Account
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,22/11/2023,5846346,500,Field Court Chambers  - Fees Account
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,22/11/2023,5846347,500,Field Court Chambers  - Fees Account
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,24/11/2023,5849164,850,Field Court Chambers  - Fees Account
Chief Executive�s Office,Central Services to the Public,Elections,Electoral Registration,Printing - External,03/11/2023,5840662,403.99,Financial Data Management Ltd
