Directorate,Service,Division,Responsible Unit,Expense Type,Payment Date,Trans No,Net Amount,Supplier Name
Chief Executive�s Office,Planning Services,Community Development,SIT - Strategy and Communities,Staff Advertising,24/07/2023,5790391,549.63,Penna PLC
Chief Executive�s Office,Planning Services,Community Development,SIT - Strategy and Improvement,Subscriptions - Subscriptions to Associations,19/07/2023,5798493,"1,099.25",Penna PLC
Chief Executive�s Office,Corporate & Democratic Core,Democratic Representation & Management,Chief Executives Office,Panel & Conference Expenses - Conference - UK Based,17/07/2023,5795970,555.90,Local Government Association
Chief Executive�s Office,Corporate & Democratic Core,Democratic Representation & Management,Chief Executives Office,Recruitment Agency Costs,28/07/2023,5801509,"10,333.00",Penna PLC
Chief Executive�s Office,Corporate & Democratic Core,Democratic Representation & Management,Chief Executives Office,Subscriptions - Associations,19/07/2023,5805407,"5,109.00",Emap Publishing Ltd
Chief Executive�s Office,Corporate & Democratic Core,Democratic Representation & Management,Community Grant,Events & Exhibitions,21/07/2023,5798569,"2,500.00",Kois Miah Photography
Chief Executive�s Office,Corporate & Democratic Core,Democratic Representation & Management,Community Grant,Third Party Payments - Voluntary Associations,21/07/2023,5783395,"6,200.00",Account 3 Ltd
Chief Executive�s Office,Corporate & Democratic Core,Democratic Representation & Management,Community Grant,Third Party Payments - Voluntary Associations,12/07/2023,5795413,"5,000.00",East London Advanced Technology Training
Chief Executive�s Office,Corporate & Democratic Core,Democratic Representation & Management,Community Grant,Third Party Payments - Voluntary Associations,21/07/2023,5806243,"6,025.00",APASENTH
Chief Executive�s Office,Corporate & Democratic Core,Democratic Representation & Management,Members Allowances/Facilities,Room Hire,28/07/2023,5808903,480.00,GASCOIGNE NEIGHBOURHOOD ASSOCIATION LTD
Chief Executive�s Office,Central Services to the Public,Elections,Electoral Registration,Training Expenses - Staff External Training (UK Based),17/07/2023,5797745,304.00,Association of Electoral Administrators
Chief Executive�s Office,Central Services to the Public,Elections,Electoral Registration,Comms - Postages,14/07/2023,5804962,"1,758.26",Financial Data Management Ltd
Chief Executive�s Office,Corporate & Democratic Core,Corporate Management,Corporate Campaigns,Non Staff Advertising - General,12/07/2023,5795439,"6,000.00",CAN Digital Solutions
Chief Executive�s Office,Corporate & Democratic Core,Corporate Management,Corporate Campaigns,Communications,17/07/2023,5797881,"9,964.41",NLA MEDIA ACCESS LIMITED
Chief Executive�s Office,Corporate & Democratic Core,Corporate Management,Corporate Campaigns,Communications,19/07/2023,5797887,400.00,Rehan Jamil Photography
Chief Executive�s Office,Corporate & Democratic Core,Corporate Management,Corporate Campaigns,Communications,31/07/2023,5801202,350.00,Section 40 FOIA
Chief Executive�s Office,Corporate & Democratic Core,Corporate Management,Corporate Campaigns,Communications,28/07/2023,5804036,724.50,Precise Media Monitoring LTD
Chief Executive�s Office,Corporate & Democratic Core,Corporate Management,"Our East End						",Printing - External,07/07/2023,5793970,"13,388.72",Beta Distribution (South) Ltd t/a London Letterbox Marketing
Chief Executive�s Office,Corporate & Democratic Core,Corporate Management,"Our East End						",Printing - External,05/07/2023,5800119,"17,729.59",Reach Printing Services Ltd
Chief Executive�s Office,Planning Services,Community Development,Healthwatch UK,Third Party Payments - Voluntary Associations,17/07/2023,5800087,"4,999.00",Vallance Community Sports Association
Chief Executive�s Office,Corporate & Democratic Core,Democratic Representation & Management,Mayor�s Office,Services - Professional Fees - Consultants Fees,17/07/2023,5803206,975.00,The Atrium London Ltd
Chief Executive�s Office,Corporate & Democratic Core,Corporate Management,"Legal Services SMT and PMT		",Training Expenses - Staff External Training (UK Based),19/07/2023,5805223,354.00,MBL SEMINARS LTD
Chief Executive�s Office,Corporate & Democratic Core,Corporate Management,"Legal Services SMT and PMT		",Books - General Purchases,03/07/2023,5800384,612.85,Marston Book Services Ltd
Chief Executive�s Office,Corporate & Democratic Core,Corporate Management,"Legal Services SMT and PMT		",Services - Professional Fees - Consultants Fees,14/07/2023,5804813,"2,780.00",Inspiring Business Performance LTD
Chief Executive�s Office,Corporate & Democratic Core,Corporate Management,"Legal Services SMT and PMT		",Services - Professional Fees - Legal Fees/Expenses,31/07/2023,5809545,"4,920.70",Section 40 FOIA
Chief Executive�s Office,Corporate & Democratic Core,Corporate Management,"Legal Services SMT and PMT		",Subscriptions - Subscriptions to Associations,10/07/2023,5793997,"3,995.00",HB Editorial Services Ltd
Chief Executive�s Office,Children's Social Care,Other Children's and Family Services,"Safeguarding team		",Services - Professional Fees - Legal Fees/Expenses,14/07/2023,5805040,"4,088.00",London Borough of Merton
Chief Executive�s Office,Children's Social Care,Other Children's and Family Services,"Safeguarding team		",Services - Professional Fees - Legal Fees/Expenses,24/07/2023,5805041,"4,656.00",London Borough of Merton
Chief Executive�s Office,Children's Social Care,Other Children's and Family Services,"Safeguarding team		",Services - Professional Fees - Legal Fees/Expenses,24/07/2023,5805042,"4,692.00",London Borough of Merton
Chief Executive�s Office,Children's Social Care,Other Children's and Family Services,"Safeguarding team		",Services - Professional Fees - Legal Fees/Expenses,24/07/2023,5805043,"4,896.00",London Borough of Merton
Chief Executive�s Office,Children's Social Care,Other Children's and Family Services,"Safeguarding team		",Services - Professional Fees - Legal Fees/Expenses,24/07/2023,5805044,"1,115.50",London Borough of Merton
Chief Executive�s Office,Children's Social Care,Other Children's and Family Services,"Safeguarding team		",Services - Professional Fees - Legal Fees/Expenses,26/07/2023,5807184,"2,600.00",DOUGHTY STREET CHAMBERS
Chief Executive�s Office,Corporate & Democratic Core,Corporate Management,"Litigation Team		",Services - Professional Fees - Legal Fees/Expenses,26/07/2023,5807184,"2,600.00",DOUGHTY STREET CHAMBERS
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Counsel's Fees,24/07/2023,5806444,475.00,Five Paper Buildings
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Counsel's Fees,24/07/2023,5806446,700.00,Five Paper Buildings
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Counsel's Fees,24/07/2023,5806447,700.00,Five Paper Buildings
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Counsel's Fees,24/07/2023,5806448,450.00,Field Court Chambers  - Fees Account
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,05/07/2023,5800868,475.00,Five Paper Buildings
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,05/07/2023,5800871,700.00,Five Paper Buildings
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,05/07/2023,5800872,475.00,Five Paper Buildings
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,05/07/2023,5800873,700.00,Five Paper Buildings
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,05/07/2023,5800874,700.00,Five Paper Buildings
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,05/07/2023,5800875,700.00,Five Paper Buildings
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,05/07/2023,5800878,500.00,Coyne Learmonth (Crosby) Limited
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,05/07/2023,5800879,400.00,Coyne Learmonth (Crosby) Limited
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,05/07/2023,5800880,"2,194.40",Antony Hodari Holdings Limited
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,05/07/2023,5800881,"1,000.00",Cooper Hall Solicitors Limited
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,05/07/2023,5800882,"5,000.00",Barnes Solicitors LLP (Office Account)
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,07/07/2023,5802102,"4,000.00",Mansfield Solicitors & Advocates Ltd
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,07/07/2023,5803376,405.00,Field Court Chambers  - Fees Account
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,07/07/2023,5803379,500.00,Field Court Chambers  - Fees Account
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,12/07/2023,5804103,450.00,DIVERSE EXPERTS LTD
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,14/07/2023,5804840,475.00,Five Paper Buildings
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,14/07/2023,5804841,250.00,Field Court Chambers  - Fees Account
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,14/07/2023,5804848,"4,000.00",Antony Hodari Holdings Limited
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,24/07/2023,5805253,475.00,Medical-Legal Appointments Limited
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,24/07/2023,5805254,408.00,Coyne Learmonth (Crosby) Limited
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,24/07/2023,5805255,"6,000.00",Coupland Cavendish t/a Gowing Law Solicitors
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,24/07/2023,5805256,"1,570.80",Barnes Solicitors LLP
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,24/07/2023,5806238,"1,500.00",Coupland Cavendish t/a Gowing Law Solicitors
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,24/07/2023,5806239,"2,200.00",Antony Hodari Holdings Limited
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,24/07/2023,5806450,400.00,42 Bedford Row
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,24/07/2023,5806844,500.00,Bamber & Co Solicitors
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,24/07/2023,5806974,500.00,Veritas Solicitors
