Directorate,Service,Division,Responsible Unit,Expense Type,Payment Date,Trans No,Net Amount,Supplier Name
Chief Executive’s Office,Planning Services,Community Development,SIT - Strategy and Communities,Meeting Expenses,09/02/2024,5865950,306,Cafe Bite
Chief Executive’s Office,Planning Services,Community Development,SIT - Strategy and Transformation,Training Expenses - Staff External Training (UK Based),16/02/2024,5871159,"-21,580.50",QA Ltd
Chief Executive’s Office,Planning Services,Community Development,SIT - Strategy and Transformation,Training Expenses - Staff External Training (UK Based),16/02/2024,5871160,"21,580.50",QA Ltd
Chief Executive’s Office,Planning Services,Community Development,SIT - Strategy and Transformation,Training Expenses - Staff External Training (UK Based),16/02/2024,5876505,"23,000.00",QA Ltd
Chief Executive’s Office,Corporate & Democratic Core,Democratic Representation & Management,Chief Executives Office,Training Expenses - Staff External Training (UK Based),07/02/2024,5873367,"1,200.00",S40 FOIA
Chief Executive’s Office,Corporate & Democratic Core,Democratic Representation & Management,Chief Executives Office,Communications,16/02/2024,5877478,"7,200.00",Kois Miah Photography
Chief Executive’s Office,Corporate & Democratic Core,Democratic Representation & Management,Democratic Services Team,Training Expenses - Staff External Training (UK Based),28/02/2024,5873266,250,National Association of Civic Officers
Chief Executive’s Office,Corporate & Democratic Core,Democratic Representation & Management,Community Grant,Third Party Payments - Voluntary Associations,14/02/2024,5868288,"6,200.00",Account 3 Ltd
Chief Executive’s Office,Corporate & Democratic Core,Democratic Representation & Management,Community Grant,Third Party Payments - Voluntary Associations,28/02/2024,5873635,"6,219.75",Coventry University - Centre for Trust Peace and Social Relations
Chief Executive’s Office,Corporate & Democratic Core,Democratic Representation & Management,Community Grant,Third Party Payments - Voluntary Associations,28/02/2024,5877767,"22,250.00",Council of Mosques - Tower Hamlets
Chief Executive’s Office,Corporate & Democratic Core,Democratic Representation & Management,Community Grant,Third Party Payments - Voluntary Associations,23/02/2024,5879343,"6,000.00",East London Advanced Technology Training
Chief Executive’s Office,Corporate & Democratic Core,Democratic Representation & Management,Community Grant,Third Party Payments - Voluntary Associations,28/02/2024,5880394,"2,250.00",Limehouse Project
