Directorate,Service,Division,Responsible Unit,Expense Type,Payment Date,Trans No,Net Amount,Supplier Name
Chief Executive�s Office,Planning Services,Community Development,SIT - Strategy and Transformation,Computing - Purchase of Software,24/05/2023,5781425,"1,750.00",INTELLIGENT OD LTD
Chief Executive�s Office,Planning Services,Community Development,"HDRC(Grant funded)		",Subscriptions - Subscriptions to Associations,17/05/2023,5777572,549.63,Penna PLC
Chief Executive�s Office,Planning Services,Community Development,"HDRC(Grant funded)		",Subscriptions - Subscriptions to Associations,19/05/2023,5783997,"48,709.90",TOWER HAMLETS COUNCIL FOR VOLUNTARY SERV
Chief Executive�s Office,Corporate & Democratic Core,Democratic Representation & Management,Strategy and Performance,Panel & Conference Expenses - Conference - UK Based,10/05/2023,5774771,555.90,Local Government Association
Chief Executive�s Office,Corporate & Democratic Core,Democratic Representation & Management,Community Grant,Third Party Payments - Voluntary Associations,17/05/2023,5777499,"5,000.00",Vallance Community Sports Association
Chief Executive�s Office,Corporate & Democratic Core,Democratic Representation & Management,Community Grant,Third Party Payments - Voluntary Associations,31/05/2023,5789200,"4,000.00",The Bromley by Bow Centre
Chief Executive�s Office,Corporate & Democratic Core,Democratic Representation & Management,Civic Mayor/Chair of Council,Stationery,19/05/2023,5751871,"2,738.00",The Phoenix Luxury Co trading as Thomas Lyte
Chief Executive�s Office,Corporate & Democratic Core,Democratic Representation & Management,Members Allowances/Facilities,Training Expenses - Staff External Training (UK Based),31/05/2023,5781101,"3,750.00",South East Employers
Chief Executive�s Office,Central Services to the Public,Elections,Electoral Registration,Printing - External,12/05/2023,5782760,"1,822.00",Financial Data Management Ltd
Chief Executive�s Office,Central Services to the Public,Elections,Electoral Registration,Stationery,24/05/2023,5788186,"1,290.80",RDW Book and Paper Conservation Ltd
Chief Executive�s Office,Central Services to the Public,Elections,Electoral Registration,Comms - Postages,12/05/2023,5782761,657.29,Financial Data Management Ltd
Chief Executive�s Office,Corporate & Democratic Core,Corporate Management,Corporate Campaigns,Communications,12/05/2023,5778970,"5,250.00",Access Intelligence Media and Communications Limited
Chief Executive�s Office,Corporate & Democratic Core,Corporate Management,Corporate Campaigns,Communications,31/05/2023,5781591,600.00,Kois Miah Photography
Chief Executive�s Office,Corporate & Democratic Core,Corporate Management,External Communications,Communications,26/05/2023,5786129,724.50,Precise Media Monitoring LTD
Chief Executive�s Office,Planning Services,Community Development,Healthwatch UK,Social Care - Day Care,12/05/2023,5783117,"37,491.30",YOUR VOICE IN HEALTH & SOCIAL CARE
Chief Executive�s Office,Corporate & Democratic Core,Democratic Representation & Management,Mayor�s Office,Catering - Hospitality,10/05/2023,5782115,"43,037.90",RICHARD PENN CONSULTANCY LTD
Chief Executive�s Office,Corporate & Democratic Core,Democratic Representation & Management,Mayor�s Office,Services - Professional Fees - Consultants Fees,31/05/2023,5786110,"29,690.38",RICHARD PENN CONSULTANCY LTD
