Directorate,Service,Division,Responsible Unit,Expense Type,Payment Date,Trans No,Net Amount,Supplier Name
Chief Executive’s Office,Planning Services,Community Development,SIT - Strategy and Communities,Educational/Training Supplies - Arts & Crafts,27/03/2024,5891988,558.5,Emap Publishing Ltd
Chief Executive’s Office,Planning Services,Community Development,SIT - Strategy and Communities,Education & Training - Non Staff Tuition Fees,08/03/2024,5884084,"39,107.40",LONDON BOROUGH OF LEWISHAM
Chief Executive’s Office,Planning Services,Community Development,SIT - Strategy and Transformation,Training Expenses - Staff External Training (UK Based),13/03/2024,5877708,"3,600.00",Urbancanda
Chief Executive’s Office,Planning Services,Community Development,SIT - Strategy and Transformation,Training Expenses - Staff External Training (UK Based),13/03/2024,5877709,"3,600.00",Urbancanda
Chief Executive’s Office,Planning Services,Community Development,SIT - Strategy and Transformation,Staff Advertising,27/03/2024,5882220,"19,725.00",M-E-L RESEARCH LIMITED
Chief Executive’s Office,Planning Services,Community Development,SIT - Strategy and Transformation,Services - Professional Fees - Consultants Fees,13/03/2024,5886224,"9,975.00",Basis Ltd
Chief Executive’s Office,Planning Services,Community Development,SIT - Strategy and Transformation,Services - Professional Fees - Financial Services Fees,22/03/2024,5888534,"18,861.24",Greater London Authority
Chief Executive’s Office,Planning Services,Community Development,SIT - Strategy and Transformation,Payments to Private Contractors - Special Events,01/03/2024,5882259,"1,591.00",PSA AUDIO VISUAL LTD
Chief Executive’s Office,Corporate & Democratic Core,Democratic Representation & Management,Chief Executives Office,Panel & Conference Expenses - Conference - UK Based,20/03/2024,5880772,"1,134.00",Local Government Association
Chief Executive’s Office,Corporate & Democratic Core,Democratic Representation & Management,Chief Executives Office,Panel & Conference Expenses - Conference - UK Based,27/03/2024,5884156,"1,134.00",Local Government Association
Chief Executive’s Office,Corporate & Democratic Core,Democratic Representation & Management,Chief Executives Office,Training Expenses - Staff External Training (UK Based),11/03/2024,5882348,"1,200.00",Martin Esom
Chief Executive’s Office,Corporate & Democratic Core,Democratic Representation & Management,Chief Executives Office,Training Expenses - Staff External Training (UK Based),28/03/2024,5893806,"1,200.00",Martin Esom
Chief Executive’s Office,Corporate & Democratic Core,Democratic Representation & Management,Democratic Services Team,Training Expenses - Staff External Training (UK Based),22/03/2024,5856023,699,South East Employers
Chief Executive’s Office,Corporate & Democratic Core,Democratic Representation & Management,Democratic Services Team,Services - Professional Fees - Consultants Fees,27/03/2024,5888337,"6,800.00",Association of Democratic Services Offi
Chief Executive’s Office,Corporate & Democratic Core,Democratic Representation & Management,Democratic Services Team,Computing - Purchase of Hardware,27/03/2024,5881544,"1,454.20",Public-i
Chief Executive’s Office,Corporate & Democratic Core,Democratic Representation & Management,Community Grant,Third Party Payments - Voluntary Associations,27/03/2024,5882232,"6,250.00",Elop
Chief Executive’s Office,Corporate & Democratic Core,Democratic Representation & Management,Community Grant,Third Party Payments - Voluntary Associations,13/03/2024,5885180,"6,533.00",Real DPO
Chief Executive’s Office,Corporate & Democratic Core,Democratic Representation & Management,Community Grant,Third Party Payments - Voluntary Associations,15/03/2024,5886890,"4,355.00",Real DPO
Chief Executive’s Office,Corporate & Democratic Core,Democratic Representation & Management,Community Grant,Third Party Payments - Voluntary Associations,15/03/2024,5887963,"5,000.00",TOWER HAMLETS COUNCIL FOR VOLUNTARY SERV
Chief Executive’s Office,Corporate & Democratic Core,Democratic Representation & Management,Community Grant,Third Party Payments - Voluntary Associations,22/03/2024,5892501,"6,025.00",APASENTH
Chief Executive’s Office,Corporate & Democratic Core,Democratic Representation & Management,Members Allowances/Facilities,Training Expenses - Staff External Training (UK Based),20/03/2024,5887080,"2,000.00",INTELLIGENT OD LTD
Chief Executive’s Office,Corporate & Democratic Core,Democratic Representation & Management,Members Allowances/Facilities,Training Expenses - Staff External Training (UK Based),28/03/2024,5892524,"1,111.80",Local Government Association
Chief Executive’s Office,Corporate & Democratic Core,Democratic Representation & Management,Members Allowances/Facilities,Training Expenses - Staff External Training (UK Based),28/03/2024,5892525,"2,463.30",Local Government Association
Chief Executive’s Office,Corporate & Democratic Core,Democratic Representation & Management,Members Allowances/Facilities,Room Hire,06/03/2024,5881528,665,George Green School
Chief Executive’s Office,Corporate & Democratic Core,Democratic Representation & Management,Members Allowances/Facilities,Room Hire,15/03/2024,5888230,300,Stifford Centre
Chief Executive’s Office,Corporate & Democratic Core,Democratic Representation & Management,Members Allowances/Facilities,Room Hire,20/03/2024,5888492,"1,680.00",Children Education Group
Chief Executive’s Office,Corporate & Democratic Core,Democratic Representation & Management,Members Allowances/Facilities,Room Hire,22/03/2024,5890455,300,NEIGHBOURS IN POPLAR
Chief Executive’s Office,Corporate & Democratic Core,Democratic Representation & Management,Members Allowances/Facilities,Room Hire,27/03/2024,5893068,300,NEIGHBOURS IN POPLAR
Chief Executive’s Office,Corporate & Democratic Core,Democratic Representation & Management,Members Allowances/Facilities,Events & Exhibitions,15/03/2024,5888019,970,Speaker's Charity Account
Chief Executive’s Office,Central Services to the Public,Elections,"GLA Elections		",Third Party Payments - Service Charges for Private Licenced Accommodation (PLA),25/03/2024,5892820,"2,800.00",London Marriott West India Quay
Chief Executive’s Office,Corporate & Democratic Core,Corporate Management,Corporate Campaigns,Communications,13/03/2024,5877479,350,Kois Miah Photography
Chief Executive’s Office,Corporate & Democratic Core,Corporate Management,Corporate Campaigns,Communications,25/03/2024,5881560,400,Rehan Jamil Photography
Chief Executive’s Office,Corporate & Democratic Core,Corporate Management,Corporate Campaigns,Communications,27/03/2024,5883662,700,Kois Miah Photography
Chief Executive’s Office,Corporate & Democratic Core,Corporate Management,Corporate Campaigns,Communications,15/03/2024,5888021,458.33,SocialSignIn (Social Sign In)
Chief Executive’s Office,Planning Services,Community Development,Healthwatch UK,Third Party Payments - Voluntary Associations,27/03/2024,5883447,"16,000.00",Vallance Community Sports Association
Chief Executive’s Office,Corporate & Democratic Core,Corporate Management,"Legal Services SMT and PMT		",Subscriptions - Subscriptions to Associations,11/03/2024,5886101,367,CILEX
Chief Executive’s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,06/03/2024,5876531,"2,000.00",FDM SOLICITORS
Chief Executive’s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,04/03/2024,5882505,"1,200.00",Bond Turner Solicitors
Chief Executive’s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,04/03/2024,5883105,860,Five Paper Buildings
Chief Executive’s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,18/03/2024,5885390,"3,300.00",New Square Chambers LTD
