Directorate,Service,Division,Responsible Unit,Expense Type,Payment Date,Trans No,Net Amount,Supplier Name
Chief Executive’s Office,Planning Services,Community Development,SIT - Strategy and Transformation,Training Expenses - Staff External Training (UK Based),26/01/2024,5870384,"21,580.50",QA Ltd
Chief Executive’s Office,Corporate & Democratic Core,Democratic Representation & Management,Chief Executives Office,Training Expenses - Staff External Training (UK Based),24/01/2024,5865946,"1,200.00",S40 FOIA
Chief Executive’s Office,Corporate & Democratic Core,Democratic Representation & Management,Democratic Services Team,Computing - Purchase of Hardware,31/01/2024,5862825,"2,383.15",Public-i
Chief Executive’s Office,Corporate & Democratic Core,Democratic Representation & Management,Community Grant,Third Party Payments - Voluntary Associations,03/01/2024,5849800,"6,250.00",Elop
Chief Executive’s Office,Corporate & Democratic Core,Democratic Representation & Management,Community Grant,Third Party Payments - Voluntary Associations,29/01/2024,5860922,"6,219.75",Coventry University - Centre for Trust Peace and Social Relations
Chief Executive’s Office,Corporate & Democratic Core,Democratic Representation & Management,Community Grant,Third Party Payments - Voluntary Associations,12/01/2024,5861021,"10,000.00",Council of Mosques - Tower Hamlets
Chief Executive’s Office,Corporate & Democratic Core,Democratic Representation & Management,Community Grant,Third Party Payments - Voluntary Associations,05/01/2024,5861791,"6,158.58",Limehouse Project
Chief Executive’s Office,Corporate & Democratic Core,Democratic Representation & Management,Community Grant,Third Party Payments - Voluntary Associations,05/01/2024,5861792,"6,158.58",Limehouse Project
Chief Executive’s Office,Corporate & Democratic Core,Democratic Representation & Management,Community Grant,Third Party Payments - Voluntary Associations,12/01/2024,5864141,"6,025.00",APASENTH
Chief Executive’s Office,Corporate & Democratic Core,Democratic Representation & Management,Community Grant,Third Party Payments - Voluntary Associations,26/01/2024,5869584,"15,000.00",TOWER HAMLETS COUNCIL FOR VOLUNTARY SERV
Chief Executive’s Office,Corporate & Democratic Core,Democratic Representation & Management,Civic Mayor/Chair of Council,Events & Exhibitions,10/01/2024,5859055,"5,500.00",The Atrium London Ltd
Chief Executive’s Office,Corporate & Democratic Core,Democratic Representation & Management,Civic Mayor/Chair of Council,Events & Exhibitions,10/01/2024,5859056,"1,550.00",The Atrium London Ltd
Chief Executive’s Office,Corporate & Democratic Core,Democratic Representation & Management,Members Allowances/Facilities,Training Expenses - Staff External Training (UK Based),29/01/2024,5858716,800,Gill Ornstein
Chief Executive’s Office,Corporate & Democratic Core,Democratic Representation & Management,Members Allowances/Facilities,Room Hire,05/01/2024,5855770,300,Teesdale and Hollybush TRA
Chief Executive’s Office,Corporate & Democratic Core,Democratic Representation & Management,Members Allowances/Facilities,Room Hire,05/01/2024,5861483,350,Alpha Grove Centre
Chief Executive’s Office,Corporate & Democratic Core,Democratic Representation & Management,Members Allowances/Facilities,Room Hire,22/01/2024,5862237,480,GASCOIGNE NEIGHBOURHOOD ASSOCIATION LTD
Chief Executive’s Office,Central Services to the Public,Elections,Electoral Registration,Printing - External,29/01/2024,5868308,326,Financial Data Management Ltd
Chief Executive’s Office,Central Services to the Public,Elections,Electoral Registration,Comms - Postages,22/01/2024,5867983,"1,567.06",Financial Data Management Ltd
Chief Executive’s Office,Central Services to the Public,Elections,Electoral Registration,Comms - Postages,29/01/2024,5868307,"1,821.46",Financial Data Management Ltd
Chief Executive’s Office,Central Services to the Public,Elections,Electoral Registration,Comms - Postages,29/01/2024,5868508,"1,030.74",Financial Data Management Ltd
Chief Executive’s Office,Central Services to the Public,Elections,Annual Canvass,Third Party Payments - External,31/01/2024,5868298,"9,362.58",Civica Election Services Limited
Chief Executive’s Office,Corporate & Democratic Core,Corporate Management,Corporate Campaigns,Non Staff Advertising - General,17/01/2024,5860945,"8,000.00",CAN Digital Solutions
Chief Executive’s Office,Corporate & Democratic Core,Corporate Management,Corporate Campaigns,Communications,26/01/2024,5862284,724.5,Precise Media Monitoring LTD
Chief Executive’s Office,Corporate & Democratic Core,Corporate Management,"Our East End						",Printing - External,05/01/2024,5858486,"15,729.67",Reach Printing Services Ltd
Chief Executive’s Office,Corporate & Democratic Core,Corporate Management,"Our East End						",Printing - External,17/01/2024,5862043,"13,388.72",Beta Distribution (South) Ltd t/a London Letterbox Marketing
Chief Executive’s Office,Corporate & Democratic Core,Democratic Representation & Management,Mayor’s Office,Panel & Conference Expenses - Conference - UK Based,08/01/2024,5850419,741.5,Online Ergonomics
Chief Executive’s Office,Corporate & Democratic Core,Democratic Representation & Management,Mayor’s Office,Panel & Conference Expenses - Conference - UK Based,08/01/2024,5852477,"5,000.00",Circles Training & Consultancy Limited
Chief Executive’s Office,Corporate & Democratic Core,Democratic Representation & Management,Mayor’s Office,Panel & Conference Expenses - Conference - UK Based,31/01/2024,5861332,"1,069.00",Back Care Solutions Ltd
Chief Executive’s Office,Corporate & Democratic Core,Corporate Management,"Legal Services SMT and PMT		",Subscriptions - Subscriptions to Associations,08/01/2024,5862988,"56,756.52",Thomson Reuters
Chief Executive’s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Counsel's Fees,10/01/2024,5864424,840,Legal Surveyors UK Limited
Chief Executive’s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Counsel's Fees,31/01/2024,5871254,500,Field Court Chambers  - Fees Account
Chief Executive’s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,10/01/2024,5864918,450,Cerberus Law Limited
Chief Executive’s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,10/01/2024,5864919,250,Cerberus Law Limited
Chief Executive’s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,10/01/2024,5864920,412.5,Cerberus Law Limited
Chief Executive’s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,10/01/2024,5864921,255,Cerberus Law Limited
Chief Executive’s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,17/01/2024,5866040,500,MLA Solicitors
Chief Executive’s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,17/01/2024,5866042,"3,300.00",Driscoll Kingston Solicitors
Chief Executive’s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,17/01/2024,5866050,437.5,C7 Surveyors
Chief Executive’s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,17/01/2024,5866277,"2,586.25",Five Paper Buildings
Chief Executive’s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,17/01/2024,5866281,852,42 Bedford Row
