Authority,Supplier,Expenditure Category,Directorate,Service,Cost Centre,Cost Centre Name,Revenue / Capital,TransNo,Posted amount,Date Paid
Redcar & Cleveland Borough Council,Positive Support For You CIC,Private Contractors,Adults & Communities,Home Care,10540,Persnl Care Lrning Dis,Revenue,40775757,11504.64,2024-11-11 00:00:00
Redcar & Cleveland Borough Council,Positive Support For You CIC,Private Contractors,Adults & Communities,Home Care,10540,Persnl Care Lrning Dis,Revenue,40775758,4065.6,2024-11-11 00:00:00
Redcar & Cleveland Borough Council,Positive Support For You CIC,Private Contractors,Adults & Communities,Home Care,10540,Persnl Care Lrning Dis,Revenue,40777830,4065.6,2024-11-18 00:00:00
Redcar & Cleveland Borough Council,Positive Support For You CIC,Private Contractors,Adults & Communities,Home Care,10540,Persnl Care Lrning Dis,Revenue,40777841,11504.64,2024-11-18 00:00:00
Redcar & Cleveland Borough Council,Positive Support For You CIC,Private Contractors,Adults & Communities,Home Care,10540,Persnl Care Lrning Dis,Revenue,40779838,4065.6,2024-11-25 00:00:00
Redcar & Cleveland Borough Council,Positive Support For You CIC,Private Contractors,Adults & Communities,Home Care,10540,Persnl Care Lrning Dis,Revenue,40779845,11504.64,2024-11-25 00:00:00
Redcar & Cleveland Borough Council,Potensial Ltd T/A Potens,Private Contractors,Adults & Communities,Home Care,10540,Persnl Care Lrning Dis,Revenue,40775979,3969.93,2024-11-04 00:00:00
Redcar & Cleveland Borough Council,Potensial Ltd T/A Potens,Private Contractors,Adults & Communities,Home Care,10540,Persnl Care Lrning Dis,Revenue,40775983,3969.93,2024-11-11 00:00:00
Redcar & Cleveland Borough Council,Potensial Ltd T/A Potens,Private Contractors,Adults & Communities,Home Care,10540,Persnl Care Lrning Dis,Revenue,40777419,3969.93,2024-11-18 00:00:00
Redcar & Cleveland Borough Council,Potensial Ltd T/A Potens,Private Contractors,Adults & Communities,Home Care,10540,Persnl Care Lrning Dis,Revenue,40781197,3969.93,2024-11-25 00:00:00
Redcar & Cleveland Borough Council,Poulter Property Services Ltd,Boarding Out Allowance - Basic,"Growth, Enterprise and Environment",Health Protection & Healthcare Quality,10044,B&B Accomodation,Revenue,40780831,560,2024-11-08 00:00:00
Redcar & Cleveland Borough Council,Poulter Property Services Ltd,Boarding Out Allowance - Basic,"Growth, Enterprise and Environment",Health Protection & Healthcare Quality,10044,B&B Accomodation,Revenue,40780832,560,2024-11-08 00:00:00
Redcar & Cleveland Borough Council,Poulter Property Services Ltd,Boarding Out Allowance - Basic,"Growth, Enterprise and Environment",Health Protection & Healthcare Quality,10044,B&B Accomodation,Revenue,40780837,640,2024-11-11 00:00:00
Redcar & Cleveland Borough Council,Premier Traffic Management Ltd,Services - Professional Fees,"Growth, Enterprise and Environment",Engineering & Highways,11225,Scheme Works,Revenue,40780213,930,2024-11-28 00:00:00
Redcar & Cleveland Borough Council,Premier Traffic Management Ltd,Construction,"Growth, Enterprise and Environment",Engineering & Highways,C20471,Environmental Assets (Grinkle Park Land Slip),Capital,40780835,960,2024-11-28 00:00:00
Redcar & Cleveland Borough Council,Prepaid Financial Services,Miscellaneous Benefits,Children & Families,Safeguarding And CF,11239,Unaccompanied Asylum Seeking Children,Revenue,40779640,5000,2024-11-04 00:00:00
Redcar & Cleveland Borough Council,Prepaid Financial Services,Direct Payments,Children & Families,Early Help,10150,Childrens Direct Payments,Revenue,40780191,37.96,2024-11-07 00:00:00
Redcar & Cleveland Borough Council,Prepaid Financial Services,Miscellaneous Benefits,Children & Families,Safeguarding And CF,11239,Unaccompanied Asylum Seeking Children,Revenue,40780191,546.17,2024-11-07 00:00:00
Redcar & Cleveland Borough Council,Prepaid Financial Services,Services - Professional Fees,Adults & Communities,Service Improvement & Commissioning,10539,Payments and Income Team,Revenue,40780191,7198.03,2024-11-07 00:00:00
Redcar & Cleveland Borough Council,Prepaid Financial Services,Direct Payments,Adults & Communities,Direct Payments,11117,LD 18-64 Direct Payments,Revenue,40780191,841.48,2024-11-07 00:00:00
Redcar & Cleveland Borough Council,Prepaid Financial Services,Grants & Donations,Resources,"Local Taxation, Support and Customer Services",10680,Social Fund,Revenue,40780191,5.78,2024-11-07 00:00:00
Redcar & Cleveland Borough Council,Prepaid Financial Services,Miscellaneous Benefits,Children & Families,Safeguarding And CF,11239,Unaccompanied Asylum Seeking Children,Revenue,40781277,5000,2024-11-11 00:00:00
Redcar & Cleveland Borough Council,Princh A/S (Ltd),Subscriptions,"Growth, Enterprise and Environment",Libraries and Customer Services,10405,Libraries General,Revenue,40782606,5472.79,2024-11-25 00:00:00
Redcar & Cleveland Borough Council,Priory Blinds,R & M of Build,"Growth, Enterprise and Environment",Property Services,10073,Capital Works,Revenue,40782161,1502.6,2024-11-15 00:00:00
Redcar & Cleveland Borough Council,Priory Day Nursery Ltd,Grants & Donations,Children & Families,Education DSG Funded,10786,Two Year Old Basic Entitlement (Was 2 Yr Old Offer),Revenue,40784369,7087.5,2024-11-26 00:00:00
Redcar & Cleveland Borough Council,Priory Day Nursery Ltd,Grants & Donations,Children & Families,Education DSG Funded,11483,Under 2 Yr Old Basic Entitlement,Revenue,40784379,2169.3,2024-11-26 00:00:00
Redcar & Cleveland Borough Council,Priory Day Nursery Ltd,Grants & Donations,Children & Families,Education DSG Funded,10502,3 & 4 Basic Entitlement (PVI & Childminders),Revenue,40784424,2962.58,2024-11-26 00:00:00
Redcar & Cleveland Borough Council,Progressive Care,Private Contractors,Children & Families,Safeguarding And CF,10020,Residential (formerly Agency),Revenue,40780673,13142.86,2024-11-28 00:00:00
Redcar & Cleveland Borough Council,"Prospero Group Ltd.,",Private Contractors,Children & Families,Safeguarding And CF,11363,Supported Accommodation (Children),Revenue,40775916,36478.51,2024-11-06 00:00:00
Redcar & Cleveland Borough Council,"Prospero Group Ltd.,",Private Contractors,Children & Families,Safeguarding And CF,11363,Supported Accommodation (Children),Revenue,40784558,50079.38,2024-11-27 00:00:00
Redcar & Cleveland Borough Council,"Prospero Group Ltd.,",Private Contractors,Children & Families,Safeguarding And CF,11363,Supported Accommodation (Children),Revenue,40784566,516.38,2024-11-27 00:00:00
Redcar & Cleveland Borough Council,"Prospero Group Ltd.,",Private Contractors,Children & Families,Safeguarding And CF,11363,Supported Accommodation (Children),Revenue,40784567,43388.5,2024-11-27 00:00:00
Redcar & Cleveland Borough Council,"Prospero Group Ltd.,",Private Contractors,Children & Families,Safeguarding And CF,11363,Supported Accommodation (Children),Revenue,40785267,50304,2024-11-27 00:00:00
Redcar & Cleveland Borough Council,"Prospero Group Ltd.,",Private Contractors,Children & Families,Safeguarding And CF,11363,Supported Accommodation (Children),Revenue,40785269,525.6,2024-11-27 00:00:00
Redcar & Cleveland Borough Council,Protective Care Group Ltd,Private Contractors,Children & Families,Safeguarding And CF,11363,Supported Accommodation (Children),Revenue,40780094,63793.36,2024-11-06 00:00:00
Redcar & Cleveland Borough Council,Protocol Education Ltd,Termly Course Fees,Children & Families,Education DSG Funded,10362,Independent Schools,Revenue,40774751,829.6,2024-11-06 00:00:00
Redcar & Cleveland Borough Council,Protocol Education Ltd,Termly Course Fees,Children & Families,Education DSG Funded,10362,Independent Schools,Revenue,40774752,622.2,2024-11-06 00:00:00
Redcar & Cleveland Borough Council,Protocol Education Ltd,Termly Course Fees,Children & Families,Education DSG Funded,10362,Independent Schools,Revenue,40774755,1296.25,2024-11-06 00:00:00
