Authority,Supplier,Expenditure Category,Directorate,Service,Cost Centre,Cost Centre Name,Revenue / Capital,TransNo,Posted amount,Date Paid
Redcar & Cleveland Borough Council,NHS Business Services Authority,Private Contractors,Children & Families,Early Help,11219,Health Visitors,Revenue,40787509,37.3,2024-12-16 00:00:00
Redcar & Cleveland Borough Council,NHS Business Services Authority,Private Contractors,Adults & Communities,Public Health R&C,10855,Stop Smoking Services And Intervention,Revenue,40787509,2755.66,2024-12-16 00:00:00
Redcar & Cleveland Borough Council,NHS Business Services Authority,Private Contractors,Adults & Communities,Public Health R&C,10855,Stop Smoking Services And Intervention,Revenue,40787521,3361.88,2024-12-10 00:00:00
Redcar & Cleveland Borough Council,NHS Business Services Authority,Private Contractors,Children & Families,Early Help,11219,Health Visitors,Revenue,40787521,39.73,2024-12-10 00:00:00
Redcar & Cleveland Borough Council,NHS Business Services Authority,Private Contractors,Adults & Communities,Public Health R&C,10855,Stop Smoking Services And Intervention,Revenue,40787526,2781.7,2024-12-10 00:00:00
Redcar & Cleveland Borough Council,NHS Business Services Authority,Private Contractors,Children & Families,Early Help,11219,Health Visitors,Revenue,40787526,45.54,2024-12-10 00:00:00
Redcar & Cleveland Borough Council,NHS North of England Commissioning Support Unit,General Supplies & Services,Adults & Communities,Director - Adults & Communities,11429,Streamlining of LA Adult Social Care Assesments Grant,Revenue,40786731,10247,2024-12-23 00:00:00
Redcar & Cleveland Borough Council,Nicholas Postgate T/A Sacred Heart RC School Academy,General Supplies & Services,Children & Families,Education and Skills,10580,Pupil Premium,Revenue,40790141,3000,2024-12-19 00:00:00
Redcar & Cleveland Borough Council,Nicholas Postgate T/A St Bedes Academy,Grants & Donations,Children & Families,Education DSG Funded,10560,3 & 4 Basic Entitlement (All schools),Revenue,40789450,4101.82,2024-12-16 00:00:00
Redcar & Cleveland Borough Council,Nicholas Postgate T/A St Benedicts,Grants & Donations,Children & Families,Education DSG Funded,10560,3 & 4 Basic Entitlement (All schools),Revenue,40789457,19440.37,2024-12-16 00:00:00
Redcar & Cleveland Borough Council,Nicholas Postgate T/A St Benedicts,Grants & Donations,Children & Families,Education DSG Funded,10989,EARLY YEARS PUPIL PREMIUM,Revenue,40789545,1642.2,2024-12-16 00:00:00
Redcar & Cleveland Borough Council,Nicholas Postgate T/A St Benedicts,Grants & Donations,Children & Families,Education DSG Funded,10560,3 & 4 Basic Entitlement (All schools),Revenue,40789580,1283.1,2024-12-16 00:00:00
Redcar & Cleveland Borough Council,Nicholas Postgate T/A St Benedicts,General Supplies & Services,Children & Families,Education and Skills,10580,Pupil Premium,Revenue,40790145,3000,2024-12-19 00:00:00
Redcar & Cleveland Borough Council,Nicholas Postgate T/A St Gabriels,Grants & Donations,Children & Families,Education DSG Funded,10560,3 & 4 Basic Entitlement (All schools),Revenue,40789451,25118.25,2024-12-16 00:00:00
