Authority,Supplier,Expenditure Category,Directorate,Service,Cost Centre,Cost Centre Name,Revenue / Capital,TransNo,Posted amount,Date Paid
Redcar & Cleveland Borough Council,1st Coverall Co Ltd,"Clothing, Uniforms & Laundry","Growth, Enterprise and Environment",Streetscene,10102,Clean & Green - Coastal,Revenue,40793688,769,2025-02-04 00:00:00
Redcar & Cleveland Borough Council,1st Enable - Rosewood,Private Contractors,Adults & Communities,Home Care,10540,Persnl Care Lrning Dis,Revenue,40795681,10104.68,2025-02-03 00:00:00
Redcar & Cleveland Borough Council,1st Enable - Rosewood,Private Contractors,Adults & Communities,Home Care,10540,Persnl Care Lrning Dis,Revenue,40795960,9841.69,2025-02-10 00:00:00
Redcar & Cleveland Borough Council,1st Enable - Rosewood,Private Contractors,Adults & Communities,Home Care,10540,Persnl Care Lrning Dis,Revenue,40799788,10549.74,2025-02-17 00:00:00
Redcar & Cleveland Borough Council,1st Enable - Rosewood,Private Contractors,Adults & Communities,Home Care,10540,Persnl Care Lrning Dis,Revenue,40800541,10549.74,2025-02-24 00:00:00
Redcar & Cleveland Borough Council,1st Enable - The Bridgings,Private Contractors,Adults & Communities,Home Care,10540,Persnl Care Lrning Dis,Revenue,40795546,6291.32,2025-02-03 00:00:00
Redcar & Cleveland Borough Council,1st Enable - The Bridgings,Private Contractors,Adults & Communities,Home Care,10540,Persnl Care Lrning Dis,Revenue,40796019,6372.24,2025-02-10 00:00:00
Redcar & Cleveland Borough Council,1st Enable - The Bridgings,Private Contractors,Adults & Communities,Home Care,10540,Persnl Care Lrning Dis,Revenue,40798282,6372.24,2025-02-17 00:00:00
Redcar & Cleveland Borough Council,1st Enable - The Bridgings,Private Contractors,Adults & Communities,Home Care,10540,Persnl Care Lrning Dis,Revenue,40799889,6372.24,2025-02-24 00:00:00
Redcar & Cleveland Borough Council,24x7 Ltd,Public Transport,Children & Families,Operations,10093,Childrens Home To School/College Transport,Revenue,40801342,3288,2025-02-10 00:00:00
Redcar & Cleveland Borough Council,360 Growth Partners T/A Let's Talk,Private Contractors,Adults & Communities,Public Health,11274,Sport England Local Delivery Pilot,Revenue,40800016,800,2025-02-13 00:00:00
Redcar & Cleveland Borough Council,360 Growth Partners T/A Let's Talk,Private Contractors,Adults & Communities,Public Health,11274,Sport England Local Delivery Pilot,Revenue,40800017,1209.9,2025-02-27 00:00:00
Redcar & Cleveland Borough Council,360 HEIGHT PROJECTS LTD,R & M of Build,"Growth, Enterprise and Environment",Property Services,10156,Cyclic Maintenance,Revenue,40799796,1350,2025-02-06 00:00:00
Redcar & Cleveland Borough Council,360 HEIGHT PROJECTS LTD,R & M of Build,"Growth, Enterprise and Environment",Property Services,10156,Cyclic Maintenance,Revenue,40800762,1050,2025-02-07 00:00:00
Redcar & Cleveland Borough Council,360 HEIGHT PROJECTS LTD,R & M of Build,"Growth, Enterprise and Environment",Property Services,10156,Cyclic Maintenance,Revenue,40800764,700,2025-02-06 00:00:00
Redcar & Cleveland Borough Council,A B Electrical Wholesalers Ltd,R & M of Build,"Growth, Enterprise and Environment",Property Services,10073,Capital Works,Revenue,40797465,822.26,2025-02-13 00:00:00
Redcar & Cleveland Borough Council,A B Electrical Wholesalers Ltd,R & M of Build,"Growth, Enterprise and Environment",Property Services,10613,Repairs & Maintenance,Revenue,40799056,526.15,2025-02-19 00:00:00
