Authority,Supplier,Expenditure Category,Directorate,Service,Cost Centre,Cost Centre Name,Revenue / Capital,TransNo,Posted amount,Date Paid
Redcar & Cleveland Borough Council,Age UK Teesside Ltd,Private Contractors,Adults & Communities,Director - Adults & Communities,10435,Management & Fieldwork - Management,Revenue,40773254,5000,2024-10-31 00:00:00
Redcar & Cleveland Borough Council,Age UK Teesside Ltd,General Supplies & Services,Adults & Communities,Director - Adults & Communities,10435,Management & Fieldwork - Management,Revenue,40773266,2990.61,2024-10-31 00:00:00
Redcar & Cleveland Borough Council,Agilyx EMEA Limited,Miscellaneous Capital Costs,Resources,IT and Digital,C20119,IT Improvement Projects,Capital,40779434,53592,2024-10-31 00:00:00
Redcar & Cleveland Borough Council,Alan Burgess,Private Contractors,Children & Families,Safeguarding And CF,10398,Leaving Care Team,Revenue,40770826,2200,2024-10-03 00:00:00
Redcar & Cleveland Borough Council,Alastair Robertson,Services - Professional Fees,Children & Families,Education and Skills,10576,Psychological Budget,Revenue,40771025,850,2024-10-23 00:00:00
Redcar & Cleveland Borough Council,Allensway Recycling Ltd,Waste Disposal Costs,"Growth, Enterprise and Environment",Waste Services,10908,Waste Disposal - HWRC Waste,Revenue,40767902,1731,2024-10-07 00:00:00
Redcar & Cleveland Borough Council,Allensway Recycling Ltd,Waste Disposal Costs,"Growth, Enterprise and Environment",Waste Services,10908,Waste Disposal - HWRC Waste,Revenue,40769369,1914,2024-10-15 00:00:00
Redcar & Cleveland Borough Council,Allensway Recycling Ltd,Waste Disposal Costs,"Growth, Enterprise and Environment",Waste Services,10908,Waste Disposal - HWRC Waste,Revenue,40772035,60,2024-10-24 00:00:00
Redcar & Cleveland Borough Council,Allensway Recycling Ltd,Waste Disposal Costs,"Growth, Enterprise and Environment",Waste Services,10908,Waste Disposal - HWRC Waste,Revenue,40772035,921,2024-10-24 00:00:00
Redcar & Cleveland Borough Council,Allensway Recycling Ltd,Waste Disposal Costs,"Growth, Enterprise and Environment",Waste Services,10908,Waste Disposal - HWRC Waste,Revenue,40772035,342,2024-10-24 00:00:00
Redcar & Cleveland Borough Council,Allensway Recycling Ltd,Waste Disposal Costs,"Growth, Enterprise and Environment",Waste Services,10908,Waste Disposal - HWRC Waste,Revenue,40772035,792,2024-10-24 00:00:00
Redcar & Cleveland Borough Council,Allensway Recycling Ltd,Waste Disposal Costs,"Growth, Enterprise and Environment",Waste Services,10908,Waste Disposal - HWRC Waste,Revenue,40772847,663,2024-10-28 00:00:00
Redcar & Cleveland Borough Council,Allensway Recycling Ltd,Waste Disposal Costs,"Growth, Enterprise and Environment",Waste Services,10908,Waste Disposal - HWRC Waste,Revenue,40772847,54,2024-10-28 00:00:00
Redcar & Cleveland Borough Council,Allied Publicity Services  APS Group,General Supplies & Services,"Growth, Enterprise and Environment",Parking,10529,Parking Processing,Revenue,40772059,1246.35,2024-10-28 00:00:00
Redcar & Cleveland Borough Council,Almscliffe Dhesi Developments (2) Ltd,Long Term Creditors,"Growth, Enterprise and Environment",Engineering & Highways,10176,Development Engineers,Revenue,40774362,4800,2024-10-14 00:00:00
Redcar & Cleveland Borough Council,Alrose Productions Ltd,Services - Professional Fees,"Growth, Enterprise and Environment",Culture & Tourism,11273,Events,Revenue,40770902,4530,2024-10-24 00:00:00
Redcar & Cleveland Borough Council,Alu-Fix Ltd,R & M of Build,"Growth, Enterprise and Environment",Property Services,10073,Capital Works,Revenue,40773334,4288.76,2024-10-10 00:00:00
Redcar & Cleveland Borough Council,Alu-Fix Ltd,R & M of Build,"Growth, Enterprise and Environment",Property Services,10073,Capital Works,Revenue,40773334,143.53,2024-10-10 00:00:00
Redcar & Cleveland Borough Council,Alu-Fix Ltd,R & M of Build,"Growth, Enterprise and Environment",Property Services,10156,Cyclic Maintenance,Revenue,40775854,1416,2024-10-21 00:00:00
Redcar & Cleveland Borough Council,Alu-Fix Ltd,R & M of Build,"Growth, Enterprise and Environment",Property Services,10613,Repairs & Maintenance,Revenue,40775854,286.37,2024-10-21 00:00:00
