Authority,Supplier,Expenditure Category,Directorate,Service,Cost Centre,Cost Centre Name,Revenue / Capital,TransNo,Posted amount,Date Paid
Redcar & Cleveland Borough Council,1st Coverall Co Ltd,"Clothing, Uniforms & Laundry","Growth, Enterprise and Environment",Streetscene,10104,Clean & Green - Greater Eston,Revenue,40729976,750.75,2024-04-23 00:00:00
Redcar & Cleveland Borough Council,1st Coverall Co Ltd,"Clothing, Uniforms & Laundry","Growth, Enterprise and Environment",Engineering & Highways,10637,Safety Maintenance Works,Revenue,40732047,570,2024-04-08 00:00:00
Redcar & Cleveland Borough Council,1st Coverall Co Ltd,"Clothing, Uniforms & Laundry","Growth, Enterprise and Environment",Engineering & Highways,10637,Safety Maintenance Works,Revenue,40732047,285,2024-04-08 00:00:00
Redcar & Cleveland Borough Council,1st Enable - Rosewood,Private Contractors,Adults & Communities,Home Care,10540,Persnl Care Lrning Dis,Revenue,40726863,10335.69,2024-04-08 00:00:00
Redcar & Cleveland Borough Council,1st Enable - Rosewood,Private Contractors,Adults & Communities,Home Care,10540,Persnl Care Lrning Dis,Revenue,40729171,9690.29,2024-04-15 00:00:00
Redcar & Cleveland Borough Council,1st Enable - Rosewood,Private Contractors,Adults & Communities,Home Care,10540,Persnl Care Lrning Dis,Revenue,40730849,9598.09,2024-04-03 00:00:00
Redcar & Cleveland Borough Council,1st Enable - Rosewood,Private Contractors,Adults & Communities,Home Care,10540,Persnl Care Lrning Dis,Revenue,40732158,9727.17,2024-04-29 00:00:00
Redcar & Cleveland Borough Council,1st Enable - The Bridgings,Private Contractors,Adults & Communities,Home Care,10540,Persnl Care Lrning Dis,Revenue,40726260,5421.43,2024-04-08 00:00:00
Redcar & Cleveland Borough Council,1st Enable - The Bridgings,Private Contractors,Adults & Communities,Home Care,10540,Persnl Care Lrning Dis,Revenue,40729185,5421.43,2024-04-15 00:00:00
Redcar & Cleveland Borough Council,1st Enable - The Bridgings,Private Contractors,Adults & Communities,Home Care,10540,Persnl Care Lrning Dis,Revenue,40730857,5421.43,2024-04-22 00:00:00
Redcar & Cleveland Borough Council,1st Enable - The Bridgings,Private Contractors,Adults & Communities,Home Care,10540,Persnl Care Lrning Dis,Revenue,40732159,5421.43,2024-04-29 00:00:00
Redcar & Cleveland Borough Council,24x7 Ltd,Public Transport,Children & Families,Operations,10093,Childrens Home To School/College Transport,Revenue,40731049,1843.3,2024-04-05 00:00:00
Redcar & Cleveland Borough Council,360 HEIGHT PROJECTS LTD,R & M of Build,"Growth, Enterprise and Environment",Property Services,10613,Repairs & Maintenance,Revenue,40733854,600,2024-04-16 00:00:00
Redcar & Cleveland Borough Council,360 HEIGHT PROJECTS LTD,R & M of Build,"Growth, Enterprise and Environment",Property Services,10613,Repairs & Maintenance,Revenue,40735953,1850,2024-04-25 00:00:00
Redcar & Cleveland Borough Council,A B Electrical Wholesalers Ltd,R & M of Build,"Growth, Enterprise and Environment",Property Services,10613,Repairs & Maintenance,Revenue,40733845,568.72,2024-04-16 00:00:00
Redcar & Cleveland Borough Council,A Time 4 You Child and Family Psychological Services CIC,Services - Professional Fees,Children & Families,Safeguarding And CF,11284,Safeguarding Social Work Operational Costs,Revenue,40731854,765,2024-04-11 00:00:00
Redcar & Cleveland Borough Council,A Wilderness Way Group Ltd,Private Contractors,Children & Families,Safeguarding And CF,10020,Residential (formerly Agency),Revenue,40732697,230.87,2024-04-10 00:00:00
Redcar & Cleveland Borough Council,A Wilderness Way Group Ltd,Private Contractors,Children & Families,Safeguarding And CF,10020,Residential (formerly Agency),Revenue,40732697,13008.4,2024-04-10 00:00:00
Redcar & Cleveland Borough Council,A Wilderness Way Group Ltd,Private Contractors,Children & Families,Safeguarding And CF,10020,Residential (formerly Agency),Revenue,40732697,52511.73,2024-04-10 00:00:00
Redcar & Cleveland Borough Council,A Wilderness Way Group Ltd,General Supplies & Services,Children & Families,Education and Skills,10580,Pupil Premium,Revenue,40733790,1400,2024-04-16 00:00:00
Redcar & Cleveland Borough Council,A Wilderness Way Group Ltd,Private Contractors,Children & Families,Safeguarding And CF,10020,Residential (formerly Agency),Revenue,40736339,780,2024-04-25 00:00:00
Redcar & Cleveland Borough Council,A Wilderness Way Group Ltd,Private Contractors,Children & Families,Safeguarding And CF,10020,Residential (formerly Agency),Revenue,40736347,4242,2024-04-29 00:00:00
Redcar & Cleveland Borough Council,A&B Homecare Limited,Private Contractors,Adults & Communities,Home Care,10541,Personal Care OP,Revenue,40732788,1192.15,2024-04-11 00:00:00
Redcar & Cleveland Borough Council,A&B Homecare Limited,Private Contractors,Adults & Communities,Home Care,10541,Personal Care OP,Revenue,40732788,258.4,2024-04-11 00:00:00
Redcar & Cleveland Borough Council,A&B Homecare Limited,Private Contractors,Adults & Communities,Home Care,10542,Personal Care PD,Revenue,40732788,3070.03,2024-04-11 00:00:00
Redcar & Cleveland Borough Council,A&B Homecare Limited,Private Contractors,Adults & Communities,Home Care,10541,Personal Care OP,Revenue,40732800,1519.2,2024-04-11 00:00:00
Redcar & Cleveland Borough Council,A&B Homecare Limited,Private Contractors,Adults & Communities,Home Care,10541,Personal Care OP,Revenue,40732800,258.4,2024-04-11 00:00:00
Redcar & Cleveland Borough Council,A&B Homecare Limited,Private Contractors,Adults & Communities,Home Care,10542,Personal Care PD,Revenue,40732800,2099.43,2024-04-11 00:00:00
Redcar & Cleveland Borough Council,A&B Homecare Limited,Private Contractors,Adults & Communities,Home Care,10541,Personal Care OP,Revenue,40735709,1899.31,2024-04-22 00:00:00
Redcar & Cleveland Borough Council,A&B Homecare Limited,Private Contractors,Adults & Communities,Home Care,10542,Personal Care PD,Revenue,40735709,3329.58,2024-04-22 00:00:00
Redcar & Cleveland Borough Council,A&B Homecare Limited,Private Contractors,Adults & Communities,Home Care,10542,Personal Care PD,Revenue,40737263,3498.19,2024-04-30 00:00:00
Redcar & Cleveland Borough Council,A&B Homecare Limited,Private Contractors,Adults & Communities,Home Care,10541,Personal Care OP,Revenue,40737263,283.01,2024-04-30 00:00:00
Redcar & Cleveland Borough Council,A&B Homecare Limited,Private Contractors,Adults & Communities,Home Care,10541,Personal Care OP,Revenue,40737263,2158.92,2024-04-30 00:00:00
Redcar & Cleveland Borough Council,A&B Homecare Limited,Private Contractors,Adults & Communities,Home Care,10541,Personal Care OP,Revenue,40737266,2112.74,2024-04-30 00:00:00
