Authority,Supplier,Expenditure Category,Directorate,Service,Cost Centre,Cost Centre Name,Revenue / Capital,TransNo,Posted amount,Date Paid
Redcar & Cleveland Borough Council,1st Coverall Co Ltd,"Clothing, Uniforms & Laundry",Adults & Communities,Operation Partnerships & Provider Services,10597,Community Reablement Team,Revenue,40731722,25,2024-05-13 00:00:00
Redcar & Cleveland Borough Council,1st Coverall Co Ltd,"Clothing, Uniforms & Laundry",Adults & Communities,Operation Partnerships & Provider Services,10597,Community Reablement Team,Revenue,40731722,1276.43,2024-05-13 00:00:00
Redcar & Cleveland Borough Council,1st Enable - Rosewood,Private Contractors,Adults & Communities,Home Care,10540,Persnl Care Lrning Dis,Revenue,40735409,10630.66,2024-05-03 00:00:00
Redcar & Cleveland Borough Council,1st Enable - Rosewood,Private Contractors,Adults & Communities,Home Care,10540,Persnl Care Lrning Dis,Revenue,40735414,10671.12,2024-05-13 00:00:00
Redcar & Cleveland Borough Council,1st Enable - Rosewood,Private Contractors,Adults & Communities,Home Care,10540,Persnl Care Lrning Dis,Revenue,40737658,10671.12,2024-05-20 00:00:00
Redcar & Cleveland Borough Council,1st Enable - Rosewood,Private Contractors,Adults & Communities,Home Care,10540,Persnl Care Lrning Dis,Revenue,40738628,10671.12,2024-05-24 00:00:00
Redcar & Cleveland Borough Council,1st Enable - The Bridgings,Private Contractors,Adults & Communities,Home Care,10540,Persnl Care Lrning Dis,Revenue,40735411,5947.41,2024-05-03 00:00:00
Redcar & Cleveland Borough Council,1st Enable - The Bridgings,Private Contractors,Adults & Communities,Home Care,10540,Persnl Care Lrning Dis,Revenue,40735412,5947.41,2024-05-13 00:00:00
Redcar & Cleveland Borough Council,1st Enable - The Bridgings,Private Contractors,Adults & Communities,Home Care,10540,Persnl Care Lrning Dis,Revenue,40737617,6089.02,2024-05-20 00:00:00
Redcar & Cleveland Borough Council,1st Enable - The Bridgings,Private Contractors,Adults & Communities,Home Care,10540,Persnl Care Lrning Dis,Revenue,40738393,6089.02,2024-05-24 00:00:00
Redcar & Cleveland Borough Council,24x7 Ltd,Public Transport,Children & Families,Operations,10093,Childrens Home To School/College Transport,Revenue,40744763,2794.8,2024-05-31 00:00:00
Redcar & Cleveland Borough Council,A B Electrical Wholesalers Ltd,R & M of Build,"Growth, Enterprise and Environment",Property Services,10073,Capital Works,Revenue,40741669,1440.77,2024-05-16 00:00:00
Redcar & Cleveland Borough Council,A Time 4 You Child and Family Psychological Services CIC,Services - Professional Fees,Children & Families,Safeguarding And CF,10686,Special Guardianship Allowances,Revenue,40738548,510,2024-05-02 00:00:00
Redcar & Cleveland Borough Council,A Time 4 You Child and Family Psychological Services CIC,Services - Professional Fees,Children & Families,Safeguarding And CF,10686,Special Guardianship Allowances,Revenue,40742384,510,2024-05-22 00:00:00
Redcar & Cleveland Borough Council,A Time 4 You Child and Family Psychological Services CIC,Services - Professional Fees,Children & Families,Safeguarding And CF,10686,Special Guardianship Allowances,Revenue,40742389,1687.43,2024-05-22 00:00:00
Redcar & Cleveland Borough Council,A Wilderness Way Group Ltd,Private Contractors,Children & Families,Safeguarding And CF,10020,Residential (formerly Agency),Revenue,40739187,63630,2024-05-08 00:00:00
Redcar & Cleveland Borough Council,A Wilderness Way Group Ltd,Boarding Out Allowance - Basic,Children & Families,Safeguarding And CF,10020,Residential (formerly Agency),Revenue,40739299,46872.9,2024-05-09 00:00:00
Redcar & Cleveland Borough Council,A&B Homecare Limited,Private Contractors,Adults & Communities,Home Care,10541,Personal Care OP,Revenue,40739186,2395.75,2024-05-08 00:00:00
Redcar & Cleveland Borough Council,A&B Homecare Limited,Private Contractors,Adults & Communities,Home Care,10542,Personal Care PD,Revenue,40739186,3434.64,2024-05-08 00:00:00
