Authority,Supplier,Expenditure Category,Directorate,Service,Cost Centre,Cost Centre Name,Revenue / Capital,TransNo,Posted amount,Date Paid
Redcar & Cleveland Borough Council,On the B4NK ltd,Private Contractors,Children & Families,Safeguarding And CF,11363,Supported Accommodation (Children),Revenue,40793855,520.26,2025-01-13 00:00:00
Redcar & Cleveland Borough Council,On the B4NK ltd,Private Contractors,Children & Families,Safeguarding And CF,11363,Supported Accommodation (Children),Revenue,40794656,716.67,2025-01-14 00:00:00
Redcar & Cleveland Borough Council,On the B4NK ltd,Private Contractors,Children & Families,Safeguarding And CF,11363,Supported Accommodation (Children),Revenue,40795006,14511.97,2025-01-15 00:00:00
Redcar & Cleveland Borough Council,On the B4NK ltd,Private Contractors,Children & Families,Safeguarding And CF,11363,Supported Accommodation (Children),Revenue,40795015,17817.76,2025-01-15 00:00:00
Redcar & Cleveland Borough Council,On the B4NK ltd,Private Contractors,Children & Families,Safeguarding And CF,11363,Supported Accommodation (Children),Revenue,40795016,14947.17,2025-01-15 00:00:00
Redcar & Cleveland Borough Council,On the B4NK ltd,Private Contractors,Children & Families,Safeguarding And CF,11363,Supported Accommodation (Children),Revenue,40795017,11527.69,2025-01-15 00:00:00
Redcar & Cleveland Borough Council,On the B4NK ltd,Services - Professional Fees,Children & Families,Early Help,10021,Childrens Short Breaks,Revenue,40797375,521.85,2025-01-22 00:00:00
Redcar & Cleveland Borough Council,On the B4NK ltd,Services - Professional Fees,Children & Families,Early Help,10021,Childrens Short Breaks,Revenue,40797376,525.3,2025-01-22 00:00:00
Redcar & Cleveland Borough Council,On the B4NK ltd,Services - Professional Fees,Children & Families,Early Help,10021,Childrens Short Breaks,Revenue,40799995,521.88,2025-01-31 00:00:00
Redcar & Cleveland Borough Council,On the B4NK ltd,Services - Professional Fees,Children & Families,Early Help,10021,Childrens Short Breaks,Revenue,40799996,525.3,2025-01-31 00:00:00
Redcar & Cleveland Borough Council,On the B4NK ltd,Private Contractors,Children & Families,Safeguarding And CF,11363,Supported Accommodation (Children),Revenue,40799997,16585.6,2025-01-31 00:00:00
Redcar & Cleveland Borough Council,On the B4NK ltd,Private Contractors,Children & Families,Safeguarding And CF,11363,Supported Accommodation (Children),Revenue,40800006,1972.2,2025-01-31 00:00:00
Redcar & Cleveland Borough Council,On the B4NK ltd,Private Contractors,Children & Families,Safeguarding And CF,11363,Supported Accommodation (Children),Revenue,40800008,14375.1,2025-01-31 00:00:00
Redcar & Cleveland Borough Council,On the B4NK ltd,Private Contractors,Children & Families,Safeguarding And CF,11363,Supported Accommodation (Children),Revenue,40800011,14266.6,2025-01-31 00:00:00
Redcar & Cleveland Borough Council,OnGrade Ltd,Tools and Equipment - Purchase,"Growth, Enterprise and Environment",Waste Services,10965,Warrenby Transfer Station,Revenue,40792344,528,2025-01-16 00:00:00
Redcar & Cleveland Borough Council,OnGrade Ltd,Tools and Equipment - Purchase,"Growth, Enterprise and Environment",Waste Services,10965,Warrenby Transfer Station,Revenue,40792344,9,2025-01-16 00:00:00
Redcar & Cleveland Borough Council,Ormesby Primary School (Academy),Grants & Donations,Children & Families,Education DSG Funded,10560,3 & 4 Basic Entitlement (All schools),Revenue,40798593,6741,2025-01-27 00:00:00
Redcar & Cleveland Borough Council,Outwood Academy Bydales,Contingencies,Children & Families,Education DSG Funded,10492,DSG Funding (excluding school budget share),Revenue,40794516,165090,2025-01-13 00:00:00
Redcar & Cleveland Borough Council,Outwood Academy Bydales,Contingencies,Children & Families,Education DSG Funded,10492,DSG Funding (excluding school budget share),Revenue,40794517,173130,2025-01-13 00:00:00
Redcar & Cleveland Borough Council,Outwood Academy Normanby,Contingencies,Children & Families,Education DSG Funded,10492,DSG Funding (excluding school budget share),Revenue,40794515,165090,2025-01-13 00:00:00
Redcar & Cleveland Borough Council,Outwood Academy Redcar,Construction,Children & Families,Schools Capital,C10003,Basic Needs - Schools,Capital,40795923,9990,2025-01-23 00:00:00
Redcar & Cleveland Borough Council,Parallel Parents Limited,Private Contractors,Children & Families,Safeguarding And CF,10020,Residential (formerly Agency),Revenue,40795751,14028.43,2025-01-29 00:00:00
Redcar & Cleveland Borough Council,ParentAssess,Training Expenses - Employees,Children & Families,Directorate - Children & Families,10498,DfE ASYE (Childrens),Revenue,40788833,9450.35,2025-01-07 00:00:00
