Transaction Date,Local Authority Department,BENEFICIARY,Purpose,Amount,Non Recoverable,Merchant Category
01-05-2023,Marketing,Personal Information - Redacted,Events,1250,0,COMMERCIAL SUPPLIER
01-05-2023,Marketing,Personal Information - Redacted,Events,1250,0,COMMERCIAL SUPPLIER
01-05-2023,Environment and Sustainable Transport,R.A.M Fleet Solutions Ltd,"Purchase - Equipment, Furniture And Materials",3760,0,COMMERCIAL SUPPLIER
01-05-2023,oneSource,Daisy Corporate Services Trading Ltd,Land Line Telephone Costs,4869.27,0,COMMERCIAL SUPPLIER
01-05-2023,oneSource,Daisy Corporate Services Trading Ltd,Land Line Telephone Costs,6061.76,0,COMMERCIAL SUPPLIER
01-05-2023,oneSource,Daisy Corporate Services Trading Ltd,Land Line Telephone Costs,12327.67,0,COMMERCIAL SUPPLIER
01-05-2023,Housing Revenue Account,Daisy Corporate Services Trading Ltd,Land Line Telephone Costs,3085.81,0,COMMERCIAL SUPPLIER
01-05-2023,Children and Young People,Prestige Linen Services Ltd,"Clothes, Uniform And Laundry",343.99,0,COMMERCIAL SUPPLIER
01-05-2023,Children and Young People,Chosen Care Group Ltd,Private Contractors Payment - Other,1437,0,VENDOR
01-05-2023,Inclusive Economy & Housing,Titan Containers A/S,Hire - Equipment Furniture And Materials,286.75,0,VENDOR
01-05-2023,RMS,Travis Perkins Trading Company Ltd,Building Alterations And Materials,613.32,0,COMMERCIAL SUPPLIER
01-05-2023,RMS,Travis Perkins Trading Company Ltd,Building Alterations And Materials,697.94,0,COMMERCIAL SUPPLIER
01-05-2023,RMS,Travis Perkins Trading Company Ltd,Building Alterations And Materials,697.94,0,COMMERCIAL SUPPLIER
01-05-2023,RMS,Travis Perkins Trading Company Ltd,Building Alterations And Materials,27812.28,0,COMMERCIAL SUPPLIER
01-05-2023,RMS,Travis Perkins Trading Company Ltd,Building Alterations And Materials,27812.28,0,COMMERCIAL SUPPLIER
01-05-2023,RMS,Travis Perkins Trading Company Ltd,Building Alterations And Materials,27812.28,0,COMMERCIAL SUPPLIER
01-05-2023,RMS,Travis Perkins Trading Company Ltd,Building Alterations And Materials,27812.28,0,COMMERCIAL SUPPLIER
01-05-2023,Environment and Sustainable Transport,Portakabin Ltd,Premises Hire - Facilities,2373.33,0,COMMERCIAL SUPPLIER
01-05-2023,oneSource,Royal Mail Group Plc,Postage And Courier Services,142.56,0,COMMERCIAL SUPPLIER
01-05-2023,oneSource,Royal Mail Group Plc,Postage And Courier Services,45287.85,0,COMMERCIAL SUPPLIER
01-05-2023,Children and Young People,Early Start Group Ltd,Private Contractors Payment - Other,66143,0,COMMERCIAL SUPPLIER
01-05-2023,Marketing,Personal Information - Redacted,Arts And Leisure Costs,173.07,0,Employee
01-05-2023,Marketing,Personal Information - Redacted,Arts And Leisure Costs,173.07,0,Employee
01-05-2023,Marketing,Personal Information - Redacted,Arts And Leisure Costs,173.07,0,Employee
01-05-2023,Marketing,Personal Information - Redacted,Arts And Leisure Costs,220.98,0,Employee
01-05-2023,Marketing,Personal Information - Redacted,Arts And Leisure Costs,21.88,0,Employee
01-05-2023,Marketing,Personal Information - Redacted,Arts And Leisure Costs,6.2,0,Employee
01-05-2023,Marketing,Personal Information - Redacted,Arts And Leisure Costs,209.95,0,Employee
01-05-2023,Marketing,Personal Information - Redacted,Professional Services - General,105,0,Employee
01-05-2023,Marketing,Personal Information - Redacted,Arts And Leisure Costs,121.55,0,Employee
01-05-2023,Marketing,Personal Information - Redacted,Arts And Leisure Costs,25.96,0,Employee
01-05-2023,Dedicated Schools Budget,Personal Information - Redacted,Professional Services - General,1197.08,0,COMMERCIAL SUPPLIER
01-05-2023,Marketing,Pan Vibration,Arts And Leisure Costs,585,0,VENDOR
01-05-2023,Environment and Sustainable Transport,Chipside Ltd,Private Contractors Payment - Other,660,0,COMMERCIAL SUPPLIER
02-05-2023,Dedicated Schools Budget,Personal Information - Redacted,Professional Services - General,15000,0,COMMERCIAL SUPPLIER
02-05-2023,Adults & Health,Uniting Friends,Daycare - Private Contractors Payment,360.25,0,VENDOR
02-05-2023,Adults & Health,Uniting Friends,Daycare - Private Contractors Payment,360.25,0,VENDOR
02-05-2023,Adults & Health,Uniting Friends,Daycare - Private Contractors Payment,360.25,0,VENDOR
02-05-2023,Adults & Health,Uniting Friends,Daycare - Private Contractors Payment,140,0,VENDOR
02-05-2023,Adults & Health,Uniting Friends,Daycare - Private Contractors Payment,140,0,VENDOR
02-05-2023,Inclusive Economy & Housing,Insurance Claims Accomodation Bureau Limited,Rents Payable,357.5,0,COMMERCIAL SUPPLIER
02-05-2023,Resources,BDO LLP,Professional Services - General,9450,0,
02-05-2023,Inclusive Economy & Housing,Insurance Claims Accomodation Bureau Limited,Rents Payable,385,0,COMMERCIAL SUPPLIER
02-05-2023,Inclusive Economy & Housing,Insurance Claims Accomodation Bureau Limited,Rents Payable,462,0,COMMERCIAL SUPPLIER
02-05-2023,Inclusive Economy & Housing,Insurance Claims Accomodation Bureau Limited,Rents Payable,308,0,COMMERCIAL SUPPLIER
02-05-2023,Inclusive Economy & Housing,Insurance Claims Accomodation Bureau Limited,Rents Payable,693,0,COMMERCIAL SUPPLIER
02-05-2023,Inclusive Economy & Housing,Insurance Claims Accomodation Bureau Limited,Rents Payable,693,0,COMMERCIAL SUPPLIER
02-05-2023,Inclusive Economy & Housing,Insurance Claims Accomodation Bureau Limited,Rents Payable,308,0,COMMERCIAL SUPPLIER
02-05-2023,Inclusive Economy & Housing,Insurance Claims Accomodation Bureau Limited,Rents Payable,273,0,COMMERCIAL SUPPLIER
02-05-2023,Inclusive Economy & Housing,Insurance Claims Accomodation Bureau Limited,Rents Payable,693,0,COMMERCIAL SUPPLIER
02-05-2023,Inclusive Economy & Housing,Insurance Claims Accomodation Bureau Limited,Rents Payable,462,0,COMMERCIAL SUPPLIER
02-05-2023,Inclusive Economy & Housing,Insurance Claims Accomodation Bureau Limited,Rents Payable,819,0,COMMERCIAL SUPPLIER
02-05-2023,Inclusive Economy & Housing,Insurance Claims Accomodation Bureau Limited,Rents Payable,924,0,COMMERCIAL SUPPLIER
02-05-2023,Inclusive Economy & Housing,Insurance Claims Accomodation Bureau Limited,Rents Payable,308,0,COMMERCIAL SUPPLIER
02-05-2023,Inclusive Economy & Housing,Insurance Claims Accomodation Bureau Limited,Rents Payable,462,0,COMMERCIAL SUPPLIER
02-05-2023,Inclusive Economy & Housing,Insurance Claims Accomodation Bureau Limited,Rents Payable,308,0,COMMERCIAL SUPPLIER
02-05-2023,Inclusive Economy & Housing,Insurance Claims Accomodation Bureau Limited,Rents Payable,935,0,COMMERCIAL SUPPLIER
02-05-2023,Inclusive Economy & Housing,Insurance Claims Accomodation Bureau Limited,Rents Payable,308,0,COMMERCIAL SUPPLIER
02-05-2023,Inclusive Economy & Housing,Insurance Claims Accomodation Bureau Limited,Rents Payable,462,0,COMMERCIAL SUPPLIER
02-05-2023,Inclusive Economy & Housing,Insurance Claims Accomodation Bureau Limited,Rents Payable,1232,0,COMMERCIAL SUPPLIER
02-05-2023,Inclusive Economy & Housing,Insurance Claims Accomodation Bureau Limited,Rents Payable,462,0,COMMERCIAL SUPPLIER
02-05-2023,Inclusive Economy & Housing,Insurance Claims Accomodation Bureau Limited,Rents Payable,616,0,COMMERCIAL SUPPLIER
02-05-2023,Inclusive Economy & Housing,Insurance Claims Accomodation Bureau Limited,Rents Payable,462,0,COMMERCIAL SUPPLIER
02-05-2023,Inclusive Economy & Housing,Insurance Claims Accomodation Bureau Limited,Rents Payable,462,0,COMMERCIAL SUPPLIER
02-05-2023,Inclusive Economy & Housing,Insurance Claims Accomodation Bureau Limited,Rents Payable,1935.43,0,COMMERCIAL SUPPLIER
02-05-2023,Inclusive Economy & Housing,Insurance Claims Accomodation Bureau Limited,Rents Payable,462,0,COMMERCIAL SUPPLIER
02-05-2023,Inclusive Economy & Housing,Insurance Claims Accomodation Bureau Limited,Rents Payable,830.5,0,COMMERCIAL SUPPLIER
02-05-2023,oneSource,Law Morgan Ltd,Agency Staff,3288.8,0,COMMERCIAL SUPPLIER
02-05-2023,Inclusive Economy & Housing,Insurance Claims Accomodation Bureau Limited,Rents Payable,2180.57,0,COMMERCIAL SUPPLIER
02-05-2023,Inclusive Economy & Housing,Insurance Claims Accomodation Bureau Limited,Rents Payable,4183.85,0,COMMERCIAL SUPPLIER
02-05-2023,Inclusive Economy & Housing,Insurance Claims Accomodation Bureau Limited,Rents Payable,1792.56,0,COMMERCIAL SUPPLIER
02-05-2023,Inclusive Economy & Housing,Insurance Claims Accomodation Bureau Limited,Rents Payable,1275.51,0,COMMERCIAL SUPPLIER
02-05-2023,Inclusive Economy & Housing,Insurance Claims Accomodation Bureau Limited,Rents Payable,1429.2,0,COMMERCIAL SUPPLIER
02-05-2023,Inclusive Economy & Housing,Insurance Claims Accomodation Bureau Limited,Rents Payable,4170.92,0,COMMERCIAL SUPPLIER
02-05-2023,Inclusive Economy & Housing,Insurance Claims Accomodation Bureau Limited,Rents Payable,4407.92,0,COMMERCIAL SUPPLIER
02-05-2023,Inclusive Economy & Housing,Insurance Claims Accomodation Bureau Limited,Rents Payable,3759.92,0,COMMERCIAL SUPPLIER
02-05-2023,Inclusive Economy & Housing,Insurance Claims Accomodation Bureau Limited,Rents Payable,433.15,0,COMMERCIAL SUPPLIER
02-05-2023,Inclusive Economy & Housing,Insurance Claims Accomodation Bureau Limited,Rents Payable,2997.42,0,COMMERCIAL SUPPLIER
02-05-2023,Inclusive Economy & Housing,Insurance Claims Accomodation Bureau Limited,Rents Payable,1332.72,0,COMMERCIAL SUPPLIER
02-05-2023,Inclusive Economy & Housing,Insurance Claims Accomodation Bureau Limited,Rents Payable,3129.41,0,COMMERCIAL SUPPLIER
02-05-2023,Inclusive Economy & Housing,Insurance Claims Accomodation Bureau Limited,Rents Payable,269.5,0,COMMERCIAL SUPPLIER
02-05-2023,Inclusive Economy & Housing,Insurance Claims Accomodation Bureau Limited,Rents Payable,1819,0,COMMERCIAL SUPPLIER
02-05-2023,Inclusive Economy & Housing,Insurance Claims Accomodation Bureau Limited,Rents Payable,2274.41,0,COMMERCIAL SUPPLIER
02-05-2023,Inclusive Economy & Housing,Insurance Claims Accomodation Bureau Limited,Rents Payable,4283.21,0,COMMERCIAL SUPPLIER
02-05-2023,Inclusive Economy & Housing,Insurance Claims Accomodation Bureau Limited,Rents Payable,1681.61,0,COMMERCIAL SUPPLIER
02-05-2023,Inclusive Economy & Housing,Insurance Claims Accomodation Bureau Limited,Rents Payable,2695,0,COMMERCIAL SUPPLIER
02-05-2023,Inclusive Economy & Housing,Insurance Claims Accomodation Bureau Limited,Rents Payable,3282.99,0,COMMERCIAL SUPPLIER
02-05-2023,Inclusive Economy & Housing,Insurance Claims Accomodation Bureau Limited,Rents Payable,5986.3,0,COMMERCIAL SUPPLIER
02-05-2023,Inclusive Economy & Housing,Insurance Claims Accomodation Bureau Limited,Rents Payable,719.2,0,COMMERCIAL SUPPLIER
02-05-2023,Inclusive Economy & Housing,Insurance Claims Accomodation Bureau Limited,Rents Payable,1798.71,0,COMMERCIAL SUPPLIER
02-05-2023,Inclusive Economy & Housing,Insurance Claims Accomodation Bureau Limited,Rents Payable,1798.71,0,COMMERCIAL SUPPLIER
02-05-2023,Inclusive Economy & Housing,Insurance Claims Accomodation Bureau Limited,Rents Payable,3483.41,0,COMMERCIAL SUPPLIER
02-05-2023,Inclusive Economy & Housing,Insurance Claims Accomodation Bureau Limited,Rents Payable,1749.41,0,COMMERCIAL SUPPLIER
02-05-2023,Inclusive Economy & Housing,Insurance Claims Accomodation Bureau Limited,Rents Payable,1307.31,0,COMMERCIAL SUPPLIER
02-05-2023,Inclusive Economy & Housing,Insurance Claims Accomodation Bureau Limited,Rents Payable,1307.31,0,COMMERCIAL SUPPLIER
02-05-2023,Inclusive Economy & Housing,Insurance Claims Accomodation Bureau Limited,Rents Payable,1099.58,0,COMMERCIAL SUPPLIER
02-05-2023,Inclusive Economy & Housing,Insurance Claims Accomodation Bureau Limited,Rents Payable,879.54,0,COMMERCIAL SUPPLIER
02-05-2023,Inclusive Economy & Housing,Insurance Claims Accomodation Bureau Limited,Rents Payable,1502.51,0,COMMERCIAL SUPPLIER
02-05-2023,Inclusive Economy & Housing,Insurance Claims Accomodation Bureau Limited,Rents Payable,1105.85,0,COMMERCIAL SUPPLIER
02-05-2023,Inclusive Economy & Housing,Insurance Claims Accomodation Bureau Limited,Rents Payable,2310.41,0,COMMERCIAL SUPPLIER
