Transaction Date,Local Authority Department,BENEFICIARY,Purpose,Amount,Non Recoverable,Merchant Category
01/03/2024,Marketing,Juniper Ventures Ltd,Cleaning Services,2490.03,0,COMMERCIAL SUPPLIER
01/03/2024,Marketing,Juniper Ventures Ltd,Cleaning Services,4079.27,0,COMMERCIAL SUPPLIER
01/03/2024,Marketing,Juniper Ventures Ltd,Cleaning Services,924.28,0,COMMERCIAL SUPPLIER
01/03/2024,Marketing,Juniper Ventures Ltd,Cleaning Services,1249.47,0,COMMERCIAL SUPPLIER
01/03/2024,Marketing,Juniper Ventures Ltd,Cleaning Services,1601.48,0,COMMERCIAL SUPPLIER
01/03/2024,Marketing,Juniper Ventures Ltd,Cleaning Services,592.63,0,COMMERCIAL SUPPLIER
01/03/2024,Marketing,Juniper Ventures Ltd,Cleaning Services,275.96,0,COMMERCIAL SUPPLIER
01/03/2024,Marketing,Juniper Ventures Ltd,Cleaning Services,641.66,0,COMMERCIAL SUPPLIER
01/03/2024,Marketing,Juniper Ventures Ltd,Cleaning Services,835.68,0,COMMERCIAL SUPPLIER
01/03/2024,Marketing,Juniper Ventures Ltd,Cleaning Services,1118.3,0,COMMERCIAL SUPPLIER
01/03/2024,Marketing,Juniper Ventures Ltd,Cleaning Services,863.37,0,COMMERCIAL SUPPLIER
01/03/2024,Marketing,Juniper Ventures Ltd,Cleaning Services,2064.75,0,COMMERCIAL SUPPLIER
01/03/2024,Marketing,Juniper Ventures Ltd,Cleaning Services,4881.11,0,COMMERCIAL SUPPLIER
01/03/2024,Resources,Juniper Ventures Ltd,Cleaning Services,400.86,0,COMMERCIAL SUPPLIER
01/03/2024,Resources,Juniper Ventures Ltd,Cleaning Services,1503.22,0,COMMERCIAL SUPPLIER
01/03/2024,Resources,Juniper Ventures Ltd,Cleaning Services,871.43,0,COMMERCIAL SUPPLIER
01/03/2024,Resources,Juniper Ventures Ltd,Cleaning Services,2004.3,0,COMMERCIAL SUPPLIER
01/03/2024,Resources,Juniper Ventures Ltd,Cleaning Services,10673.03,0,COMMERCIAL SUPPLIER
01/03/2024,Resources,Juniper Ventures Ltd,Cleaning Services,10111.62,0,COMMERCIAL SUPPLIER
01/03/2024,Resources,Juniper Ventures Ltd,Cleaning Services,6468.04,0,COMMERCIAL SUPPLIER
01/03/2024,Environment and Sustainable Transport,Juniper Ventures Ltd,Cleaning Services,11391.05,0,COMMERCIAL SUPPLIER
01/03/2024,Environment and Sustainable Transport,Completely Kent Limited T/a Completely Hydraulic,"Purchase - Equipment, Furniture And Materials",226.61,0,COMMERCIAL SUPPLIER
01/03/2024,Children and Young People,Chiltern Costs Consultants,Legal Fees,420,0,NON COMMERCIAL SUPPLIER
01/03/2024,Children and Young People,The 5ES Development Ltd,Arts And Leisure Costs,4215,0,COMMERCIAL SUPPLIER
01/03/2024,Children and Young People,The People Speak,Events,2200,0,COMMERCIAL SUPPLIER
01/03/2024,Children and Young People,The People Speak,Events,9291.67,0,COMMERCIAL SUPPLIER
01/03/2024,Environment and Sustainable Transport,Worldline IT Services UK Ltd Re Fuel Genie,Transport Fuel,234.75,0,COMMERCIAL SUPPLIER
01/03/2024,Environment and Sustainable Transport,Worldline IT Services UK Ltd Re Fuel Genie,Transport Fuel,854.35,0,COMMERCIAL SUPPLIER
01/03/2024,Housing Revenue Account,Worldline IT Services UK Ltd Re Fuel Genie,Transport Fuel,334.4,0,COMMERCIAL SUPPLIER
01/03/2024,Adults & Health,Supply Chain Coordination Ltd (SCCL),Specialist Equipment For Service Provision,2183.18,0,NHS BODIES
01/03/2024,oneSource - Non Shared,Daisy Corporate Services Trading Ltd,Land Line Telephone Costs,10694.14,0,COMMERCIAL SUPPLIER
01/03/2024,oneSource - Non Shared,Daisy Corporate Services Trading Ltd,Land Line Telephone Costs,5539.89,0,COMMERCIAL SUPPLIER
01/03/2024,oneSource - Non Shared,Daisy Corporate Services Trading Ltd,Land Line Telephone Costs,21589.04,0,COMMERCIAL SUPPLIER
01/03/2024,Housing Revenue Account,Daisy Corporate Services Trading Ltd,Cyclical/Planned Maintenance - Mechanical And Electrical,279.32,0,COMMERCIAL SUPPLIER
01/03/2024,oneSource - Non Shared,Daisy Corporate Services Trading Ltd,Land Line Telephone Costs,5850,0,COMMERCIAL SUPPLIER
01/03/2024,Housing Revenue Account,Daisy Corporate Services Trading Ltd,Land Line Telephone Costs,513.37,0,COMMERCIAL SUPPLIER
01/03/2024,Housing Revenue Account,Daisy Corporate Services Trading Ltd,Land Line Telephone Costs,2005.61,0,COMMERCIAL SUPPLIER
01/03/2024,Environment and Sustainable Transport,Greener Solutions,Highway Services,230,0,VENDOR
01/03/2024,Environment and Sustainable Transport,Greener Solutions,Highway Services,93.6,0,VENDOR
01/03/2024,Environment and Sustainable Transport,Greener Solutions,Highway Services,143.6,0,VENDOR
01/03/2024,Environment and Sustainable Transport,Greener Solutions,Highway Services,171,0,VENDOR
01/03/2024,Environment and Sustainable Transport,Greener Solutions,Highway Services,262.5,0,VENDOR
01/03/2024,Marketing,Digital Content Associates Ltd,"Books, Publications And Resources",4950,0,COMMERCIAL SUPPLIER
01/03/2024,Marketing,Digital Content Associates Ltd,"Books, Publications And Resources",3225,0,COMMERCIAL SUPPLIER
01/03/2024,Marketing,Digital Content Associates Ltd,"Books, Publications And Resources",2325,0,COMMERCIAL SUPPLIER
01/03/2024,Marketing,Digital Content Associates Ltd,"Books, Publications And Resources",1495,0,COMMERCIAL SUPPLIER
01/03/2024,Marketing,Digital Content Associates Ltd,"Books, Publications And Resources",2325,0,COMMERCIAL SUPPLIER
01/03/2024,Marketing,Digital Content Associates Ltd,"Books, Publications And Resources",2145,0,COMMERCIAL SUPPLIER
01/03/2024,Environment and Sustainable Transport,Symetri Limited,Ict Software,18344.5,0,COMMERCIAL SUPPLIER
01/03/2024,Adults & Health,L.A.Services & Solutions Limited,Building Alterations And Materials,9750,0,COMMERCIAL SUPPLIER
01/03/2024,Marketing,Personal Information - Redacted,Consultancy Fees,884.6,0,VENDOR
