Transaction Date,Local Authority Department,BENEFICIARY,Purpose,Amount,Non Recoverable,Merchant Category
01-06-2023,Environment and Sustainable Transport,NSL Limited,Private Contractors Payment - Other,58733.65,0,
01-06-2023,Inclusive Economy & Housing,Insurance Claims Accomodation Bureau Limited,Rents Payable,462,0,COMMERCIAL SUPPLIER
01-06-2023,Inclusive Economy & Housing,Insurance Claims Accomodation Bureau Limited,Rents Payable,462,0,COMMERCIAL SUPPLIER
01-06-2023,Inclusive Economy & Housing,Insurance Claims Accomodation Bureau Limited,Rents Payable,357.5,0,COMMERCIAL SUPPLIER
01-06-2023,Inclusive Economy & Housing,Insurance Claims Accomodation Bureau Limited,Rents Payable,1421.31,0,COMMERCIAL SUPPLIER
01-06-2023,Inclusive Economy & Housing,Insurance Claims Accomodation Bureau Limited,Rents Payable,308,0,COMMERCIAL SUPPLIER
01-06-2023,Inclusive Economy & Housing,Insurance Claims Accomodation Bureau Limited,Rents Payable,308,0,COMMERCIAL SUPPLIER
01-06-2023,Inclusive Economy & Housing,Insurance Claims Accomodation Bureau Limited,Rents Payable,308,0,COMMERCIAL SUPPLIER
01-06-2023,Inclusive Economy & Housing,Insurance Claims Accomodation Bureau Limited,Rents Payable,264,0,COMMERCIAL SUPPLIER
01-06-2023,Inclusive Economy & Housing,Insurance Claims Accomodation Bureau Limited,Rents Payable,385,0,COMMERCIAL SUPPLIER
01-06-2023,oneSource,Law Morgan Ltd,Agency Staff,2631.04,0,COMMERCIAL SUPPLIER
01-06-2023,oneSource,Law Morgan Ltd,Agency Staff,3288.8,0,COMMERCIAL SUPPLIER
01-06-2023,Environment and Sustainable Transport,AM Wright Associates Ltd,Consultancy Fees,1653.4,0,LOCAL AUTHORITY SERVICES
01-06-2023,Inclusive Economy & Housing,Insurance Claims Accomodation Bureau Limited,Rents Payable,924,0,COMMERCIAL SUPPLIER
01-06-2023,Inclusive Economy & Housing,Insurance Claims Accomodation Bureau Limited,Rents Payable,1148.33,0,COMMERCIAL SUPPLIER
