Transaction Date,Local Authority Department,BENEFICIARY,Purpose,Amount,Non Recoverable,Merchant Category
01-11-2023,Children and Young People,Juniper Ventures Ltd,Cleaning Services,1002.3,0,COMMERCIAL SUPPLIER
01-11-2023,Children and Young People,Juniper Ventures Ltd,Cleaning Services,1002.3,0,COMMERCIAL SUPPLIER
01-11-2023,Children and Young People,Juniper Ventures Ltd,Cleaning Services,1002.3,0,COMMERCIAL SUPPLIER
01-11-2023,Children and Young People,Juniper Ventures Ltd,Cleaning Services,1002.3,0,COMMERCIAL SUPPLIER
01-11-2023,Children and Young People,Juniper Ventures Ltd,Cleaning Services,1002.3,0,COMMERCIAL SUPPLIER
01-11-2023,Children and Young People,Juniper Ventures Ltd,Cleaning Services,1002.3,0,COMMERCIAL SUPPLIER
01-11-2023,Children and Young People,Juniper Ventures Ltd,Cleaning Services,1002.3,0,COMMERCIAL SUPPLIER
01-11-2023,Environment and Sustainable Transport,Juniper Ventures Ltd,Cleaning Services,11391.05,0,COMMERCIAL SUPPLIER
01-11-2023,Housing Revenue Account,EDF Energy Customers Ltd,Electricity,384.5,0,COMMERCIAL SUPPLIER
01-11-2023,Dedicated Schools Budget,Personal Information - Redacted,Private Contractors Payment - Other,5793.33,0,VENDOR
01-11-2023,Housing Revenue Account,Bamber and Co Solicitors,Legal Fees,6550,0,NON COMMERCIAL SUPPLIER
01-11-2023,Children and Young People,Gordon Care Services Limited,Client Transport,31162,0,COMMERCIAL SUPPLIER
01-11-2023,Adults & Health,London Care Plc,Home Care - Private Contractors Payment,167.24,0,COMMERCIAL SUPPLIER
01-11-2023,Adults & Health,London Care Plc,Home Care - Private Contractors Payment,461.7,0,COMMERCIAL SUPPLIER
01-11-2023,Adults & Health,London Care Plc,Home Care - Private Contractors Payment,323.19,0,COMMERCIAL SUPPLIER
01-11-2023,oneSource - Non Shared,Daisy Corporate Services Trading Ltd,Mobile Phone Costs,10694.14,0,COMMERCIAL SUPPLIER
01-11-2023,oneSource - Non Shared,Daisy Corporate Services Trading Ltd,Mobile Phone Costs,5763.16,0,COMMERCIAL SUPPLIER
01-11-2023,oneSource - Non Shared,Daisy Corporate Services Trading Ltd,Mobile Phone Costs,2901.3,0,COMMERCIAL SUPPLIER
01-11-2023,Housing Revenue Account,Daisy Corporate Services Trading Ltd,Cyclical/Planned Maintenance - Mechanical And Electrical,331.96,0,COMMERCIAL SUPPLIER
01-11-2023,oneSource - Non Shared,Daisy Corporate Services Trading Ltd,Mobile Phone Costs,14330.16,0,COMMERCIAL SUPPLIER
01-11-2023,Housing Revenue Account,Daisy Corporate Services Trading Ltd,Land Line Telephone Costs,1951.55,0,COMMERCIAL SUPPLIER
01-11-2023,Children and Young People,Goldline Cars Ltd,Client Transport,3075,0,COMMERCIAL SUPPLIER
01-11-2023,RMS,Screwfix Direct Ltd,Building Alterations And Materials,899.98,0,COMMERCIAL SUPPLIER
01-11-2023,Environment and Sustainable Transport,D T Trucks Ltd,"Purchase - Equipment, Furniture And Materials",410,0,COMMERCIAL SUPPLIER
01-11-2023,Dedicated Schools Budget,First Option Healthcare,Professional Services - General,605.85,0,NON COMMERCIAL SUPPLIER
01-11-2023,Inclusive Economy & Housing,Ongar Building Services Ltd,"Maintenance - Equipment, Furniture And Materials",1925.35,0,CIS
01-11-2023,Adults & Health,Deafblind UK.,Daycare - Private Contractors Payment,246,0,COMMERCIAL SUPPLIER
01-11-2023,Adults & Health,Deafblind UK.,Daycare - Private Contractors Payment,246,0,COMMERCIAL SUPPLIER
01-11-2023,Adults & Health,Deafblind UK.,Daycare - Private Contractors Payment,246.03,0,COMMERCIAL SUPPLIER
01-11-2023,Adults & Health,Deafblind UK.,Daycare - Private Contractors Payment,246,0,COMMERCIAL SUPPLIER
01-11-2023,Adults & Health,Deafblind UK.,Daycare - Private Contractors Payment,338.25,0,COMMERCIAL SUPPLIER
01-11-2023,Adults & Health,Deafblind UK.,Daycare - Private Contractors Payment,338.25,0,COMMERCIAL SUPPLIER
01-11-2023,Adults & Health,Deafblind UK.,Daycare - Private Contractors Payment,338.25,0,COMMERCIAL SUPPLIER
01-11-2023,Adults & Health,Deafblind UK.,Daycare - Private Contractors Payment,338.28,0,COMMERCIAL SUPPLIER
01-11-2023,Dedicated Schools Budget,Beyond Autism,Professional Services - General,21783.33,0,VENDOR
01-11-2023,Dedicated Schools Budget,Beyond Autism,Professional Services - General,21783.33,0,VENDOR
01-11-2023,Dedicated Schools Budget,Beyond Autism,Professional Services - General,21783.33,0,VENDOR
01-11-2023,Dedicated Schools Budget,Beyond Autism,Professional Services - General,22872.67,0,VENDOR
01-11-2023,Dedicated Schools Budget,Beyond Autism,Professional Services - General,22872.67,0,VENDOR
01-11-2023,Environment and Sustainable Transport,L & F Plant Hire Co Ltd T/A Ti,"Purchase - Equipment, Furniture And Materials",638,0,VENDOR
01-11-2023,Environment and Sustainable Transport,L & F Plant Hire Co Ltd T/A Ti,"Purchase - Equipment, Furniture And Materials",726,0,VENDOR
01-11-2023,Environment and Sustainable Transport,L & F Plant Hire Co Ltd T/A Ti,Vehicle Hire,946,0,VENDOR
01-11-2023,Environment and Sustainable Transport,L & F Plant Hire Co Ltd T/A Ti,Vehicle Hire,946,0,VENDOR
01-11-2023,Environment and Sustainable Transport,L & F Plant Hire Co Ltd T/A Ti,Vehicle Hire,946,0,VENDOR
01-11-2023,Environment and Sustainable Transport,L & F Plant Hire Co Ltd T/A Ti,Vehicle Hire,946,0,VENDOR
01-11-2023,Environment and Sustainable Transport,L & F Plant Hire Co Ltd T/A Ti,Vehicle Hire,946,0,VENDOR
01-11-2023,Environment and Sustainable Transport,L & F Plant Hire Co Ltd T/A Ti,Vehicle Hire,946,0,VENDOR
01-11-2023,Environment and Sustainable Transport,L & F Plant Hire Co Ltd T/A Ti,Vehicle Hire,946,0,VENDOR
01-11-2023,Environment and Sustainable Transport,L & F Plant Hire Co Ltd T/A Ti,Vehicle Hire,946,0,VENDOR
