Transaction Date,Local Authority Department,BENEFICIARY,Purpose,Amount,Non Recoverable,Merchant Category
01-09-2023,Children and Young People,Mr Lindsay G Knight t/a Human Stories,Events,915.8,0,COMMERCIAL SUPPLIER
01-09-2023,Adults & Health,Vibrance,Daycare - Private Contractors Payment,820.48,0,VOLUNTARY ORGANISATION
01-09-2023,Adults & Health,Vibrance,Daycare - Private Contractors Payment,874.2,0,VOLUNTARY ORGANISATION
01-09-2023,Adults & Health,Vibrance,Daycare - Private Contractors Payment,874.2,0,VOLUNTARY ORGANISATION
01-09-2023,Adults & Health,Vibrance,Daycare - Private Contractors Payment,874.2,0,VOLUNTARY ORGANISATION
01-09-2023,Adults & Health,Vibrance,Daycare - Private Contractors Payment,874.2,0,VOLUNTARY ORGANISATION
01-09-2023,Adults & Health,Vibrance,Daycare - Private Contractors Payment,874.04,0,VOLUNTARY ORGANISATION
01-09-2023,Adults & Health,Vibrance,Daycare - Private Contractors Payment,874.2,0,VOLUNTARY ORGANISATION
01-09-2023,Adults & Health,Vibrance,Daycare - Private Contractors Payment,874.2,0,VOLUNTARY ORGANISATION
01-09-2023,Adults & Health,Vibrance,Daycare - Private Contractors Payment,874.2,0,VOLUNTARY ORGANISATION
01-09-2023,Adults & Health,Vibrance,Daycare - Private Contractors Payment,874.2,0,VOLUNTARY ORGANISATION
01-09-2023,Adults & Health,Vibrance,Daycare - Private Contractors Payment,784.88,0,VOLUNTARY ORGANISATION
01-09-2023,Adults & Health,Vibrance,Daycare - Private Contractors Payment,874.2,0,VOLUNTARY ORGANISATION
01-09-2023,Adults & Health,Vibrance,Daycare - Private Contractors Payment,874.2,0,VOLUNTARY ORGANISATION
01-09-2023,Adults & Health,Vibrance,Daycare - Private Contractors Payment,874.2,0,VOLUNTARY ORGANISATION
01-09-2023,Adults & Health,Vibrance,Daycare - Private Contractors Payment,726.86,0,VOLUNTARY ORGANISATION
01-09-2023,Adults & Health,Vibrance,Daycare - Private Contractors Payment,874.2,0,VOLUNTARY ORGANISATION
01-09-2023,oneSource,Personal Information - Redacted,Legal Fees,650,0,INDIVIDUALS
01-09-2023,oneSource,Personal Information - Redacted,Legal Fees,7500,0,INDIVIDUALS
01-09-2023,Marketing,Rights & Equalities In Newham (Rein),Private Contractors Payment - Other,1500,0,VENDOR
01-09-2023,Adults & Health,Stannah Lift Services Ltd,Private Contractors Payment - Other,7232,0,CIS
01-09-2023,Environment and Sustainable Transport,Sai-Pac (UK) Ltd,Highway Services,4500,0,COMMERCIAL SUPPLIER
01-09-2023,oneSource - Non Shared,Bellrock Property & Facilities Management Ltd,"Maintenance - Equipment, Furniture And Materials",6408.87,0,
01-09-2023,oneSource - Non Shared,Bellrock Property & Facilities Management Ltd,"Maintenance - Equipment, Furniture And Materials",445.21,0,
01-09-2023,oneSource - Non Shared,Bellrock Property & Facilities Management Ltd,"Maintenance - Equipment, Furniture And Materials",5953.5,0,
01-09-2023,oneSource - Non Shared,Bellrock Property & Facilities Management Ltd,"Maintenance - Equipment, Furniture And Materials",1090.98,0,
01-09-2023,oneSource - Non Shared,Bellrock Property & Facilities Management Ltd,"Maintenance - Equipment, Furniture And Materials",311.07,0,
01-09-2023,oneSource - Non Shared,Bellrock Property & Facilities Management Ltd,"Maintenance - Equipment, Furniture And Materials",3043.13,0,
01-09-2023,Environment and Sustainable Transport,Bellrock Property & Facilities Management Ltd,Facilities Management,2300,0,
01-09-2023,oneSource - Non Shared,Bellrock Property & Facilities Management Ltd,"Maintenance - Equipment, Furniture And Materials",2804.72,0,
01-09-2023,oneSource - Non Shared,Bellrock Property & Facilities Management Ltd,"Maintenance - Equipment, Furniture And Materials",1863.46,0,
01-09-2023,Housing Revenue Account,Daisy Corporate Services Trading Ltd,Cyclical/Planned Maintenance - Mechanical And Electrical,347.81,0,COMMERCIAL SUPPLIER
01-09-2023,oneSource,Daisy Corporate Services Trading Ltd,Land Line Telephone Costs,14377.52,0,COMMERCIAL SUPPLIER
01-09-2023,Dedicated Schools Budget,Personal Information - Redacted,Private Contractors Payment - Other,4289.2,0,COMMERCIAL SUPPLIER
01-09-2023,Adults & Health,L.A.Services & Solutions Limited,Building Alterations And Materials,2700,0,COMMERCIAL SUPPLIER
01-09-2023,Adults & Health,L.A.Services & Solutions Limited,Building Alterations And Materials,3200,0,COMMERCIAL SUPPLIER
01-09-2023,Adults & Health,L.A.Services & Solutions Limited,Building Alterations And Materials,1750,0,COMMERCIAL SUPPLIER
01-09-2023,Adults & Health,L.A.Services & Solutions Limited,Building Alterations And Materials,3450,0,COMMERCIAL SUPPLIER
01-09-2023,Adults & Health,L.A.Services & Solutions Limited,Building Alterations And Materials,2850,0,COMMERCIAL SUPPLIER
01-09-2023,Adults & Health,L.A.Services & Solutions Limited,Building Alterations And Materials,3150,0,COMMERCIAL SUPPLIER
01-09-2023,Adults & Health,L.A.Services & Solutions Limited,Building Alterations And Materials,1950,0,COMMERCIAL SUPPLIER
01-09-2023,Marketing,Personal Information - Redacted,Consultancy Fees,787.5,0,VENDOR
01-09-2023,oneSource,Coppermill Press,Printing,620,0,VENDOR
01-09-2023,Inclusive Economy & Housing,A DAKRI AND CO LTD T/A GREENLEAF HOTEL,Rents Payable,2250,0,CARERS
