Transaction Date,Local Authority Department,BENEFICIARY,Purpose,Amount,Non Recoverable,Merchant Category
01/10/2023,oneSource - Non Shared,Juniper Ventures Ltd,Cleaning Services,10597.11,0,COMMERCIAL SUPPLIER
01/10/2023,Marketing,Rights & Equalities In Newham (Rein),Private Contractors Payment - Other,800,0,VENDOR
01/10/2023,Dedicated Schools Budget,Personal Information - Redacted,Conference Expenses,3500,0,COMMERCIAL SUPPLIER
01/10/2023,Marketing,Personal Information - Redacted,Events,2600,0,
01/10/2023,oneSource - Non Shared,Daisy Corporate Services Trading Ltd,Mobile Phone Costs,6093.16,0,COMMERCIAL SUPPLIER
01/10/2023,oneSource - Non Shared,Daisy Corporate Services Trading Ltd,Mobile Phone Costs,5244.14,0,COMMERCIAL SUPPLIER
01/10/2023,oneSource - Non Shared,Daisy Corporate Services Trading Ltd,Mobile Phone Costs,346.23,0,COMMERCIAL SUPPLIER
01/10/2023,oneSource - Non Shared,Daisy Corporate Services Trading Ltd,Mobile Phone Costs,13867.22,0,COMMERCIAL SUPPLIER
01/10/2023,Housing Revenue Account,Daisy Corporate Services Trading Ltd,Land Line Telephone Costs,786.37,0,COMMERCIAL SUPPLIER
01/10/2023,Housing Revenue Account,Daisy Corporate Services Trading Ltd,Acquisition - Land And Buildings,2741.6,0,COMMERCIAL SUPPLIER
01/10/2023,oneSource - Non Shared,Royal Docks Management Authority Ltd,Facilities Management,5526,0,VENDOR
01/10/2023,RMS,Travis Perkins Trading Company Ltd,Building Alterations And Materials,188.19,0,COMMERCIAL SUPPLIER
01/10/2023,RMS,Travis Perkins Trading Company Ltd,Building Alterations And Materials,78,0,COMMERCIAL SUPPLIER
01/10/2023,RMS,Travis Perkins Trading Company Ltd,Building Alterations And Materials,305.7,0,COMMERCIAL SUPPLIER
01/10/2023,RMS,Travis Perkins Trading Company Ltd,Building Alterations And Materials,305.7,0,COMMERCIAL SUPPLIER
01/10/2023,RMS,Travis Perkins Trading Company Ltd,Building Alterations And Materials,305.7,0,COMMERCIAL SUPPLIER
01/10/2023,Environment and Sustainable Transport,Portakabin Ltd,Premises Hire - Facilities,2373.33,0,COMMERCIAL SUPPLIER
01/10/2023,Children and Young People,Personal Information - Redacted,Consultancy Fees,830,0,INDIVIDUALS
01/10/2023,Adults & Health,Stonewall Housing Association,Private Contractors Payment - Other,4581.74,0,VENDOR
01/10/2023,Children and Young People,Early Start Group Ltd,Private Contractors Payment - Other,57838,0,COMMERCIAL SUPPLIER
01/10/2023,Children and Young People,Early Start Group Ltd,Private Contractors Payment - Other,112879,0,COMMERCIAL SUPPLIER
01/10/2023,Adults & Health,Caring Homes Healthcare Group t/a Moorlands,Nursing Homes - Private Contractors Payment,750,0,NON COMMERCIAL SUPPLIER
01/10/2023,Adults & Health,Personal Information - Redacted,Residential Care Income,-172.8,0,NON COMMERCIAL SUPPLIER
01/10/2023,Adults & Health,Caring Homes Healthcare Group t/a Moorlands,Nursing Homes - Private Contractors Payment,750,0,NON COMMERCIAL SUPPLIER
01/10/2023,Adults & Health,Personal Information - Redacted,Residential Care Income,-172.8,0,NON COMMERCIAL SUPPLIER
01/10/2023,Adults & Health,Personal Information - Redacted,Residential Care Income,-172.8,0,NON COMMERCIAL SUPPLIER
01/10/2023,Adults & Health,Caring Homes Healthcare Group t/a Moorlands,Nursing Homes - Private Contractors Payment,750,0,NON COMMERCIAL SUPPLIER
01/10/2023,Adults & Health,Personal Information - Redacted,Residential Care Income,-172.8,0,NON COMMERCIAL SUPPLIER
01/10/2023,Adults & Health,Caring Homes Healthcare Group t/a Moorlands,Nursing Homes - Private Contractors Payment,750,0,NON COMMERCIAL SUPPLIER
01/10/2023,Adults & Health,Runwood Homes Plc,Residential Placements - Private Contractors Payment,615,0,VENDOR
01/10/2023,Adults & Health,Personal Information - Redacted,Residential Care Income,-172.8,0,VENDOR
01/10/2023,Adults & Health,Personal Information - Redacted,Residential Care Income,-172.8,0,VENDOR
01/10/2023,Adults & Health,Runwood Homes Plc,Residential Placements - Private Contractors Payment,615,0,VENDOR
01/10/2023,Adults & Health,Personal Information - Redacted,Residential Care Income,-172.8,0,VENDOR
01/10/2023,Adults & Health,Runwood Homes Plc,Residential Placements - Private Contractors Payment,615,0,VENDOR
01/10/2023,Adults & Health,Runwood Homes Plc,Residential Placements - Private Contractors Payment,615,0,VENDOR
01/10/2023,Adults & Health,Personal Information - Redacted,Residential Care Income,-172.8,0,VENDOR
01/10/2023,Adults & Health,Outward Housing,Daycare - Private Contractors Payment,441.45,0,VENDOR
01/10/2023,Adults & Health,Outward Housing,Daycare - Private Contractors Payment,441.45,0,VENDOR
01/10/2023,Adults & Health,Outward Housing,Daycare - Private Contractors Payment,441.45,0,VENDOR
01/10/2023,Adults & Health,Outward Housing,Daycare - Private Contractors Payment,441.45,0,VENDOR
01/10/2023,Adults & Health,Four Seasons No.7 Limited ( Norwood Green Care Home) ,Nursing Homes - Private Contractors Payment,848.12,0,NON COMMERCIAL SUPPLIER
01/10/2023,Adults & Health,Four Seasons No.7 Limited ( Norwood Green Care Home) ,Nursing Homes - Private Contractors Payment,848.12,0,NON COMMERCIAL SUPPLIER
01/10/2023,Adults & Health,Four Seasons No.7 Limited ( Norwood Green Care Home) ,Nursing Homes - Private Contractors Payment,848.12,0,NON COMMERCIAL SUPPLIER
01/10/2023,Adults & Health,Four Seasons No.7 Limited ( Norwood Green Care Home) ,Nursing Homes - Private Contractors Payment,848.12,0,NON COMMERCIAL SUPPLIER
01/10/2023,Adults & Health,Westminster Health Care Limited,Nursing Homes - Private Contractors Payment,719.08,0,COMMERCIAL SUPPLIER
01/10/2023,Adults & Health,Westminster Health Care Limited,Nursing Homes - Private Contractors Payment,719.08,0,COMMERCIAL SUPPLIER
01/10/2023,Adults & Health,Westminster Health Care Limited,Nursing Homes - Private Contractors Payment,719.08,0,COMMERCIAL SUPPLIER
01/10/2023,Adults & Health,Westminster Health Care Limited,Nursing Homes - Private Contractors Payment,719.08,0,COMMERCIAL SUPPLIER
01/10/2023,Adults & Health,L & Q Living,Residential Placements - Private Contractors Payment,1457,0,VENDOR
01/10/2023,Adults & Health,L & Q Living,Residential Placements - Private Contractors Payment,1457,0,VENDOR
01/10/2023,Adults & Health,L & Q Living,Residential Placements - Private Contractors Payment,1457,0,VENDOR
01/10/2023,Adults & Health,L & Q Living,Residential Placements - Private Contractors Payment,1457,0,VENDOR
01/10/2023,Adults & Health,Four Seasons 2000 Limited-Marlborough Court Care Home,Nursing Homes - Private Contractors Payment,617.44,0,NON COMMERCIAL SUPPLIER
