Transaction Date,Local Authority Department,BENEFICIARY,Purpose,Amount,Non Recoverable,Merchant Category
01-12-2023,Marketing,Voiceability,Private Contractors Payment - Other,270,0,COMMERCIAL SUPPLIER
01-12-2023,Environment and Sustainable Transport,Project Centre Ltd,Consultancy Fees,9600,0,COMMERCIAL SUPPLIER
01-12-2023,RMS,GB Macks Skips,Building Alterations And Materials,820,0,COMMERCIAL SUPPLIER
01-12-2023,RMS,GB Macks Skips,Building Alterations And Materials,316.2,0,COMMERCIAL SUPPLIER
01-12-2023,Resources,Zurich Municipal (For Claims),Private Contractors Payment - Other,200000,0,NON COMMERCIAL SUPPLIER
01-12-2023,Children and Young People,OCEM Ltd t/a Omega Education Services,Professional Services - General,3300,0,COMMERCIAL SUPPLIER
01-12-2023,Environment and Sustainable Transport,Parma,Highway Services,369,0,COMMERCIAL SUPPLIER
01-12-2023,Marketing,Sign for All Community Ltd,Events,670,0,NON COMMERCIAL SUPPLIER
01-12-2023,Adults & Health,Supply Chain Coordination Ltd (SCCL),Specialist Equipment For Service Provision,1498.16,0,NHS BODIES
01-12-2023,Adults & Health,Supply Chain Coordination Ltd (SCCL),Specialist Equipment For Service Provision,6020.38,0,NHS BODIES
01-12-2023,Adults & Health,Supply Chain Coordination Ltd (SCCL),Specialist Equipment For Service Provision,1344.62,0,NHS BODIES
01-12-2023,Housing Revenue Account,Driscoll Kingston Solicitors,Legal Fees,7750,0,NON COMMERCIAL SUPPLIER
01-12-2023,oneSource - Non Shared,Daisy Corporate Services Trading Ltd,Mobile Phone Costs,10694.14,0,COMMERCIAL SUPPLIER
01-12-2023,oneSource - Non Shared,Daisy Corporate Services Trading Ltd,Mobile Phone Costs,5606.02,0,COMMERCIAL SUPPLIER
01-12-2023,oneSource - Non Shared,Daisy Corporate Services Trading Ltd,Mobile Phone Costs,3085.46,0,COMMERCIAL SUPPLIER
01-12-2023,Housing Revenue Account,Daisy Corporate Services Trading Ltd,Cyclical/Planned Maintenance - Mechanical And Electrical,288.3,0,COMMERCIAL SUPPLIER
01-12-2023,oneSource - Non Shared,Daisy Corporate Services Trading Ltd,Mobile Phone Costs,14668.53,0,COMMERCIAL SUPPLIER
01-12-2023,Housing Revenue Account,Daisy Corporate Services Trading Ltd,Land Line Telephone Costs,2062.43,0,COMMERCIAL SUPPLIER
01-12-2023,Environment and Sustainable Transport,Greener Solutions,Highway Services,825,0,VENDOR
01-12-2023,Environment and Sustainable Transport,Greener Solutions,Highway Services,115,0,VENDOR
01-12-2023,Environment and Sustainable Transport,Greener Solutions,Highway Services,7.5,0,VENDOR
01-12-2023,Environment and Sustainable Transport,Greener Solutions,Highway Services,370,0,VENDOR
01-12-2023,Environment and Sustainable Transport,Greener Solutions,Highway Services,435,0,VENDOR
01-12-2023,Environment and Sustainable Transport,Greener Solutions,Highway Services,150,0,VENDOR
01-12-2023,Environment and Sustainable Transport,Greener Solutions,Highway Services,615,0,VENDOR
01-12-2023,Environment and Sustainable Transport,Greener Solutions,Highway Services,435,0,VENDOR
